Year,Fuel_Emissions,Biochar_Stock,Biochar_Decay,Construction_InUse,Construction_Disposed,Construction_Recycled,Construction_LandfillIn,Exterior_InUse,Exterior_Disposed,Exterior_LandfillIn,Household_InUse,Household_Disposed,Household_Recycled,Household_LandfillIn,GraphicPaper_InUse,GraphicPaper_Disposed,GraphicPaper_Recycled,GraphicPaper_LandfillIn,OtherPaper_InUse,OtherPaper_Disposed,OtherPaper_Recycled,OtherPaper_LandfillIn,HouseholdPaper_InUse,HouseholdPaper_Disposed,HouseholdPaper_LandfillIn,LF_Input_Total,LF_Stock_Total,LF_Decay_Total
1961.0,376200000.0,19843675.89541801,241924.10458198757,1661000673.030592,2029885.0298652141,172540.2275385432,1857344.8023266708,818289019.9576237,8542668.092689957,8542668.092689957,851997389.2104912,7789120.0761017585,662075.2064686496,7127044.869633109,185796728.8287201,16603271.171279915,3735736.013537981,12867535.157741934,119284138.3952475,115615861.60475251,26013568.861069314,89602292.74368319,0.0,0.0,0.0,119996885.66607486,9240351.783945063,8286705.9807046745
1962.0,384987500.0,39483953.61485535,489722.28056265804,3342064919.4672174,4201503.446225905,400811.6969471676,3800691.749278737,1679279056.161203,18308366.904172264,18308366.904172264,1718332475.183866,16255238.646570057,1550704.3775164413,14704534.269053616,358845652.2029618,33551076.625758324,8176899.76332879,25374176.862429533,128563695.42953768,236670442.96570987,57680130.82440071,178990312.14130914,0.0,0.0,0.0,241178081.92624328,28380341.1311045,17673603.57534518
1963.0,405650000.0,58920009.40149336,738044.2133619864,4986864248.981253,6452614.905829455,654806.0974393125,5797808.808390142,2639386969.4090414,29964543.23620584,29964543.23620584,2600808290.0338383,25444116.106547274,2582048.1484907838,22862067.95805649,519995594.27567935,50950057.927282386,12975070.746814677,37974987.18046771,134728392.28606766,363532887.95772755,92578205.6377136,270954682.32001394,0.0,0.0,0.0,367554089.50313413,58565805.42900344,28438955.704753533
1964.0,447925000.0,78153055.2690138,985754.1324795596,6771167825.045847,9000831.393848442,952237.6955773622,8048593.698271079,3572350741.836106,42325286.24804339,42325286.24804339,3502914784.819002,35417579.47445369,3746982.1159778247,31670597.358475864,673385219.3388767,69210374.93680269,18162875.078439444,51047499.85836324,143443842.227183,498664155.7465092,130864408.33747247,367799747.40903676,0.0,0.0,0.0,500891724.57219034,100481104.91363844,40129177.82015532
1965.0,465500000.0,97183944.4976603,1232310.7713535181,8608410868.947866,11755579.746749235,1283022.4143795953,10472557.33236964,4483357972.82242,55459299.38051002,55459299.38051002,4400248060.952219,45984053.90580864,5018771.777845061,40965282.12796358,819989127.7401772,88496091.59869947,23757202.66257945,64738888.93612002,293839681.1656046,779311939.0033414,209210049.14235356,570101889.8609879,29682.99438526909,1570317.0056147308,1570317.0056147308,743308234.6435659,154737665.90938294,52640577.84509876
1966.0,375012500.0,116014435.79785368,1477408.699806617,10588113383.388031,14835915.330606533,1659788.6797757542,13176126.65083078,5305731364.324876,68685702.55484062,68685702.55484062,5271235322.289912,56961503.6092275,6372647.508883859,50588856.100343645,963096369.557911,109192758.18226628,29850843.86900344,79341914.31326284,317880312.6118714,1078786059.8778057,294915842.20005286,783870217.6777529,28755.400810729432,3091561.604804001,3091561.604804001,998754378.9018348,221574143.49344325,65614207.72195471
1967.0,408025000.0,134646184.96583304,1720850.8320206357,12640508629.1487,18172830.206149556,2075130.9885507931,16097699.217598762,6092747804.85218,82508112.5492952,82508112.5492952,6129365990.160409,68473168.81662819,7818858.861487215,60654309.95514097,1102122166.0954368,131374203.46247423,36461540.466782235,94912662.99569198,326907252.9464714,1386430565.1824057,384789348.47526264,1001641216.7071431,28755.400810729432,4612806.203993271,4612806.203993271,1260426807.6288633,301540531.833576,79293733.38190222
1968.0,438900000.0,153081277.103489,1962507.8623440226,14822112753.849728,21847280.05900894,2538470.9309270103,19308809.128081933,6903279757.718677,97531220.12703425,97531220.12703425,7025060560.099622,80986470.16341887,9409949.419468021,71576520.74395086,1227320026.4058244,154302139.68961224,43381262.96966071,110920876.71995154,358549028.7981041,1724492525.7751017,484832316.00255245,1239660209.7725492,28755.400810729432,6134050.803182541,6134050.803182541,1545131687.2947505,395764954.9933007,94192126.83934236
1969.0,468112500.0,171321590.5348621,2202286.5686269207,17044983720.28252,25768012.84502982,3039552.758810759,22728460.08621906,7676383534.329303,113159099.91601558,113159099.91601558,7891853626.806253,93930657.16379777,11079907.086207395,82850750.07759038,1350244231.1147964,179075795.29102793,50915736.88320715,128160058.40782079,381222917.3551472,2083595687.2345629,592418476.2648121,1491177210.969751,29682.99438526909,7704367.808797272,7704367.808797272,1845779947.266194,504737862.66930556,109765402.4038201
1970.0,419187500.0,189369070.0669547,2440120.4679073878,19276083089.75929,29905185.519898694,3574829.2849114914,26330356.234987203,8479348191.159646,130073429.93308713,130073429.93308713,8726693661.655525,107271326.1727551,12823083.072950505,94448243.09980461,1443713143.2805226,203431087.83427402,58419264.300778225,145011823.53349578,409342625.12202984,2469306739.1936107,709110316.2863799,1760196422.9072309,43782.41671827191,10020585.392079,10020585.392079,2166080861.1006846,629288189.0158961,126301702.92128834
1971.0,448875000.0,207035621.34915298,2673448.717801708,21668978137.647717,34454916.06464648,4167957.0708361575,30286958.993810326,9272822604.408491,147900155.43018186,147900155.43018186,9588271336.065119,121534054.7356663,14701783.682551725,106832271.05311458,1520813084.7449486,228500058.53557414,66206331.8458125,162293726.68976164,435800688.0592391,2879843947.216276,834415121.1841887,2045428826.0320873,74207.48596317273,13946377.906115826,13946377.906115826,2506688316.1050715,770382129.3941209,143925445.09888202
1972.0,491862500.0,224199931.94832367,2900589.4008293026,24080999126.5763,39262266.91038368,4800738.709353069,34461528.20103061,9927052895.024641,165280686.0292333,165280686.0292333,10384923760.505468,135904794.9756536,16617568.5045267,119287226.47112688,1600566689.9479327,256046394.79701582,74789226.33463296,181257168.46238285,462258078.7667416,3315261452.4042044,968362937.9703019,2346898514.4339027,64003.95664323647,17332373.94947259,17332373.94947259,2864517497.5471487,927814644.9187138,161596925.17679787
1973.0,418475000.0,240878540.8243034,3121691.124020284,26663521168.971584,44522184.00368314,5497342.849108539,39024841.1545746,10681390948.661095,184581107.27425244,184581107.27425244,11239442177.037918,151470002.3437039,18702643.477007546,132767358.86669636,1683841470.250064,285167744.92450774,83911644.85906176,201256100.06544596,503342062.47650063,3789734379.5518475,1115143107.9672637,2674591271.5845838,64931.55021777614,20767442.399254814,20767442.399254814,3252988121.3448076,1103246633.663755,180941318.55048227
1974.0,388787500.0,257107960.65104437,3337180.173259025,29527248129.767197,50390750.59534448,6277974.996156155,44112775.59918832,11449649549.715443,204984817.1340385,204984817.1340385,12129778555.190908,168067064.18984166,20938779.720393337,147128284.46944833,1777826317.9728103,316339894.35675263,93717132.38527076,222622761.97148186,520069367.6462785,4279219157.6102824,1267738136.9011927,3011481020.7090898,83483.42170856932,25183958.977546245,25183958.977546245,3655513618.860793,1297868268.0070417,201604242.85938823
1975.0,383800000.0,272977563.39104253,3548197.260001847,32641705612.621925,56859949.996488005,7142789.735041246,49717160.26144676,12248033388.401733,226662142.578329,226662142.578329,13058156051.93239,185740436.11770773,23332853.45072572,162407582.666982,1862541947.8684335,347922203.6499481,103721647.24741682,244200556.4025313,568533537.5928982,4815216063.900515,1435499478.7929182,3379716585.1075964,630763.6306869682,58553195.34685928,58553195.34685928,4121257222.3637447,1512968151.6532779,223687001.86052182
1976.0,401850000.0,288582984.39212435,3755978.99891816,35741364617.874405,63633322.30758338,8055267.87297441,55578054.434608966,12986102901.50815,248681223.01942465,248681223.01942465,13938049020.368164,203723336.95752442,25789099.038971882,177934237.91855255,1943869262.2822447,380406864.6372349,114068762.67778426,266338101.95945066,556298460.6241034,5337923790.695948,1600629270.0675814,3737294520.6283665,686419.2451593477,94866776.10169992,94866776.10169992,4580692914.062103,1748845631.0365777,246316035.98928618
1977.0,388075000.0,304033430.7550107,3961953.637113633,38847644083.23288,70747219.59105785,9020143.164243823,61727076.42681403,13686223810.280998,271198543.82301015,271198543.82301015,14781250978.070238,222091087.95148414,28316213.985577766,193774873.96590638,2001704779.893275,411989173.9304304,124213401.21437944,287775772.716051,578474283.0389402,5882534054.066142,1773564959.5937052,4108969094.472437,862662.024321883,140504114.07737803,140504114.07737803,5063949475.481597,2005954817.1056073,269591308.14670104
1978.0,347937500.0,319454453.36706686,4167777.3879438555,41876425930.96132,78110578.74447373,10025928.355219536,68084650.38925418,14345071673.003056,294116168.039661,294116168.039661,15577746203.843397,240723786.51753488,30898240.36405209,209825546.1534828,2031862629.3541393,442094907.72420377,133972457.39903109,308122450.32517266,565204485.3007866,6413609042.024967,1943580324.3695416,4470028717.655426,909041.7030488659,188595072.37432915,188595072.37432915,5538772604.9373255,2284609102.9309344,293372078.7570708
1979.0,341050000.0,335197023.9022341,4378129.464832772,44735303589.10373,85616367.86247052,11058773.830143662,74557594.03232686,14932882783.859156,317050923.05093485,317050923.05093485,16295878144.769838,259294199.78637746,33492146.21568379,225802053.57069367,2061157278.8836112,472856897.2954981,143984855.45053038,328872041.8449677,519326205.18961906,6900632860.917699,2101241687.8747606,4799391173.042938,1586185.012462817,272508887.36186635,272508887.36186635,6018182672.903728,2584729983.709199,317289689.8756906
1980.0,595056250.0,351543827.52576387,4596796.376470214,47549585645.58044,93416916.42350282,12138218.96738449,81278697.45611833,15650862843.29076,341996812.0021637,341996812.0021637,17035511028.351109,278653959.59753364,36207176.464589484,242446783.13294417,2061362501.7924602,501732151.50641966,153472224.4605259,348259927.0458938,520975392.3229616,7390609830.809275,2260674998.499907,5129934832.309368,1586185.012462817,356422702.3494035,356422702.3494035,6500339754.295892,2907765314.701705,342686961.59872043
1981.0,848350000.0,368788006.5051654,4827721.020598469,50119334867.09655,101275420.566341,13233440.102700505,88041980.4636405,16204364285.054405,365955731.5793185,365955731.5793185,17656349155.35916,297519214.0099941,38876192.03145846,258643021.97853562,2022599160.7374833,527523003.5629928,162056177.56226856,365466826.00072426,448198618.3809649,7809957272.645159,2399235320.509355,5410721952.135803,1229989.079839588,421492713.2695639,421492713.2695639,6910322225.427586,3252858284.5606937,367547764.1625055
1982.0,755012500.0,386557762.64962304,5065943.855542341,52676194244.55485,109468255.30813824,14380367.067979582,95087888.24015865,16816231151.772305,391055439.1725018,391055439.1725018,18260851551.07193,316734153.2613013,41607983.739598334,275126169.52170295,1994964268.6493583,554429490.4413515,171018292.84270108,383411197.59865046,469748487.1097061,8252363901.863685,2545508871.2723317,5706855030.591352,1286572.287886507,489556140.9816774,489556140.9816774,7341091866.106043,3620829833.970977,393297947.5240804
1983.0,747887500.0,404083026.91869694,5301135.730926097,55262774744.55318,118056341.17764202,15587263.623843394,102469077.55379862,17497622568.160416,417415347.78101677,417415347.78101677,18913303475.10765,336855036.408778,44475783.36874103,292379253.040037,1985000514.0759554,583091461.5245788,180559136.277166,402532325.2474128,445445169.7182586,8670505473.708374,2684894365.1582394,5985611108.550135,1314400.0951226968,559091740.8865547,559091740.8865547,7759498853.058954,4012829752.2755003,420263760.07032883
1984.0,832675000.0,421338984.44365746,5532942.4750394635,57856930946.27338,127024363.23848835,16852424.83733531,110171938.40115303,18131526843.36663,443828536.4666799,443828536.4666799,19534800578.83269,357168315.33765864,47385808.793267526,309782506.5443911,1983455362.9055927,612647581.1046784,190415434.52669707,422232146.57798135,451505304.31018996,9095267025.708805,2826876782.4299445,6268390243.27886,1354286.6188279022,630737454.2677268,630737454.2677268,8185142825.536792,4429017674.694223,447595058.99350166
1985.0,901906250.0,438392046.7183626,5762237.7252948275,60423366046.05362,136339377.40330955,18171739.967797734,118167637.43551183,18684222436.47375,469848616.2321207,469848616.2321207,20117100385.961643,377555647.85454047,50321801.27895741,327233846.57558304,1987601384.8698947,642777924.4901087,200488635.70157903,442289288.7885297,477943635.81698734,9545450285.890955,2977318031.7193274,6568132254.171627,1403449.078278504,704984005.1894482,704984005.1894482,8630655648.39282,4869266683.695341,475001091.2420975
1986.0,1163987500.0,455359857.04898876,5990589.669373871,63089817201.70065,146165106.80336133,19567334.50511929,126597772.29824203,19300222393.89199,496855074.91687554,496855074.91687554,20707047794.975616,398395057.75502837,53333723.28572532,345061334.4693031,2003965201.6884513,673941870.7251346,210922648.16076192,463019222.56437266,494009854.8676738,10010423910.658983,3132948422.0593,6877475488.599684,1434059.6662383128,780849945.5232099,780849945.5232099,9089858838.371687,5334436919.283276,503343946.096486
1987.0,1013412500.0,472332455.9841064,6219201.0648823185,65559565761.94015,156155351.63575152,20993143.360213567,135162208.27553794,19858930215.469555,523593332.082353,523593332.082353,21244440427.38437,419113983.6068478,56344658.38002281,362769325.226825,2043710297.394613,707164819.4621325,222040981.20174378,485123838.2603887,493361947.72882676,10474314713.394102,3288804890.134141,7185509823.259961,1437770.0405364716,856912175.4826734,856912175.4826734,9549070702.58774,5824296285.197811,531665499.67017996
1988.0,882550000.0,489209247.5444084,6446708.439698036,67781121146.77692,166242820.26124018,22439965.854086675,143802854.40715352,20406797937.559593,550441989.4102347,550441989.4102347,21674351001.11615,439148899.12129074,59277665.55966633,379871233.5616244,2085299229.7635887,740633864.1157006,233277093.99069294,507356770.1250076,543854504.3971454,10987178603.52672,3460626390.406362,7526552213.1203575,1539805.333735834,938372370.1489376,938372370.1489376,10046397430.773315,6338541759.406565,559870603.1702596
1989.0,679250000.0,506014122.8352533,6673424.709155089,69798657167.52592,176472712.86983046,23913718.046230298,152558994.82360017,20911030574.98874,576995148.3645447,576995148.3645447,22044180751.967403,458834756.45373756,62176439.72946065,396658316.7242769,2060915444.4964044,768360670.7159605,242738188.33663264,525622482.3793279,564349574.2259959,11518401249.035486,3638858622.3706656,7879542626.664821,1549081.2694812308,1020323288.8794563,1020323288.8794563,10551700857.836027,6876850073.114906,587904146.2040803
1990.0,627950000.0,523009240.3067761,6902882.528477164,71164893772.61668,186291764.31978852,25339025.882627346,160952738.43716118,21005146787.026344,599333710.1347568,599333710.1347568,22187085675.281704,476575347.91516227,64822806.9551955,411752540.9599668,1958594087.5879602,788885070.1579281,249944294.33197862,538940775.8259494,323418499.3154201,11815537458.702532,3743544255.029764,8071993203.672768,1187319.7754107637,1083135969.1040454,1083135969.1040454,10866108938.134647,7435874147.898899,613014914.7478914
1991.0,798475000.0,540207582.82936,7135257.477415981,72411258041.54243,196310321.32070515,26798284.285114974,169512037.03559017,21084147991.07885,621140679.783794,621140679.783794,22237670402.13308,493422048.16441596,67356949.09108722,426065099.07332873,1886397093.1453495,811197766.5936402,257731851.75488526,553465914.8387549,290448620.20584,12087916419.1626,3840544452.7434225,8247371966.419177,1224423.51839235,1147911545.585653,1147911545.585653,11165467242.736298,8015045646.593502,637546317.19811
