Year,Fuel_Emissions,Biochar_Stock,Biochar_Decay,Construction_InUse,Construction_Disposed,Construction_Recycled,Construction_LandfillIn,Exterior_InUse,Exterior_Disposed,Exterior_LandfillIn,Household_InUse,Household_Disposed,Household_Recycled,Household_LandfillIn,GraphicPaper_InUse,GraphicPaper_Disposed,GraphicPaper_Recycled,GraphicPaper_LandfillIn,OtherPaper_InUse,OtherPaper_Disposed,OtherPaper_Recycled,OtherPaper_LandfillIn,HouseholdPaper_InUse,HouseholdPaper_Disposed,HouseholdPaper_LandfillIn,LF_Input_Total,LF_Stock_Total,LF_Decay_Total
1961.0,14228150.0,47805.622642693605,494.3773573063932,4553548.866202077,5564.826568913181,473.01025835762044,5091.81631055556,0.0,0.0,0.0,1269885.3435223491,11609.530203775783,986.8100673209416,10622.720136454842,91796.80278098819,8203.197219011816,1845.7193742776585,6357.477844734158,25390.40834296456,24609.591657035442,5537.158122832974,19072.433534202468,0.0,0.0,0.0,41144.44782594702,8299.747065338106,7414.789381672296
1962.0,14224587.5,95695.64574858776,1009.9768941058495,9819510.64139548,12321.618876439874,1175.448035259467,11146.170841180407,0.0,0.0,0.0,2707082.629922337,25562.341479165334,2438.5759996009633,23123.765479564372,175390.40834296454,16406.39443802363,3998.483991847819,12407.910446175812,51561.63337185825,73828.77497110632,17993.177963315182,55835.59700779114,0.0,0.0,0.0,102513.44377471175,26156.42178614992,16413.261599932965
1963.0,14221262.5,143364.8043100106,1530.841438577159,15208655.321471836,19614.767478844977,1990.4906045762234,17624.276874268755,0.0,0.0,0.0,4172199.9501226023,40721.23604785951,4132.357819047057,36588.87822881245,158984.01390494092,16406.39443802363,4178.093945198737,12228.300492824896,52342.45005778736,123047.95828517721,31335.704588990524,91712.25369618669,0.0,0.0,0.0,158153.7092920928,54118.206311824186,26251.37057740694
1964.0,14217937.5,191107.33070229334,2057.4736077172533,21297447.777840666,28174.21670596937,2980.674786234224,25193.541919735148,0.0,0.0,0.0,5854880.775933073,58870.48336776829,6228.168373197397,52642.314994570894,142577.6194669173,16406.39443802363,4305.529235140321,12100.86520288331,52342.45005778736,172267.1415992481,45208.05696897337,127059.08463027474,0.0,0.0,0.0,216995.80674746408,93982.84719713843,37971.21602899181
1965.0,14214850.0,238325.37018059226,2581.9605217010912,28015296.627182793,37980.590982292604,4145.261279448187,33835.329702844414,0.0,0.0,0.0,7408981.594852559,77016.61324492589,8405.71398447357,68610.89926045232,126171.22502889368,16406.39443802363,4404.375725357703,12002.01871266593,52342.45005778736,221486.324913319,59459.07229232899,162027.25262099,0.0,0.0,0.0,276475.50029695267,146088.8611032298,50340.21505720534
1966.0,14212000.0,285615.2293361652,3110.1408444271087,39139956.266490206,53715.092010485634,6009.450692144937,47705.6413183407,0.0,0.0,0.0,10559601.32236186,110883.26286556294,12405.21938684699,98478.04347871595,109764.83059087003,16406.39443802363,4485.139188491239,11921.255249532393,52342.45005778736,270705.5082273899,74004.79661010543,196700.71161728445,0.0,0.0,0.0,354805.65166387346,220430.77746673214,71841.76843355432
1967.0,14209625.0,332677.05820525787,3638.1711309073307,50001999.08073732,70004.69640425888,7993.741932580756,62010.954471678124,0.0,0.0,0.0,13584583.016733425,145778.56602551905,16646.257979325932,129132.30804619311,93358.4361528464,16406.39443802363,4553.4237236068975,11852.970714416733,52342.45005778736,319924.69154146075,88791.76261033448,231132.92893112625,0.0,0.0,0.0,434129.16216341424,317248.15979390417,94325.8801906992
1968.0,14207012.5,379808.02674837416,4169.031456883701,61430556.192194626,87880.7531690549,10211.007352177336,77669.74581687756,0.0,0.0,0.0,16414535.28718526,181052.19896912004,21036.748868608276,160015.45010051178,260545.64727679914,32812.78887604726,9225.148956865647,23587.639919181616,52342.45005778736,369143.8748555316,103782.92576473851,265360.9490907931,0.0,0.0,0.0,526633.7849273641,437077.57361111377,117855.7821001797
1969.0,14204637.5,426708.9394565795,4699.087291794665,73543674.31751017,107564.02253907805,12688.076625221776,94875.94591385628,296834.0784588852,3098.850099449048,3098.850099449048,19663842.73370956,222253.27588350675,26216.633852569,196036.64203093774,411326.4639627283,49219.18331407089,13994.247425526471,35224.93588854442,52342.45005778736,418363.0581696025,118951.10311697498,299411.9550526275,0.0,0.0,0.0,628648.3289854149,584859.7230808751,146229.28857448167
1970.0,15390237.5,473677.4436932199,5231.495763359619,86207567.0495025,128978.27031000963,15417.90461439059,113560.36569561904,1184114.024876797,12643.706555975505,12643.706555975505,23192919.186730158,268422.32479841786,32086.876263480168,236335.4485349377,912888.0973345864,98438.36662814178,28268.525811901232,70169.84081624055,153904.0834296456,566020.6081118151,162544.02341843204,403476.584693383,0.0,0.0,0.0,836185.9462961558,766687.0632051546,180712.18066225265
1971.0,15399500.0,520414.7387881496,5762.704905070325,99003041.82900433,151691.83636252407,18349.92315085155,133341.9132116725,2061474.6822464922,22941.538932458257,22941.538932458257,26569623.153917782,315840.7529081851,38206.75972252996,277633.99318565516,1365230.547392374,147657.54994221267,42782.76694398222,104874.78299823045,157027.35017336207,713678.1580540277,206783.37356258067,506894.78449144703,0.0,0.0,0.0,1045687.0128194634,983632.4001176825,216972.10841725793
1972.0,15432275.0,567812.0065063286,6302.732281820956,115179253.17501977,179728.90587388177,21976.100299756905,157752.80557412485,2928151.27660985,34015.393408356336,34015.393408356336,31300116.80229418,378234.21878519084,46248.05947829157,331986.1593068993,1584760.208574114,180470.33881825994,52714.02874962116,127756.31006863879,157027.35017336207,861335.7079962404,251589.68266864633,609746.025327594,0.0,0.0,0.0,1261256.6936856133,1245128.524107477,262258.23429958615
