Year,Fuel_Emissions,Biochar_Stock,Biochar_Decay,Construction_InUse,Construction_Disposed,Construction_Recycled,Construction_LandfillIn,Exterior_InUse,Exterior_Disposed,Exterior_LandfillIn,Household_InUse,Household_Disposed,Household_Recycled,Household_LandfillIn,GraphicPaper_InUse,GraphicPaper_Disposed,GraphicPaper_Recycled,GraphicPaper_LandfillIn,OtherPaper_InUse,OtherPaper_Disposed,OtherPaper_Recycled,OtherPaper_LandfillIn,HouseholdPaper_InUse,HouseholdPaper_Disposed,HouseholdPaper_LandfillIn,LF_Input_Total,LF_Stock_Total,LF_Decay_Total
1961.0,54862.5,9506.391787072927,93.60821292707307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1962.0,59612.5,19806.905211110585,199.4865759623431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1963.0,65075.0,30891.574463164983,315.3307479456023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1964.0,71012.5,43047.78222943106,443.7922337339229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1965.0,77187.5,56263.1346383845,584.6475910465565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1966.0,84312.5,70525.40154207541,737.7330963090894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1967.0,91675.0,86119.27682245077,906.1247196246446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1968.0,99987.5,103029.56574939103,1089.7110730597424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1969.0,109012.5,772383.1697524225,8646.395996968526,497408.69420904014,607.8760102231088,71.70406251349372,536.1719477096151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,228513.67508668103,221486.324913319,62974.11341486912,158512.21149844988,0.0,0.0,0.0,159048.38344615948,275.1933306896923,260.9786170199228
1970.0,118750.0,2086390.8270106432,23992.34274177952,1491601.1586093416,1857.9656024519472,222.09893470093886,1635.8666677510084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,550780.8166859291,49219.18331407089,14134.262905950616,35084.92040812028,260931.43360300767,467582.24148367345,134275.49760653084,333306.7438771426,0.0,0.0,0.0,370027.53095301386,1109.8703840707276,801.1896143699732
1971.0,142500.0,3118149.1103918375,36241.71661880571,2484508.707538146,3178.195214380829,384.46128243128334,2793.7339319495454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,868748.844495811,82031.97219011816,23768.203857767905,58263.76833235026,337883.4753178305,787506.9330251343,228174.75703457187,559332.1759905624,0.0,0.0,0.0,620389.6782548623,2525.8046537210757,1377.7996622991973
1972.0,308750.0,3604098.967324081,42050.14306775671,3028391.9012556225,4024.4363511827933,492.0823196110776,3532.3540315717155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1429294.4917726102,139454.35272320086,40733.5676701618,98720.78505303906,162493.0669748659,935164.4829673469,273154.5126116733,662009.9703556737,0.0,0.0,0.0,764263.1094402845,4302.189522439001,1755.9691628537903
1973.0,308750.0,4084289.3888471248,47809.57847695602,3571406.391655813,4915.892291684476,606.9860664167737,4308.906225267702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2116011.364078303,213283.1276943072,62759.33510731542,150523.79258699177,258588.9835452203,1181260.3995377014,347590.1636712854,833670.235866416,0.0,0.0,0.0,988502.9346786755,6458.297082348932,2152.79866535777
1974.0,308750.0,4558771.74757504,53517.6412720846,4113506.0882029794,5854.318825021337,729.3653452029708,5124.953479818366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3187883.47531783,328127.8887604726,97209.37933798798,230918.5094224846,287102.6586319014,1451965.9077650914,430151.50357059686,1021814.4041944945,0.0,0.0,0.0,1257857.8670967973,9013.115271135282,2570.1352910320147
1975.0,308750.0,5027599.131606996,59172.61596804425,4654643.132000786,6841.496473005325,859.4339386988847,5982.06253430644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4144910.825491192,442972.649826638,132057.83489403033,310914.8149326077,287883.4753178305,1722671.4159924812,513558.2468101179,1209113.1691823632,0.0,0.0,0.0,1526010.0466492774,11986.117505516306,3009.060299925417
1976.0,221587.5,5490825.873277924,64773.25832907231,8129479.168156442,11465.696390698722,1451.4291007915413,10014.26728990718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5170687.020160366,574223.805330827,172186.69026038636,402037.1150704407,338664.29200375965,2042596.107533942,612492.655354803,1430103.452179139,0.0,0.0,0.0,1842154.834539487,17005.200101624774,4995.184693798714
1977.0,250087.5,5948507.2033566395,70318.66992128418,13091790.468391933,18168.49193287424,2316.4500210782653,15852.041911795975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6065212.059325349,705474.9608350161,212698.41515713182,492776.54567788425,340225.92537561787,2362520.799075403,712292.3670378368,1650228.4320375659,0.0,0.0,0.0,2158857.0196272465,24966.395865244463,7890.846148176286
1978.0,256975.0,6400698.989841744,75808.2135148948,19539442.068818633,27063.377157089795,3473.735373474801,23589.641783614996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6828485.942986144,836726.1163392052,253561.5136418676,583164.6026973375,340225.92537561787,2682445.4906168636,812888.3819695167,1869557.108647347,0.0,0.0,0.0,2476311.3531282996,36809.799864198256,11746.237784661207
1979.0,277400.0,6758539.641794306,80159.34804743818,27470183.225269753,38268.43201713565,4943.00266499906,33325.42935213659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7735899.079485714,992586.8635004297,302242.55346727575,690344.310033154,543349.1921193344,3199246.915414608,974170.2136548556,2225076.7017597524,0.0,0.0,0.0,2948746.4411450434,53520.494610897425,16614.73460543742
1980.0,280725.0,8416153.007088007,100386.63470629802,36533456.70200715,51480.8871256498,6689.219731182722,44791.66739446708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9864403.510538884,1271495.5689468314,388931.1314255598,882564.4375212716,727328.5840075192,3888315.4818116007,1189376.4922304216,2698938.989581179,0.0,0.0,0.0,3626295.0944969174,75940.65285213836,22371.509153226143
1981.0,312075.0,10053684.846414706,120468.16067330183,45583163.69330889,65406.071169049166,8546.469817931758,56859.60135111741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12264780.052831579,1599623.457707304,491407.69472440594,1108215.7629828982,859746.3425238458,4700432.0064937705,1443982.610651716,3256449.395842055,0.0,0.0,0.0,4421524.760176071,104331.13582906849,28469.118374187266
1982.0,374300.0,11671298.484139334,140386.36227537188,54618577.38709496,80072.22758086999,10518.739166185516,69553.48841468447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13367113.258855855,1837516.1770586467,566796.8336627613,1270719.3433958855,635136.7508668103,5291062.206262621,1632071.2397878615,3658990.9664747594,0.0,0.0,0.0,4999263.79828533,138973.32861430594,34911.295629447035
1983.0,452437.5,13269169.076074412,160129.4080649215,63638942.50237812,95508.04468169682,12610.157623056677,82897.88705864015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14267489.801148549,2075408.8964099893,642667.681632546,1432741.2147774433,628109.4006934483,5881692.406031472,1821315.1293697054,4060377.276661766,0.0,0.0,0.0,5576016.378497849,180164.81918308686,41706.39648985921
1984.0,510625.0,14847480.03206235,179689.04401206164,72643474.86308037,111742.617748644,14824.983323872508,96917.63442477149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14982711.104507413,2313301.615761332,718991.3841857504,1594310.2315755817,628109.4006934483,6472322.605800322,2011646.106817578,4460676.498982744,0.0,0.0,0.0,6151904.364983098,228217.78012100363,48864.67348685471
1985.0,584012.5,16406420.628038097,199059.40402425345,81631361.01135474,128805.407931202,17167.588879682662,111637.81905151934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16081526.013428248,2600413.5184267457,811094.0632923743,1789319.4551343713,628109.4006934483,7062952.805569173,2203003.1182799186,4859949.687289255,0.0,0.0,0.0,6760906.961475145,283458.18018904765,56397.418983475305
1986.0,686850.0,17946184.330847394,218236.2971907037,89945966.26061791,145924.76451082883,19535.159534385424,126389.6049764434,0.0,0.0,0.0,833226.95935627,7617.517282635389,1019.7680693271058,6597.749213308283,17267394.309983224,2911396.7249994837,911175.7760691372,2000220.9489303464,412037.0256948199,7444155.380336652,2329786.936151305,5114368.444185346,0.0,0.0,0.0,7247576.747305444,349400.8486284842,67044.68575031513
1987.0,754300.0,19466967.577395637,237216.7534517571,99901936.80697638,165914.22905537602,22305.102960437885,143609.12609493814,0.0,0.0,0.0,2054831.7326621716,19319.550804267354,2597.273134992944,16722.27766927441,16915972.872401386,3102531.220202459,974156.3174293152,2128374.9027731437,324396.8730835061,7746853.357718187,2432415.857567812,5314437.500150375,0.0,0.0,0.0,7603143.806687731,429052.12913628214,80680.1232564146
1988.0,753587.5,20968968.857755553,255998.7196400851,113790896.3785689,191720.82444124314,25879.06501596995,165841.7594252732,0.0,0.0,0.0,4555529.070619216,43517.68379763053,5874.1504561412385,37643.533341489296,15522990.910731718,3206219.633050768,1009861.4645267522,2196358.1685240157,300324.2207638724,8028633.182191243,2528774.7538995086,5499858.428291734,0.0,0.0,0.0,7899701.889582513,530583.051517839,101954.3703852056
1989.0,802987.5,22452388.009707898,274580.8480476538,124886408.70609456,215437.84888976504,29193.86170844646,186243.98718131857,0.0,0.0,0.0,6083457.51148165,60472.53431925981,8194.599106766447,52277.935212493365,15011281.957581112,3386197.7800358874,1069757.4014421308,2316440.378593757,118880.81917892495,8135192.7140662065,2570045.5742246066,5565147.139841599,0.0,0.0,0.0,8120109.440829168,649322.2354371516,119782.73847449933
1990.0,848587.5,23917425.66514471,292962.3445631861,131293824.71303548,234601.40675390317,31910.004929866274,202691.4018240369,0.0,0.0,0.0,7633900.432017816,78716.6412237636,10706.877014372465,68009.76420939113,16081157.23033993,3711864.7096306565,1176038.7420168563,2535825.9676138004,96055.92670189374,8225017.723614386,2605951.523946653,5619066.199667733,0.0,0.0,0.0,8425593.333314963,783722.9387079073,136300.4627626724
1991.0,894425.0,25364282.80851569,311142.8566290227,137681648.3813678,254626.5035728976,34759.015131578126,219867.4884413195,0.0,0.0,0.0,9165621.251751158,97918.43850680935,13366.827246812029,84551.61125999733,16976541.420549627,4037531.6392254257,1282795.08246943,2754736.5567559954,95524.97135546194,8314842.733162566,2641772.3308922146,5673070.402270352,0.0,0.0,0.0,8732226.058727665,934508.3946629153,153633.64374630904
1992.0,1136912.5,25395349.301440723,311533.50707496755,151722717.53716895,284914.8305407744,39029.35395764475,245885.47658312964,0.0,0.0,0.0,11181854.902917849,122695.84049418735,16807.61713487933,105888.22335930802,15873092.059604524,4190849.3952487563,1335099.298664154,2855750.0965846023,118630.24294755969,8427062.471118648,2684650.325956582,5742412.1451620655,0.0,0.0,0.0,8949935.941689104,1108682.4302818328,177599.66432351992
1993.0,1211487.5,25263967.791579433,309881.5098612899,158731506.32900995,308085.5430200264,42345.62261792268,265739.92040210374,0.0,0.0,0.0,11907188.898693243,137154.39068248007,18851.543669655097,118302.84701282496,15820004.20997414,4423245.972463361,1412809.994505752,3010435.977957609,261019.26468549742,8676603.730520988,2771356.7242608247,5905247.006260163,0.0,0.0,0.0,9299725.751632702,1298051.593465555,194673.60423120682
1994.0,1037875.0,25141920.71895986,308347.07261957246,167966838.9083285,335007.2278934839,46195.95832951621,288811.26956396765,0.0,0.0,0.0,12168208.345327726,148058.62976715306,20416.60514030273,127642.02462685033,15000137.965654435,4585095.053594464,1468201.2384211798,3116893.8151732846,291020.5342193761,8951000.677496932,2866215.449450128,6084785.228046805,0.0,0.0,0.0,9618132.337410908,1502668.5409966956,211836.34665967728
1995.0,1072550.0,25615123.296471756,314297.4224881047,175798004.2805814,361428.1380574899,49996.434185043014,311431.70387244684,0.0,0.0,0.0,12732278.659485133,162127.42125627297,22427.12199994972,139700.29925632325,13536628.425752018,4682631.068528515,1503098.3393073159,3179532.7292211996,89955.41274559629,9029751.370799446,2898499.602291262,6131251.768508185,0.0,0.0,0.0,9761916.500858152,1723777.4596123153,230023.08451315056
1996.0,1101050.0,25905572.248952948,317951.0475188093,186142418.8734049,392071.46383940073,54401.0071647996,337670.4566746011,0.0,0.0,0.0,13776378.741471037,181160.47136391906,25136.519766416717,156023.95159750234,12671541.636144029,4821101.0375854345,1551213.4190114636,3269887.618573971,96950.93243080135,9121299.051763618,2934823.679820365,6186475.371943254,0.0,0.0,0.0,9950057.39878933,1965466.4056775882,252005.46220683062
1997.0,1146175.0,26052867.95086439,319804.2980885587,202647090.1678306,431601.8390907324,60063.338501255996,371538.5005894764,0.0,0.0,0.0,14718301.303649759,200135.35069089846,27851.589650172853,172283.7610407256,12781077.885220375,5034220.101335362,1623509.7223833043,3410710.378952057,104466.27144351458,9219737.41839176,2973317.223974716,6246420.1944170445,0.0,0.0,0.0,10200952.834999302,2231461.81509053,277826.85221726005
1998.0,1314325.0,26267660.706381023,322507.2444833678,226082578.65191618,481433.5016431338,67190.68527575147,414242.81636738236,0.0,0.0,0.0,16185438.706027772,224723.9802513774,31363.330926182618,193360.64932519477,15861763.691191405,5504509.397901309,1779139.0489788144,3725370.3489224943,325073.6445325071,9531787.040602969,3080814.892777299,6450972.1478256695,0.0,0.0,0.0,10783945.962440742,2528703.0047335904,310362.276049517
1999.0,1391987.5,26509706.911396544,325553.79498447763,258082100.25558305,544108.2993528377,76149.81989773948,467958.4794550983,0.0,0.0,0.0,19403386.351915296,266464.005435778,37292.550117870094,229171.4553179079,18482321.257188518,5956587.59664105,1929435.0074876104,4027152.5891534393,773390.3344505256,10271797.461730026,3327201.2357646166,6944596.225965409,899.7657673034693,47600.23423269652,47600.23423269652,11716478.984124549,2870434.196867983,355398.7426386138
2000.0,1148787.5,26827847.756121926,329559.1552746187,269613223.3290628,584829.0541949501,82070.92783940033,502758.1263555498,0.0,0.0,0.0,20448270.29617829,290610.6609457784,40782.32162503147,249828.33932074695,20033089.754679065,6342712.0897399355,2058842.7285939318,4283869.361146004,1335147.6527434378,11543128.966732476,3746896.722117112,7796232.244615364,4443.173222044967,282657.0610106515,282657.0610106515,13115345.132448316,3238262.439292721,384758.2232515584
2001.0,1196525.0,27802708.040068835,341839.7160530896,346802283.34860796,707510.9629851007,99549.3260891616,607961.6368959391,0.0,0.0,0.0,23098374.392786734,330357.6019648356,46482.49760721153,283875.1043576241,29240272.362334155,7432752.936202225,2417625.130075566,5015127.80612666,3587630.9395906767,14981335.017136898,4872925.594378427,10108409.422758471,4443.173222044967,517713.8877886065,517713.8877886065,16533087.857927302,3675569.3329784595,454529.84756782476
2002.0,1210062.5,28034842.50314016,344765.5369286774,376282327.00540894,778286.3334120552,109788.99608081568,668497.3373312395,0.0,0.0,0.0,24767531.411841437,363078.1883537961,51217.64071514292,311860.54763865314,28584904.361648083,7712235.865453958,2513549.3911773907,5198686.474276567,149204.74437304135,15020218.171955014,4895345.642965087,10124872.528989926,166.96684341713862,526546.9209451894,526546.9209451894,16830463.809181575,4155269.7287129806,500657.4892353718
2003.0,1267537.5,27931381.06666271,343461.43647744803,410533498.6688753,858170.9680406442,121360.82344764468,736810.1445929995,0.0,0.0,0.0,27736449.403340153,409017.26021289884,57842.40361459769,351174.85659830115,34584172.19350839,8582266.962502351,2802559.9008545047,5779707.061647846,413573.92185351247,15419877.94046527,5035398.197333467,10384479.743131801,3079.610667471668,689467.3102777178,689467.3102777178,17941639.11624867,4687374.760796302,555879.969107979
2004.0,3625200.0,27806394.88627777,341886.1803849425,460770614.3420915,961309.6074750209,136277.98440927188,825031.6230657491,0.0,0.0,0.0,30852073.761189803,458461.10651319224,64992.75055595011,393468.35595724214,43403420.56363668,9765414.097400425,3194980.9994692476,6570433.097931177,3197907.189604393,18507151.213840365,6055042.407086939,12452108.806753427,6289.084435378889,1022178.2258423389,1022178.2258423389,21263220.109549932,5283300.411732757,622574.3280865359
2005.0,3638737.5,27685630.58754575,340364.2987320197,519285461.68816644,1079528.0752624776,153400.87185864497,926127.2034038326,0.0,0.0,0.0,37007421.24145084,537973.8974606789,76446.05712324438,461527.84033743455,57185101.75397302,11478323.708702281,3762363.650756688,7715960.057945593,3283180.179874712,21594424.487215463,7078218.023082321,14516206.464133143,6289.084435378889,1354889.1414069599,1354889.1414069599,24974710.707226966,5962920.519855331,708034.9356186944
2006.0,5260625.0,28733357.42619644,353573.1613493081,608810615.2558733,1241359.8826558779,176806.41754590673,1064553.4651099711,0.0,0.0,0.0,42701587.607018195,617517.3907934304,87952.7678990965,529564.6228943339,62138650.3842705,12539735.39687022,4117714.515415677,8422020.881454542,1228080.5285951607,22689797.41187011,7450724.0541947745,15239073.357675336,8199.927198930585,1788689.2142080292,1788689.2142080292,27043901.541342214,6744415.170602333,812623.4372573032
2007.0,2227750.0,28914795.63743035,355861.7887660915,646872268.2102875,1348398.856213631,192486.92211415112,1155911.93409948,0.0,0.0,0.0,47308112.68420612,691155.0408807478,98663.912320716,592491.1285600319,78540478.66662535,14709234.965382274,4838661.461784832,9870573.503597442,374985.6224864302,23019565.940074384,7572377.954624503,15447187.98544988,1799.5315346069385,1883889.6826734222,1883889.6826734222,28950054.234380256,7599898.587386827,892919.6458750181
2008.0,6878950.0,30398110.645298168,374584.9921321846,732471787.4721206,1518295.5910554177,217219.5366439714,1301076.0544114462,0.0,0.0,0.0,53185337.93502761,779816.9844113771,111566.86815061404,668250.116260763,88289777.49122702,16466441.841666795,5426061.884569975,11040379.95709682,6907259.561790913,29704269.32187492,9788222.927954163,19916046.393920757,15054.843714778666,2680334.8389586434,2680334.8389586434,35606087.36064843,8563680.610888593,1005544.1471704436
2009.0,4213962.5,30408593.255429097,374717.38986907323,787379981.1406586,1658939.413812881,237854.26143428564,1421085.1523785954,0.0,0.0,0.0,61914782.025538154,898808.1380285316,128868.68806772205,769939.4499608096,93248612.21369159,17934814.14386991,5919908.173025501,12014905.97084441,366720.823207581,29854141.735066265,9854229.669644376,19999912.065421887,0.0,2680334.8389586434,2680334.8389586434,36886177.47756435,9635750.459413055,1118954.7538149417
2010.0,3942975.0,32535687.69148689,401605.5639422066,899416725.563797,1875773.3474654339,269511.761858368,1606261.5856070658,0.0,0.0,0.0,70723592.0115273,1024660.0012703319,147223.5025736518,877436.4986966802,106998270.07834974,20282323.092034522,6705835.388276038,13576487.703758486,5860798.953838654,35530097.95484492,11747125.175620766,23782972.779224157,22596.179475786095,3875738.659482857,3875738.659482857,43718897.226769246,10851743.858347025,1267704.6853697766
2011.0,2874700.0,34884146.10291743,431341.5885694642,1036113596.3026288,2133342.2778615877,307153.0413902953,1826189.2364712923,0.0,0.0,0.0,82047385.1530285,1179801.617050162,169864.75104097533,1009936.8660091867,119013854.52045184,22643941.539415833,7498751.650174391,15145189.889241442,3765213.218469288,39004972.29681832,12916859.0135531,26088113.283265226,4684.347551425279,4123554.3119314318,4123554.3119314318,48192983.58691858,12241493.18076002,1446376.7800674834
2012.0,5705700.0,35957793.6470621,444952.4558553348,1196868298.4476027,2433021.49311334,351008.74029219925,2082012.7528211407,0.0,0.0,0.0,93988741.54089512,1348598.0006150457,194560.42073460395,1154037.5798804418,118120649.77697624,24027410.750402175,7969497.625475655,16057913.124926519,7014918.960838974,45697304.65203254,15157045.621693347,30540259.030339193,4684.347551425279,4371369.964380006,4371369.964380006,54205592.45234729,13827882.71392033,1649660.7995412722
2013.0,8768925.0,36799661.72685419,455631.9202079074,1372447176.9348915,2765676.561308467,399790.6570141744,2365885.9042942924,0.0,0.0,0.0,106387700.84220159,1530127.8359731145,221186.6786656907,1308941.1573074237,139946576.7305636,27479316.14016235,9128570.611389708,18350745.52877264,7723325.885587341,52977314.056016766,17598951.505758267,35378362.5502585,8014.408484022654,4795355.555895983,4795355.555895983,62199290.69652884,15629323.136522777,1873386.6389992684
2014.0,5958037.5,38643519.14416421,479042.5826899778,1567175415.542303,3138171.97506484,454516.38703914266,2683655.5880256975,0.0,0.0,0.0,123655059.17015529,1765151.236508241,255655.25693626914,1509495.9795719718,160302080.3120033,31069527.43503506,10336911.603244327,20732615.831790734,14731951.204865472,67032344.04318285,22301833.086501874,44730510.956680976,37289.26169649429,6768066.294199489,6768066.294199489,76424344.65026887,17685905.190132532,2136569.5139879165
2015.0,7013250.0,39985816.876624726,496102.26753948815,1812224343.5292084,3590538.5572897075,521023.04207188165,3069515.515217826,0.0,0.0,0.0,143962481.26093554,2040206.909197677,296054.42006132886,1744152.489136348,174534984.29750797,34365736.14157839,11450594.41348257,22915141.728095822,12638921.92012628,78850362.1487244,26272782.6519299,52577579.49679451,52919.21342748755,9567647.080772001,9567647.080772001,89874036.3100165,20048375.52043803,2451197.6740486743
2016.0,8164075.0,42303328.23706503,525588.6395596946,1994749604.3522592,3989074.0422910806,579932.6827038033,3409141.3595872773,0.0,0.0,0.0,161881881.56807736,2307846.510711662,335515.36121824733,1972331.1494934147,188356799.81093073,37819364.20275456,12619735.46979411,25199628.732960448,16003775.740345288,93998550.19729601,31365858.814401735,62632691.38289428,64690.37588839582,12989956.704883605,12989956.704883605,106203749.32981902,22686541.387040827,2743306.6424778933
