Year,Fuel_Emissions,Biochar_Stock,Biochar_Decay,Construction_InUse,Construction_Disposed,Construction_Recycled,Construction_LandfillIn,Exterior_InUse,Exterior_Disposed,Exterior_LandfillIn,Household_InUse,Household_Disposed,Household_Recycled,Household_LandfillIn,GraphicPaper_InUse,GraphicPaper_Disposed,GraphicPaper_Recycled,GraphicPaper_LandfillIn,OtherPaper_InUse,OtherPaper_Disposed,OtherPaper_Recycled,OtherPaper_LandfillIn,HouseholdPaper_InUse,HouseholdPaper_Disposed,HouseholdPaper_LandfillIn,LF_Input_Total,LF_Stock_Total,LF_Decay_Total
1961.0,683386775.0,839876.4641764887,9423.535823511316,127448280.48539358,155752.71030284438,13238.980375741774,142513.7299271026,169999048.6900752,1774734.1264673925,1774734.1264673925,106911734.04959477,977407.1430291848,83079.60715748071,894327.5358717041,52599567.99350623,4700432.0064937705,1057597.2014610984,3642834.8050326724,7007752.702658218,6792247.297341783,1528255.6419019012,5263991.655439882,0.0,0.0,0.0,11718401.852738753,1480924.7400773817,1330650.6521888175
1962.0,680875687.5,830560.2999297039,9316.164246784787,300803358.30696356,376601.2648742839,35926.70908845792,340674.555785826,346026735.8360436,3773877.6741145225,3773877.6741145225,226390402.09253857,2138207.657437704,203979.0400202743,1934228.6174174298,105731121.73903501,9868446.254471214,2405088.1210964634,7463358.133374751,10752524.86764673,17005227.83501149,4144428.6575502637,12860799.177461226,0.0,0.0,0.0,26372938.158153754,4624456.674675003,2905248.912720156
1963.0,678373387.5,968155.2281324522,10905.071797251709,501619832.13329864,643640.9855699658,65316.16221701136,578324.8233529545,538356602.7680572,6118285.92044834,6118285.92044834,363638914.29423666,3540540.777247116,359291.1901622182,3181249.587084898,159202469.40344566,15528652.335589368,3954565.9191306047,11574086.416458763,9743880.419900436,26135386.33977164,6655703.654701587,19479682.685070053,0.0,0.0,0.0,40931629.43241501,9711425.008462474,4790891.997098721
1964.0,675880350.0,1963809.0165261063,22546.21160634596,708509017.0014652,933221.1359897989,98729.58453664127,834491.5514531577,727741911.8215405,8630292.469571225,8630292.469571225,500858539.62776744,5035784.002078528,532757.8246651632,4503026.177413365,213622980.78696927,21779488.616476372,5715590.059648776,16063898.556827595,10039599.794178095,35585469.53607325,9338692.911019355,26246776.625053898,0.0,0.0,0.0,56278485.380319245,16848886.474598013,6830348.73230221
1965.0,673396575.0,3010649.191114875,34959.825411231184,956460282.3906105,1289178.4628175,140702.95974876752,1148475.5030687326,931012427.1645368,11490851.897501148,11490851.897501148,656588812.2422783,6796403.27890966,741770.1152863507,6054633.163623309,262894217.52297777,28128763.263991516,7551302.181125782,20577461.082865734,12563400.837048665,47471902.30642137,12744061.161322512,34727841.14509886,0.0,0.0,0.0,73999262.79215778,26346664.930769466,9196182.108021738
1966.0,670921825.0,4111512.5560324294,48136.635082445486,1274190270.0897868,1750185.8792302737,195804.48156487435,1554381.3976653994,1135241331.4388874,14585511.604257407,14585511.604257407,830922921.7240758,8837928.220267776,988755.5223781007,7849172.697889675,327021241.0538794,36372976.46909839,9943553.580885077,26429422.888213314,13656318.022674229,60342718.7430509,16496341.935270773,43846376.80778013,0.0,0.0,0.0,94264865.39580593,38475815.86595831,11859914.764623638
1967.0,668456337.5,5270109.433231231,62103.122801198886,1686045754.2811332,2351744.2653323365,268542.508061641,2083201.7572706956,1338637922.2562912,17903742.693086334,17903742.693086334,1028643496.9484938,11219058.728370925,1281089.1955472974,9937969.532823628,417052462.0142017,47668779.03967766,13229972.628939841,34438806.41073781,8457126.571460696,68143959.29833114,18912645.436001245,49231313.8623299,0.0,0.0,0.0,113595034.25624835,53544266.93107043,14856462.918068534
1968.0,665999637.5,6489818.144667011,76891.28856421982,1982864215.9361348,2845938.003861874,330674.1559823958,2515263.8478794782,1543900318.2912245,21479400.23422938,21479400.23422938,1188075373.1867251,13394190.186167665,1556292.6981784129,11837897.487989252,492116008.2927053,58636453.721496455,16485341.18591891,42151112.53557754,24749262.940400332,91892215.24737035,25835029.653702244,66057185.5936681,0.0,0.0,0.0,144040859.69934374,71504244.6611594,17872583.840009145
1969.0,663552200.0,7774573.609461178,92544.53520583278,2351849463.5559807,3454798.76310201,407522.4261442485,3047276.3369577616,1748017560.1757712,25288345.784328744,25288345.784328744,1371759524.9007647,15914077.326078031,1877198.6001139486,14036878.725964082,561168907.2395635,70047101.05314189,19916146.46109509,50130954.5920468,32313765.67222655,122481937.6770654,34824684.71842262,87657252.95864278,0.0,0.0,0.0,180160708.39794016,92666376.97401425,21210368.534395732
1970.0,661113787.5,13017557.199556377,157016.40990480126,2663152963.4967356,4025770.908002137,481235.72838880407,3544535.179613333,1843048378.9601974,28207228.39946857,28207228.39946857,1509183441.9824202,18151915.33602738,2169857.7484927275,15982057.587534653,611375617.829516,80793289.41004737,23201392.560117938,57591896.84992943,57438823.295363076,177213669.52231222,50890413.59287519,126323255.92943704,0.0,0.0,0.0,231648973.94598302,116382503.91800728,24017694.22262351
