Year,Fuel_Emissions,Biochar_Stock,Biochar_Decay,Construction_InUse,Construction_Disposed,Construction_Recycled,Construction_LandfillIn,Exterior_InUse,Exterior_Disposed,Exterior_LandfillIn,Household_InUse,Household_Disposed,Household_Recycled,Household_LandfillIn,GraphicPaper_InUse,GraphicPaper_Disposed,GraphicPaper_Recycled,GraphicPaper_LandfillIn,OtherPaper_InUse,OtherPaper_Disposed,OtherPaper_Recycled,OtherPaper_LandfillIn,HouseholdPaper_InUse,HouseholdPaper_Disposed,HouseholdPaper_LandfillIn,LF_Input_Total,LF_Stock_Total,LF_Decay_Total
1961.0,657875000.0,25432795.603042267,312004.39695773326,0.0,0.0,0.0,0.0,14841703.922944259,154942.50497245239,154942.50497245239,5778429.3123876555,52827.48554800307,4490.336271580261,48337.1492764228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,203279.6542488752,106984.82166285794,96294.83258601725
1962.0,679250000.0,51268687.389199816,640008.2138424494,0.0,0.0,0.0,0.0,29522293.39795133,322300.31785387045,322300.31785387045,11502434.99794221,108859.97071919442,10384.937237829243,98475.03348136517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,420775.35133523564,325388.18329469545,202371.98970339808
1963.0,700625000.0,77518827.21665186,977560.172547962,0.0,0.0,0.0,0.0,44029147.31642194,502476.310915172,502476.310915172,17168775.41393162,168169.2010210738,17065.673349050012,151103.52767202377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,653579.8385871957,661274.7665225047,317693.25535938644
1964.0,722000000.0,104196462.19464202,1323465.0220098326,0.0,0.0,0.0,0.0,58349269.1976486,695817.048587473,695817.048587473,22774141.95639931,230817.19209001894,24419.16990531041,206398.02218470853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,902215.0707721815,1121361.5855916357,442128.25170305057
1965.0,743375000.0,131315590.5547205,1677271.6399215227,0.0,0.0,0.0,0.0,72469347.38548796,902605.0482923171,902605.0482923171,28315169.26913867,296855.27668289846,32399.25057003994,264456.0261128585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1167061.0744051756,1712744.5408258785,575678.1191709328
1966.0,776150000.0,158890980.11087367,2038810.4438468586,1048097.8001283484,1280.865245185854,143.2985823188006,1137.5666628670535,86375822.8445447,1123051.344904524,1123051.344904524,34174775.66216721,369855.0834385306,41378.0523121719,328477.0311263587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1452665.94269375,2445021.438989221,720389.0445304071
1967.0,938362500.0,186938028.52533096,2408051.5855427138,2094878.8128826383,2634.0837360348996,300.7824716941442,2333.3012643407556,100054964.17872372,1357288.5063243508,1357288.5063243508,39959548.71847803,446526.2625337215,50988.23210662792,395538.0304270936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1755159.8380157852,3325725.5520232655,874455.7249817406
1968.0,963775000.0,215472978.25896478,2785050.266366169,3086520.5419740034,3997.05673924683,464.4245102565987,3532.6322289902314,113492949.34670928,1605364.2487255458,1605364.2487255458,45645994.72285663,526706.4828988095,61198.881158576776,465507.6017402327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2074404.4826947688,4362371.394242744,1037758.6404752902
1969.0,990137500.0,244512564.22997928,3169914.02898551,4023013.5051062,5369.22405090717,633.3449100152791,4735.8791408918905,126675953.40124115,1867235.7976986747,1867235.7976986747,51230606.78690123,610388.8898729216,72000.47769762466,538388.4121752969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2410360.0890148636,5562482.735000685,1210248.748256923
1970.0,1017687500.0,274074273.3909697,3562790.8390095807,4958097.433761303,6815.612853685822,814.7300209110288,6000.882832774793,139590241.4355089,2142765.13556161,2142765.13556161,56729704.390774116,697732.1329301248,83406.0454218783,614326.0875082464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2763092.1059026313,6933635.904653652,1391938.936249664
