Year,Fuel_Emissions,Biochar_Stock,Biochar_Decay,Construction_InUse,Construction_Disposed,Construction_Recycled,Construction_LandfillIn,Exterior_InUse,Exterior_Disposed,Exterior_LandfillIn,Household_InUse,Household_Disposed,Household_Recycled,Household_LandfillIn,GraphicPaper_InUse,GraphicPaper_Disposed,GraphicPaper_Recycled,GraphicPaper_LandfillIn,OtherPaper_InUse,OtherPaper_Disposed,OtherPaper_Recycled,OtherPaper_LandfillIn,HouseholdPaper_InUse,HouseholdPaper_Disposed,HouseholdPaper_LandfillIn,LF_Input_Total,LF_Stock_Total,LF_Decay_Total
1961.0,13062500.0,0.0,0.0,979922.0955330614,1197.5486972726087,101.79163926817175,1095.7570580044369,0.0,0.0,0.0,288961.7334194691,2641.7424131879443,224.5481051209753,2417.194308066969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3512.9513660714056,1856.3279465614344,1656.6234195099714
1962.0,13062500.0,0.0,0.0,2499432.6454001223,3123.6721123623383,297.98959731596403,2825.682515046374,0.0,0.0,0.0,788299.104295392,7391.931731017223,705.1696467101567,6686.762084307066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9512.444599353441,6831.49085686951,4537.281689045365
1963.0,13062500.0,0.0,0.0,4147090.5711515974,5316.6890496934175,539.5332680992459,4777.1557815941715,0.0,0.0,0.0,1325026.962769969,12810.717849467635,1300.0211980460247,11510.696651421611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16287.852433015782,15264.0725907683,7855.270699116992
1964.0,13062500.0,0.0,0.0,6499635.820079533,8495.280561847043,898.7532408422983,7596.527321004744,0.0,0.0,0.0,2089331.460879522,20672.262667732335,2187.009944275247,18485.252723457088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26081.780044461833,28692.444472764422,12653.40816246571
1965.0,13062500.0,0.0,0.0,8500935.382523462,11423.825202511161,1246.814203002573,10177.010999508588,0.0,0.0,0.0,2735621.0084215994,27974.74496172177,3053.2075487273987,24921.537412994374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35098.54841250296,46616.93899127012,17174.05389399726
1966.0,13062500.0,0.0,0.0,10105364.694923239,14029.412901492926,1569.5600978363016,12459.852803656624,0.0,0.0,0.0,3247568.8214358706,34509.80315202506,3860.832266604686,30648.97088542037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43108.82368907699,68457.24632471852,21268.5163556286
1967.0,13062500.0,0.0,0.0,11460663.095230628,16471.285855309703,1880.8339324089004,14590.451922900802,0.0,0.0,0.0,3661974.48647545,40540.53879609948,4629.269486040966,35911.26931005851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50501.72123295931,93862.72459413098,25096.242963546854
1968.0,13062500.0,0.0,0.0,12725624.069286883,18931.51039111471,2199.682920555161,16731.827470559547,0.0,0.0,0.0,4037835.5006107925,46552.41109748443,5409.0002058081745,41143.410891676256,183593.60556197638,16406.39443802363,4612.5744784328235,11793.819959590808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69669.05832182661,122809.02733670939,28928.935619657394
1969.0,13062500.0,0.0,0.0,14868285.447751971,22591.638450658877,2664.872816997229,19926.76563366165,296834.0784588852,3098.850099449048,3098.850099449048,4829239.855963276,56677.41466140663,6685.575373328346,49991.83928807828,350780.8166859291,32812.78887604726,9329.498283684316,23483.290592362948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96500.74561355192,159379.4267979883,36447.05555991007
1970.0,14250000.0,0.0,0.0,17991634.841031082,27644.15354548227,3304.548289299983,24339.605256182287,1184114.024876797,12643.706555975505,12643.706555975505,6185943.304111962,72554.39639798066,8673.063767485924,63881.33263049473,501561.6333718582,49219.18331407089,14134.262905950616,35084.92040812028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135949.56485077282,210137.50453554356,50106.56670509723
1971.0,14250000.0,0.0,0.0,22254758.073920254,34360.1545496962,4156.493919234246,30203.660630461953,2061474.6822464922,22941.538932458257,22941.538932458257,7911728.461102014,92764.05975123921,11221.522584301563,81542.53716693765,635936.0556197637,65625.57775209453,19014.563086214323,46611.014665880204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,181298.75139573804,277963.99588039744,66861.24538500397
1972.0,14250000.0,0.0,0.0,29546905.78458982,45139.545588377005,5519.374730026545,39620.17085835046,2928151.27660985,34015.393408356336,34015.393408356336,10680826.253810827,123731.11445135882,15129.048764653426,108602.06568670539,753904.0834296455,82031.97219011816,23960.92215891871,58071.050031199455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240308.67998461163,369850.05294168764,90351.57289212197
1973.0,14250000.0,0.0,0.0,36342939.448700145,55902.43247531972,6902.510384273801,48999.92209104592,3783357.7156157033,45884.78290934526,45884.78290934526,13239355.596347516,154691.76573567084,19100.448264456514,135591.31747121434,855465.7168015037,98438.3666281418,28965.84697260712,69472.51965553468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,299948.5421271402,485753.3710234976,114572.70438979553
1974.0,14250000.0,0.0,0.0,41826819.80209681,65640.60141616417,8177.890774689181,57462.71064147499,4626290.352310412,58565.22882978317,58565.22882978317,15286562.55776062,182814.44184247748,22776.094447169275,160038.3473953082,757027.350173362,98438.3666281418,29162.813801396398,69275.5528267454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,345341.8396933118,623986.6902322688,137832.96765779523
1975.0,14250000.0,0.0,0.0,50129726.91554408,79333.07674362967,9965.880839653175,69367.1959039765,5456132.197356261,72067.82392266797,72067.82392266797,18347776.799731154,221760.40133037433,27857.708604370226,193902.6927260041,658588.9835452202,98438.3666281418,29346.185532006744,69092.18109613506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,404429.8936487837,791617.9553283448,167706.4474565725
1976.0,14250000.0,0.0,0.0,53724780.99249253,87999.55667745857,11139.760993674312,76859.79568378426,6272057.554083135,86398.82522748495,86398.82522748495,19803983.91612791,248263.7491190688,31427.417739348297,216836.33137972048,560150.6169170784,98438.3666281418,29517.718330351956,68920.64829778984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,449015.60058877955,980600.0381046901,191112.8695146444
1977.0,16625000.0,0.0,0.0,57997746.912590824,97917.99394515094,12484.367991367091,85433.62595378385,7073237.0418931935,101559.28590299534,101559.28590299534,21449664.17518808,277749.429806912,35412.552396081745,242336.8774108303,461712.25028893666,98438.3666281418,29678.84862657654,68759.51800156526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,498089.3072691747,1193269.8942917888,216659.93308051096
1978.0,16625000.0,0.0,0.0,62839339.857178316,109016.73812945408,13992.906256413638,95023.83187304044,7858842.964759825,117544.73461917917,117544.73461917917,23278644.90033452,310287.28446953656,39827.10323788624,270460.18123165035,363273.8836607949,98438.3666281418,29830.766310807958,68607.60031733384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,551636.3480412038,1431846.6563294244,244451.98568623437
1979.0,16625000.0,0.0,0.0,68306164.73834737,121421.33516135917,15683.579170988609,105737.75599037056,8628054.973104624,134344.91073239915,134344.91073239915,25180794.645532794,344993.30176082195,44561.60652850829,300431.69523231365,264835.5170326531,98438.3666281418,29974.4681124571,68463.8985156847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,608978.2604707681,1698137.066976115,274223.9513083924
1980.0,16625000.0,0.0,0.0,73975286.74905944,134677.1465590355,17499.40757437397,117177.73898466153,9380065.959418671,151943.5628186604,151943.5628186604,27126868.729695648,381652.4854147429,49590.39127783873,332062.09413690417,179680.2780988185,98438.3666281418,30110.797271656247,68327.56935648555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,669510.9652967117,1993619.6242917806,305700.83862456074
1981.0,16625000.0,0.0,0.0,83198945.7137589,152915.32368401872,19981.114523557615,132934.2091604611,10114088.120833602,170318.31727638448,170318.31727638448,30442536.473743178,432415.2214679182,56502.76148735635,375912.45998056186,110931.43360300752,98438.3666281418,30240.473521501906,68197.8931066399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,747362.8795240473,2327253.4950398807,345531.11566930736
1982.0,16625000.0,0.0,0.0,90938948.0783703,170250.49539418353,22365.064743036186,147885.43065114733,10829359.115653528,189440.62264389542,189440.62264389542,33166455.584950138,480227.2523500306,63085.35881385603,417141.89353617455,150385.78632620838,106641.56384715361,32894.45909649954,73747.10475065408,50780.81668592912,49219.183314070884,15182.058044538244,34037.12526953264,0.0,0.0,0.0,862252.176851404,2697178.2949152766,384543.14695582166
1983.0,16625000.0,0.0,0.0,99812366.00750865,189808.32596868675,25060.851330488553,164747.4746381982,11525148.23582455,209275.77402606013,209275.77402606013,36302714.4706176,533915.677753421,70494.17539988694,463421.5023535341,1116011.3640783029,196876.73325628357,60964.52315881859,135912.21009746497,52342.45005778736,98438.36662814177,30482.261579409293,67956.10504873248,0.0,0.0,0.0,1041313.06616399,3107199.2386280852,427423.8073049836
1984.0,16625000.0,0.0,0.0,108504522.28946763,210089.91444454278,27872.79858755541,182217.11585698737,12200762.513617342,229783.02061388214,229783.02061388214,39324907.499913886,588938.8453594891,78134.9921555879,510803.8532039012,2007808.166859291,287111.90266541357,89236.51931383426,197875.3833515793,52342.45005778736,147657.54994221264,45893.06707568618,101764.48286652646,0.0,0.0,0.0,1222443.8558928766,3558242.2062226455,471761.0220802104
1985.0,16625000.0,0.0,0.0,117175930.06129526,231310.08962468954,30829.734451213757,200480.35517347578,12855552.678575167,250915.75774091439,250915.75774091439,42291171.61374758,645765.79461135,86069.69111398392,559696.1034973662,1907808.166859291,295315.0998844254,92111.62863888162,203203.4712455438,52342.45005778736,196876.73325628354,61407.75242592106,135468.98083036247,0.0,0.0,0.0,1349764.6684876627,4051566.8155584056,517767.60707599635
1986.0,16625000.0,0.0,0.0,134493657.20045552,264090.37567538145,35354.161013098725,228736.21466228273,13488918.880146218,272621.8032868773,272621.8032868773,48413097.98461753,733723.3827264156,98224.61172864054,635498.7709977751,1802728.2363839955,303518.29710343725,94991.69849978326,208526.59860365398,407808.1668592912,590630.1997688506,184848.71059417276,405781.4891746778,0.0,0.0,0.0,1751164.876725267,4606736.527228854,581687.0772764871
1987.0,16625000.0,0.0,0.0,140483028.965882,284661.32101338665,38269.17142795905,246392.1495854276,14100316.09244983,294843.7565517886,294843.7565517886,50251996.46014134,786821.9174647452,105778.41322291119,681043.504241834,1713312.2774127452,313854.3255993921,98546.3649952291,215307.960604163,418739.6004622989,984383.6662814177,309084.26030913455,675299.4059722831,0.0,0.0,0.0,2112886.7769554965,5201569.884815492,627446.0527924122
1988.0,16625000.0,0.0,0.0,146061007.3859879,305623.1703743569,41253.953082852495,264369.21729150444,14689259.12035246,317519.43602619146,317519.43602619146,51933847.982795134,840099.9650062529,113399.27041140951,726700.6945948433,1642017.2988076464,326733.3452332407,102911.04549597173,223822.29973726894,418739.6004622989,1378137.1327939848,434071.19365611963,944065.9391378652,0.0,0.0,0.0,2476477.5867876736,5836639.623436453,673519.6092915777
