Year,Fuel_Emissions,Biochar_Stock,Biochar_Decay,Construction_InUse,Construction_Disposed,Construction_Recycled,Construction_LandfillIn,Exterior_InUse,Exterior_Disposed,Exterior_LandfillIn,Household_InUse,Household_Disposed,Household_Recycled,Household_LandfillIn,GraphicPaper_InUse,GraphicPaper_Disposed,GraphicPaper_Recycled,GraphicPaper_LandfillIn,OtherPaper_InUse,OtherPaper_Disposed,OtherPaper_Recycled,OtherPaper_LandfillIn,HouseholdPaper_InUse,HouseholdPaper_Disposed,HouseholdPaper_LandfillIn,LF_Input_Total,LF_Stock_Total,LF_Decay_Total
1961.0,690532437.5,32659231.401950676,403168.5980493242,9506555.118437452,11617.82426330739,987.5150623811282,10630.309200926262,79254698.94852234,827392.9765528957,827392.9765528957,34104249.53391186,311787.45156852633,26501.93338332474,285285.51818520157,183593.60556197638,16406.39443802363,3691.438748555317,12714.955689468316,1294910.8254911925,1255089.1745088075,282395.0642644817,972694.1102443258,0.0,0.0,0.0,2108717.869872818,591296.5175231335,532012.2864158901
1962.0,703089775.0,64906664.66520362,814966.7367470505,17657451.459974322,22249.778802112298,2122.5667698510442,20127.212032261254,159726885.2942723,1742775.6480358115,1742775.6480358115,68200977.36418594,645358.5663655094,61565.40520196522,583793.1611635442,167187.21112395273,16406.39443802363,3998.483991847819,12407.910446175812,1385513.2931595067,2559397.532331686,623763.5027282597,1935634.0296034263,0.0,0.0,0.0,4294737.9612812195,1809672.0387085506,1128320.5000462
1963.0,715875587.5,96742487.20489018,1226577.46031345,24214160.51534418,31538.353681795186,3200.4864067403105,28337.867275054876,241326606.29461858,2750037.495482703,2750037.495482703,102106461.96300444,999833.0745178811,101462.24486825234,898370.8296496288,150780.8166859291,16406.39443802363,4178.093945198737,12228.300492824896,1539417.3765891525,4011363.440096777,1021543.969601091,2989819.470495686,0.0,0.0,0.0,6678793.963395898,3699894.2804653067,1786523.9506506305
1964.0,728893912.5,128168766.31935817,1636120.8855320106,26845078.553527392,36547.75546107522,3866.548423800553,32681.207037274668,323960137.764668,3852823.718180915,3852823.718180915,135016278.66976148,1368504.2443337394,144780.10652469535,1223724.137809044,3439059.32236348,311721.49432244897,81805.0554676661,229916.43885478287,655437.9847009674,4601993.6398656275,1207700.9504568598,3394292.689408768,0.0,0.0,0.0,8733438.191290785,6306379.863539556,2502743.479952985
1965.0,742149025.0,159188447.2656044,2042719.0537537488,30801184.307038568,43439.81710335998,4741.0897821158605,38698.72732124412,407827087.05385995,5057584.873506478,5057584.873506478,168914897.51563,1769602.2320236173,193137.1635542097,1576465.0684694075,5789445.108689689,549614.2136737916,147546.58679948305,402067.62687430857,501157.35897862556,5069575.881349301,1360952.09913553,3708623.782213771,0.0,0.0,0.0,10783440.078385208,9689630.960338395,3289497.5724982903
1966.0,755644962.5,189804975.56644437,2445871.699160027,35320777.1061634,51387.0993293093,5749.003270283079,45638.09605902622,492823820.5071501,6367578.810533666,6367578.810533666,203394418.7590473,2200688.4819423747,246205.0873602223,1954483.3945821524,8544515.795131471,844929.3135582169,230984.66820729876,613944.6453509182,548034.0922349091,5586377.306147045,1527189.8936812666,4059187.412465779,0.0,0.0,0.0,13040832.358991541,13910415.083781457,4146916.1777317836
1967.0,769386475.0,220022111.08434376,2845264.482100602,38819890.7677287,58507.7887571826,6680.925543481311,51826.86321370129,578843633.3762307,7785681.967020477,7785681.967020477,238075122.74177945,2659294.1493512713,303661.2148130489,2355632.9345382224,11004271.38168883,1140244.4134426422,316462.94879067934,823781.4646519629,1362088.7925816332,6890685.663969924,1912437.9639148966,4978247.700055027,0.0,0.0,0.0,15995170.92947939,19029035.862556513,5074520.985997345
1968.0,783377837.5,249843822.07669303,3240689.0076507474,42713529.22113158,66475.25498493368,7723.867774360823,58751.38721057286,666073988.6207068,9317442.013399467,9317442.013399467,273639415.0456139,3152374.87332142,366279.5532303048,2786095.3200911153,12342540.643332869,1361730.7383559612,382843.6817099243,978887.0566460369,930047.576358003,7752021.371966165,2179441.441059509,5572579.930906655,0.0,0.0,0.0,18713755.708253846,25112776.64493254,6078547.938325127
1969.0,797623800.0,279274218.86534303,3632003.211350016,46679345.48468141,74936.57345267685,8839.39595745127,66097.17749522558,754400075.9961152,10965085.187060475,10965085.187060475,309860589.6038126,3678955.2752024033,433963.5626361362,3244991.7125662672,13551120.382844577,1591420.260488292,452480.6667586892,1138939.5937296026,1017554.509383137,8711795.446590547,2476981.794318185,6234813.652272361,0.0,0.0,0.0,21649927.323123932,32229214.27525961,7159736.446794899
1970.0,812128637.5,308317509.47715265,4019109.388190364,50260254.00002368,83352.77103459611,9963.888258600773,73388.88277599534,843705106.9784981,12730335.416042756,12730335.416042756,346444872.64575887,4237255.566657353,506516.345710744,3730739.220946609,15447978.628033835,1903141.754810741,546524.8323634238,1356616.9224473173,1325362.6762424281,9966884.621099355,2862188.2384549994,7104696.382644355,0.0,0.0,0.0,24995776.824857034,40445545.726396136,8318132.068628835
