Year,Fuel_Emissions,Biochar_Stock,Biochar_Decay,Construction_InUse,Construction_Disposed,Construction_Recycled,Construction_LandfillIn,Exterior_InUse,Exterior_Disposed,Exterior_LandfillIn,Household_InUse,Household_Disposed,Household_Recycled,Household_LandfillIn,GraphicPaper_InUse,GraphicPaper_Disposed,GraphicPaper_Recycled,GraphicPaper_LandfillIn,OtherPaper_InUse,OtherPaper_Disposed,OtherPaper_Recycled,OtherPaper_LandfillIn,HouseholdPaper_InUse,HouseholdPaper_Disposed,HouseholdPaper_LandfillIn,LF_Input_Total,LF_Stock_Total,LF_Decay_Total
1961.0,1330967337.5,23910524.311260313,292875.68873968587,3616326.010985153,4419.459999024183,375.6540999170556,4043.8058991071275,25230896.66900524,263402.2584531691,263402.2584531691,10813917.713182613,98862.86581126289,8403.343593957346,90459.52221730555,367187.21112395276,32812.78887604726,7382.877497110634,25429.91137893663,25390.40834296456,24609.591657035442,5537.158122832974,19072.433534202468,0.0,0.0,0.0,402407.9314827209,188385.39724783355,169520.1893217482
1962.0,1322198362.5,48239830.24216596,601294.0690943495,7059808.687640799,8882.888598676596,847.4027686985222,8035.485829978074,57015082.58107162,619184.0926389078,619184.0926389078,24184062.979847312,228024.30284085957,21752.8817806724,206271.42106018716,2078513.675086681,188673.53603727176,45982.56590624992,142690.97013102184,26171.22502889368,49219.183314070884,11995.451975543456,37223.73133852743,0.0,0.0,0.0,1013405.7009986222,621720.0912369656,400156.30553994095
1963.0,1313487100.0,73000596.681507,919233.5606589433,12394026.346331783,15911.240245005232,1614.6596817421448,14296.580563263087,88429805.40097491,1002467.8747685726,1002467.8747685726,37996281.130358174,370049.21320563677,37552.292318074295,332496.92088756245,3542182.589107197,336331.08597948443,85650.92587657411,250680.1601029103,26171.22502889368,73828.77497110632,18801.422753394312,55027.35221771201,0.0,0.0,0.0,1654968.8885400204,1316271.1804643888,654710.286991975
1964.0,1304833312.5,98206602.04546864,1245594.6360383607,16648640.60867475,22018.940763854844,2329.4809662091347,19689.459797645708,119447165.40155672,1414028.0856196831,1414028.0856196831,51314293.79373081,516965.7131498099,54692.08541321241,462273.6277365975,3664835.517032653,377347.0720745435,99027.17240822739,278319.8996663161,8397.939188818487,81211.65246821695,21312.369713944583,59899.28275427237,0.0,0.0,0.0,2234210.3555745147,2284464.782814584,927797.5708037307
1965.0,1296236287.5,123873215.18749925,1579986.8579693916,21108368.471660726,28716.987820517446,3134.217098682719,25582.770721834728,150038554.38624787,1854504.4244471767,1854504.4244471767,64482842.51667659,671908.585897401,73333.15707877801,598575.428818623,3746472.45886305,418363.0581696026,112311.58099662143,306051.47717298113,25624.653348743297,105821.2441252524,28408.22342855718,77413.02069669522,0.0,0.0,0.0,2862127.1218573106,3541947.9963490656,1221179.4104531535
1966.0,1287696025.0,150016235.29063404,1922279.8968652163,24973973.85620778,35057.27336455148,3922.08125873065,31135.19210582083,186705148.35914588,2392560.310740036,2392560.310740036,79844762.97651632,856470.9598422904,95818.88087283866,760652.0789694517,3878890.217379377,467582.24148367345,127826.4668720003,339755.77461167314,76952.0417148228,179650.01909635874,49112.27411397906,130537.74498237968,0.0,0.0,0.0,3654641.101409361,5150424.628138622,1575870.950025752
1967.0,1279212050.0,176652653.05747274,2272482.233161294,28549616.465965427,41384.649092612744,4725.657303138202,36658.991789474545,216285776.98132396,2897631.517075301,2897631.517075301,92484780.66786014,1027368.9797395761,117313.87914536163,910055.1005942145,3870291.9898006446,508598.22757873253,141156.1354318138,367442.09214691876,53123.266743716486,228869.20241042963,63520.260944316215,165348.9414661134,0.0,0.0,0.0,4377136.643072022,7081679.065560054,1913091.1720375577
1968.0,1270784125.0,203799678.52117404,2630674.536298703,33093978.863148794,49230.362397859644,5720.155714049004,43510.20668381064,245346313.13574573,3432749.372689602,3432749.372689602,105074252.64174965,1207557.8296599793,140308.10424573382,1067249.7254142454,3728880.9733458646,541411.0164547798,152214.95778828318,389196.0586664966,52342.45005778736,278088.3857245005,78183.13740943636,199905.24831506418,0.0,0.0,0.0,5132610.611769219,9353981.51141993,2271206.8589277826
1969.0,1262411537.5,231474991.92621043,2996986.594963612,38096776.83754921,58051.96651976612,6847.715268179064,51204.25125158706,273856731.10933596,3997838.33507731,3997838.33507731,117596844.01034252,1397043.0158184618,164792.91509385282,1232250.1007246089,3646453.9707960254,582427.0025498389,165598.59453539658,416828.4080144423,153904.0834296456,425745.93566671317,121050.24023080397,304695.6954359092,0.0,0.0,0.0,6002816.790503858,11985047.676876914,2650226.521596524
1970.0,1254094287.5,259697597.6452993,3371594.280911144,43745268.513808936,68126.66165157751,8143.777773699661,59982.883877877844,302084017.4860442,4595714.767365708,4595714.767365708,130092365.98583332,1596306.351697385,190820.5080333294,1405485.8436640557,3431214.1793701397,615239.7914258861,176678.2863243827,438561.5051015034,106246.53348743297,524184.30229485495,150529.89994837405,373654.40234648087,0.0,0.0,0.0,6873399.402355626,14994347.741116405,3051883.430668148
