Year,Fuel_Emissions,Biochar_Stock,Biochar_Decay,Construction_InUse,Construction_Disposed,Construction_Recycled,Construction_LandfillIn,Exterior_InUse,Exterior_Disposed,Exterior_LandfillIn,Household_InUse,Household_Disposed,Household_Recycled,Household_LandfillIn,GraphicPaper_InUse,GraphicPaper_Disposed,GraphicPaper_Recycled,GraphicPaper_LandfillIn,OtherPaper_InUse,OtherPaper_Disposed,OtherPaper_Recycled,OtherPaper_LandfillIn,HouseholdPaper_InUse,HouseholdPaper_Disposed,HouseholdPaper_LandfillIn,LF_Input_Total,LF_Stock_Total,LF_Decay_Total
1961.0,2017815675.0,29816953.40396057,367246.59603943035,223913706.15743425,273641.71941081627,23259.546149919384,250382.17326089687,58807174.85604846,613927.553726702,613927.553726702,95593985.62173206,873938.1622410814,74284.74379049192,799653.4184505894,63064403.51053888,5635596.489461117,1268009.2101287514,4367587.279332366,40066064.365198076,38833935.63480193,8737635.517830435,30096300.116971496,927.593574539659,49072.406425460336,49072.406425460336,36176922.94816751,877945.9654731359,786017.1799650523
1962.0,2206161012.5,59372501.436342575,743851.9676179991,458900713.6400219,576617.1690929822,55007.66784819236,521609.5012447898,176832197.04237717,1901927.5346057955,1901927.5346057955,218673982.52399537,2060410.8106506928,196557.43806827528,1863853.3725824174,136465854.21550858,12698549.29503029,3094826.609690212,9603722.685340079,39266960.42815706,75699103.93704101,18449005.138385832,57250098.79865518,927.593574539659,98144.81285092067,98144.81285092067,71239356.70527919,3113518.1352010956,2051818.238705043
1963.0,2228812812.5,88893652.35066922,1124749.085673352,699478597.3794155,903706.3532612377,91707.38360280881,811998.9696584289,293749284.8725622,3293191.029374366,3293191.029374366,342597655.4683343,3335714.554645789,338505.59216323606,2997208.962482553,176642263.3223275,17423590.893181097,4437135.769801059,12986455.123380039,40727919.593860604,114040847.73870224,29041931.013076417,84998916.72562581,927.593574539659,147217.21927638102,147217.21927638102,105234988.02979758,6778323.618480664,3437593.4782357803
1964.0,2208142712.5,121877825.62382343,1553926.7268457816,1045596460.146349,1378199.674857491,145805.82892916983,1232393.8459283211,364345622.48189783,4319996.747911587,4319996.747911587,479428535.4143187,4813483.986571186,509239.72447741876,4304244.2620937675,260195155.48823342,26447107.834094092,6940513.127046198,19506594.707047895,57227753.201257385,168329606.9341224,44174729.95253968,124154876.98158273,927.593574539659,196289.62570184135,196289.62570184135,153714396.17026618,11819382.265263062,4815576.209151279
1965.0,2279418600.0,155248166.4112997,1990959.2125237146,1409101615.249133,1900598.3530458822,207434.2856944278,1693164.0673514544,507297197.8665232,6182279.409266225,6182279.409266225,642713368.5470117,6628524.315044276,723447.5418206166,5905076.77322366,316915950.97371465,33879204.5145188,9095035.872863656,24784168.64165514,54077503.612352565,219074584.93092948,58811629.06070139,160262955.87022808,927.593574539659,245362.03212730167,245362.03212730167,199073006.79385185,18836811.135420147,6763091.3796842545
1966.0,2069936475.0,189069103.45054674,2436162.9607529533,1814594445.200078,2503322.361962794,280062.67396549514,2223259.687997299,631044641.1286669,7995411.236002897,7995411.236002897,810612111.3843107,8600952.13039718,962243.4924440057,7638708.637953174,376669485.2958038,42246465.67791085,11549233.410364939,30697232.26754591,63638811.58824827,279195817.3490671,76325856.14014964,202869961.20891744,927.593574539659,294434.43855276203,294434.43855276203,251719007.47696948,27882064.991292,8812125.706081515
1967.0,2105722025.0,221797432.18484318,2868771.265703549,2230232042.711619,3151626.726688323,359880.00827095925,2791746.7184173637,766668019.0470825,10071156.194060665,10071156.194060665,980601497.7194834,10713917.582906324,1223407.8089578315,9490509.773948492,432553801.7907692,51015683.50503448,14158871.068555648,36856812.43647883,70512418.50641508,345690934.00637686,95942914.56825912,249748019.43811774,1855.187149079318,392579.2514036827,392579.2514036827,309350823.8124268,39152913.63958338,11082564.038135141
1968.0,2337833150.0,255127663.0898307,3310869.0950124944,2723485212.5525837,3930043.7211395097,456638.1589121909,3473405.562227319,899493242.2594928,12271748.252927477,12271748.252927477,1168539990.068258,13116869.964044994,1524070.4114445394,11592799.552600455,488114206.31446207,60539595.4763072,17020399.82541712,43519195.65089008,91179319.15250017,432021381.53925717,121460617.4533323,310560764.08592486,100180.10605028318,5692399.145353399,5692399.145353399,387110312.2499236,52883461.27344127,13607405.733897358
1969.0,2477532312.5,287475242.10823774,3741220.981592942,3241167274.9974675,4780470.090743791,563896.4533322668,4216573.637411525,1033582100.5326676,14641101.19525059,14641101.19525059,1353196952.1093142,15630121.48433176,1843703.6322500692,13786417.852081692,532131169.20570046,69883037.10876165,19869498.96967667,50013538.13908498,101203108.48825592,527457377.98524064,149969352.53565443,377488025.4495862,15769.090767174204,6526630.054586225,6526630.054586225,466672286.32800126,69217374.17729051,16310179.780894574
1970.0,2435047125.0,319621138.70437264,4170003.4038651274,3823684896.7428226,5755695.058863306,688028.7446387531,5067666.314224553,1165712020.7408638,17150201.571813058,17150201.571813058,1557631896.1391046,18465413.37083841,2207332.919976247,16258080.450862164,584429676.598434,80801492.60726638,23203748.270602264,57597744.33666412,113120817.68312745,634164567.4101464,182112910.4117207,452051656.99842566,17624.277916253523,7459005.776669972,7459005.776669972,555584355.4486595,88408518.19965516,19284804.31453512
1971.0,2532651312.5,349398848.7395087,4568089.964863953,4402412087.734676,6778216.80744215,819950.2392411027,5958266.568201047,1292362411.984708,19763264.12711473,19763264.12711473,1752050661.5852447,21365645.451760598,2584568.566835592,18781076.884925004,651329239.6657777,94000436.93265639,27235984.80061624,66764452.13204016,121374848.71994498,748525339.8403901,216880106.56136054,531645233.27902955,13913.903618094886,8195091.873051876,8195091.873051876,651107384.8643625,110532761.66353539,22378364.116360553
1972.0,2540466725.0,378489895.30401665,4957753.435492013,5049095332.976106,7937468.498490602,970542.8461874322,6966925.6523031695,1425970050.8127725,22606950.23331269,22606950.23331269,1968773799.665052,24622594.37527739,3010693.249370969,21611901.12590642,697135333.3685662,106493906.29721138,31106069.14670826,75387837.15050311,121617682.70926893,862886112.2706338,252042544.09745,610843568.1731838,32465.77510888807,9912626.097942987,9912626.097942987,747329808.4331522,135913478.60706437,25805060.067993294
1973.0,2618521575.0,407555135.1867727,5347760.117243967,5690959198.05557,9151347.186627325,1129955.6421570308,8021391.544470293,1555413634.9636307,25572797.42916627,25572797.42916627,2194183142.4577346,28128124.448380444,3473098.7990694116,24655025.649311032,733909150.4364226,118888937.29513824,34983501.68116625,83905435.613972,139086283.64922854,994178283.7609179,292540571.49984556,701637712.2610724,46379.67872698295,12366246.419216003,12366246.419216003,856158608.917208,164723653.02405483,29439040.205957115
1974.0,2644238550.0,436642826.99443626,5738708.192336468,6499570436.433965,10631461.369390968,1324529.757169423,9306931.612221545,1686368728.3203928,28716692.748295587,28716692.748295587,2450200006.4902015,32090390.0754111,3998008.84349084,28092381.23192026,805010774.3149476,134852359.08333522,39950624.67342961,94901734.40990561,131625506.90111396,1117718433.8792357,331129169.3079553,786589264.5712805,51017.64659968125,15065228.772616321,15065228.772616321,962672233.3462398,197358829.6858348,33480828.930657446
1975.0,2693731650.0,466003989.1783289,6133937.816107414,7176942028.62096,12027706.973770397,1510929.6071072447,10516777.366663152,1803566139.6077476,31880267.51199509,31880267.51199509,2669833734.6371856,35918487.142993845,4512107.402117552,31406379.740876295,849805423.8444191,149429440.54151922,44547509.63758623,104881930.90393299,111295736.64576131,1221792396.9968386,364237518.2768846,857554878.719954,64931.55021777614,18500297.222398546,18500297.222398546,1054740531.4658202,233691380.64485997,37470873.66050933
1976.0,2741213362.5,496109213.7871654,6539775.391163443,7925427974.334492,13580957.994741177,1719197.594154474,11861760.400586704,1922073138.6825724,35206621.86977989,35206621.86977989,2879059348.1911077,39828730.78548483,5041872.463720605,34786858.32176422,909341477.6093934,165893257.36007595,49744734.81622563,116148522.54385032,116822589.46618879,1331821881.295444,399359970.15049666,932461911.1449473,64003.95664323647,21886293.26575531,21886293.26575531,1152351967.5466838,273889405.1706276,41657216.06636317
1977.0,2758992137.5,528269673.30375916,6973940.483406247,8654913033.86404,15188571.885711865,1936515.5784418476,13252056.307270018,2038638411.9301136,38660486.346837215,38660486.346837215,3076435811.179294,43802043.456802145,5584681.704109314,38217361.75269283,961433923.3493098,182471918.93969882,55014692.404130705,127457226.53556812,124070080.6235278,1448692832.0747054,436776195.52517015,1011916636.5495353,66786.73736685545,25419506.528388456,25419506.528388456,1254923274.0202923,318046090.7353784,45973218.84204929
1978.0,2877010400.0,559095123.0311025,7390650.272656548,9527722090.561687,17050294.128485642,2188500.330113245,14861793.798372397,2146240896.0932448,42163445.824866556,42163445.824866556,3295674364.8234324,48139029.15695668,6178912.833258432,41960116.323698245,1024322474.2498301,200765048.73809516,60839847.890892826,139925200.84720233,143964714.1280136,1584636216.388169,480208218.37980866,1104427998.0083604,120587.16469015568,31798919.3636983,31798919.3636983,1375137474.1661983,366444504.97781533,50586941.70450026
1979.0,3141854250.0,590996565.7036104,7822457.32749207,10266196612.854584,18839591.804784153,2433445.7303305194,16406146.074453633,2251835258.9140625,45775490.37526007,45775490.37526007,3442999589.244903,51995589.20349407,6716092.6762294015,45279496.52726467,1108729709.2866116,221839062.3937365,67549961.76376477,154289100.62997174,179659391.3895857,1754590056.371656,534272413.2534633,1220317643.1181927,187373.90205701115,41711545.46164129,41711545.46164129,1523779422.186784,418854553.04803425,55051084.90675945
1980.0,3218216200.0,645185917.0983355,8557148.605274867,11052479497.6967,20772719.556765355,2699123.758110377,18073595.798654977,2355940535.1183834,49494919.05030782,49494919.05030782,3647472059.9517307,56504753.91769484,7342000.806811032,49162753.1108838,1189613087.8163214,243643160.6018699,74526732.48045518,169116428.12141472,219712756.85599038,1962319619.5486922,600243688.2118313,1362075931.336861,230043.20648583546,53881502.25515545,53881502.25515545,1701805129.6732776,475683197.34511244,59902623.66276845
1981.0,3269955337.5,698398058.3894281,9279958.708907334,11882619742.127796,22850967.335665055,2985886.465188289,19865080.870476767,2458347794.432933,53312204.41515452,53312204.41515452,3852596787.8811426,61183643.69954311,7994734.35543518,53188909.34410793,1310118952.8813536,270098471.633183,82974819.26408096,187123652.36910206,196130271.92615813,2146030221.2684617,659265003.1238825,1486765218.1445792,208708.5542714233,64922793.70088403,64922793.70088403,1865177858.8443043,537094833.3281788,64954558.6466728
1982.0,3309278212.5,758058909.7383261,10091848.651102021,12753728758.307304,25076802.446738668,3294230.1223330204,21782572.324405648,2554415626.769582,57170718.846197754,57170718.846197754,4056036592.601074,66009197.055714116,8671340.205905307,57337856.84980881,1404782277.303053,295659634.1676238,91198622.67354123,204461011.49408257,237414711.05664062,2370494306.772282,731198279.541051,1639296027.2312312,214274.11571866125,76258519.58516537,76258519.58516537,2056306706.3308911,603215643.3221548,70170338.02643627
1983.0,3279295500.0,812110944.0597068,10828665.678619247,13734508423.290478,27540121.988736138,3636188.767067552,23903933.221668586,2649432243.6318364,61112526.24371024,61112526.24371024,4265142461.12749,71044954.0617298,9380236.733219622,61664717.32851018,1520522269.6645093,324247776.47587997,100406029.45410925,223841747.02177072,241932325.34809574,2598083810.416546,804518329.8653495,1793565480.5511963,241174.32938031136,89017345.25578505,89017345.25578505,2253105749.622641,674264557.0480169,75632263.0680268
