Year,Fuel_Emissions,Biochar_Stock,Biochar_Decay,Construction_InUse,Construction_Disposed,Construction_Recycled,Construction_LandfillIn,Exterior_InUse,Exterior_Disposed,Exterior_LandfillIn,Household_InUse,Household_Disposed,Household_Recycled,Household_LandfillIn,GraphicPaper_InUse,GraphicPaper_Disposed,GraphicPaper_Recycled,GraphicPaper_LandfillIn,OtherPaper_InUse,OtherPaper_Disposed,OtherPaper_Recycled,OtherPaper_LandfillIn,HouseholdPaper_InUse,HouseholdPaper_Disposed,HouseholdPaper_LandfillIn,LF_Input_Total,LF_Stock_Total,LF_Decay_Total
1961.0,48071924225.0,344535284.4087034,4503015.591296596,812846722.6464865,993368.2873617449,84436.30442574833,908931.9829359966,2568040482.1770005,26809497.56476713,26809497.56476713,1276877283.2581384,11673451.829424655,992243.4055010957,10681208.42392356,431536769.8734255,38563230.126574546,8676726.778479272,29886503.348095275,120401316.36233795,116698683.63766207,26257203.818473965,90441479.8191881,100180.10605028318,5299819.893949716,5299819.893949716,164027441.03285977,20218512.71972801,18181125.251898676
1962.0,49068428625.0,690350522.5192044,9170561.889498895,1687889494.8257189,2120106.67782454,202252.2571083918,1917854.4207161483,5134190281.217686,56038492.49410394,56038492.49410394,2570522223.0359964,24318360.71524249,2319903.708279763,21998457.006962728,817074768.5950162,76462001.27840912,18634934.64400676,57827066.634402364,139388974.90947852,248212341.45285946,60493064.31266564,187719277.14019382,80700.64098495034,9569119.252964765,9569119.252964765,335070266.94934374,61738717.27552499,38434599.36598584
1963.0,50107427237.5,1037536611.5487612,13912810.970443089,2605181699.231909,3362763.711238602,341250.5185110898,3021513.192727512,7700472194.169315,87825292.20218696,87825292.20218696,3873918819.2416677,37911437.331227854,3847221.7371517355,34064215.59407612,1229631777.1234598,120161991.47155668,30600756.97356034,89561234.49799633,144530861.6895133,384254164.1329514,97855138.2904996,286399025.8424518,81628.23455949,13887491.018405274,13887491.018405274,514758772.34784395,125966002.91286735,60683735.35164822
1964.0,51162729275.0,1386380042.1224842,18714469.426277194,3614690039.997596,4788173.910054445,506562.0597281757,4281611.85032627,10255211544.545761,122161341.84662282,122161341.84662282,5202717149.386058,52631237.523025386,5568091.006411133,47063146.51661425,1642641221.660355,167807555.46310455,44037728.01227753,123769827.45082702,158766208.5900696,533954310.182698,140125601.7222593,393828708.4604387,74207.48596317273,17813283.5324421,17813283.5324421,708917919.6572711,214498706.3033905,84973396.82304017
1965.0,52235671625.0,1737116085.2004251,23569756.922058947,4658182581.123039,6334663.640494572,691375.1268249854,5643288.513669587,12808477847.05264,159246964.28980783,159246964.28980783,6536590819.471882,68336165.52594785,7458316.303523057,60877849.2224248,2009366448.7909448,215574772.86941034,57872087.6309681,157702685.23844224,171818594.7972136,695885423.2859912,186813798.5789096,509071624.70708156,65859.1437923158,21297424.388649784,21297424.388649784,913839836.3600757,328977388.44486094,111289419.88443184
1966.0,53326523612.5,2090073098.9205256,28477986.27989959,5947521945.446478,8266878.895821248,924868.5842830455,7342010.311538203,15356787736.371914,199141649.26685682,199141649.26685682,7952462559.514488,85759537.38281207,9594467.62527309,76165069.75753897,2414521656.3265767,271044792.4643682,74097549.28852344,196947243.1758448,170429332.1061129,856093864.9732919,234036805.42506704,622057059.5482248,89976.57673034693,26057447.811919436,26057447.811919436,1127710479.871923,471561284.1913384,140064833.5894565
1967.0,54428045525.0,2445403718.4101343,33437880.510391407,7328241594.3127165,10416903.33094668,1189492.1518317265,9227411.179114953,17892670895.90483,241850239.91418135,241850239.91418135,9397622669.951876,104496981.30366872,11932369.457778627,92564611.84589009,2775956835.023217,327564821.3033596,90912200.96994376,236652620.33341587,184060105.03495577,1029566876.5637348,285745552.3512272,743821324.2125075,90904.17030488659,30866543.64161455,30866543.64161455,1354982751.1267242,644135491.4358535,171068055.69467127
1968.0,55314116700.0,2803291593.443263,38449624.96687126,8845785741.915314,12851060.735636866,1493185.6057541426,11357875.129882723,20416771218.499554,287444087.9441846,287444087.9441846,10875593818.38891,124624183.80170758,14480286.196573356,110143897.60513422,3110522352.179125,386734482.84409183,108728435.86902462,278006046.9750672,189330533.22217777,1207740320.1606715,339550057.65535384,868190262.5053177,116876.79039199704,37049666.85122255,37049666.85122255,1592191837.010809,848692224.8075372,204389127.30751792
1969.0,56464276237.5,3164013634.3489537,43515359.0943095,10411233841.010582,15475041.326706994,1825410.6298451093,13649630.696861885,22926833812.566216,335952306.52850807,335952306.52850807,12362517320.665335,145966981.92806393,17218027.066464443,128748954.86159949,3484783364.3894253,454738987.7896998,129293691.6192846,325445296.17041516,216850529.40290603,1412442903.5638924,401592918.3703332,1010849985.1935592,208708.5542714233,48090958.29695113,48090958.29695113,1862737131.7478948,1087111457.2150087,239931659.67949808
1970.0,57628806187.5,3522048596.5976987,48555937.75125485,12076800327.591059,18361247.765110493,2194881.090925097,16166366.674185395,25440279313.655983,387593705.6975615,387593705.6975615,13887215451.036123,168815613.64888668,20180011.891943898,148635601.75694278,3811418761.871497,524564602.51792836,150639110.68642738,373925491.831501,231504631.92891034,1630533104.8285403,468239861.548332,1162293243.2802083,237463.9550821527,60653494.341868974,60653494.341868974,2149267903.5822678,1361558232.9659615,277948898.3777367
1971.0,59294096575.0,3882677490.1008296,53644406.49686917,13858601211.816189,21541887.501615833,2605888.2907465296,18935999.210869305,27959084257.8256,442427865.0863171,442427865.0863171,15449627672.912218,193212013.44594583,23372553.748253725,169839459.6976921,4172509712.5845423,603709049.2869544,174920575.126196,428788474.1607584,228323958.22135484,1845128744.0778894,534613455.73200184,1310515288.3458877,204070.586398725,71449423.75547025,71449423.75547025,2441956510.256995,1674253120.875184,318508436.0856558
1972.0,61205657125.0,4249670494.5855536,58833295.515276596,15715386344.121048,24980594.461843967,3054467.2086651376,21926127.25317883,30276380481.746796,498321521.3326331,498321521.3326331,16951461558.972149,218297792.68432385,26692056.928297307,191605735.75602654,4357518792.791839,674190919.7927039,196926097.44848698,477264822.3442169,269066249.2757829,2099321216.3034086,613195939.429968,1486125276.8734407,278278.07236189774,86171145.68310834,86171145.68310834,2761414629.2426047,2025871169.4208958,360235335.7961268
1973.0,62478450500.0,4619680145.041767,64074749.543787,17690009999.774803,28741320.619014446,3548812.7304312848,25192507.88858316,32414391864.907265,555321632.4480174,555321632.4480174,18422572907.012604,244320705.04832268,30167313.460531104,214153391.58779156,4509693770.333524,745247014.1037842,219291641.12269345,525955372.9810908,282713102.59480953,2365523169.257561,696063785.6752354,1669459383.582326,306105.8795980875,102365039.80351025,102365039.80351025,3092447328.291319,2417295064.4954443,403243636.84984326
1974.0,63891318762.5,4993267472.980753,69376172.06101461,19810077082.10408,32872724.307692993,4095476.6265834877,28777247.681109507,34518086957.76767,614752769.5540067,614752769.5540067,19932173113.244556,271902497.48797005,33875206.470522285,238027291.01744777,4675011708.817921,820429316.6160275,243055916.27766883,577373400.3383586,278219182.73569375,2627000080.6135626,778260721.2144152,1848739359.3991475,361761.494070467,121503278.30943978,121503278.30943978,3429173346.29951,2850428919.6824675,448423453.06554127
1975.0,64373884325.0,5365196530.8218975,74662642.15885524,22143382404.29181,37474976.21461105,4707634.73135611,32767341.483254943,36598030835.653854,676650454.1983044,676650454.1983044,21491581634.25279,301175708.62011445,37833919.30714676,263341789.3129677,4786354308.431006,893700274.176241,266427562.28427213,627272711.891969,332709424.68605506,2941436833.2155046,876893369.8818934,2064543463.3336112,454520.85152443295,145548757.45791534,145548757.45791534,3810124517.6780224,3327282582.2143087,495905922.46268547
1976.0,65758753475.0,5740760768.648794,80008862.17310373,24655447440.90168,42528578.55563005,5383643.036371982,37144935.51925807,38646609046.25933,740854078.1201644,740854078.1201644,23098561598.007893,332153470.55637836,42046919.49505343,290106551.06132495,4902072328.987862,969719302.8048235,290779928.80384696,678939374.0009766,317327387.7877023,3239335940.223919,971346936.5264744,2267989003.6974444,435968.98003363976,168612788.4778817,168612788.4778817,4183646730.8770504,3849764767.875749,545623379.0393068
1977.0,66447474975.0,6117503386.649882,85379481.99891149,27463371826.874653,48197587.899755344,6145105.709312842,42052482.1904425,40654969332.712944,807167500.3125206,807167500.3125206,24768424815.472996,365005362.06694937,46537526.71259297,318467835.3543564,5066257506.424441,1052596204.3084999,317354345.49205613,735241858.8164438,356970304.97332793,3576167421.233763,1078202891.754899,2497964529.478864,447100.1029281157,192265688.37495357,192265688.37495357,4593159894.527581,4419826529.214515,597626056.5185542
1978.0,67253963225.0,6497879912.209434,90809174.44044854,30466941907.36887,54389391.52077844,6981181.696978394,47408209.82380004,42626847881.79629,875502573.4636514,875502573.4636514,26491414465.277542,399678901.42983407,51301015.755332254,348377885.67450184,5250956108.1123,1139886425.9160047,345431225.21337515,794455200.7026296,378365541.19478166,3932538918.0192933,1191716741.0420446,2740822176.9772487,484203.845909702,217881484.52904385,217881484.52904385,5024447531.170876,5039298645.431691,651816552.744777
1979.0,69813754850.0,6896145818.502828,96501593.70660552,33708818440.77329,61179917.99624611,7902401.059036221,53277516.93720989,44560525501.4752,945703264.5843623,945703264.5843623,28286496698.636765,436375558.9486239,56365140.5904911,380010418.3581328,5487577140.871279,1234584134.612277,375930686.8111094,858653447.8011676,375126167.57527876,4285169756.8729544,1304833558.6374261,2980336198.235528,484203.845909702,243497280.68313414,243497280.68313414,5461478126.599534,5710054297.639083,708235547.6723133
1980.0,70660000600.0,7306303119.366112,102371399.13671596,37209736361.11423,68622014.80938137,8916469.025408871,59705545.783972494,46453236634.74194,1017587846.9338069,1017587846.9338069,30154758551.589867,475142835.8175221,61738151.96158712,413404683.855935,5630609123.5519285,1324138438.652229,405033783.5904961,919104655.061733,356980293.5155127,4620327785.65012,1413287908.4417753,3207039877.2083445,484203.845909702,269113076.8372244,269113076.8372244,5885955685.681016,6433911132.313562,766841241.8992352
1981.0,71640552125.0,7716701249.375166,108251769.99094562,41034346192.31318,76824496.98948564,10038490.816875849,66786006.17260979,48303982135.36773,1090978549.6763897,1090978549.6763897,32104952228.66427,516096766.54542804,67437247.94312233,448659518.6023057,6032501002.94272,1438901167.7462044,442033468.7963793,996867698.949825,400097416.0184021,4997814312.077387,1535339081.1601732,3462475230.9172134,212418.92856958194,280350657.90865487,280350657.90865487,6346117662.226999,7212692194.040699,827643012.724168
1982.0,73184077212.5,8127118393.426214,114139155.94895141,45154311456.2496,85788004.87767673,11269595.890589658,74518408.98708707,50110168867.02435,1165669560.986835,1165669560.986835,34128079686.882664,559194488.5172992,73458940.07933486,485735548.4379643,6448960600.772416,1559012381.4269753,480890069.1412242,1078122312.285751,406823187.2869086,5380518071.9359455,1659664630.28381,3720853441.652136,211491.33499504227,291539166.57365984,291539166.57365984,6816438438.923433,8048088471.460064,890527240.9925225
1983.0,74255921837.5,8534573901.998323,119990391.42789124,49795722860.82851,95823214.47902438,12651770.25197786,83171444.22704652,51871141631.493576,1241464029.4660337,1241464029.4660337,36308420809.01242,605238118.8804945,79911049.41998647,525327069.460508,6892812173.50461,1685390837.7830713,521895335.5343088,1163495502.2487626,415773801.7109914,5771736750.507838,1787266443.1855056,3984470307.3223324,118731.97754107635,297820434.59611875,297820434.59611875,7295748787.320802,8942198154.622808,955852859.990843
1984.0,75815639912.5,8945743350.973833,125901051.02449118,54814342999.25628,106805202.88198908,14169932.506771995,92635270.37521708,53586582637.79167,1318160889.4109054,1318160889.4109054,38580241346.0905,653710103.0000665,86728247.20665334,566981855.7934132,7308486537.216942,1814099002.1493666,563835491.1087093,1250263511.0406573,455348316.399232,6201051076.964822,1927332893.7550302,4273718183.2097917,118731.97754107635,304101702.61857766,304101702.61857766,7805861412.448563,9896702502.312157,1023273667.890188
1985.0,77135258312.5,9359306640.150595,131852010.82323904,60139278124.451,118690224.95742787,15819405.557835862,102870819.39959201,55245284141.94784,1395439852.0239663,1395439852.0239663,40936324423.78495,704585553.8659265,93909373.16695978,610676180.6989667,7579926928.318337,1935079754.735353,603570043.7416114,1331509710.9937415,479992367.5296066,6653080056.521249,2075159853.6982043,4577920202.823045,165111.6562680593,312836590.9623096,312836590.9623096,8331253356.901621,10913085911.890875,1092603442.5438056
