Year,Fuel_Emissions,Biochar_Stock,Biochar_Decay,Construction_InUse,Construction_Disposed,Construction_Recycled,Construction_LandfillIn,Exterior_InUse,Exterior_Disposed,Exterior_LandfillIn,Household_InUse,Household_Disposed,Household_Recycled,Household_LandfillIn,GraphicPaper_InUse,GraphicPaper_Disposed,GraphicPaper_Recycled,GraphicPaper_LandfillIn,OtherPaper_InUse,OtherPaper_Disposed,OtherPaper_Recycled,OtherPaper_LandfillIn,HouseholdPaper_InUse,HouseholdPaper_Disposed,HouseholdPaper_LandfillIn,LF_Input_Total,LF_Stock_Total,LF_Decay_Total
1961.0,1294945712.5,229417.22793982795,2482.7720601720584,46246517.16087457,56517.203389799615,4803.962288132968,51713.241101666645,93205900.63608995,973038.931227001,973038.931227001,48146356.244414985,440163.0272154151,37413.857313310284,402749.1699021048,19460922.189569496,1739077.8104305048,391292.5073468636,1347785.3030836412,1878890.2173793775,1821109.7826206228,409749.70108964015,1411360.0815309826,0.0,0.0,0.0,4186646.7268453967,751504.216797621,675997.1254331514
1962.0,1303298825.0,460139.3456472762,5077.882292551762,101436849.59953628,127228.05254806342,12137.200955262733,115090.8515928007,187477841.08834654,2045737.9468184495,2045737.9468184495,97802869.28236143,924982.1528609792,88240.71456304108,836741.4382979381,37733547.38539442,3527374.8041750807,859674.0582472811,2667700.7459277995,2419088.410654459,4109801.806724919,1001620.2399578786,3108181.5667670406,0.0,0.0,0.0,8773452.549404029,2308068.455505796,1441005.9980010134
1963.0,1311705612.5,692114.8116057317,7724.5340415443825,157859776.8492744,203484.2069866395,20649.41134904547,182834.79563759404,283010838.85051405,3225464.077842414,3225464.077842414,147779382.81786755,1445679.6577761467,146706.3924736282,1298973.2653025184,51831158.71516906,5102388.670225349,1299387.2169568073,3803001.453268542,2180019.8442574665,6152397.914258861,1566785.2294495262,4585612.684809335,0.0,0.0,0.0,13095886.276860405,4728529.611885475,2286810.982402848
1964.0,1320166550.0,925305.2465081319,10409.565097599914,217030686.9421421,287400.1511157249,30405.33097798762,256994.82013773726,379695730.7568756,4516436.600309666,4516436.600309666,198867500.85635138,2010820.4888724145,212733.5781283778,1798086.9107440365,67658441.07900903,6972717.636160043,1829849.9249346363,5142867.711225407,3390951.2778604743,9376254.421330504,2460609.957882693,6915644.463447811,0.0,0.0,0.0,18630030.505864657,8082052.730176458,3217995.2129004565
1965.0,1328682112.5,1159975.2080214336,13130.038486698184,276887647.8005526,376833.2829455724,41128.17563396782,335705.1073116046,477716136.4889649,5925628.0015760865,5925628.0015760865,251524951.81601894,2626374.35786279,286646.61737517425,2339727.740487616,80881020.05466639,8777421.024342643,2356341.0130663714,6421080.011276271,2692108.6368390997,11886432.770348119,3190970.213021655,8695462.557326464,0.0,0.0,0.0,23717603.41797804,12444426.557476664,4238687.022075102
1966.0,1337252775.0,1396093.099026523,15882.108994910554,314239776.657887,443686.53665423836,49638.04891689874,394048.48773733963,576655108.1792625,7453658.948291048,7453658.948291048,293445307.84956086,3181871.8565276456,355976.34323690477,2825895.513290741,106435603.27041332,11845416.78425306,3238270.494090674,8607146.290162386,6884272.737879273,18481803.334433615,5052509.2958353795,13429294.038598236,0.0,0.0,0.0,32710043.278079752,17826798.87806209,5291230.6287337
1967.0,1345878537.5,1633629.9488337731,18663.15019274986,345041451.1678951,506071.1870191292,57787.58678110089,448283.60023802833,676689089.0606811,9106649.981220715,9106649.981220715,336912779.508932,3783731.79602659,432059.2342101316,3351672.561816458,121303056.09542783,14232547.174985498,3950095.080228983,10282452.094756516,6912326.674371648,24978735.531890973,6932587.6191915,18046147.912699472,0.0,0.0,0.0,41235206.15073119,24304915.801724516,6428489.219612781
1968.0,1354559875.0,1872558.7230190116,21471.22581476161,367462458.4570221,561423.6080973875,65232.72028564025,496190.8878117472,777394861.5846673,10884261.032294795,10884261.032294795,379200043.15841234,4408667.392624398,512250.2201681613,3896417.1724562366,128275570.3628506,16127485.732577227,4534160.712299465,11593325.02027776,6096710.340653066,30688160.796323195,8627820.561908595,22060340.2344146,0.0,0.0,0.0,48930534.34725514,31941390.30097637,7640394.593310922
1969.0,1363297500.0,2112853.8932600804,24304.829758931035,387035165.4774376,616030.1444309938,72665.91088249089,543364.2335485029,878943611.9598264,12791549.254748877,12791549.254748877,421427917.01831484,5066778.617070716,597668.9400312519,4469109.677039464,140237906.28125575,18637664.081594843,5299155.025132691,13338509.056462154,3888149.0892083817,34281161.17825037,9746993.331879187,24534167.846371185,0.0,0.0,0.0,55676700.06817019,40809217.86831542,8936195.5979978
1970.0,1372091175.0,2088832.7199185337,24021.17334154658,409001562.8678855,676187.731131998,80830.6539927699,595357.0771392281,980611142.9359826,14823917.84002431,14823917.84002431,464713873.95137507,5768735.330975006,689587.5628108424,5079147.768164163,150516235.07567218,21221671.205583565,6094223.022949041,15127448.182634525,7274094.388861658,41221066.02553437,11837445.18373364,29383620.841800727,0.0,0.0,0.0,65009491.70976295,50986583.813066244,10321056.740576869
1971.0,1387934800.0,2065091.8100902752,23740.909828258486,436268046.96240956,745700.4332645677,90206.20998522031,655494.2232793474,1082568918.3941529,16984933.35777559,16984933.35777559,507910870.09582144,6505125.2827809425,786914.7865045039,5718210.496276438,187585533.63601613,26430701.439656068,7658115.282972817,18772586.15668325,4282655.640306341,45158600.69066004,13084396.22370123,32074204.466958806,0.0,0.0,0.0,74205428.70097344,62550440.73090551,11794781.159492109
1972.0,1413315950.0,2041627.8124168194,23463.997673455924,458300723.3958545,812159.7083018156,99305.69110339029,712854.0171984253,1184094550.730413,19268427.956230808,19268427.956230808,551347701.8996768,7279219.987525685,890056.4312237677,6389163.556301917,190529809.08627626,29055724.54973985,8486958.628689006,20568765.921050843,6878779.288977232,51704752.071431465,15102569.23676646,36602182.83466501,0.0,0.0,0.0,83541394.285447,75570260.37011527,13350625.890521392
1973.0,1407519050.0,2018437.4165650557,23190.39585176356,481929520.4449086,883650.2784549418,109108.04687782573,774542.2315771161,1285362918.63742,21676331.53728973,21676331.53728973,593418210.6498548,8076706.279810059,997265.1725259207,7079441.107284138,194735586.63713583,31902233.98473695,9387348.239705756,22514885.745031193,8383408.724891734,59629040.58499688,17546061.80365676,42082978.78134012,0.0,0.0,0.0,94128179.40252231,90113410.11822666,14987165.128039595
1974.0,1415311900.0,1995517.3527136697,22920.063851385985,508422494.846075,961925.639891231,119842.33304825165,842083.3068429793,1385953546.0613236,24203889.329355747,24203889.329355747,636361319.3983074,8917293.231378365,1110968.6456061252,7806324.585772241,190438240.92125177,34084284.44499409,10097624.278733501,23986660.166260593,9747435.693137921,68833027.86472814,20392097.550626427,48440930.31410171,0.0,0.0,0.0,105279887.70233327,106254861.34379786,16710845.996399771
