Year,Fuel_Emissions,Biochar_Stock,Biochar_Decay,Construction_InUse,Construction_Disposed,Construction_Recycled,Construction_LandfillIn,Exterior_InUse,Exterior_Disposed,Exterior_LandfillIn,Household_InUse,Household_Disposed,Household_Recycled,Household_LandfillIn,GraphicPaper_InUse,GraphicPaper_Disposed,GraphicPaper_Recycled,GraphicPaper_LandfillIn,OtherPaper_InUse,OtherPaper_Disposed,OtherPaper_Recycled,OtherPaper_LandfillIn,HouseholdPaper_InUse,HouseholdPaper_Disposed,HouseholdPaper_LandfillIn,LF_Input_Total,LF_Stock_Total,LF_Decay_Total
1961.0,319413750.0,2656652.8507997696,30747.14920023041,489655479.76737356,598400.9183799739,50864.07806229778,547536.8403176761,74389516.00402549,776602.0676058284,776602.0676058284,169851030.4049225,1552810.005790639,131988.85049220434,1420821.1552984347,237202938.38607347,21197061.61392653,4769338.86313347,16427722.75079306,87216052.65808326,84533947.34191674,19020138.151931267,65513809.18998547,4637.967872698296,245362.03212730167,245362.03212730167,84931854.03612778,1448130.9785496853,1296829.0846722536
1962.0,330623750.0,4481169.849439492,52583.00136027626,1036980270.5841309,1301832.8235775637,124191.21627244064,1177641.607305123,169691061.67452815,1842177.210178476,1842177.210178476,363737057.00224406,3434185.1548242513,327611.6745238701,3106573.4803003813,454402173.5943732,42500764.791700214,10358072.780881776,32142692.010818437,99521122.73623335,178394929.9218499,43477515.68535725,134917414.23649266,5565.561447237955,539796.4706800637,539796.4706800637,173726295.01577514,4637954.074884135,2936569.2014495307
1963.0,311600000.0,5987478.478896323,70791.37054316983,1605908053.1667187,2071816.8530682388,210246.2843305572,1861570.5687376817,183415038.91051903,2150077.612412778,2150077.612412778,527183554.41502875,5165514.653675694,524192.2136997837,4641322.43997591,681692212.1759973,66609961.41837594,16963061.417506874,49646900.000869066,106291606.38765647,278531358.3743271,70931500.90763894,207599857.4666882,6493.155021777614,883303.315658286,883303.315658286,266783031.4043419,9085458.722208878,4205465.973801628
1964.0,314830000.0,7682853.746360877,91424.73253544579,2179876998.471947,2891380.909139181,305891.95302967064,2585488.9561095103,205474013.6706315,2565725.545111274,2565725.545111274,688424146.6591618,6989813.883790192,739483.2737078044,6250330.610082388,892033204.7478628,91359007.42813459,23975339.545878876,67383667.88225572,107963358.32646033,380095143.1429124,99748348.55511336,280346794.587799,6493.155021777614,1226810.1606365084,1226810.1606365084,360358817.7419944,14897013.133271974,5589990.7002400765
1965.0,276402500.0,8823974.367671419,105379.37868945603,2664565750.2766623,3647461.5604455764,398089.6764307813,3249371.884014795,223521403.28073126,2968363.980984318,2968363.980984318,812355286.5252256,8588208.946318163,937330.5966086964,7650878.349709466,1113701294.802898,119331909.94496489,32035226.838389255,87296683.10657564,178695542.52105755,550172031.0846844,147696335.5741452,402475695.5105392,154908.12694812307,9421902.033688385,9421902.033688385,513062894.8655117,21910133.035100643,6855494.312879911
1966.0,314853750.0,9682762.641472407,115911.72619901155,3200629508.7694426,4507555.319991613,504289.0261142511,4003266.293877362,241155507.59191933,3392235.0014278735,3392235.0014278735,940679070.0936856,10321228.515335476,1154701.8076997998,9166526.707635676,1321992173.9832797,148609120.81961805,40626390.76935364,107982730.0502644,186429835.60179347,725638419.5993471,198373221.167779,527265198.43156815,176242.7791625352,18745659.254525848,18745659.254525848,670555615.7392993,30237581.5765969,8234579.46144465
1967.0,303358750.0,10499709.917106682,125952.7243657239,3748969400.741925,5429168.523679964,619949.4364802045,4809219.08719976,263206009.599149,3887524.586789139,3887524.586789139,1067824498.0760326,12142813.950599547,1386571.5593693932,10756242.391230155,1528269492.7149622,180322681.26831773,50046680.14616341,130276001.12215433,188378163.04001945,902827479.5300024,250570354.08636394,652257125.4436384,166966.84341713865,27578692.41110871,27578692.41110871,829564805.0421206,39973453.01627542,9717114.625540536
1968.0,247451250.0,11660556.068474552,140253.8486321312,4324141337.67935,6432808.302481812,747438.4379186085,5685369.864563204,282215121.0892262,4380567.027265613,4380567.027265613,1198066216.4003425,14093214.254385725,1637513.439268248,12455700.815117477,1711553947.2621384,212815545.45282352,59832009.84699137,152983535.60583216,197573367.21150175,1088875992.4571903,306131955.559108,782744036.8980823,185518.7149079318,37393173.69620077,37393173.69620077,995642383.9070613,51200614.15697692,11294476.566244792
1969.0,198573750.0,12953630.338767027,156225.72970752374,4963976607.70961,7568522.492630476,892770.5663975356,6675751.9262329405,298186465.0607172,4868565.765031964,4868565.765031964,1338494105.3438795,16240867.90585402,1915746.283797794,14325121.622056227,1915954870.4489062,250099076.8132322,71109435.91824184,178989640.89499038,211311377.64020744,1287967588.962607,366201466.63117665,921766122.3314302,176242.7791625352,46716930.91703824,46716930.91703824,1173342133.45678,64054879.53303169,13015173.937266365
1970.0,211968750.0,14110580.297508983,170550.04125804396,5680296118.096698,8857354.778948812,1058797.3523711558,7798557.426577656,313660543.88430387,5374912.433278744,5374912.433278744,1489151447.875137,18594133.059857965,2222719.914099578,16371413.145758387,2110978490.3206859,289876380.1282205,83243741.38459615,206632638.74362433,226197743.23923966,1501086652.712534,431066750.1056819,1070019902.606852,241174.32938031136,59475756.58765793,59475756.58765793,1365673180.943749,78695563.56972238,14904198.968924085
