Year,Fuel_Emissions,Biochar_Stock,Biochar_Decay,Construction_InUse,Construction_Disposed,Construction_Recycled,Construction_LandfillIn,Exterior_InUse,Exterior_Disposed,Exterior_LandfillIn,Household_InUse,Household_Disposed,Household_Recycled,Household_LandfillIn,GraphicPaper_InUse,GraphicPaper_Disposed,GraphicPaper_Recycled,GraphicPaper_LandfillIn,OtherPaper_InUse,OtherPaper_Disposed,OtherPaper_Recycled,OtherPaper_LandfillIn,HouseholdPaper_InUse,HouseholdPaper_Disposed,HouseholdPaper_LandfillIn,LF_Input_Total,LF_Stock_Total,LF_Decay_Total
1961.0,4924706900.0,144734496.21898952,1853003.7810104676,221345826.41233093,270503.5505119628,22992.80179351684,247510.74871844595,377572947.7997019,3941737.326499189,3941737.326499189,224477119.96802858,2052211.9714342244,174438.0175719091,1877773.9538623153,41767545.26534963,3732454.734650376,839802.3152963346,2892652.419354041,5966745.960596671,5783254.039403329,1301232.158865749,4482021.88053758,2782.7807236189774,147217.21927638102,147217.21927638102,13588913.548247952,3195645.7900650883,2871376.239014862
1962.0,4953290975.0,292134196.99470806,3803299.2242814247,454343493.4728453,570866.6449899136,54459.083905899766,516407.5610840138,762326839.0253196,8317076.389981527,8317076.389981527,455332662.08946645,4306571.246989977,410834.8717601225,3895736.375229854,69888581.09570214,6578964.169647476,1603392.0807309754,4975572.0889165,6454922.78190559,11861823.178691082,2890903.9261059724,8970919.25258511,2782.7807236189774,294434.43855276203,294434.43855276203,26970146.106349766,9808670.144580815,6116195.971779669
1963.0,4982089750.0,442283308.4726487,5814588.5220594015,744102490.4274392,957729.7535732357,97189.6342012046,860540.1193720311,1154411813.8505726,13151899.595228877,13151899.595228877,708827582.2584909,6921118.62912159,702349.4731345766,6218769.155987014,102598648.5163176,10089932.579384532,2569527.776297223,7520404.803087309,12405648.134390445,23699036.76572513,6035256.703839574,17663780.061885554,6493.155021777614,637941.2835309843,637941.2835309843,46053335.01909177,20219308.23170225,9820570.78346649
1964.0,5011008225.0,580714189.2846041,7683219.188044602,1039345313.9242735,1373176.0364422882,145274.35603976808,1227901.68040252,1553655592.2838364,18468360.82072135,18468360.82072135,965848281.7725058,9740840.115056967,1030526.4856409507,8710313.629416017,130512592.28826219,13486056.228055423,3539145.031285343,9946911.19677008,21068755.625448022,43755853.96620901,11482846.470119232,32273007.49608978,12058.716469015568,1275882.5670619686,1275882.5670619686,71902377.39046171,34726099.10804667,13899785.254195461
1965.0,5040167050.0,722288599.4974711,9604889.787133012,1385223211.5710404,1873707.8513224234,204499.41415356216,1669208.4371688613,1959864271.8117576,24287512.399032198,24287512.399032198,1243706829.401824,12931750.579611361,1411391.5441214885,11520359.035489872,161731579.014548,17481013.273714177,4692862.335368632,12788150.938345544,23843198.824501842,66249020.740739405,17784869.1789944,48464151.561745,12058.716469015568,1913823.850592953,1913823.850592953,100643206.22237442,53750200.07185074,18452978.907886874
1966.0,5069495450.0,881674150.6790408,11778548.818430321,1725945709.814631,2395691.465165791,268021.31755998684,2127670.1476058043,2373417213.3207016,30635270.786366127,30635270.786366127,1518042320.6338854,16289729.204466183,1822436.1306785718,14467293.073787611,201531770.67617044,22599808.33837755,6178279.232146681,16421529.10623087,29734903.186947707,94377784.00473091,25800763.181795843,68577020.82293507,15769.090767174204,2748054.7598257787,2748054.7598257787,134976838.69675127,77598972.76215015,23381461.317460123
1967.0,5098994375.0,1044222912.6838807,14004537.99516005,2125102407.3313346,3017626.2463742364,344578.6740249398,2673047.5723492964,2794371542.2105656,37533388.98340583,37533388.98340583,1814594029.1264803,20053187.683328334,2289846.474591403,17763341.20873693,236304964.07591048,27726806.600259934,7695286.092895656,20031520.507364277,36134360.25205179,128535897.2246961,35673798.16259823,92862099.06209788,18551.871490793183,3729502.8883349854,3729502.8883349854,174592900.2222892,106743295.603939,28825454.922703214
1968.0,5128665250.0,1210051406.250301,16283506.43357996,2544888886.277614,3698592.928641508,429745.5156582347,3268847.412983273,3222466537.5587554,44999005.07210104,44999005.07210104,2121514115.4352124,24132882.2283789,2804038.7568045785,21328843.47157432,276232401.1252389,33772562.95067164,9494984.563853968,24277578.386817675,42190844.667329244,168378826.11743647,47338851.872156054,121039974.24528041,5565.561447237955,4023937.3268877473,4023937.3268877473,218938185.9156445,141598005.2291,34741986.331497625
1969.0,5158508550.0,1379280850.1037102,18616456.146590624,2942546117.530247,4389152.407178414,517737.25775106787,3871415.149427346,3657425306.1722283,53047291.706934154,53047291.706934154,2418874963.3706713,28358158.810605083,3345082.1515014097,25013076.659103673,315621889.99101484,40310511.13422406,11461288.64150618,28849222.492717877,48541082.54911926,214201885.78283647,60902964.79589119,153298920.98694527,5565.561447237955,4318371.76544051,4318371.76544051,268398298.76056883,182482074.4010159,41047714.34354928
1970.0,5188525700.0,1552036614.328476,21004635.775234196,3315216755.2805996,5085699.3370692115,607938.275865662,4477761.06120355,4098984358.018233,61691549.2134047,61691549.2134047,2705380766.6207094,32715637.097040333,3910787.22756015,28804849.86948018,349207805.0954863,46914084.89552857,13472308.259855263,33441776.635673307,31389172.105555236,243216594.34648126,69844460.14975496,173372134.19672632,6493.155021777614,4661878.610418732,4661878.610418732,306449949.5869068,229715983.91430032,47740250.630804025
