Year,Fuel_Emissions,Biochar_Stock,Biochar_Decay,Construction_InUse,Construction_Disposed,Construction_Recycled,Construction_LandfillIn,Exterior_InUse,Exterior_Disposed,Exterior_LandfillIn,Household_InUse,Household_Disposed,Household_Recycled,Household_LandfillIn,GraphicPaper_InUse,GraphicPaper_Disposed,GraphicPaper_Recycled,GraphicPaper_LandfillIn,OtherPaper_InUse,OtherPaper_Disposed,OtherPaper_Recycled,OtherPaper_LandfillIn,HouseholdPaper_InUse,HouseholdPaper_Disposed,HouseholdPaper_LandfillIn,LF_Input_Total,LF_Stock_Total,LF_Decay_Total
1961.0,826275325.0,12630469.79061241,152230.20938758994,309530.53859907674,378.2728187833857,32.15318959658779,346.1196291867979,22262555.88441639,232413.7574586786,232413.7574586786,8766702.756793844,80146.84235997037,6812.481600597482,73334.36075937288,0.0,0.0,0.0,0.0,25390.40834296456,24609.591657035442,5537.158122832974,19072.433534202468,0.0,0.0,0.0,325166.67138144077,161098.44976377708,144995.78808346117
1962.0,829559950.0,25534289.021533016,313280.7690793948,976991.4855123544,1215.8102826381937,115.98490606684328,1099.8253765713505,44283440.096927,483450.4767808057,483450.4767808057,17579613.521554105,166333.42525476188,15867.74431787801,150465.68093688387,91796.80278098819,8203.197219011816,1999.2419959239096,6203.955223087906,26171.22502889368,49219.183314070884,11995.451975543456,37223.73133852743,0.0,0.0,0.0,678443.6696558762,490723.30361073813,305391.12924729986
1963.0,832857400.0,38720765.08034937,480023.94118364004,1733167.8153293803,2209.832802588028,224.2520303123588,1985.580772275669,66340555.05309181,756813.316472207,756813.316472207,26449111.18780186,258890.95824749235,26272.043273373216,232618.91497411914,175390.40834296454,16406.39443802363,4178.093945198737,12228.300492824896,26171.22502889368,73828.77497110632,18801.422753394312,55027.35221771201,0.0,0.0,0.0,1058673.4649291388,1000315.242203126,481825.87362621404
1964.0,836168150.0,52200041.28983811,651923.7905112583,4490934.319617081,5706.40265279177,603.7055327849728,5102.697120006797,88708017.8213497,1056369.279437185,1056369.279437185,36177715.62661314,365391.55764219403,38656.3862389893,326735.17140320473,250780.8166859291,24609.591657035446,6458.293852710482,18151.297804324964,26171.22502889368,98438.36662814177,25833.175410841923,72605.19121729984,0.0,0.0,0.0,1478963.6369820214,1708643.2176977014,679879.172465821
1965.0,839491962.5,65982729.69424213,828811.5955959868,7298855.678246275,9464.377446189268,1032.9570011183364,8431.420445070931,111359163.91739622,1383046.8115698323,1383046.8115698323,46047860.80355571,480015.7116394451,52389.6677625012,427626.0438769439,409764.83059087006,41015.98609505908,11010.939313394258,30005.046781664823,51561.63337185825,147657.54994221264,39639.38152821932,108018.16841399332,0.0,0.0,0.0,1957127.4910875051,2631194.1333406186,896553.3602489299
1966.0,842829075.0,80080365.84699818,1010663.84724393,10223850.29464478,13577.803768985026,1519.0356974797166,12058.76807150531,134563279.5147216,1740780.9737776443,1740780.9737776443,56191648.02557022,604260.3955441454,67602.47290518804,536657.9226389574,368748.8444958109,41015.98609505908,11212.847971228099,29803.138123830984,77732.85840075192,221486.32491331897,60549.37904463171,160936.94586868727,0.0,0.0,0.0,2480237.7484806255,3786407.838504429,1134283.9593242966
1967.0,846179487.5,94504740.92918237,1197524.9178158182,12163707.915904114,16717.028663093588,1908.894972426391,14808.133690667197,158585643.79407078,2133650.014301507,2133650.014301507,66308745.92625002,735743.0682374462,84013.50935388808,651729.5588835581,327732.85840075184,41015.98609505908,11383.559309017244,29632.426786041837,27732.85840075192,246095.9165703544,68301.35585410344,177794.56071625097,0.0,0.0,0.0,3007614.694378025,5193101.934295898,1393493.6110842635
1968.0,849542962.5,109268158.79928316,1389482.129899207,14154092.489442414,20087.841725726797,2334.038935194266,17753.802790532533,183390553.76493725,2562772.2883426175,2562772.2883426175,76773243.58598702,878045.0702358929,102021.48188778647,776023.5883481065,286716.8723056928,41015.98609505908,11531.43619608206,29484.54989897702,51561.63337185825,295315.0998844253,83026.3406117908,212288.7592726345,0.0,0.0,0.0,3598322.9886528677,6872901.849923575,1676749.7638535786
1969.0,852919975.0,124383703.2822858,1586655.5169973634,16141018.824621534,23634.592664198066,2787.8979946134305,20846.694669584635,208941243.91748184,3029152.2760169404,3029152.2760169404,87554367.00057703,1031267.8869656544,121646.67759795854,909621.209367696,245700.88621063373,41015.98609505908,11661.872854605395,29354.113240453684,103123.2667437165,393753.4665125671,111953.97940421176,281799.48710835533,0.0,0.0,0.0,4270773.78040303,8847860.092658812,1984661.9373189851
1970.0,856310525.0,139864324.8610361,1789178.4212497075,19656142.9543907,29235.879673129868,3494.821282954786,25741.058390175083,235200006.57105482,3533667.7798499377,3533667.7798499377,99205703.01536196,1200824.783505615,143545.12528494478,1057279.6582206702,204684.90011557465,41015.98609505908,11778.552421625514,29237.433673433567,53904.0834296456,442972.64982663793,127208.36615355553,315764.2836730824,0.0,0.0,0.0,4961690.213807299,11143785.643178463,2320762.9459411297
1971.0,876223950.0,156006210.29332566,2000914.567710429,22090547.178193532,33818.34744319533,4090.952364689967,29727.39507850536,261831490.4752124,4073959.2534455988,4073959.2534455988,110634206.43494536,1377416.6534202662,166623.92876937575,1210792.7246508906,163668.91402051557,41015.98609505908,11884.101928883952,29131.88416617513,103123.2667437165,541411.0164547797,156870.1454612681,384540.8709935115,0.0,0.0,0.0,5728152.1283346815,13779274.910528816,2678990.1058246437
1972.0,876731012.5,172222267.78763688,2214142.505688791,24262354.000455923,38317.53519477404,4685.22296169049,33632.312233083554,288799735.17189366,4650368.5794425225,4650368.5794425225,122060710.9997169,1563053.9288224222,191120.23047552732,1371933.698346895,122652.9279254565,41015.98609505908,11980.461079459355,29035.525015599727,206246.533487433,738287.7497110632,215648.29943026832,522639.4502807949,0.0,0.0,0.0,6607609.5653188955,16774549.032569122,3060660.4679821935
1973.0,879927762.5,188677471.4690475,2430996.3185893893,26348928.2067653,42940.48232581158,5302.043435954168,37638.43888985741,315771686.8132494,5259972.417247805,5259972.417247805,133499272.17950208,1757968.478853615,217063.8225066555,1540904.6563469595,81636.94183039742,41015.98609505908,12069.102905252967,28946.883189806114,158588.9835452203,885945.2996532759,260692.622753464,625252.6768998118,0.0,0.0,0.0,7492715.072574239,20148467.736923784,3464596.8081299574
1974.0,881632775.0,205342209.01386464,2651062.455182851,27910726.7925928,47152.116816557085,5874.4870217815005,41277.62979477558,343011092.4475043,5905623.979017218,5905623.979017218,144912542.36049405,1961905.8263514834,244425.72450559255,1717480.1018458907,47262.51958249195,41015.98609505908,12151.1724172485,28864.813677810584,157027.35017336207,1033602.8495954885,306209.5449146621,727393.3046808264,0.0,0.0,0.0,8420639.829016522,23921024.035436265,3891825.4121454065
1975.0,888274225.0,222407262.06225523,2876846.9516093945,29884768.111753374,52068.43234774588,6540.875679914251,45527.55666783163,370185146.82728195,6584041.644372688,6584041.644372688,156502844.1143771,2176752.6189550324,273445.3031238419,1903307.3158311904,21091.294553598284,41015.98609505908,12227.57730500281,28788.408790056274,157027.35017336207,1181260.3995377012,352154.22638408083,829106.1731536203,0.0,0.0,0.0,9390771.098815385,28111830.61715885,4342069.935149124
1976.0,900496450.0,240366760.82520851,3114901.2370467167,31490975.529935803,56771.52639310132,7186.641150741375,49584.885242359946,397558207.18344617,7297714.453258051,7297714.453258051,168087544.0773676,2400978.0782255186,303937.00777966436,2097041.0704458542,3123.266743716435,41015.98609505908,12299.049304313314,28716.936790745767,614054.7003467241,1771890.5993065517,531318.929946335,1240571.6693602167,0.0,0.0,0.0,10713629.015097227,32740637.31387093,4815533.712234184
1977.0,898201725.0,258748480.44520423,3358980.3800042816,33052062.85561604,61637.440554427645,7858.662733210492,53778.777821217154,425095277.8332238,8046093.94443562,8046093.94443562,179776174.8671913,2635581.935197538,336031.9531141183,2299549.98208342,0.0,41015.98609505908,12366.186927740224,28649.79916731886,729671.0340653065,2460959.1657035444,741971.2156644133,1718987.950039131,0.0,0.0,0.0,12147060.453546707,37827504.88464089,5312555.133570295
1978.0,888733075.0,277307261.3916511,3605819.053553169,34608177.1523748,66718.54102248186,8563.696787402232,58154.84423507963,452761999.6960501,8828455.927138861,8828455.927138861,191573241.46934897,2880645.5834305454,369746.9241744359,2510898.6592561095,0.0,41015.98609505908,12429.485962836648,28586.500132222434,123424.50057787361,2559397.532331686,775599.9240810067,1783797.6082506794,0.0,0.0,0.0,13209893.539012952,43392127.00341634,5832887.311854595
1979.0,907741862.5,297274641.75944865,3871819.632202465,35991018.93519105,71815.12495016943,9276.11441871921,62539.010531450214,480821658.0743625,9647003.754478388,9647003.754478388,203613606.72446835,3137419.1530682156,405249.71673495957,2732169.436333256,0.0,41015.98609505908,12489.361713523791,28526.62438153529,358588.98354522034,2903931.8155301823,884246.8093174843,2019685.006212698,0.0,0.0,0.0,14489923.831937326,49455808.928428024,6378030.2763314145
1980.0,890964862.5,317261843.30044276,4138498.4590058834,36213062.08834076,75714.39294753673,9838.02415842289,65876.36878911384,508941626.30887103,10497826.692689387,10497826.692689387,215314333.81338748,3400651.1034703255,441866.94772142335,2958784.155748902,0.0,41015.98609505908,12546.16552985677,28469.82056520231,163273.88366079502,3051589.365472395,933434.7154213435,2118154.6500510518,0.0,0.0,0.0,15669111.687843658,56034735.36027363,6943560.785381797
1981.0,913937050.0,338431367.986859,4421375.313583716,36511758.92208864,79852.3768951352,10434.13733352829,69418.23956160691,537387054.7483494,11382815.496208692,11382815.496208692,227240388.06211683,3675188.254812796,480228.8982286149,3194959.356584181,0.0,41015.98609505908,12600.197300625794,28415.788794433287,1172643.6838919444,4183630.581696025,1285220.1246638305,2898410.4570321944,0.0,0.0,0.0,17574019.33818111,63149067.597350195,7532860.85527791
1982.0,938603800.0,360894780.3082644,4721987.678594672,37021238.69394678,84400.37496778218,11087.309003833114,73313.06596394906,566124319.6101867,12300864.01603756,12300864.01603756,239430038.8532667,3961388.3475693706,520390.30289203464,3440998.044677336,0.0,41015.98609505908,12651.715037115207,28364.27105794387,949972.2678994637,5069575.881349301,1563751.978587439,3505823.9027618617,0.0,0.0,0.0,19349363.30049865,70818546.28845792,8145696.435571132
