Year,Fuel_Emissions,Biochar_Stock,Biochar_Decay,Construction_InUse,Construction_Disposed,Construction_Recycled,Construction_LandfillIn,Exterior_InUse,Exterior_Disposed,Exterior_LandfillIn,Household_InUse,Household_Disposed,Household_Recycled,Household_LandfillIn,GraphicPaper_InUse,GraphicPaper_Disposed,GraphicPaper_Recycled,GraphicPaper_LandfillIn,OtherPaper_InUse,OtherPaper_Disposed,OtherPaper_Recycled,OtherPaper_LandfillIn,HouseholdPaper_InUse,HouseholdPaper_Disposed,HouseholdPaper_LandfillIn,LF_Input_Total,LF_Stock_Total,LF_Decay_Total
1961.0,23203750000.0,0.0,0.0,25625792886.403492,31316912.87254457,2661937.5941662886,28654975.27837828,16031364230.418467,167362167.09907597,167362167.09907597,15301093638.360592,139885470.48871616,11890264.991540873,127995205.49717528,1084946412.0684993,96953587.93150064,21814557.284587644,75139030.64691299,583370022.0879537,565429977.9120463,127221745.03021042,438208232.8818359,0.0,0.0,0.0,837359611.4033785,170834613.30202007,153177734.57260948
1962.0,23037500000.0,0.0,0.0,51128913735.80662,64292278.47204488,6133303.843443907,58158974.62860097,32683441597.79759,356431655.4236547,356431655.4236547,30703439202.206375,290500839.23679554,27712968.900136866,262787870.3366587,2182636415.528779,203709996.53972042,49647176.48477845,154062820.05494195,619464208.2290809,1148455813.858873,279895878.6713432,868559935.1875297,0.0,0.0,0.0,1700001255.631386,523011448.28581154,325201665.4051229
1963.0,24296250000.0,0.0,0.0,76961226357.81357,99549604.46270734,10102212.661251824,89447391.80145551,50739151368.4832,576714251.4417205,576714251.4417205,46678796730.05564,456584697.12173057,46333842.6414832,410250854.4802474,3226995749.599374,315240665.92940503,80279986.11002113,234960679.81938392,657117878.7485913,1767436263.2166283,450099793.57534206,1317336469.6412864,0.0,0.0,0.0,2628709647.1840935,1077248038.2470527,522175907.7621821
1964.0,25758965000.0,0.0,0.0,103609663454.41217,137788635.26827157,14577268.119285235,123211367.14898632,69161930618.19153,819457780.3853389,819457780.3853389,62971375083.07757,636513649.9258677,67339589.49871981,569174060.4271479,4227754048.338215,432841701.2611584,113590625.04608952,319251076.2150689,701143051.618001,2427982312.8831167,637175271.5084159,1790807041.3747008,0.0,0.0,0.0,3621901325.5512424,1849724225.3175516,739367020.890974
1965.0,24965457550.0,0.0,0.0,130342913886.84566,178257507.27006596,19455303.973602228,158802203.29646373,96098661951.34601,1170817318.401941,1170817318.401941,82470247489.00659,857246911.8162227,93561272.70729014,763685639.1089325,5199036242.415052,558317805.9231632,149883108.1217853,408434697.8013779,810777332.9916221,3193512880.5585184,857313937.1287395,2336198943.429779,0.0,0.0,0.0,4837938802.038494,2914575135.993678,1028454250.1312108
1966.0,24153750000.0,0.0,0.0,156635191772.02295,220408217.49398127,24658476.14884617,195749741.3451351,122296568746.25294,1542999361.0033593,1542999361.0033593,101211302029.91132,1084928155.0311172,121377847.60578188,963550307.4253353,6140219209.919331,692317032.4957212,189263903.4759533,503053129.0197679,900029438.8063878,4042322306.401328,1105079989.2347908,2937242317.1665373,0.0,0.0,0.0,6142594855.9601345,4282051808.2608147,1334822737.5066936
1967.0,22823750000.0,0.0,0.0,183820154169.50262,265930052.13065964,30366194.24180396,235563857.8888557,147751785480.894,1936304674.6138353,1936304674.6138353,119819389891.19064,1325165754.3880644,151318891.4826496,1173846862.9054148,7056641146.160427,836078063.7589033,232044749.6668693,604033314.092034,991055733.9134315,4976797720.802278,1381258319.437534,3595539401.364743,0.0,0.0,0.0,7545288110.864883,5966940188.555198,1660827015.1137228
1968.0,21493750000.0,0.0,0.0,211233856173.7937,314165437.9811556,36503392.16886905,277662045.8122865,172653706891.07986,2352918720.8691835,2352918720.8691835,138179726289.69232,1577158871.934503,183252649.25637546,1393906222.6781275,7850874299.791875,981766846.3685532,276018763.0766594,705748083.2918937,1063089571.5734441,5978457320.426934,1680812914.7919638,4297644405.634971,0.0,0.0,0.0,9027879478.28646,7984793154.85691,2006634023.0578856
1969.0,20876250000.0,0.0,0.0,239163401609.76944,365576504.8691908,43122808.13481013,322453696.73438066,195376055039.85007,2776111211.1502185,2776111211.1502185,155752306651.45636,1836110457.2120361,216584594.21237803,1619525862.999658,8545225275.401386,1131549024.3904898,321727748.3128536,809821276.0776362,1051180305.3123711,6966507815.865251,1980752777.7327294,4985755038.132521,0.0,0.0,0.0,10513667085.094416,10340510244.412138,2362373681.329029
1970.0,20543750000.0,0.0,0.0,268228810593.05,421054672.2128561,50332360.311685026,370722311.9011711,217724584539.0049,3223294527.293543,3223294527.293543,173444619022.03513,2110070170.2281265,252235206.2564712,1857834963.9716554,9184987357.472843,1289837917.928542,370402493.7133419,919435424.2152,1181331383.7929192,8081125441.1957,2320655156.6078606,5760470284.587839,0.0,0.0,0.0,12131757511.969408,13052716127.712616,2739645919.865892
1971.0,20520000000.0,0.0,0.0,298212499463.3068,480514457.18930167,58127079.04217316,422387378.1471285,239320679189.2679,3690565774.2861605,3690565774.2861605,191002451461.1568,2396993137.2679644,289960494.3595518,2107032642.9084125,9726220264.616673,1453467092.8561707,421132166.4130891,1032334926.4430816,1251565308.9671042,9259924881.567698,2683000011.0521703,6576924870.515528,0.0,0.0,0.0,13829245592.30031,16136840163.055168,3135861759.9991493
1972.0,20258750000.0,0.0,0.0,327238064969.41925,541832610.6065284,66251823.759077236,475580786.84745115,260027724285.68054,4176042214.0957623,4176042214.0957623,207682712719.8763,2690166575.1829133,328936351.0661891,2361230224.116724,10232431317.52904,1628588947.0876348,475698583.713229,1152890363.3744059,1303493831.2779326,10487082169.54577,3063197834.0871897,7423884335.458581,0.0,0.0,0.0,15589627923.892925,19603240401.094532,3546452987.0205727
