Year,Fuel_Emissions,Biochar_Stock,Biochar_Decay,Construction_InUse,Construction_Disposed,Construction_Recycled,Construction_LandfillIn,Exterior_InUse,Exterior_Disposed,Exterior_LandfillIn,Household_InUse,Household_Disposed,Household_Recycled,Household_LandfillIn,GraphicPaper_InUse,GraphicPaper_Disposed,GraphicPaper_Recycled,GraphicPaper_LandfillIn,OtherPaper_InUse,OtherPaper_Disposed,OtherPaper_Recycled,OtherPaper_LandfillIn,HouseholdPaper_InUse,HouseholdPaper_Disposed,HouseholdPaper_LandfillIn,LF_Input_Total,LF_Stock_Total,LF_Decay_Total
1961.0,86925000.0,6700546.22209973,79453.77790027032,2901789950.574172,3546235.7578318366,301430.0394157061,3244805.7184161306,303161712.22896,3164908.5137641323,3164908.5137641323,964712035.3949262,8819578.531237924,749664.1751552236,8069914.356082701,2062031580.8693376,184268419.1306624,41460394.30439904,142808024.82626337,969862817.8845602,940037182.1154399,211508365.975974,728528816.1394659,0.0,0.0,0.0,885816469.5539922,7642020.446075634,6837608.14218733
1962.0,88112500.0,14356942.098442806,173604.12365692208,5709685445.732573,7182498.81555778,685190.3313730967,6497308.484184683,639883310.5920001,6968127.248840367,6968127.248840367,1876338356.8429837,17771980.41860072,1695397.3073828558,16076583.111217864,3879576039.9836845,363155540.8856531,88506443.15955149,274649097.7261016,1024774177.0965298,1904388640.7880306,464128027.83772737,1440260612.9503033,0.0,0.0,0.0,1744451729.520648,23008244.082188915,14175795.208129633
1963.0,90416250.0,20970918.971312515,256023.12713029413,8726295326.953094,11281030.21004077,1144789.7441172702,10136240.4659235,931429458.1973712,10633608.322352674,10633608.322352674,2818241339.9387054,27608052.85086581,2801642.6842459915,24806410.16661982,5588916915.484402,548359124.4992828,139646522.97735,408712601.52193284,1099228588.993511,2940157134.4493384,748747859.7311752,2191409274.7181635,0.0,0.0,0.0,2645698135.194992,46474210.83742338,22110292.19966153
1964.0,101127500.0,26525170.51816969,325748.4531428241,12375981010.366688,16384137.025566217,1733350.1987284995,14650786.826837717,1209730953.8629138,14466717.85591948,14466717.85591948,3918278945.699908,39536631.84263004,4182754.853340221,35353876.98928982,7309866552.533928,751150362.9504739,197124350.50166446,554026012.4488094,1206229953.4308062,4077440193.695917,1070042416.9863359,3007397776.7095814,0.0,0.0,0.0,3625895170.830438,79438269.48259988,31507323.02687051
1965.0,99773750.0,31579754.186060626,389516.33210906555,15900426223.440083,21619588.678481143,2359595.822726576,19259992.855754565,1481507776.2070835,18536959.190308966,18536959.190308966,4957544728.213927,51677935.38177816,5640210.934047444,46037724.44773071,8801403878.325777,951562674.2081516,255451589.8828841,696111084.3252676,1199116926.064677,5204707149.1380825,1397228739.7974386,3807478409.340644,0.0,0.0,0.0,4587424170.159706,122018750.83833577,41254195.13805836
1966.0,98491250.0,36789155.577751555,455498.60830906813,19183354190.222828,26848449.152171418,3003707.622971937,23844741.52919948,1680316253.1222513,22154819.379150648,22154819.379150648,5845312944.212806,63186241.88599556,7069048.768672126,56117193.117323436,10181847181.965849,1159956696.3599277,317106068.3351133,842850628.0248144,1873803139.4712167,6986220098.782536,1909875424.6609044,5076344674.121632,2210455.4881280074,116939544.51187198,116939544.51187198,6138251600.683992,173543238.70683512,50592266.157174215
1967.0,88065000.0,42160090.5485451,523765.0292064549,22739888999.6924,32695054.298033595,3733404.1850697272,28961650.112963866,1815769950.2060313,25360285.877249684,25360285.877249684,6725788726.524696,75302478.74963309,8598688.55843781,66703790.19119528,11397499944.775114,1372247237.1907344,380852913.66620445,991394323.5245299,1917514080.2086823,8789980119.284948,2439567337.990111,6350412781.294838,2139958.3764629937,230149586.13540897,230149586.13540897,7692982417.136187,234279630.6608127,60289334.22743126
1968.0,89727500.0,51135881.01383816,638309.5347069403,26656584442.31895,39295809.14204836,4565843.846232575,34729965.29581578,1905467982.7101364,28281246.086570106,28281246.086570106,7657476709.789263,88571228.18172413,10291234.764626766,78279993.41709736,12498809355.320887,1593290589.4542267,447945557.8985252,1145345031.5557015,2064189396.0564656,10735220682.223658,3018152777.3346667,7717067904.88899,2389481.0480141616,356560105.0873948,356560105.0873948,9360264246.33157,304879468.82426816,70691366.63602781
1969.0,98515000.0,60243644.900903635,755036.112934519,30105010774.034466,45676082.16298833,5387876.138728205,40288206.02426012,2015144142.6662242,31560704.040157653,31560704.040157653,8452966095.854686,101324492.22704346,11952071.808409285,89372420.41863418,13562669019.165146,1830740336.1557426,520525362.4907408,1310214973.6650019,2166736068.204401,12775503488.141838,3632395841.63564,9143107646.506199,2639931.31313987,496220173.7742549,496220173.7742549,11110764124.428507,385089414.79651093,81011384.51080921
1970.0,93456250.0,66055595.60226883,829749.2986348054,33802880449.402115,52693619.21692695,6298930.7650108,46394688.45191614,2160012522.201128,35373469.0414685,35373469.0414685,9309202413.475954,115287447.8973101,13781320.455336468,101506127.44197363,14389629717.12457,2068239302.0405726,593935861.5709507,1474303440.469622,2057627539.0029278,14707110337.30255,4223437897.532744,10483672439.769806,2810608.530855167,644909565.2433997,644909565.2433997,12786159730.418186,475974097.71550965,92389602.01635957
