Year,Fuel_Emissions,Biochar_Stock,Biochar_Decay,Construction_InUse,Construction_Disposed,Construction_Recycled,Construction_LandfillIn,Exterior_InUse,Exterior_Disposed,Exterior_LandfillIn,Household_InUse,Household_Disposed,Household_Recycled,Household_LandfillIn,GraphicPaper_InUse,GraphicPaper_Disposed,GraphicPaper_Recycled,GraphicPaper_LandfillIn,OtherPaper_InUse,OtherPaper_Disposed,OtherPaper_Recycled,OtherPaper_LandfillIn,HouseholdPaper_InUse,HouseholdPaper_Disposed,HouseholdPaper_LandfillIn,LF_Input_Total,LF_Stock_Total,LF_Decay_Total
1961.0,9906552500.0,1453447.459125189,16552.54087481092,21582163978.86298,26375252.150173787,2241896.432764772,24133355.717409015,4802077467.387606,50132108.5322664,50132108.5322664,7500404275.6177435,68570103.92511922,5828458.833635135,62741645.091484085,12033367486.151398,1075332513.8486018,241949815.61593542,833382698.2326664,10687074744.404545,10358421255.595455,2330644782.5089774,8027776473.086477,19456275.225969348,1029293724.7740306,1029293724.7740306,10027460005.434334,72215554.79347408,64791554.547685415
1962.0,7888158750.0,2771337.02946438,32110.429660809183,44574149888.561646,55996443.87203312,5341904.386992061,50654539.48504106,8054529805.270853,88647860.6893924,88647860.6893924,14613797581.774902,138407993.581084,13203736.112157453,125204257.46892656,23473978250.67385,2193789235.4775486,534659286.211927,1659129949.2656217,11546237456.364206,21231037288.040344,5174321697.99642,16056715590.043924,20289254.255905963,2102654470.5181246,2102654470.5181246,20083006667.47103,209572921.47536632,127149290.96146777
1963.0,7290325650.0,4429377.586489676,51959.44297470402,69221603715.78734,89330597.03669989,9065196.122998154,80265400.91370174,11103668383.669586,128352899.79914773,128352899.79914773,21920134999.28501,214744605.36817688,21792107.392034978,192952497.9761419,34122286333.848206,3341391916.8256445,850927325.2549555,2490464591.570689,11984593301.37477,32512715921.775806,8279770552.139789,24232945369.636017,21651889.216904722,3248102581.30122,3248102581.30122,30373083341.19692,416041628.85398704,195102091.31037065
1964.0,7928963150.0,5267308.332228419,62069.254261256116,95537978718.17386,126584286.5043598,13391910.591681262,113192375.91267854,14320341869.966848,173065688.2231072,173065688.2231072,29529460660.392845,298869871.42998993,31618763.33362947,267251108.09636047,44526823055.85607,4569763277.99213,1199242738.2744267,3370520539.717704,12697862920.068254,44473149734.23663,11671086361.044188,32802063373.192444,23082238.508844875,4469220342.792375,4469220342.792375,41195313427.93467,698533498.8960332,271017302.1901001
1965.0,7204182500.0,5205980.487120986,61327.845107433655,122905667491.54523,167200618.8264691,18248537.824076306,148952081.0023928,17521649471.728832,221156817.844926,221156817.844926,37133896626.49561,388319701.60807586,42381821.385383464,345937880.2226924,54580290460.87537,5876532594.980713,1577583521.3751113,4298949073.605601,13403240461.751263,57096395647.56373,15327802823.802052,41768592823.76167,24294603.31076821,5754475739.4816065,5754475739.4816065,52538064415.91889,1061709081.8017782,352871196.16426617
1966.0,7228692500.0,5145384.979627947,60595.50749303824,153287930647.95465,213740049.0897884,23912465.52628048,189827583.5635079,21619055118.959797,282244756.07206315,282244756.07206315,45000434552.08706,485685695.0239735,54336763.22395496,431348931.80001855,64834751034.58379,7318039426.291564,2000587364.7481399,5317452061.543425,14288885772.856363,70557668048.05319,19288879296.809193,51268788751.244,26078365.754607975,7134097373.726998,7134097373.726998,64623759457.95002,1517757040.2511115,447373312.98625624
1967.0,7309466250.0,5085512.851779678,59872.12784826922,183123717396.23468,262155403.4231314,29935172.193227593,232220231.22990382,25481143220.166588,345473160.40235937,345473160.40235937,52502821235.25771,585552951.7610393,66863502.374304876,518689449.38673437,73496056458.7872,8745994575.796608,2427359608.987121,6318634966.809486,13692444958.611973,83415070288.46231,23150983075.08301,60264087213.3793,26880734.19658478,8556166639.530414,8556166639.530414,76235271660.7382,2068609007.6387527,545530873.6313562
1968.0,7488517500.0,5026355.257723007,59157.594056670634,215626845101.9711,316438800.58051044,36767537.85924021,279671262.7212702,29782700834.646854,417794364.8986916,417794364.8986916,60354700848.300705,694348620.0751704,80677493.18127517,613671126.8938953,81358857410.15477,10230199048.632416,2876168509.7395477,7354030538.892868,14811511894.379402,97375695913.26468,27376682395.749256,69999013517.51543,28410336.001000676,10059156303.529413,10059156303.529413,88723337114.45157,2724888157.1040773,654857605.0485328
1969.0,7475550000.0,4967903.46228687,58451.79543613772,248649612678.15424,374257048.8046134,44146750.93651441,330110297.868099,33825068399.18574,492434698.26846373,492434698.26846373,68209721242.00142,809243982.3813211,95457100.00965746,713786882.3716636,88620080147.42577,11793277262.729023,3353124307.6372633,8440152955.09176,15807954421.60562,112268194242.05434,31920661466.790787,80347532775.26355,30220998.65850209,11657935304.87091,11657935304.87091,101981952913.73445,3491122615.366419,770097420.2458845
1970.0,8579212500.0,5117643.160360777,60260.30192609286,280039307083.26855,433129270.48936886,51775743.015119456,381353527.4742494,36819604933.902725,561018957.2521372,561018957.2521372,75091834634.8653,921425212.9743886,110146042.49837841,811279170.4760102,94094056878.20895,13336323269.216803,3829789252.760083,9506534016.456718,15332912038.222939,126671601546.25208,36376258166.41092,90295343379.84116,31120764.42580556,13304314540.445105,13304314540.445105,114859843591.94537,4362260668.495771,882513602.0730436
