Year,Fuel_Emissions,Biochar_Stock,Biochar_Decay,Construction_InUse,Construction_Disposed,Construction_Recycled,Construction_LandfillIn,Exterior_InUse,Exterior_Disposed,Exterior_LandfillIn,Household_InUse,Household_Disposed,Household_Recycled,Household_LandfillIn,GraphicPaper_InUse,GraphicPaper_Disposed,GraphicPaper_Recycled,GraphicPaper_LandfillIn,OtherPaper_InUse,OtherPaper_Disposed,OtherPaper_Recycled,OtherPaper_LandfillIn,HouseholdPaper_InUse,HouseholdPaper_Disposed,HouseholdPaper_LandfillIn,LF_Input_Total,LF_Stock_Total,LF_Decay_Total
1961.0,395138487.5,30010410.957988627,369689.0420113732,38051802.56246553,46502.56055586377,3952.7176472484207,42549.84290861535,24699491.270008113,257854.56095805785,257854.56095805785,21877012.573299404,200003.75587737624,17000.319249576984,183003.43662779927,32312474.57890784,2887525.421092159,649693.2197457359,2237832.2013464235,11679587.837763697,11320412.162236303,2547092.7365031685,8773319.425733134,0.0,0.0,0.0,11494559.46757403,254783.47654979918,228624.3639446733
1962.0,395089087.5,59632817.34321041,747193.6147782175,78902270.83227244,99110.58096478143,9454.872678397369,89655.70828638406,46599803.15365339,509947.2510497049,509947.2510497049,43822041.08057238,414647.1054963722,39556.17604872393,375090.9294476483,60452268.49778969,5660206.0811181525,1379476.9771874975,4280729.103930655,10109092.479225786,20770495.358537912,5062080.733679338,15708414.624858573,0.0,0.0,0.0,20963837.617572963,761215.1148929098,468262.25044062664
1963.0,524945300.0,88867803.27289546,1124414.0703149424,112920231.53977115,146370.15519112325,14853.523959053871,131516.63123206937,68458552.68879944,783552.313828122,783552.313828122,63178100.06046818,620198.8228219164,62937.2706624077,557261.5521595087,81872119.23706305,8080149.260726638,2057711.268010378,6022437.99271626,10354435.311210748,30515893.65472395,7771254.73806965,22744638.9166543,0.0,0.0,0.0,30239407.406590257,1518139.0569766588,715406.555135951
1964.0,530334412.5,117717380.12512407,1499623.147771381,153823359.8946712,204693.52920905483,21655.432262273298,183038.09694678153,89456042.26298712,1071032.8011858705,1071032.8011858705,84715272.23431411,859104.6665621964,90888.47598079106,768216.1905814054,106379834.96358721,10992284.273475833,2884704.587544015,8107579.685931819,13867681.462771006,43657415.59958088,11457013.294708394,32200402.304872483,0.0,0.0,0.0,42330269.079518355,2550000.3844834976,990425.761207219
1965.0,540528150.0,146184069.33733976,1872010.7877843222,183663999.21767685,252744.81174067679,27584.965230754497,225159.8465099223,110513808.91116534,1382087.617951517,1382087.617951517,101495138.45301676,1069738.8952885158,116752.9811167645,952985.9141717514,123936356.35499871,13543478.608588507,3635812.161282784,9907666.447305724,14127776.615487013,56946595.09438001,15287588.142716585,41659006.95166343,0.0,0.0,0.0,54126906.77760234,3847036.009588164,1263197.7535285242
1966.0,542141250.0,174271447.35348633,2241121.9838534174,220361534.57101932,311777.92935806885,34880.589853790385,276897.3395042785,129269500.63355187,1692895.530927233,1692895.530927233,119776522.64339809,1306706.3677314606,146189.59387542578,1160516.7738560347,133801062.45556217,15635293.89943652,4274337.646632151,11360956.252804369,12913721.915140288,69054514.18964145,18877950.844359618,50176563.345281824,25972.620087110456,1374027.3799128893,1374027.3799128893,66041856.62228663,5424007.132565234,1553338.5213104754
1967.0,543991850.0,201894252.2301779,2605495.1233084206,260574306.83093274,378296.68839793344,43197.18899343765,335099.4994044958,134434254.49620607,1884122.4693503538,1884122.4693503538,132039393.50506698,1502509.230843814,171569.50404194827,1330939.7268018657,140655985.23746777,17645077.218094416,4897207.214739218,12747870.003355198,12825461.89752976,81113214.10158882,22512126.889512498,58601087.21207632,25972.620087110456,2748054.7598257787,2748054.7598257787,77647173.67081401,7199385.958119718,1774782.8700022313
1968.0,550354950.0,229205149.54004648,2966902.690131422,298173112.0811169,445185.5722080461,51726.834226772706,393458.7379812734,139248880.26227257,2081594.6724262077,2081594.6724262077,143329886.0315867,1699718.1059949354,197493.0055908381,1502225.1004040972,138432770.88657936,19023214.3508884,5348280.107742859,13674934.243145542,11097352.496836312,91498461.78085777,25724327.866219852,65774133.91463792,27827.807236189772,4220226.952589588,4220226.952589588,87646573.62118463,9177346.25337072,1999318.2155605764
1969.0,551493050.0,256148320.14904773,3324429.3909987533,338912313.6736885,519432.33315424976,61271.39064815543,458160.94250609435,144923728.37749064,2297395.0198803484,2297395.0198803484,155772504.5997189,1917250.301345346,226155.71785967346,1691094.5834856725,151813827.9173798,21918942.96919957,6232104.853501122,15686838.11569845,11729797.987453178,102548168.43486668,29157014.5110844,73391153.92378229,28755.400810729432,5741471.5517788585,5741471.5517788585,99266114.13713172,11379751.04010716,2244245.7591356747
1970.0,553818887.5,282698127.66398084,3677592.485066899,381357512.17276233,599639.5556907358,71680.17876525848,527959.3769254773,149702743.88717675,2513698.195466897,2513698.195466897,168430927.67037034,2147347.693012405,256691.31571713724,1890656.377295268,162390953.13265008,24822874.784729756,7128379.925567762,17694494.859161995,12730949.800011694,114547805.32683717,32894670.061018866,81653135.2658183,34320.96225796739,7557150.589520891,7557150.589520891,111837094.66418883,13814026.277544627,2498038.712250176
