Year,Fuel_Emissions,Biochar_Stock,Biochar_Decay,Construction_InUse,Construction_Disposed,Construction_Recycled,Construction_LandfillIn,Exterior_InUse,Exterior_Disposed,Exterior_LandfillIn,Household_InUse,Household_Disposed,Household_Recycled,Household_LandfillIn,GraphicPaper_InUse,GraphicPaper_Disposed,GraphicPaper_Recycled,GraphicPaper_LandfillIn,OtherPaper_InUse,OtherPaper_Disposed,OtherPaper_Recycled,OtherPaper_LandfillIn,HouseholdPaper_InUse,HouseholdPaper_Disposed,HouseholdPaper_LandfillIn,LF_Input_Total,LF_Stock_Total,LF_Decay_Total
1961.0,0.0,32962.87100636707,337.1289936329257,848834.6786530401,1037.3486507290063,88.17463531196555,949.1740154170408,0.0,0.0,0.0,312880.80667074624,2860.415071135776,243.135281046541,2617.279790089235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3566.453805506276,1888.1991360466013,1678.2546694596747
1962.0,0.0,66765.5882777183,697.2827286487804,1696602.915999385,2133.2948331239495,203.51037029878017,1929.7844628251694,0.0,0.0,0.0,622814.7730593099,5894.36914625882,562.3063577556322,5332.062788503188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7261.847251328358,5676.036992642079,3474.009394732879
1963.0,0.0,101690.44834743568,1075.1399302826221,2543244.8689842923,3290.338378164118,333.900854785861,2956.4375233782566,0.0,0.0,0.0,929626.3760714196,9105.746982116678,924.0437764607567,8181.703205655921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11138.140729034178,11423.921817183773,5390.255904492484
1964.0,0.0,137721.56047733623,1468.8878700994483,3388698.1687767524,4511.030588868497,477.2418440766383,4033.788744791859,0.0,0.0,0.0,1233136.4669074747,12497.906498532731,1322.2087119460757,11175.697786586656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15209.486531378514,19207.3663697548,7426.041978807486
1965.0,0.0,174547.22438834992,1874.3360889863086,4232897.870600093,5797.971587772834,632.799714289351,5165.171873483483,0.0,0.0,0.0,1533162.8238411671,16073.627176488648,1754.3008845241138,14319.326291964535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19484.498165448018,29110.163364056058,9581.70117114676
1966.0,4037500.0,212749.74932856642,2297.4750597834905,6304784.1457202695,8655.760057807689,968.3752056177972,7687.384852189892,0.0,0.0,0.0,2282533.5066216113,23976.588073449064,2682.4141670489125,21294.173906400152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28981.558758590043,43875.068719353796,14216.653403292308
1967.0,4275000.0,252015.16079416644,2734.5885343999853,8692218.838911964,12059.188546335463,1377.0224871638009,10682.166059171663,0.0,0.0,0.0,3122841.3828931483,33223.61510339257,3793.7598310583535,29429.855272334218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40112.02133150588,64265.38072210472,19721.70932875496
1968.0,4275000.0,292329.8198308462,3185.340963320242,11159665.31450855,15749.428241591035,1829.9516306842881,13919.476610906746,0.0,0.0,0.0,3727750.5641855234,40905.17773745172,4752.83899553921,36152.33874191251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50071.81535281925,89560.03340556184,24777.162669362126
1969.0,4512500.0,333977.0326531941,3652.7871776521097,14499548.350652592,20708.408299966042,2442.7300606100953,18265.678239355948,0.0,0.0,0.0,4483040.537163284,50414.08600135304,5946.76334220673,44467.32265914631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62733.00089850226,121142.11060043974,31150.92370362435
1970.0,4512500.0,376940.35494182905,4136.677711365039,17436469.414838664,25447.324930751718,3041.942084745766,22405.382846005952,0.0,0.0,0.0,5081931.59187699,59052.07854304832,7059.013212612158,51993.06533043616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74398.44817644212,158408.89328829548,37131.6654885864
1971.0,4750000.0,421500.2160782891,4640.138863539962,20809533.757555645,30974.35033840915,3746.918502581856,27227.431835827294,0.0,0.0,0.0,5560125.422248359,67057.79968402878,8111.876686141336,58945.92299788744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86173.35483371474,201366.9020324732,43215.346089537
1972.0,4750000.0,467637.2715425449,5162.94453574423,23389990.93689245,35828.72392676142,4380.907048860139,31447.81687790128,0.0,0.0,0.0,6030149.895987485,75390.10840409837,9218.219939872095,66171.88846422627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97619.70534212755,249824.292477153,49162.31489744774
1973.0,4987500.0,516815.52213429764,5721.7494082472185,25965471.66630537,40928.69051762436,5053.638970671911,35875.05154695245,0.0,0.0,0.0,6491680.734944635,84044.12557989208,10377.28456285924,73666.84101703283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109541.89256398528,304004.55186001665,55361.63318112162
1974.0,5225000.0,565736.464033272,6279.058101025633,28641725.009976868,46412.470854287334,5782.3375935178465,40630.133260769486,0.0,0.0,0.0,6944399.325509614,93013.39704270152,11588.154056898964,81425.24298580256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122055.37624657204,364185.65492739424,61874.27317919445
1975.0,5225000.0,615291.5479274462,6844.916105825819,30719541.137238596,51442.11628524691,6462.197384516781,44979.91890073013,0.0,0.0,0.0,7397900.183035638,102380.43597216286,12861.107460984058,89519.3285111788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134499.24741190893,430305.00872371974,68379.8936155834
1976.0,5462500.0,666362.1856617338,7429.362265712325,32039728.49921382,55790.697418831965,7062.479157640902,48728.21826119106,0.0,0.0,0.0,7564517.008927328,109514.80759671998,13863.351452635081,95651.4561440849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144379.67440527596,500973.20233881293,73711.48079018283
1977.0,5462500.0,718040.2024482661,8021.983213467762,33194224.900798656,60136.21958623401,7667.2597617220845,52468.95982451193,0.0,0.0,0.0,7664493.84499484,116243.9047590484,14820.88863644715,101423.01612260124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,153891.97594711318,576009.0715450416,78856.1067408844
1978.0,5700000.0,770910.7408460432,8629.461602222882,34505527.96008068,64866.84936259131,8326.021837140343,56540.827525450964,0.0,0.0,0.0,7817130.909802288,123605.34865687271,15865.435769075182,107739.91288779753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,164280.74041324848,655882.5882486353,84407.22370965485
1979.0,5700000.0,825255.6993924144,9255.041453628832,36031105.93265078,70069.06736287642,9050.582123500883,61018.485239375535,0.0,0.0,0.0,7982164.832500467,131251.8841869803,16953.35761423109,114298.5265727492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,175317.01181212472,740918.7363186402,90280.86374211987
1980.0,5700000.0,884319.5133311565,9936.186061257946,37551370.17345799,75495.2471518309,9809.54923379575,65685.69791803515,0.0,0.0,0.0,8139502.27897812,138995.24634674925,18060.48411974685,120934.7622270024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,186620.46014503756,831237.5905973885,96301.60586628935
1981.0,5700000.0,944488.1950046724,10631.318326484114,38368747.91926288,80298.73056822321,10492.461402333922,69806.26916588929,0.0,0.0,0.0,8160520.914928086,145641.5831571619,19030.67058517188,126610.91257199002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,196417.1817378793,926026.6472903951,101628.1250448727
1982.0,5700000.0,1003375.4083356292,11312.786669043267,39298876.688750505,85432.82337113676,11222.93724580332,74209.88612533345,0.0,0.0,0.0,8262359.466902901,153074.72673957967,20108.758956188234,132965.96778339142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,207175.85390872485,1025802.315987956,107400.18521116395
1983.0,5700000.0,1063070.7181082114,12004.690227417765,40381516.27157328,90957.92634055245,12009.394517952636,78948.53182259982,0.0,0.0,0.0,8414983.424134584,161054.09874816888,21264.36131974284,139789.73742842604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,218738.26925102586,1130972.2582427857,113568.32699619624
1984.0,5700000.0,1122377.6063141332,12693.11179407815,41458524.78541767,96695.59667651665,12828.682888437674,83866.91378807898,0.0,0.0,0.0,8559613.732031334,169058.61414736777,22429.142846191626,146629.47130117615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,230496.3850892551,1241613.8150149006,119854.82831714023
1985.0,5700000.0,1183078.890436937,13398.715877195942,42840455.85493123,103029.33931938569,13732.073585957483,89297.26573342821,0.0,0.0,0.0,8829119.279750198,178282.4828347047,23762.048650861558,154520.43418384314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,243817.69991727135,1358533.1751528378,126898.33977933432
1986.0,5700000.0,1246936.844746846,14142.045690091134,44619047.44833002,110096.98773704303,14738.843176538463,95358.14456050457,0.0,0.0,0.0,9237958.87939495,188922.09422142993,25291.274325900686,163630.81989552925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,258988.96445603383,1482666.8753731186,134855.26423575298
1987.0,5700000.0,1311838.2932894137,14898.551457432419,46551680.989233665,117635.01514667754,15814.563582268553,101820.45156440898,0.0,0.0,0.0,9695532.48452763,200225.4716967684,26917.822461195046,173307.64923557334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,275128.1007999823,1614467.9900772017,143326.9860958989
1988.0,5700000.0,1378363.2881524307,15675.0051369829,48550690.59789258,125553.21091674603,16947.55756317981,108605.65335356622,0.0,0.0,0.0,10197380.321449017,212173.28017083977,28639.800231380475,183533.4799394593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,292139.13329302554,1754342.9101956007,152264.21317462658
1989.0,5700000.0,1445602.4910677103,16460.79708472041,50197193.677502744,133350.731110468,18070.28255629868,115280.44855416933,0.0,0.0,0.0,10600288.657305649,223475.8294256635,30283.08392909848,193192.74549656504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,308473.1940507344,1901879.2437070862,160936.8605392489
1990.0,5700000.0,1513250.158862341,17252.332205369305,51946926.282615505,141566.0802718472,19255.52954639873,122310.55072544847,0.0,0.0,0.0,11007489.986786854,235005.6704565082,31964.992054289723,203040.67840221847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,325351.2291276669,2057331.9653939754,169898.5074407776
1991.0,5700000.0,1586045.0281334543,18105.130728886714,53688296.9586498,150075.33103416403,20486.75463510682,129588.57639905722,0.0,0.0,0.0,11403122.569040392,246610.32097218602,33664.72758332274,212945.5933888633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,342534.1697879205,2220825.768924948,179040.36625694798
1992.0,5700000.0,1661257.6963372726,18987.331796181672,55161705.376010075,158565.9107791556,21721.31596544009,136844.5948137155,0.0,0.0,0.0,11701872.067434762,257492.3856744421,35272.861868269596,222219.5238061725,3671.8721112395274,328.1278887604726,104.53329930035656,223.59458946011605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,359287.71320934815,2391980.4998926707,187909.38765216526
1993.0,5700000.0,1736486.9225555686,19870.773781703967,56733855.64926779,167472.07705705843,23018.637306317494,144453.43975074094,0.0,0.0,0.0,12023228.875223588,268672.06545220554,36928.33418956428,231743.73126264126,36390.5932236348,3281.278887604726,1048.0591936394,2233.219693965326,19550.614424082713,18949.38557591729,6052.541843267534,12896.843732649757,0.0,0.0,0.0,391327.2344399973,2571096.5930327657,197081.07787328726
1994.0,5700000.0,1813510.5967497209,20776.32580584788,58236147.41770225,176598.70223309487,24352.15007361151,152246.55215948337,0.0,0.0,0.0,12329021.350254096,279802.7195788393,38583.51013924731,241219.209439592,81761.61980995382,7628.973413680988,2442.8868066906953,5186.086606990293,14312.049353366285,32238.56507071643,10323.166828273583,21915.398242442847,0.0,0.0,0.0,420567.2464485085,2758218.119533865,206344.23509797629
1995.0,5700000.0,1892010.3311271088,21700.265622612173,59659630.666986555,185933.90040766826,25720.27752034534,160213.6228873229,0.0,0.0,0.0,12623696.437108016,290903.8288477355,40240.79091166218,250663.0379360733,122784.95187019656,11976.667939757252,3844.4433112987776,8132.224628458474,14132.461515602587,45527.74456551557,14614.150943635761,30913.59362187981,0.0,0.0,0.0,449922.4790737345,2953395.6185889137,215699.16176834726
1996.0,5700000.0,1972264.4424013651,22645.88872574354,59990224.520272665,194236.2971783157,26950.827002268088,167285.47017604762,0.0,0.0,0.0,12450551.907624204,297781.92023081693,41318.07047977383,256463.8497510431,132839.5165978765,13945.435272320086,4487.0136841630865,9458.421588157,10831.708431017194,55617.677144900095,17895.26634036807,37722.410804532024,0.0,0.0,0.0,470930.15231977974,3154198.953226481,222945.98528952315
1997.0,5700000.0,2054251.4758386973,23612.966562667763,61041542.10524944,203648.09119590954,28340.435857279026,175307.65533863052,0.0,0.0,0.0,12521365.551283626,306633.6477282517,42672.29402492214,263961.3537033296,165710.4507438604,18129.065854016113,5846.529170211511,12282.536683804603,7429.449177261015,62508.36280887002,20158.6209398243,42349.74186904572,0.0,0.0,0.0,493901.28759481036,3362080.826816745,231387.13545169565
1998.0,5700000.0,2137950.204187775,24601.271650922467,63567732.89781168,215140.9761777208,30025.890535117785,185115.085642603,0.0,0.0,0.0,13133947.138377309,320316.76787231327,44704.622892255866,275612.1449800574,237542.25161521268,26168.19912864769,8457.94993627972,17710.24919236797,59124.37602773793,119602.61545319225,38657.33858023771,80945.27687295454,0.0,0.0,0.0,559382.7566879829,3580167.7492431058,242640.30819630018
