Year,Fuel_Emissions,Biochar_Stock,Biochar_Decay,Construction_InUse,Construction_Disposed,Construction_Recycled,Construction_LandfillIn,Exterior_InUse,Exterior_Disposed,Exterior_LandfillIn,Household_InUse,Household_Disposed,Household_Recycled,Household_LandfillIn,GraphicPaper_InUse,GraphicPaper_Disposed,GraphicPaper_Recycled,GraphicPaper_LandfillIn,OtherPaper_InUse,OtherPaper_Disposed,OtherPaper_Recycled,OtherPaper_LandfillIn,HouseholdPaper_InUse,HouseholdPaper_Disposed,HouseholdPaper_LandfillIn,LF_Input_Total,LF_Stock_Total,LF_Decay_Total
1961.0,1746257700.0,13068750.337469641,157649.66253035885,435776348.5484096,532556.0071410341,45267.260606987904,487288.7465340462,88696918.58574376,925966.6423992725,925966.6423992725,164381696.72599748,1502808.3305497193,127738.70809672614,1375069.6224529932,82249935.2917654,7350064.708234587,1653764.559352782,5696300.148881804,47911700.543174125,46438299.45682588,10448617.377785824,35989682.07904006,3710.374298158636,196289.62570184135,196289.62570184135,44670596.865010016,1470907.481707937,1317417.5296783748
1962.0,1736793087.5,25732773.092251122,315777.24521851825,980337502.9653445,1228808.3537335852,117224.88575493889,1111583.4679786463,224125706.33197734,2424046.7748043216,2424046.7748043216,384215216.38890517,3617895.8358355095,345137.1605185526,3272758.675316957,170592529.67454416,15901405.617221262,3875410.654578743,12025994.962642519,56075474.22789354,99361226.3152806,24215818.675628353,75145407.63965225,10203.52931993625,736086.096381905,736086.096381905,94715877.6167766,5019717.762106967,3259578.637700895
1963.0,1793434225.0,41173168.818569474,511204.27368164464,1512639944.543654,1949867.8035859817,197870.99425927628,1751996.8093267055,383245289.7414944,4302196.7402837165,4302196.7402837165,605541583.2865081,5891366.460994843,597851.063051003,5293515.39794384,269620721.1391201,26171808.535424054,6664979.023259928,19506829.512164123,60932742.23306696,156792630.36530423,39929208.21547529,116863422.14982894,7420.748596317272,1128665.3477855877,1128665.3477855877,148846625.95733294,10875826.489239546,5491600.220421685
1964.0,2171542775.0,57505275.83094417,719892.9876253037,2124546336.4430513,2808864.1441916022,297162.14011995617,2511702.004071646,577152299.9502947,6704842.292489052,6704842.292489052,861767129.2955976,8634603.528109368,913492.8326121552,7721110.695497213,361958584.9939518,36762136.145168304,9647485.467763618,27114650.677404687,64506032.01706369,217548790.24819332,57091317.65796065,160457472.59023267,7420.748596317272,1521244.5991892703,1521244.5991892703,206031022.85888457,19556447.413507607,8257034.067789848
1965.0,2616187900.0,80009527.79204172,1009748.038902456,2791242456.5954247,3782821.10860119,412863.0298531824,3369958.078748008,796945302.496253,9578926.638321038,9578926.638321038,1138768259.2833338,11745656.335784936,1281939.3577402306,10463716.978044705,458669000.09234035,48689584.901611485,13070953.927658562,35618630.97395292,86955079.69314153,299961390.7892736,80526082.26185995,219435308.52741367,71424.70523955375,5299819.893949715,5299819.893949715,283766361.09043,31485731.04507642,11483318.063544944
1966.0,2728467212.5,97685107.5484604,1238820.243581326,3555403683.319022,4929774.078658651,551525.33748486,4378248.741173791,1012827102.3952166,12645934.74867652,12645934.74867652,1445235138.297194,15322629.577596929,1714240.5136827365,13608389.063914193,556211722.020843,61757278.071497306,16883050.63610249,44874227.435394816,108741627.7097627,402824561.99735034,110123173.98110652,292701388.0162438,101107.69962482284,10648712.194324892,10648712.194324892,378856900.199728,47013965.59718876,15104338.001652159
1967.0,2688454637.5,113975979.82225324,1450827.7262071527,4354337939.197157,6182213.327948548,705938.6077528282,5476274.72019572,1218209767.9630117,15841916.40934336,15841916.40934336,1752975340.407526,19132141.753543712,2184673.481222,16947468.272321712,666389855.5581365,77121866.46270643,21404369.966033414,55717496.49667302,145653067.5711918,540835152.0100051,150103157.706329,390731994.3036761,90904.17030488659,15457808.024020005,15457808.024020005,500172958.2262299,66316135.77167632,18963489.227373235
1968.0,2893205525.0,132109621.02125023,1687658.8010030088,5234427665.269607,7601849.970668694,883271.2868462309,6718578.683822463,1423750559.642144,19275733.417683452,19275733.417683452,2076914929.7320747,23317220.29975293,2709265.673396098,20607954.62635683,787457286.2995837,94832569.25855294,26661695.251726974,68170874.00682597,173453549.1304915,704710422.8542042,198125756.60191643,506584666.25228775,109456.04179567978,21248351.982224323,21248351.982224323,642606158.9692007,89724958.16076756,23193444.33877152
1969.0,3257960162.5,153077364.52275512,1962456.4984951208,6236943062.828989,9247576.314910829,1090829.0161661364,8156747.2987446925,1630874784.4444757,22968624.50091458,22968624.50091458,2434584534.0795774,28053806.66725154,3309181.269173238,24744625.3980783,920831568.7545673,115225717.54501632,32761559.467968676,82464158.07704765,174985118.901006,869274762.2648002,247156602.05645066,622118160.2083495,140066.6297554885,28658285.352468833,28658285.352468833,789110600.8356035,117691587.78972034,27903367.568784777
1970.0,3092426462.5,172973827.85207558,2224036.67067955,7246362441.814906,10989883.957574442,1313717.2810105076,9676166.676563933,1878998553.1125917,27338845.945158537,27338845.945158537,2803842704.286003,33166228.852878414,3964650.4147066684,29201578.438171744,1003519758.0053616,132911810.7492058,38168257.779648416,94743552.96955737,189758809.01547447,1048137274.4281337,300993368.8610901,747143905.5670435,139139.03618094887,36019146.31628788,36019146.31628788,944123195.912783,150739034.35735926,33169144.492255293
