Year,Fuel_Emissions,Biochar_Stock,Biochar_Decay,Construction_InUse,Construction_Disposed,Construction_Recycled,Construction_LandfillIn,Exterior_InUse,Exterior_Disposed,Exterior_LandfillIn,Household_InUse,Household_Disposed,Household_Recycled,Household_LandfillIn,GraphicPaper_InUse,GraphicPaper_Disposed,GraphicPaper_Recycled,GraphicPaper_LandfillIn,OtherPaper_InUse,OtherPaper_Disposed,OtherPaper_Recycled,OtherPaper_LandfillIn,HouseholdPaper_InUse,HouseholdPaper_Disposed,HouseholdPaper_LandfillIn,LF_Input_Total,LF_Stock_Total,LF_Decay_Total
1961.0,4404770000.0,31532876.283330068,388923.71666993113,9887424963.32903,12083279.82213139,1027078.7848811682,11056201.03725022,3002176973.5909357,31341739.67314377,31341739.67314377,3946845365.1083508,36082801.26201128,3067038.1072709593,33015763.154740322,3797174747.0355763,339325252.9644237,76348181.91699533,262977071.04742837,2425774222.678491,2351175777.3215094,529014549.89733964,1822161227.4241698,1292137.8493337452,68357862.15066625,68357862.15066625,2228909864.4873986,39754902.89092524,35658800.97420907
1962.0,4222987500.0,59799246.057713956,749330.2256161134,20132802277.730186,25301746.764615744,2413715.991489365,22888030.77312638,6191387662.814047,67487646.80534148,67487646.80534148,7993665573.956314,75608547.54527594,7212844.314707064,68395703.23056887,7367750714.9217825,688724032.113794,167852359.4937796,520871672.62001437,2632580524.27729,4830493698.401202,1177263645.5097737,3653230052.8914285,1683582.3377894813,157424279.81287676,157424279.81287676,4490297386.133357,122301136.20455873,76225147.49540325
1963.0,4324732500.0,87946372.6146222,1112473.4430917522,30583130212.54318,39524526.8005241,4010916.740747266,35513610.059776835,9029342019.834118,103134904.04422618,103134904.04422618,11859432957.123215,116165155.64765683,11788345.242694223,104376810.4049626,10869917916.971224,1063232797.9505594,270765556.2125493,792467241.73801,2771621647.5121226,7440636208.729695,1894851255.0735037,5545784953.656192,1852404.368355699,255421875.44452107,255421875.44452107,6836699395.347689,247320921.07051378,118005539.64301056
1964.0,4102361250.0,115972708.14459097,1476864.4700312258,42091183671.92,55840934.19979137,5907658.989994831,49933275.20979654,11430506173.282597,137198032.0601953,137198032.0601953,15746669533.615635,159579599.79207885,16882630.47244962,142696969.31962922,14352187402.326857,1469430514.6443675,385622573.1807253,1083807941.4636421,2661210946.5710654,9939740241.501644,2608485512.2282047,7331254729.273439,2036067.8961145517,363135807.5484065,363135807.5484065,9108026754.875109,415603161.5712617,161546036.08887315
1965.0,3654840000.0,142930452.98156196,1829355.1630290046,53683789944.70186,73170361.8246137,7985928.070897976,65184433.75371573,13833924554.218693,173961805.87704957,173961805.87704957,19508994770.340645,204609916.92715895,22331447.302246932,182278469.62491202,17714114414.84868,1901172987.4781783,510379059.0544506,1390793928.4237278,3511541943.8497086,13266440232.108038,3561439872.784393,9705000359.323645,3912589.6974082817,570123217.8509982,570123217.8509982,12087342214.854048,629202327.28788,207825543.53905904
1966.0,5492733750.0,169067037.48937806,2172615.4921839014,65907526014.62136,92224802.03983223,10317778.108674023,81907023.93115821,15986179674.207792,210869180.9035215,210869180.9035215,23147324374.01074,251262264.73722,28110315.634202704,223151949.10301727,21077029082.846268,2371585332.002411,648338082.5443798,1723247249.4580312,3727212474.4193344,16776727776.475916,4586379992.823457,12190347783.652458,4146343.278192276,789476874.5728059,789476874.5728059,15219000061.620993,889206889.8998592,255923591.32571775
1967.0,5118671250.0,195635805.85528502,2522831.634093034,78191553046.81635,112390258.99892674,12833692.199523276,99556566.79940347,17906058683.458084,247954244.81220216,247954244.81220216,26584367075.86455,298819602.74542135,34121807.699145705,264697795.04627565,23938595883.782433,2839233199.0638366,787999572.6243771,2051233626.4394593,3684465515.7362742,20239937172.003887,5617383541.00047,14622553631.003418,4589733.006822233,1032287141.5659837,1032287141.5659837,18318283005.666744,1196161904.3352807,305253592.2224598
1968.0,4801846250.0,222333633.9529465,2875871.902338507,91102991455.91382,134405828.07801327,15616831.321870612,118788996.75614266,20034454449.97583,289652809.2776737,289652809.2776737,30129910572.0139,350044843.3711566,40672278.51790023,309372564.85325634,26986658834.27449,3365337049.5079403,946147421.0268153,2419189628.481125,4280078046.4175897,24281890334.530357,6826730155.017016,17455160179.51334,4805862.3096899735,1286531279.2562938,1286531279.2562938,21878695458.137833,1554633712.303932,359342562.9184214
1969.0,3808122500.0,249601956.589176,3237477.3637705003,105348117422.81812,159221598.18568408,18781519.977428205,140440078.2082559,22006851967.35578,332388897.20042205,332388897.20042205,33802107439.54593,405221679.8932226,47799288.305886805,357422391.58733577,30296142705.380543,3961816128.8939466,1126443622.7720442,2835372506.1219025,4842658524.843687,28851325484.633728,8203154953.018819,20648170531.61491,5264093.535512566,1565017185.720781,1565017185.720781,25878811590.453606,1967796472.4046097,417088606.8953361
1970.0,4387266250.0,277580697.80391854,3609458.7852574685,120187176240.07219,186072962.65816182,22242934.276332576,163830028.38182923,23885188123.001022,376690098.71955657,376690098.71955657,37490060351.4752,463461104.2670235,55401573.31071412,408059530.9563094,33401854219.397655,4593388485.982885,1319082441.4083257,3274306044.5745597,4947880122.765123,33506525061.661865,9622062017.249298,23884463044.412567,5966281.871439087,1880650903.8493419,1880650903.8493419,29987999650.894165,2438324286.274507,478051844.18779767
1971.0,4280676250.0,307001251.15261036,4001546.651308173,135494706951.98521,214898664.4097924,25995953.84761622,188902710.56217617,25755750807.736988,423376953.047167,423376953.047167,41181661878.13281,524701564.471774,63472323.99625243,461229240.47552156,35716634126.69804,5210720092.699619,1509770569.967732,3700949522.7318873,5131888784.484354,38337437123.12124,11108010652.418182,27229426470.703056,6383698.979981934,2218367204.86936,2218367204.86936,34222252102.38917,2969268815.6123896,542564374.746982
1972.0,3914997500.0,335361719.79937387,4380331.35323648,151804499326.71188,246436817.29098377,30132716.76031796,216304100.5306658,27426833704.80748,470432425.98591226,470432425.98591226,44879253988.45415,588998070.6860949,72018914.34672076,516979156.3393741,37809634850.464966,5863399276.233075,1712654833.1530323,4150744443.080043,5404012322.406329,43426700677.796165,12684612679.404575,30742087998.39159,7049711.166501409,2591317493.7028584,2591317493.7028584,38687865618.03044,3562974109.167616,610010389.3007259
1973.0,3776796250.0,364894757.19474727,4775562.604626585,169265465259.9784,280994998.6964385,34695644.0095423,246299354.6868962,29167635070.624317,520455690.91354614,520455690.91354614,48734491871.24563,657763741.3001771,81216878.29465584,576546863.0055213,39937035917.32814,6552927221.674333,1928222639.478321,4624704582.196012,5700492032.301232,48795381536.14507,14358218273.624739,34437163262.52033,7756537.470300629,3001660956.232558,3001660956.232558,43406830709.55487,4223957948.692514,682318069.0810657
1974.0,3745636250.0,397960020.3571483,5218936.837598966,185663722130.3801,316007532.03743196,39370070.12773692,276637461.909695,30769650961.888535,571292296.1913307,571292296.1913307,52194757873.207504,726061580.6184087,90457006.39381051,635604574.2245982,42107936703.798935,7276908595.435439,2155817266.0475264,5121091329.387913,5619551550.644206,54077018268.80305,16020562598.983305,38056455669.81974,7827962.175540183,3415782994.0570173,3415782994.0570173,48076864325.5903,4952083792.423326,755408488.5948123
