Year,Fuel_Emissions,Biochar_Stock,Biochar_Decay,Construction_InUse,Construction_Disposed,Construction_Recycled,Construction_LandfillIn,Exterior_InUse,Exterior_Disposed,Exterior_LandfillIn,Household_InUse,Household_Disposed,Household_Recycled,Household_LandfillIn,GraphicPaper_InUse,GraphicPaper_Disposed,GraphicPaper_Recycled,GraphicPaper_LandfillIn,OtherPaper_InUse,OtherPaper_Disposed,OtherPaper_Recycled,OtherPaper_LandfillIn,HouseholdPaper_InUse,HouseholdPaper_Disposed,HouseholdPaper_LandfillIn,LF_Input_Total,LF_Stock_Total,LF_Decay_Total
1961.0,23322025.0,2625819.1224878975,30380.877512102474,7430679.112804883,9080.926057238847,771.8787148653021,8309.047342373544,0.0,0.0,0.0,2397222.6747391075,21915.85971877156,1862.8480760955829,20053.011642675978,458984.0139049409,41015.986095059074,9228.596871388292,31787.389223670783,101561.63337185825,98438.36662814177,22148.632491331897,76289.73413680987,0.0,0.0,0.0,136439.18234553016,14999.045312909751,13363.013672139772
1962.0,23858775.0,4591210.665047918,53908.45743997901,14275301.962793592,17970.011526061164,1714.2889220739842,16255.72260398718,0.0,0.0,0.0,4603467.379185299,43621.79255953543,4161.397205414703,39460.39535412073,785155.2389338346,73828.77497110634,17993.177963315185,55835.59700779115,409369.8002311495,492191.83314070886,119954.51975543457,372237.31338527426,0.0,0.0,0.0,483789.0283511734,44020.11903959579,26695.044231421874
1963.0,24638012.5,7179524.941944837,85285.72310308194,22838929.299288232,29466.063468614626,2990.192086211661,26475.871382402966,0.0,0.0,0.0,7411445.660377469,72299.07211611042,7336.850866160297,64962.22124995012,1170310.477867669,114844.7610661654,29246.657616391156,85598.10344977425,114054.70034672416,590630.1997688506,150411.3820271545,440218.8177416961,0.0,0.0,0.0,617255.0138238234,91246.71274401607,44211.49892793281
1964.0,25042475.0,9850355.030334856,117969.91160998214,30607382.746478837,40639.74563964656,4299.4581326337875,36340.28750701277,0.0,0.0,0.0,9882849.030168235,99804.70315156711,10558.780225767136,89245.92292579997,1514449.7307064445,155860.74716122448,40902.52773383305,114958.21942739144,206246.533487433,787506.9330251341,206665.40328673538,580841.5297383987,0.0,0.0,0.0,821385.9595986028,155534.8330815019,61298.090095326894
1965.0,25404425.0,12544388.691619812,151166.33871504467,38364361.01497908,52420.43368405695,5721.248363505223,46699.185320551725,0.0,0.0,0.0,12326002.141738722,128803.00330930925,14057.761832711945,114745.24147659731,1817572.9974501608,196876.73325628357,52852.508704292435,144024.22455199112,209369.80023114945,984383.6662814177,264262.5435214621,720121.1227599556,0.0,0.0,0.0,1025589.7741090957,237599.4017034327,79379.85817521825
1966.0,25771837.5,15291981.48053266,185207.21108715184,46144860.65228919,64875.93662269447,7258.0857194603095,57617.85090323416,0.0,0.0,0.0,14739402.94932953,159311.8454220016,17823.23447479615,141488.61094720545,2079680.2780988184,237892.71935134265,65034.51823312296,172858.2011182197,209369.80023114945,1181260.3995377012,322930.02157136914,858330.377966332,0.0,0.0,0.0,1230295.0409349913,338214.02800036076,98491.83555351156
1967.0,26262987.5,18063877.66090496,219703.81962770107,57068091.21660387,81846.1731693127,9345.904204864142,72500.26896444855,0.0,0.0,0.0,18379580.848812353,202844.93030693507,23162.589204619722,179682.34110231535,2300771.572652417,278908.7054464017,77408.20330131726,201500.50214508447,1935917.5675527395,3051589.365472395,846936.8125908829,2204652.552881512,0.0,0.0,0.0,2658335.66509336,465371.2906568018,125025.34741032287
1968.0,26593350.0,20860535.99177493,254641.66913002677,66896103.72691435,98400.65050299992,11433.331298518848,86967.31920448107,0.0,0.0,0.0,21687843.211482152,245979.02774614462,28580.702488582545,217398.32525756207,2572643.683891944,328127.88876047265,92251.48956865649,235876.39919181616,1328862.485278841,4282068.948324167,1203881.938870967,3078187.0094532003,0.0,0.0,0.0,3618429.0531070596,618218.2283999727,151518.70671887236
1969.0,27024175.0,23682720.344595354,290015.64717957674,76042548.82250503,115004.71601123069,13565.768688896334,101438.94732233435,0.0,0.0,0.0,24684471.420007337,288751.9667034282,34060.71093971553,254691.25576371266,2428109.400693448,344534.28319849627,97959.73197868532,246574.55121981096,699191.4512135346,4921918.331407089,1399424.7425526471,3522493.5888544414,0.0,0.0,0.0,4125198.343160299,796282.5512403995,178065.8802456201
1970.0,27412962.5,26531492.31099497,325828.03360038326,83273487.50986685,130136.63980474956,15556.374686404994,114580.26511834457,0.0,0.0,0.0,26934039.19258836,327034.61109962256,39093.31724963436,287941.2938499882,2450762.328618904,377347.0720745435,108362.68227895473,268984.3897955888,782013.4841230939,5660206.0811181525,1625440.2341843208,4034765.8469338315,0.0,0.0,0.0,4706271.795697753,996528.4655743509,202275.64463438146
