Year,Fuel_Emissions,Biochar_Stock,Biochar_Decay,Construction_InUse,Construction_Disposed,Construction_Recycled,Construction_LandfillIn,Exterior_InUse,Exterior_Disposed,Exterior_LandfillIn,Household_InUse,Household_Disposed,Household_Recycled,Household_LandfillIn,GraphicPaper_InUse,GraphicPaper_Disposed,GraphicPaper_Recycled,GraphicPaper_LandfillIn,OtherPaper_InUse,OtherPaper_Disposed,OtherPaper_Recycled,OtherPaper_LandfillIn,HouseholdPaper_InUse,HouseholdPaper_Disposed,HouseholdPaper_LandfillIn,LF_Input_Total,LF_Stock_Total,LF_Decay_Total
1961.0,1954791250.0,0.0,0.0,553406404.1697971,676310.0060677216,57486.35051575634,618823.6555519653,796956785.514231,8319966.584933211,8319966.584933211,480699480.9325558,4394644.895535508,373544.8161205182,4021100.07941499,110615147.35109076,9884852.648909237,2224091.8460045783,7660760.802904659,34861030.65489034,33788969.345109664,7602518.102649675,26186451.24245999,0.0,0.0,0.0,46807102.36526482,6825480.446903344,6134409.872996822
1962.0,1918762500.0,0.0,0.0,1154326320.795671,1449738.53748551,138301.00838337606,1311437.529102134,1596754735.6047347,17426577.87876159,17426577.87876159,969111256.1892085,9167807.060698856,874583.1944000174,8293223.8662988385,201614980.95848754,18900166.392603222,4606253.5586086875,14293912.833994534,39360797.09097124,70900233.56391911,17279448.57077035,53620784.99314876,0.0,0.0,0.0,94945937.10130586,20865888.13288793,12990831.588177979
1963.0,1896128750.0,0.0,0.0,1754503799.9962149,2266392.1742956215,229991.6292194639,2036400.5450761574,2419391480.525342,27568226.902733006,27568226.902733006,1458670641.0878973,14275747.324935108,1448691.1942359034,12827056.130699204,293421758.71975607,28793222.238731474,7332554.873823784,21460667.36490769,49698541.90578639,117929163.22051385,30032139.27808852,87897023.94242533,0.0,0.0,0.0,151789374.8858414,42689618.23750158,20607953.473894715
1964.0,1772462500.0,0.0,0.0,2390436933.5489283,3172737.578384753,335657.9173761234,2837079.6610086295,3254040082.893591,38688866.016627915,38688866.016627915,1947221854.4386353,19710530.10463813,2085264.0099753963,17625266.094662733,403608895.89144075,41212862.82831536,10815489.438672487,30397373.389642876,117297793.13907191,230173510.7682525,60404422.40440112,169769088.36385137,0.0,0.0,0.0,259317673.5257935,72879789.32285196,28961040.6869489
1965.0,1814713750.0,0.0,0.0,3109417760.7216887,4231048.39985686,461783.2595489321,3769265.1403079275,4155827795.8255987,51409569.08804903,51409569.08804903,2472089989.814161,25823238.86656715,2818388.7984636324,23004850.06810352,514136148.0600988,54772747.83134189,14704008.359106692,40068739.4722352,138155859.53057784,360628956.1421974,96812582.81908765,263816373.32310972,0.0,0.0,0.0,382068797.0918054,112552822.39321978,38510651.226092644
1966.0,1802150000.0,0.0,0.0,3881469919.9009194,5412659.370735228,605548.8017308066,4807110.569004421,5066331398.321888,65216240.07164563,65216240.07164563,3015890356.2644563,32488030.96547313,3634643.6888496275,28853387.276623502,595957042.7668673,66979105.29323147,18310580.737015482,48668524.55621599,144421115.34698945,496596950.0473182,135758435.52684703,360838514.5204712,25045.026512570796,1324954.973487429,1324954.973487429,509708731.9674482,162472767.4720845,48956792.83840886
1967.0,1725936250.0,0.0,0.0,4650232334.849683,6654846.087505503,759907.9055691378,5894938.181936365,5866089358.751813,78902078.70332724,78902078.70332724,3519983793.4860373,39190893.89236515,4475155.353486586,34715738.53887856,673282511.4453493,79874531.32151805,22168343.398380183,57706187.923137866,167548947.42667755,654812014.810399,181736247.65659848,473075767.1538006,25045.026512570796,2649909.946974858,2649909.946974858,652944620.4480554,222503151.37969053,59482371.51653611
1968.0,1668413750.0,0.0,0.0,5428865158.88916,7976078.724968954,926753.5332284989,7049325.191740455,6557796762.152378,92418838.45683382,92418838.45683382,3981710079.4308667,45891613.82413334,5332221.098060806,40559392.72607253,765435188.5354031,95247322.90994619,26778301.134541757,68469021.77540442,161678689.94992962,806653195.3343077,226786449.3811066,579866745.953201,12986.310043555228,3336923.636931303,3336923.636931303,791700247.7401836,292499669.38241726,70031038.37192008
1969.0,1642265000.0,0.0,0.0,6201982472.128699,9360906.817312669,1104197.2973488804,8256709.519963789,7376493667.829083,108137219.20942785,108137219.20942785,4489647866.252169,53380515.828220025,6296678.565328455,47083837.26289157,833953361.7867398,109881826.74866326,31242157.37748785,78639669.37117541,188542633.72187424,984728200.5646162,279982908.2425081,704745292.322108,9275.935745396591,3827647.7011859063,3827647.7011859063,950690375.3867526,373942373.540301,82035061.8343995
1970.0,1638108750.0,0.0,0.0,7123292807.814964,10999516.271089692,1314868.7159819726,9684647.555107718,8110018047.562117,123973298.68978897,123973298.68978897,4999872956.350966,61291335.0862239,7326691.199817664,53964643.886406235,916661227.2725899,127092134.51415005,36497022.53364882,90595111.98050123,226978179.06500518,1199250011.038994,344388382.83493966,854861628.2040544,166039.24984259898,12611608.451343305,12611608.451343305,1145690938.7672017,467097830.8432512,94467132.82835265
