Year,Biofuel,Biochar,Construction,Exterior,Household,Graphic Paper,Other Paper,Household Paper
1961,8286400000,222450000,23259524124,7317698972,3725922532,3227050000,13172048000,1048750000
1962,6587200000,222250000,25355094913,7698221430,4105845257,3427400000,13731750000,1093650000
1963,6088801600,222850000,25574295908,7373824589,4081408371,3589450000,14091752000,1167100000
1964,6400401600,221500000,26791514621,8073589168,4536110628,3819350000,14927600000,1244200000
1965,5878600000,265000000,27840833984,8153281263,4582770761,4146400000,15667552000,1309550000
1966,5890000000,246000000,27317284766,9086548406,5308089581,4595700000,16833098000,1405700000
1967,6037200000,219000000,27223761779,8505350321,4757670099,4572200000,16468348000,1448950000
1968,6218400000,233000000,29883694494,8649472428,4650547333,4833050000,17629848000,1531400000
1969,6229800000,225000000,27984820132,8410997769,4582316497,4980100000,18861404000,1629000000
1970,7164200000,235000000,27192655346,8634174928,4426243126,4889150000,18309154000,1677500000
1971,6983000000,248000000,32545320646,7883750955,4036041799,5013600000,18736804000,1731500000
1972,7192600000,251000000,32051327009,7125805396,3529131237,5459350000,20273300000,1795000000
1973,6807400000,247250000,32076783193,8192084335,3746537672,5976150000,21087100000,1821500000
1974,7453000000,249350000,28233081192,9560395950,3646735970,6003600000,20534654000,1842500000
1975,7130200000,236800000,27137864648,8641820486,3252246819,4839500000,17599604000,1791000000
1976,6977200000,241100000,31934842537,8840496184,3372421280,5880400000,19954604000,1888500000
1977,8500800000,240500000,34726098549,8634461369,3266866359,6324900000,20513650000,1937000000
1978,10794400000,253650000,36750716717,9665636125,3349730286,6789700000,22104500000,1902400000
1979,12493400000,258950000,34724219952,10330969442,3415154487,7157550000,22051154000,2037850000
1980,14215200000,263450000,28470692795,9383509132,3081135336,7199150000,21197300000,1956850000
1981,15291000000,245050000,27272110076,9536686028,3208950428,7194450000,21515154000,2025550000
1982,20048600000,246350000,23538852054,7798838607,3101568406,7304800000,20096800000,2002450000
1983,19238600000,247600000,31389225848,8508783271,3778620174,8219800000,21270900000,2163800000
1984,20535600000,251500000,35799826887,9046604703,3763670064,9090100000,23097200000,2224300000
1985,19561400000,252650000,37089007288,8338859764,3633380102,9184550000,22668354000,2232750000
1986,20008800000,252450000,41848072744,8557079900,4063570536,9883250000,23633254000,2304400000
1987,16588000000,255100000,42877414905,9740429122,5027311387,10496350000,24728554000,2386600000
1988,16429600000,252700000,42851587309,9528287720,4868347370,11158550000,24802850000,2462650000
1989,16140600000,253200000,40758111561,10085249116,5189227509,10495304000,25052004000,2601300000
1990,16423800000,258650000,45070793324,11659228212,5808406517,10884600000,25571200000,2675300000
1991,20592000000,249400000,38137416017,10279284866,5092721142,10844000000,25059354000,2572900000
1992,16170850800,246402500,41511075793,10102179704,5381445534,11084041500,25818273500,2620500000
1993,13914551400,364415500,41360900111,9747606362,5291747183,11692504000,26464351500,2731500000
1994,12532960000,377200000,42878080395,10174997724,5363922574,12801500000,27358500000,2768000000
1995,12205000000,370200000,41405164657,10899539810,5984450622,12829500000,29302000000,2818500000
1996,10906000000,389000000,42903438666,10302466547,5957122485,12523000000,28098000000,2854000000
1997,9636000000,400600000,43641338354,11364436488,6145486904,13793500000,29726500000,2957500000
1998,9214760000,425950000,43136676873,10771390996,6230606464,13279500000,29640500000,3022050000
1999,9190540000,437400000,45536358660,11282162128,6424723028,13737500000,30979500000,3165000000
2000,9168680000,464550000,44499486674,11315439083,6172443750,13821853500,29723910500,3150311000
2001,9167200000,460003500,43830205087,10138100598,5531134953,12840476000,28160852000,3207264500
2002,8595080000,488321500,45048902886,10327536689,5459842006,13087998000,28444956500,3264304000
2003,8583176400,511166000,45206343248,9841251338,4941832140,13148054000,28094428500,3258512000
2004,8729132000,489650000,48458716992,10818063062,5268723055,14086633500,27909140500,3286570000
2005,8790685800,489417500,50682717419,10867403472,4816671637,13794175000,28196666000,3431007500
2006,8989800000,471669000,48224461348,11115734254,4416589572,13854003000,28285832000,3458282000
2007,9270997000,475324500,43291644830,11132231140,3921026124,13535669000,27043845000,3374591500
2008,8703082800,476262000,34838344184,11287267607,3698525474,12247886500,26066516000,3349890500
2009,8062071000,481978000,27254855085,9958020857,3134936859,9814135500,23090635500,3344029000
2010,8052589600,556023500,26877727678,9609015439,2806452174,10699601000,23630090000,3376000000
2011,7995155800,543376500,28928460005,10130901655,2701342259,9865546000,23869756000,3400671000
2012,8001120400,548500000,28178285172,9676373825,2421421451,9233400000,23206150000,3361000000
2013,8318585800,518567500,29342599799,9784986514,2263741979,9033305000,22157881500,3497379500
2014,8340249400,524130000,30966286890,10078786935,2170631573,9071739500,23013000000,3440135500
2015,8824970000,533130000,32223792855,10249439461,2050649734,8623581000,23043234500,3482515000
2016,12402604800,470906000,29933460828,10278932828,2117817456,8502005000,22998030000,3550836000
2017,12817600000,473000500,32234203586,9971643322,2198968264,7948873500,23296261000,3559496000
2018,14281633000,470121000,33361400778,11022057355,2245787119,7490031000,23344385500,3575902000
2019,14296450000,465546000,30137705300,10234159907,1972254551,6780764500,22783212500,3591770500
2020,12113410200,490461500,33199610976,9446262458,2398721984,5053468500,22973348500,3756693500
