Year,Fuel_Emissions,Biochar_Stock,Biochar_Decay,Construction_InUse,Construction_Disposed,Construction_Recycled,Construction_LandfillIn,Exterior_InUse,Exterior_Disposed,Exterior_LandfillIn,Household_InUse,Household_Disposed,Household_Recycled,Household_LandfillIn,GraphicPaper_InUse,GraphicPaper_Disposed,GraphicPaper_Recycled,GraphicPaper_LandfillIn,OtherPaper_InUse,OtherPaper_Disposed,OtherPaper_Recycled,OtherPaper_LandfillIn,HouseholdPaper_InUse,HouseholdPaper_Disposed,HouseholdPaper_LandfillIn,LF_Input_Total,LF_Stock_Total,LF_Decay_Total
1961,115058200.0,7779691.064619665,171208.93538033523,13465859.192741992,45249.7695390279,904.995390780558,44344.774148247336,52303351.78969511,1130737.3022929777,1130737.3022929777,40439560.2713581,707554.7133428563,14151.094266857126,693403.6190759991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1868485.6955172243,1062378.6372389172,806107.0582783071
1962,116513600.0,15549045.709198883,348945.35542078206,26884673.07173731,94121.42458824623,2208.6284921830666,91912.79609606316,104566609.766063,2409369.388105331,2409369.388105331,80825654.18824917,1485380.7045629546,34855.55132838887,1450525.1532345656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3951807.33743596,3237687.138605765,1776498.8360691117
1963,117987400.0,23309616.310617447,529029.398581439,41486241.279945806,150944.42405030975,3848.0354768441975,147096.38857346555,156755641.21225622,3840870.9216165426,3840870.9216165426,122018821.98419344,2350715.860074915,59926.94385672493,2290788.91621819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6278756.2264081985,6614171.478739036,2902271.8862749273
1964,119479800.0,31063211.05395575,710605.2566616987,60924135.54297185,228538.3453826057,6154.874005169996,222383.47137743572,208717250.8063033,5425449.726904501,5425449.726904501,166512886.68614143,3350313.5723410584,90228.8755134204,3260084.696827638,139266.81022970966,11134.95312657537,1045.159477433087,10089.793649142284,87826.24490771205,73828.77497110632,6929.786141996846,66898.98882910948,0.0,0.0,0.0,8984906.677587828,11370768.147417659,4228310.008909203
1965,120991200.0,38812306.202155255,893304.8518004915,82240920.90049621,318551.43684625986,8934.472534528835,309616.96431173105,260299398.16323075,7160560.22793979,7160560.22793979,212107043.94171625,4452592.202727788,124882.69755294858,4327709.50517484,267062.6713039775,22905.367083231897,2201.0770284782866,20704.290054753612,113478.73472313616,116211.82676013216,11167.303339420378,105044.52342071178,0.0,0.0,0.0,11923635.510901826,17583330.415789783,5711073.242529701
1966,122521800.0,46559858.54666911,1076947.6554861446,106766410.14614946,426282.4981090205,12344.628474945552,413937.869634075,311584429.8582,9045766.593165405,9045766.593165405,259784292.77782953,5677296.352066876,164407.67453348613,5512888.67753339,475712.3215329775,42497.63700241287,4161.266395381928,38336.37060703094,175112.8541742594,173449.48752945327,16983.756619492775,156465.7309099605,0.0,0.0,0.0,15167395.241849862,25382759.305099387,7367966.352540257
1967,124071400.0,54308917.17039267,1261441.3762764432,132040544.71661666,544695.342304246,16193.547819749872,528501.7944844961,362195480.8309034,11068328.457309617,11068328.457309617,307616920.88324004,6994264.637048127,207936.34545301567,6786328.291595112,664455.2530334882,62649.37546870161,6231.0505930613635,56418.324875640246,192352.78706528764,202204.80326198664,20111.10804951126,182093.69521247537,0.0,0.0,0.0,18621670.563477337,34839095.41333169,9165334.455245042
1968,125641000.0,62062573.76251522,1446743.4078774534,159819657.38049603,680277.674506107,20678.541771348904,659599.1327347581,412230923.7892947,13222141.920329135,13222141.920329135,356836137.5001785,8424518.497875802,256081.8386231818,8168436.65925262,1018634.0115498118,97777.59269546441,9855.435296601148,87922.15739886326,223685.97033736674,232170.31939914334,23401.471620968012,208768.84777817532,0.0,0.0,0.0,22346868.717493553,46066699.755944885,11119264.374880353
1969,127230200.0,69823932.03503504,1632841.7274801792,190092385.13654745,834075.8682575955,25844.777350645087,808231.0909069504,461565865.7742252,15494084.24997686,15494084.24997686,407343704.66611516,9967147.853176998,308843.26820826216,9658304.584968736,1430199.014152593,140868.39123105837,14364.666212311624,126503.72501874674,261604.45044319754,271240.9631328056,27659.050156381927,243581.9129764237,0.0,0.0,0.0,26330705.563847713,59170243.18255263,13227162.137239987
1970,128839600.0,77596380.68004861,1819751.3549864257,223643380.6044961,1009838.6744396214,31822.970879260123,978015.7035603613,510204901.171992,17871265.924765743,17871265.924765743,459628244.9423413,11630574.536860017,366513.42849485035,11264061.108365167,1473529.263434753,158206.665369657,16299.376322497257,141907.28904715975,154082.91940357233,189609.9549701942,19534.726955591952,170075.22801460224,0.0,0.0,0.0,30425325.253753033,74155864.34005843,15439704.09624722
1971,134215400.0,85731571.44304977,2015909.2369988414,257841456.6501869,1200084.8170766253,38390.08489065819,1161694.732185967,558166340.6030246,20339219.596404426,20339219.596404426,511833445.60436124,13382291.880734112,428092.509814784,12954199.370919328,1871936.4712019656,203104.08260147859,21118.54980367964,181985.53279779895,179504.3602873769,185157.92405170895,19252.527032184244,165905.3970195247,0.0,0.0,0.0,34803004.62932705,91166566.99783242,17792301.971553046
1972,138887600.0,94152795.14845362,2219476.2945961514,291262553.34829575,1400688.3720660487,45416.666691459235,1355271.7053745894,605483550.8425231,22882386.229750805,22882386.229750805,568193004.3238821,15292373.007527474,495848.05703776714,14796524.950489707,2225743.9748608004,247272.42774785715,25926.283220027304,221346.14452782983,221817.28923106665,227501.65397008255,23853.33604548687,203648.31792459567,0.0,0.0,0.0,39459177.34806753,110322428.63081338,20303315.715086572
1973,139395600.0,102414056.78087932,2419638.3675742997,328812015.658942,1628386.1818403122,53451.36409085902,1574934.8177494532,651975370.474445,25479669.585123163,25479669.585123163,627277699.0047117,17338490.360629246,569131.5557618301,16769358.804867415,2721761.8637957466,304784.754819972,32200.354995993348,272584.3998239786,1139777.9790296445,1009209.181209895,106622.43890567763,902586.7423042173,0.0,0.0,0.0,44999134.34986823,132139154.93935591,23182408.041325696
1974,140615000.0,110610706.47225,2618650.3086293214,366126796.5174494,1870115.1101912465,62079.00714769721,1808036.1030435492,697482050.2782866,28109434.3570038,28109434.3570038,685246081.4150289,19453136.667931367,645752.4478961854,18807384.22003518,3160863.7561724237,360948.7669746011,38401.5462489672,322547.2207256339,1405970.762887327,1450159.833546009,154283.3360620131,1295876.4974839957,0.0,0.0,0.0,50343278.39829216,156342541.5642225,26139891.77342558
1975,142782000.0,118864275.3535668,2819431.1186832013,395688803.03297675,2101026.1152516324,70468.94327467354,2030557.1719769589,741980719.8620847,30752551.517648593,30752551.517648593,736783886.3072293,21535767.293790027,722315.040629993,20813452.253160033,3405585.942534145,403733.5187485332,43231.987866269345,360501.53088226385,1291501.9568903297,1410142.880783684,150998.8075815858,1259144.0732020983,0.0,0.0,0.0,55216206.54686995,182571071.35474464,28987676.75634779
