Year,Fuel_Emissions,Biochar_Stock,Biochar_Decay,Construction_InUse,Construction_Disposed,Construction_Recycled,Construction_LandfillIn,Exterior_InUse,Exterior_Disposed,Exterior_LandfillIn,Household_InUse,Household_Disposed,Household_Recycled,Household_LandfillIn,GraphicPaper_InUse,GraphicPaper_Disposed,GraphicPaper_Recycled,GraphicPaper_LandfillIn,OtherPaper_InUse,OtherPaper_Disposed,OtherPaper_Recycled,OtherPaper_LandfillIn,HouseholdPaper_InUse,HouseholdPaper_Disposed,HouseholdPaper_LandfillIn,LF_Input_Total,LF_Stock_Total,LF_Decay_Total
1961.0,59942811437.5,1644779886.2332072,22289213.76679281,1114286723.5545087,1361753.776411141,115749.07099494699,1246004.7054161942,3672483345.653447,38339517.61869377,38339517.61869377,1916455955.8680208,17520600.121379543,1489251.0103172613,16031349.11106228,240530021.7060676,21494378.293932393,4836235.116134789,16658143.177797604,71937323.65688765,69725076.34311235,15688142.177200278,54036934.16591207,0.0,0.0,0.0,126311948.77888194,29291230.46584698,26325640.96932526
1962.0,60773178412.5,3320073800.1905203,45710986.0426869,2123735256.2140112,2674019.6196816014,255094.00507510031,2418925.614606501,7466644311.796836,81437592.43719578,81437592.43719578,3843184526.7506104,36363090.88597578,3468937.3341688286,32894153.55180695,447299041.9561849,41892579.749882676,10209848.979303977,31682730.770578697,82981979.97847998,148010943.67840767,36072483.27181476,111938460.4065929,0.0,0.0,0.0,260371862.78078082,89936317.65534753,56105584.41410868
1963.0,61801364600.0,5020775819.3968725,69766880.79364794,3232621111.069997,4182517.830734631,424438.4979087219,3758079.3328259094,11300939064.179775,128728666.77922606,128728666.77922606,5812854357.974802,56877906.76671304,5771923.585085058,51105983.18162798,650423071.0076512,63787890.948533714,16244385.806755658,47543505.14177805,92392739.38457541,235154901.62324163,59885142.61115288,175269759.01208875,0.0,0.0,0.0,406405993.4475467,184367761.7530214,89161285.19600606
1964.0,62933430437.5,6834770733.926097,95623885.47077523,4465631803.120225,5927666.629962209,627114.025902515,5300552.604059693,15195588274.989656,180629605.00612953,180629605.00612953,7840283576.063398,79271554.77358492,8386487.796452128,70885066.97713278,848366224.1482711,87176846.8593802,22877815.36633756,64299031.49304264,94046935.94840835,323629777.78516537,84930145.67458177,238699632.1105836,0.0,0.0,0.0,559813888.1909482,315463315.16121435,125719671.17912902
1965.0,64040041025.0,8680758194.066328,122091139.85977016,5795250500.86159,7888209.481216742,860931.5569078083,7027277.924308933,19218621476.905968,238067100.36429015,238067100.36429015,9943382620.72422,103787074.61807518,11327484.133200748,92459590.48487443,1055683251.0713956,113493573.07687531,30467897.144140344,83025675.93273497,145982526.95676655,462402170.5045513,124134093.13157377,338268077.3729775,62853.7406108073,3325146.2593891923,3325146.2593891923,762172868.3385751,486730369.1577709,166286914.77691698
1966.0,66898554212.5,10549218210.18693,149004883.87939924,7406490815.949414,10301141.077494632,1152454.4976288702,9148686.579865763,23340364066.037167,301002853.871116,301002853.871116,12189902578.64823,131133385.27642852,14670730.020511,116462655.25591752,1268361894.0423222,142641157.02907366,38994883.714370765,103646273.3147029,164195189.55010805,617280371.5156714,168750568.26348507,448529803.2521863,68567.7170299716,6952578.54235922,6952578.54235922,985742850.8161477,702102243.3631542,211242321.50151595
1967.0,68147884250.0,12453967423.346806,176546986.84012488,8930962717.559202,12740587.95143282,1454830.5668661643,11285757.384566655,27467411516.344814,368696527.08273494,368696527.08273494,14403311568.49005,159828328.49574587,18250581.420034677,141577747.0757112,1433981744.496029,170188149.54629284,47233946.529094905,122954203.01719794,182270468.96523562,789182700.5281956,219029430.5320948,570153269.9961008,74281.6934491359,10882296.848910084,10882296.848910084,1225549801.4052217,964209972.7559731,259452302.15019393
1968.0,69270247500.0,14384998166.051468,204561257.29533717,10463802569.725058,15322111.381116044,1780300.9910769353,13541810.390039109,31649793853.483902,441804392.1703617,441804392.1703617,16635870368.983053,190368289.56242448,22119200.555825703,168249089.00659877,1595450853.5573072,199825890.93872157,56180034.44668373,143645856.49203783,195731893.32979548,973608949.1733518,273725211.7090868,699883737.464265,79995.6698683002,15114301.179041784,15114301.179041784,1482239186.7023442,1276345022.2579904,311460242.0649823
1969.0,70434592675.0,16355251123.926384,233227242.12508386,12075733754.939129,18137980.39544346,2139526.5782343578,15998453.817209104,35897810392.65797,520597011.24742836,520597011.24742836,18907135502.782516,222979517.43007556,26302300.120655406,196677217.30942014,1788534555.8497992,234937297.70750815,66798562.109898455,168138735.5976097,214672173.9622987,1176007877.9207408,334368514.6698953,841639363.2508456,110851.14253178742,20978650.03651,20978650.03651,1764029431.2590227,1642082934.8188715,367534769.81317645
1970.0,71622511625.0,18348207045.16738,262298278.759001,13933793808.902172,21403272.318927795,2558520.9838516917,18844751.3350761,40181751287.810196,604919177.4318087,604919177.4318087,21268376093.15113,258187019.8933593,30863360.439100638,227323659.45425868,2019359364.3709748,276558991.4788246,79419389.58277598,197139601.89604864,237854095.81174347,1400323124.6142194,402130508.14521116,998192616.4690082,203417.56052224908,31740032.475987747,31740032.475987747,2078159839.062188,2065248764.858388,427921758.1816271
1971.0,72381725975.0,20366048590.226894,291800554.9404876,15972300825.326933,25060777.170397937,3031562.8461270826,22029214.324270856,44536194774.848625,695239569.5001013,695239569.5001013,23692575729.97192,295829405.0314958,35786018.40587382,260043386.62562197,2211020246.7184916,318400317.6524829,92254318.11883116,226145999.53365177,245449151.04431507,1631325880.1829474,472665535.68624014,1158660344.4967072,215416.9110024941,43136215.56498525,43136215.56498525,2405254730.0453386,2549790794.9570436,492770140.35133827
1972.0,73044513425.0,22424810553.33984,321964836.8870561,18008807821.300083,28906801.21855524,3534538.6421585125,25372262.57639673,48906792273.604996,791109456.3398433,791109456.3398433,26107897767.503403,335315562.69177413,41000240.90145372,294315321.7903204,2305591529.9514017,355304516.7670901,103781777.29578014,251522739.47130996,247931438.92294395,1864528930.1225476,544614878.3815311,1319914051.7410164,245129.58838214847,56104285.976603106,56104285.976603106,2738338117.8954897,3099034491.8818536,561553343.7817502
1973.0,74010235925.0,24529356420.16154,352860333.17830014,20125655102.47379,33049022.179682832,4080702.9083406846,28968319.271342147,53198025407.52194,891577225.2581301,891577225.2581301,28520545149.2363,376718177.87741005,46514990.84394102,330203187.033469,2433624710.9260793,396941676.8464433,116801530.36282846,280140146.4836148,269274553.0305357,2118351077.2128117,623332499.7010064,1495018577.5118053,288555.80916779715,71369730.1674353,71369730.1674353,3097277185.7257967,3715893786.3084373,633889437.1363573
1974.0,74899187025.0,26666323011.155914,384288909.0056274,22612589676.92718,37854485.99661587,4716133.690635159,33138352.305980712,57457600912.67998,997070801.9568806,997070801.9568806,31024501684.776802,420910805.4150627,52439534.65245358,368471270.7626091,2626215884.1213493,446227224.026016,132196844.51432624,314030379.5116898,294511142.7170661,2395999640.3152175,709825790.2092177,1686173850.106,290841.39973546285,86756088.76769984,86756088.76769984,3485640743.4108596,4404090172.717875,710484038.6160338
1975.0,76645986937.5,28854330117.589363,416522993.566551,25100745776.25556,42906140.061357565,5389901.6235405775,37516238.437816985,61738349624.6793,1108086956.5212357,1108086956.5212357,33550823830.417774,467332047.3033798,58706603.691008665,408625443.6123711,2718445128.8311167,489017302.62257916,145784545.01723778,343232757.6053414,261731662.47666135,2641144051.6337442,787370879.9820925,1853773171.6516519,262842.91528155777,100661245.85241827,100661245.85241827,3851895813.6808357,5167133105.717804,791185705.571494
1976.0,77777306787.5,31080592605.533463,449373312.0559017,27458488139.5795,48052052.47652459,6082853.142157884,41969199.33436671,65965366018.52035,1223811318.0158513,1223811318.0158513,35998645137.8658,515080883.1633075,65203486.784379534,449877396.37892795,2804624549.525549,533025897.09510595,159833089.80198494,373192807.293121,238718772.36394817,2864982856.6327424,859093460.0005438,2005889396.6321986,233701.63554381987,113024744.21687445,113024744.21687445,4207764861.87134,6007608338.832971,875182680.6139792
1977.0,79188564325.0,33364058682.724686,483118922.80877787,30212423088.44995,53935529.390213855,6876682.921974529,47058846.46823932,70120259285.67484,1343923252.254817,1343923252.254817,38539767119.46836,565679011.0261914,72123055.77460518,493555955.2515862,2903768394.1349916,579823823.0773739,174815004.1965108,405008818.8808631,291088629.23639345,3140236217.3983526,946771046.0894133,2193465171.3089395,301126.5572899586,128955217.65958449,128955217.65958449,4611967261.82403,6928953223.834966,963193168.9726477
1978.0,81197713150.0,35708804672.3654,517820410.3592843,33007042122.2335,60158694.873883486,7721703.9541105805,52436990.91977291,74284116659.48409,1469095084.8125753,1469095084.8125753,41103423561.00184,618532694.4659388,79392120.5009013,539140573.9650375,2994971092.79647,627537545.793975,190169001.38696855,437368544.40700644,306231068.0371618,3428585227.829971,1038998595.8873564,2389586631.9426146,359409.11676543445,147969008.54281905,147969008.54281905,5035596834.589826,7934483566.442175,1055142307.0901763
1979.0,82772476137.5,38117488462.99893,553517709.366469,35864632670.03238,66761579.849533424,8623365.257505827,58138214.5920276,78508899520.15498,1599744151.4960704,1599744151.4960704,43686530026.79494,673617785.5165517,87008908.7399276,586608876.7766241,3090924983.7374363,677450768.8119576,206283659.13690788,471167109.6750497,345437222.0784597,3754531984.8882747,1143254435.3703306,2611277549.5179443,402835.3375510831,169280173.20526797,169280173.20526797,5496216075.262984,9027732920.427834,1151241888.8790636
1980.0,84632873725.0,40607031761.21792,590462801.7810166,39252915303.10158,74330346.44093868,9658186.713543324,64672159.727395356,82819563622.81056,1736032432.1541896,1736032432.1541896,46471036664.16907,732594215.4928633,95190350.33845745,637403865.1544058,3235249059.611844,733533911.7734588,224376852.90667176,509157058.8667871,388897440.03198797,4121446230.739679,1260687638.069324,2860758592.670355,410834.90453791316,191014538.30073005,191014538.30073005,5999038646.873863,10213342072.573524,1252499304.8903017
1981.0,86856101725.0,43174545366.47534,628614394.742579,42923357807.894295,82609098.14891167,10794352.135774363,71814746.01313731,87134356744.27017,1877012831.651548,1877012831.651548,49354011325.731544,794628451.3166595,103832380.60722081,690796070.7094387,3465890993.8949413,799297844.6498492,245545981.05264786,553751863.5972013,449758935.45443404,4546090483.582437,1396568569.7981148,3149521913.784322,483973.8027032162,216618164.49802682,216618164.49802682,6559515590.253674,11494908222.313076,1358057498.634573
1982.0,88878143950.0,45826814907.81059,668074958.6647474,46541999867.45539,91221703.62250705,11983397.186385691,79238306.43612136,91522763324.80954,2023223610.4356694,2023223610.4356694,52245375862.39863,858937293.0619619,112834844.47467473,746102448.5872872,3609050796.0219855,859512314.607578,265123575.23488495,594388739.3726931,435072544.2957521,4954724649.60117,1528325180.5489523,3426399469.0522175,502829.9248864584,243219334.57314035,243219334.57314035,7112571908.457129,12875777894.115791,1467694693.6563601
1983.0,91181226100.0,48593668447.44589,709290860.3646983,50281083900.428055,100388037.05928117,13254474.793256758,87133562.26602441,96070498634.49458,2175420788.591611,2175420788.591611,55227278836.0177,926250649.4855975,122295108.51571642,803955540.969881,3803437104.0292525,925950123.7291158,286728181.7832222,639221941.9458936,463041440.32493734,5390959949.238767,1669355729.5356066,3721604219.7031603,564540.8702134328,273085193.70292693,273085193.70292693,7700421247.179497,14360133974.505663,1582153811.4376454
1984.0,93709960562.5,51482879352.438675,752381395.0072197,53973126507.82809,109924861.44968736,14583820.127933118,95341041.32175425,100520178400.96834,2330847820.5897117,2330847820.5897117,58170665349.12956,995414446.9848285,132062438.43406768,863352008.5507607,3939556728.0092316,989736282.1623969,307617413.4156739,682118868.7467229,470434476.5373829,5833512129.426189,1813099049.4381034,4020413079.9880857,547398.9409559399,302044194.761971,302044194.761971,8294117013.959007,15950073081.005173,1699601763.9627166
1985.0,95802128225.0,54479646649.43355,797129003.0051275,57945259216.36262,120242002.17030512,16026231.293272106,104215770.87703301,105203374850.19626,2492646402.7974677,2492646402.7974677,61289471213.95251,1068323973.9190757,142389570.97475,925934402.9443257,4029829894.396816,1051485291.4110974,327968406.3551442,723516885.0559533,519537376.37033516,6323462916.681009,1972349087.876014,4351113828.804996,620537.839121243,334872456.9228498,334872456.9228498,8932299747.402624,17650439802.455215,1822429855.1687832
1986.0,97669259887.5,57575580182.244316,843410867.1892309,61484339866.46618,130500949.27859458,17470351.054477133,113030598.22411746,109862424130.919,2658106312.3367095,2658106312.3367095,64303105574.05713,1142484021.572416,152945990.36510462,989538031.2073114,4090541599.661374,1111836492.9163287,347969917.87342316,763866575.0429056,540362459.3358608,6832140742.835508,2138245567.8787024,4693895174.956806,655964.4929200616,369574892.42992973,369574892.42992973,9588011584.19778,19463072217.6923,1948042526.5310557
1987.0,99562872800.0,60755710491.05769,891004991.1866198,64954064122.91835,141129731.7319059,18973135.78818175,122156595.94372416,114547386413.41573,2827487939.37663,2827487939.37663,67319542810.56861,1218770760.5153344,163848558.69952202,1054922201.8158123,4049588523.144951,1164561476.2977607,365657857.617382,798903618.6803787,565868227.5277019,7364964070.998808,2312507358.7286024,5052456712.2702055,673106.4221775546,405184186.0077522,405184186.0077522,10261111254.094503,21390593637.177372,2077045317.6510968
1988.0,101456438925.0,64028596159.81053,940041031.2471613,68549910579.89017,152375114.9489969,20568060.44973743,131807054.49925947,119105448274.39162,2998974422.6544657,2998974422.6544657,70302505664.2373,1296803131.5081522,175046464.83250487,1121756666.6756473,4252914985.4631195,1239915552.4472585,390535608.59536374,849379943.8518947,577754753.6816393,7908565852.99057,2490957204.6404033,5417608648.350166,726817.800517699,443634968.2072345,443634968.2072345,10963161704.238667,23434614074.235714,2208517706.771028
1989.0,103617451900.0,67390708987.6167,990467772.1938325,72124255294.393,164078081.38463002,22234128.506273244,141843952.87835678,123787454289.39064,3174815974.6735916,3174815974.6735916,73332249545.95152,1377237533.1155157,186628683.34722987,1190608849.7682858,4510448504.10741,1322713012.2202985,417867510.02816015,904845502.1921384,592785188.8439841,8466404384.163061,2674680967.236519,5791723416.926542,751959.2967620218,483415808.91047245,483415808.91047245,11687253505.349388,25598187748.914314,2343695102.6416335
1990.0,105719779575.0,70868382874.29103,1042682313.3256687,75390158146.56314,175899241.0708755,23925456.063523747,151973785.00735176,128202503460.8457,3350795120.813541,3350795120.813541,76164022873.10513,1457805373.8761873,198287714.08848655,1259517659.7877007,4804474260.801547,1411922263.6990516,447342619.605187,964579644.0938647,603516786.2951837,9034206675.522896,2862328744.427599,6171877931.095297,746816.717984774,522924592.19248766,522924592.19248766,12421668732.990242,27880940270.57191,2479534043.950997
1991.0,108138980937.5,74513244223.32634,1097463650.9646864,78700876686.40944,188261154.59166327,25699494.079831954,162561660.5118313,132441991603.34439,3527366216.683627,3527366216.683627,78934122823.96265,1539562053.2531736,210165320.39725393,1329396732.8559196,5071187890.940893,1502239844.888403,477288120.0460829,1024951724.84232,622472898.2400464,9620075722.56318,3056467894.88814,6563607827.675041,872524.1992063886,569083667.9932812,569083667.9932812,13176967830.56202,30283498841.52295,2616766039.10034
1992.0,111555950675.0,78015232107.5408,1150149615.7855418,82099410993.51003,201231048.36972207,27565844.147820987,173665204.2219011,136559161279.35541,3704664320.605945,3704664320.605945,81631780360.85963,1622297618.6469445,222232124.11455852,1400065494.532386,5240811562.575681,1587045457.6766856,505592799.37247777,1081452658.3042078,588842758.6436168,10172793241.838993,3240796278.2037687,6931996963.635224,706818.8830506239,606476449.1102306,606476449.1102306,13898321090.409897,32806518264.909317,2755375595.9738646
1993.0,114978465800.0,81633490145.77039,1204635861.7704124,85094169606.8272,214225815.79851866,29444827.114886776,184780988.6836319,140703770789.91266,3883881933.473219,3883881933.473219,84253155604.21352,1705854254.3410535,234465596.10493842,1471388658.236115,5486624658.000252,1680525853.7419624,536769543.67285603,1143756310.0691063,551942155.88355,10690764431.40382,3414691141.216889,7276073290.186932,540542.1692529428,635072706.9409776,635072706.9409776,14594953887.589981,35450967631.080154,2895602214.222127
1994.0,118964263475.0,85424248241.3833,1261772904.3870883,88838762362.1448,228638294.53175464,31528170.878984287,197110123.65277034,144970652198.68478,4065784721.085998,4065784721.085998,87101472212.3579,1792874920.8837774,247229218.47380424,1545645702.4099731,5598625815.82047,1764926794.280106,565150269.4700652,1199776524.810041,506482235.1528707,11165742237.121296,3575401684.983937,7590340552.13736,939377.7233106109,684768529.217667,684768529.217667,15283426153.313808,38220060851.82536,3039447326.403534
1995.0,122295865737.5,89580231251.31369,1324474590.0696058,92730397331.4185,243794759.2101422,33724182.90124795,210070576.30889425,149478613243.92703,4251492323.930447,4251492323.930447,90073927331.83607,1882481415.0750399,260404070.02953175,1622077345.0455081,5606643013.112316,1841746563.895723,591190328.9204768,1250556234.9752464,554503612.5024693,11688586797.183876,3751970878.4611707,7936615918.722706,1011373.8261920811,738273155.3914748,738273155.3914748,16009085554.374277,41116837436.327675,3186863660.7825375
1996.0,124275259612.5,93911128508.21754,1389878643.0961497,96302275648.5064,259147183.78677723,35957393.236088306,223189790.55068892,154135210241.63354,4440051642.251215,4440051642.251215,92983289678.59578,1972962090.6871822,273753982.9609127,1699208107.7262695,5655948948.310526,1923375608.163559,618855740.6125044,1304519867.5510545,542729638.4579514,12198547442.600763,3924943770.704982,8273603671.8957815,999374.475711836,791142980.915763,791142980.915763,16731716060.890774,44142779850.952415,3336507125.9034343
