Year,Fuel_Emissions,Biochar_Stock,Biochar_Decay,Construction_InUse,Construction_Disposed,Construction_Recycled,Construction_LandfillIn,Exterior_InUse,Exterior_Disposed,Exterior_LandfillIn,Household_InUse,Household_Disposed,Household_Recycled,Household_LandfillIn,GraphicPaper_InUse,GraphicPaper_Disposed,GraphicPaper_Recycled,GraphicPaper_LandfillIn,OtherPaper_InUse,OtherPaper_Disposed,OtherPaper_Recycled,OtherPaper_LandfillIn,HouseholdPaper_InUse,HouseholdPaper_Disposed,HouseholdPaper_LandfillIn,LF_Input_Total,LF_Stock_Total,LF_Decay_Total
1961,566352800.0,44673694.345098,682705.6549020025,24637552.895450424,48422.54436583793,2905.352661950276,45517.191703887656,16852814.074821837,247596.6174590575,247596.6174590575,20182935.976512734,250087.65921601353,13754.821256880745,236332.8379591328,11716785.851847393,829114.0493965978,124367.10740948966,704746.9419871081,6382040.463293742,5364890.981233726,804733.6471850589,4560157.334048667,0.0,0.0,0.0,5794350.923157853,3754665.3449437404,2039685.5782141131
1962,579568600.0,89922045.95324838,1400148.3918496056,48359147.87169418,98260.91055704933,6576.747364541677,91684.16319250765,33172666.017296426,513943.22151921084,513943.22151921084,38477833.77122709,497340.8469593004,30801.050641232865,466539.7963180675,20360016.891279347,1583125.1553861655,259415.54806651373,1323709.6073196516,8246121.389881227,8444726.077902937,1383777.67311543,7060948.404787507,0.0,0.0,0.0,9456825.193136944,9141800.111788625,4069690.42629206
1963,593092600.0,135762542.2809988,2137003.672249589,60784147.78828787,129148.52953343722,9167.753388094738,119980.77614534248,49762799.569619894,811272.0308874295,811272.0308874295,51421019.1270853,697667.8543477486,46036.39677107766,651631.4575766709,28177233.58544434,2381102.2501980932,409483.5013825722,1971618.7488155211,8470173.76113369,9027402.106317786,1552462.6137226499,7474939.492595136,0.0,0.0,0.0,11029442.5060201,14643254.104674632,5527988.513134093
1964,606932200.0,182216477.14700073,2890365.133998064,75907875.30099143,167269.29051615007,12355.002173279641,154914.28834287042,65084531.73433605,1118483.7410495798,1118483.7410495798,65263145.5318971,923678.0119329181,63607.18685064085,860070.8250822773,39727124.23727839,3528229.1811309964,627057.6615404604,2901171.519590536,2712964.8512169924,4215642.095333088,749228.7316051612,3466413.363727927,0.0,0.0,0.0,8501053.73779319,17699748.546438072,5444559.296029755
1965,621094600.0,229307473.10734656,3659104.039654152,94176102.38982487,213935.04604401693,16279.254501656773,197655.79154236015,80635722.64689149,1456512.022822385,1456512.022822385,80529082.08218493,1183126.8986950754,84113.67228803347,1099013.226407042,48234257.68277235,4579884.377946415,834403.4477405947,3745480.93020582,1028614.2691756696,1433234.8544659712,261119.27841388577,1172115.5760520855,0.0,0.0,0.0,7670777.547029693,20037524.02043379,5333002.073033975
1966,635587600.0,277739643.78501934,4453929.3223272255,112984806.99234404,264539.55847538897,20612.286097360207,243927.27237802878,95700192.82862262,1815830.9838726039,1815830.9838726039,95552584.47268632,1457124.8711931524,106250.04077370379,1350874.8304194487,54377633.59570114,5533764.333936143,1028368.1430065526,4505396.19092959,826148.7895596675,906693.2232821605,168495.50686233843,738197.7164198221,0.0,0.0,0.0,8654226.994019493,22991145.865090378,5700605.149362903
1967,650418800.0,326849388.536423,5263455.2485962855,135314751.75158057,325133.6656417377,25834.828936222402,299298.8367055153,110572078.3547825,2200438.17446154,2200438.17446154,112745947.38922183,1775604.0490623484,132209.88209617048,1643394.166966178,62303778.26591475,6639260.149042528,1254277.096481186,5384983.052561342,4066642.9088939503,3605527.9981553396,681149.8702095721,2924378.1279457677,0.0,0.0,0.0,12452492.358640343,28282436.13338856,7161202.09034216
1968,665596000.0,376664257.25711024,6087731.279312784,159145130.6959512,392331.6229377721,31698.204124781052,360633.418812991,126103207.3697738,2622726.9915474495,2622726.9915474495,130209905.46181117,2117439.539891131,160490.09210646275,1956949.4477846685,69519534.34184171,7726972.00436274,1480401.5321997907,6246570.472162949,12451596.196160434,11423862.611868696,2188684.481411562,9235178.130457135,0.0,0.0,0.0,20422058.460765194,38229477.49360445,10475017.100549303
1969,681127400.0,427212818.29520506,6926938.961905173,193885571.7471395,484972.12056556216,39754.253860228906,445217.86670533323,141995340.35061687,3079291.5570198437,3079291.5570198437,155954005.054053,2582348.666631601,198769.17624048176,2383579.490391119,77224320.26942159,8860496.168124806,1718444.4241786653,7142051.743946141,18309188.830040287,18311343.60991832,3551384.225962969,14759959.38395535,0.0,0.0,0.0,27810100.042017788,51624956.74796244,14414620.787659802
1970,697021200.0,477846178.30949694,7770039.985708126,250820626.00571623,626817.32710959,52042.04196090455,574775.2851486856,159228180.3983519,3584844.5086803017,3584844.5086803017,194145152.30897167,3230508.669253912,252063.1878550861,2978445.4813988255,88047587.47423813,10221678.082601503,2003977.383957869,8217700.698643634,22868129.37700112,23463981.542260736,4600153.51376905,18863828.028491687,0.0,0.0,0.0,34219594.00236314,67383518.98318559,18461031.767139986
