Year,Fuel_Emissions,Biochar_Stock,Biochar_Decay,Construction_InUse,Construction_Disposed,Construction_Recycled,Construction_LandfillIn,Exterior_InUse,Exterior_Disposed,Exterior_LandfillIn,Household_InUse,Household_Disposed,Household_Recycled,Household_LandfillIn,GraphicPaper_InUse,GraphicPaper_Disposed,GraphicPaper_Recycled,GraphicPaper_LandfillIn,OtherPaper_InUse,OtherPaper_Disposed,OtherPaper_Recycled,OtherPaper_LandfillIn,HouseholdPaper_InUse,HouseholdPaper_Disposed,HouseholdPaper_LandfillIn,LF_Input_Total,LF_Stock_Total,LF_Decay_Total
1961,43429658400.0,1983833407.1470938,33425992.852906346,10007980840.309147,19669644.07174603,1180178.6443047617,18489465.42744127,3314194947.4002886,48691183.26073299,48691183.26073299,7129093132.699687,88336910.74304621,4858530.090867542,83478380.65217867,3405366639.9809265,240973707.31662717,36146056.09749407,204827651.2191331,8334546113.909747,7006212438.852878,1050931865.8279316,5955280573.024946,184990631.2585824,607367609.0675794,607367609.0675794,6918134862.652012,4542492491.829247,2375642370.8227644
1962,41897201000.0,3925549944.6793494,67251162.46774417,20557276861.713875,41709569.907165416,2791682.9022651217,38917887.00490029,5872391527.575152,91502578.70826617,91502578.70826617,14287616625.75314,184300879.28104523,11414024.70894124,172886854.57210398,6744376997.075905,518636308.5650045,84985272.1851077,433651036.3798968,11121354937.8862,11324550178.361965,1855674127.2991192,9468876051.062845,194243283.7200765,641771490.0944445,641771490.0944445,10847605897.822456,10748430728.704899,4641667660.946806
1963,41775135200.0,5798285078.698514,100270665.9808358,31528027904.58197,66017849.98712464,4686351.211900508,61331498.77522413,8324639008.376904,137042268.34784344,137042268.34784344,21674743337.43381,290654824.5209838,19179184.968448367,271475639.5525355,9955099632.857492,827037013.4040312,142227412.53278548,684809600.8712456,11768077760.374104,12466717766.69461,2143929451.7611463,10322788314.933464,206342384.82212105,681667463.7775645,681667463.7775645,12159114786.25788,16742441237.682173,6165104277.280604
1964,42431268800.0,7661405045.861324,133374032.83718935,43149466942.57238,93167577.52391173,6881631.525040695,86285945.99887103,10809914669.981245,187348267.33886707,187348267.33886707,29466149463.64514,410049422.33689487,28237210.248190276,381812212.0887046,13089655773.50398,1165979744.0690513,207224784.49801645,958754959.5710348,12506605569.609539,13205273704.191278,2346918985.0919943,10858354719.099285,220204229.13119715,727433300.3228723,727433300.3228723,13199989404.419636,22556124548.034645,7386306094.067161
1965,42211946800.0,9504185755.196774,166302790.66455063,55105736031.38096,122694190.40291072,9336338.24087317,113357852.16203755,13337891198.677788,242741980.81027967,242741980.81027967,37515730560.29588,541307051.9406631,38483888.773348846,502823163.16731423,16223506946.364006,1536223763.6886992,279882699.8985608,1256341063.7901385,13908852979.030327,14553522541.599579,2651488199.9982295,11902034341.601349,249186598.23470694,822880763.4036177,822880763.4036177,14840179164.934736,28715355824.55506,8680947888.414324
1966,41640146200.0,11349056626.499668,199418228.69710597,67639209673.43689,155194131.0319853,12092353.40037091,143101777.6316144,16300720213.244768,309151130.181424,309151130.181424,46441565488.78731,692552776.892911,50499282.68849068,642053494.2044203,19469997452.133224,1941171490.439509,360737971.55373687,1580433518.885772,15074733988.98426,15860084030.744045,2947361719.508373,12912722311.235672,269815091.3202905,891228717.8668557,891228717.8668557,16478690950.005758,35209069782.74008,9984976991.82074
1967,42293802000.0,13183042201.27291,232462125.2267596,79905859295.97607,189163278.8769102,15030744.174566213,174132534.702344,19113505231.78402,378736752.41458994,378736752.41458994,55091416531.52997,850577849.4420406,63333262.417221315,787244587.0248193,22301408220.4871,2339716302.0480704,442014999.2685207,1897701302.7795496,14933941679.32822,16006512101.072626,3023921502.129972,12982590598.942654,281440587.4574657,929832954.1750447,929832954.1750447,17150238730.039001,41398427409.333984,10960881103.445091
1968,43027210600.0,15027180437.12424,265795964.14866748,92882050408.97421,226569524.84657627,18305552.3112409,208263972.53533536,22043065518.160107,455246707.63223004,455246707.63223004,64344785225.61726,1026166937.0635054,77777723.1147749,948389213.9487305,25050278368.68795,2745101976.0808835,525930878.1163324,2219171097.964551,15698503017.573229,16605004415.685616,3181333381.987918,13423671033.697697,299101705.4197904,988057782.2076364,988057782.2076364,18242799807.98618,47685435508.98495,11955791708.335218
1969,42854307000.0,16861294760.998438,299041976.1258023,106321613439.6572,267104387.8495059,21895146.527943157,245209241.32156274,24848282229.419086,535333555.7610276,535333555.7610276,73671043783.35838,1213471013.568234,93403589.09522505,1120067424.4730089,27583102779.790638,3141992099.019719,609372060.0882047,2532620038.9315143,16771379571.76252,17687749859.22172,3430441653.0524025,14257308206.16932,321141515.3863646,1060790780.4487329,1060790780.4487329,19751329247.105167,54362803268.43508,13073961487.65503
1970,44129612400.0,18726266262.00579,332932298.99264586,118956696258.62785,308424079.20952934,25607171.62365453,282816907.5858748,27116993736.33197,612722813.2608976,612722813.2608976,82235977176.13179,1402313220.8441625,109416682.3266713,1292896538.517491,29743239535.80844,3512589442.127825,688649138.0642097,2823940304.063615,16817763768.841045,17976095817.770973,3524244177.870287,14451851639.900686,328129808.2422793,1084199939.5035686,1084199939.5035686,20548428142.832138,60924563428.32208,13986667982.945139
1971,44432747000.0,20621400597.167633,367449764.83815753,132776539572.46397,354423926.51963484,29764150.17085878,324659776.34877604,29462429582.801907,695501028.9008895,695501028.9008895,91755847087.4363,1613220758.7992606,127410486.0490088,1485810272.7502518,31701188030.17079,3861399084.035207,764394474.8052007,3097004609.230006,17067341733.870844,18187384497.026543,3600336540.753708,14587047956.272835,343274373.0930678,1134059106.3647652,1134059106.3647652,21324082749.867523,67427887422.99469,14820758755.19492
1972,44821663000.0,22606010621.080025,403674376.0876079,147312055615.84897,404422291.2233302,34314853.881233335,370107437.34209687,31812776790.501686,782573998.6486813,782573998.6486813,101894124924.6554,1842950976.3116496,147157915.05984178,1695793061.2518077,33798553669.437424,4208343475.595563,840398335.0813216,3367945140.514241,18244720893.485474,19234425098.627235,3841078781.442646,15393346317.18459,358861766.41491514,1185551139.5498085,1185551139.5498085,22795317094.491226,74378224458.47508,15844980059.010824
1973,44926948200.0,24563708606.36641,439478714.7136149,162211003022.97314,457913065.8338988,39220022.189872935,418693043.64402586,34408650356.16343,877293249.911612,877293249.911612,112204737598.29381,2086544612.0894547,168278766.28585678,1918265845.803598,36084654825.0903,4558091938.229318,917539290.4986355,3640552647.7306824,19159319089.094795,20280882639.64315,4082521133.852583,16198361505.790567,372917247.9662731,1232021577.7232122,1232021577.7232122,24285187870.6037,81727880027.07117,16935532302.007627
1974,45896818200.0,26621899738.257355,477190768.10905606,175692441631.6202,511540229.00905263,44192253.64813724,467347975.3609154,36517130840.5847,969052749.8304344,969052749.8304344,120944410938.70808,2322482172.829265,189028155.51666802,2133454017.312597,38220499181.91816,4889514405.663572,991501337.4600527,3898013068.20352,19327921792.61306,20630141987.68769,4183403846.6253676,16446738141.062323,381628630.7086318,1260912053.2205625,1260912053.2205625,25175518004.990353,89052331247.19179,17851066784.869728
1975,46162938600.0,28644529286.232365,514315652.02499014,188466946061.73697,566613689.6813346,49341004.543768115,517272685.1375665,38352668185.73982,1059996656.9790968,1059996656.9790968,128862045109.76688,2558298423.4356327,209986418.8896031,2348312004.5460296,38761245237.941864,5099811605.490988,1041182657.7003133,4058628947.790674,17194307841.469254,18867761925.49591,3852061218.3581433,15015700707.137768,368088276.71215665,1216628168.582754,1216628168.582754,24216539170.17389,95191565469.81534,18077304947.55034
1976,46523078200.0,30702088287.08696,552142499.1454064,203217097808.7004,628401990.725098,55127122.16868022,573274868.5564178,40316502877.28118,1155286232.385963,1155286232.385963,138102528574.8526,2819473670.032404,233243460.85362074,2586230209.1787834,40244185207.72347,5350783319.204825,1099327927.6002445,4251455391.604581,18239174105.45011,19238018011.80333,3952484937.325933,15285533074.477396,393341977.4350003,1299230342.4784553,1299230342.4784553,25151010118.681595,101670537408.87735,18672038179.619595
