Year,Fuel_Emissions,Biochar_Stock,Biochar_Decay,Construction_InUse,Construction_Disposed,Construction_Recycled,Construction_LandfillIn,Exterior_InUse,Exterior_Disposed,Exterior_LandfillIn,Household_InUse,Household_Disposed,Household_Recycled,Household_LandfillIn,GraphicPaper_InUse,GraphicPaper_Disposed,GraphicPaper_Recycled,GraphicPaper_LandfillIn,OtherPaper_InUse,OtherPaper_Disposed,OtherPaper_Recycled,OtherPaper_LandfillIn,HouseholdPaper_InUse,HouseholdPaper_Disposed,HouseholdPaper_LandfillIn,LF_Input_Total,LF_Stock_Total,LF_Decay_Total
1961,223432800.0,10708294.923698802,237805.07630119848,6448193.489776376,21668.076665520763,433.36153331041527,21234.71513221035,47349510.10036275,1023641.037978885,1023641.037978885,32591854.746174753,570246.5676555497,11404.931353110995,558841.6363024388,139266.81022970966,11134.95312657537,890.7962501260297,10244.15687644934,497682.05447703495,418363.05816960253,33469.044653568206,384894.01351603435,0.0,0.0,0.0,1998855.559806018,1171826.2156007125,827029.3442053054
1962,229947000.0,21716585.83871189,491909.0849869102,12704250.94749662,44500.57133344496,1044.2386544343196,43456.332679010644,94311016.79204062,2173565.709130529,2173565.709130529,64881251.22539766,1192589.5107418648,27984.990499517735,1164604.5202423471,127795.8610742678,11770.413956656528,1023.2194090133213,10747.194547643207,760147.8233080542,756972.0516022241,65804.69456148552,691167.3570407386,0.0,0.0,0.0,4083541.1136402683,3442010.8764107,1813356.452830281
1963,236651200.0,33042226.466200277,757159.3725116088,19501955.027522128,71009.92505789106,1810.2603825878246,69199.66467530324,140757342.57389307,3451195.7718451894,3451195.7718451894,97330068.8166557,1876411.4926476171,47835.47347505606,1828576.0191725611,115805.11007586027,12168.967834797386,1107.2072028209445,11061.760631976442,665446.0421207747,735872.8679488326,66954.21919216693,668918.6487566656,0.0,0.0,0.0,6028951.865081696,6638744.066187018,2832218.675305377
1964,243550800.0,44704144.85390416,1032881.6122961221,27482021.720287565,103599.2826538876,2790.081159873502,100809.2014940141,186561023.07586646,4855648.615623753,4855648.615623753,130327429.02616951,2630156.1147640604,70833.97524909329,2559322.139514967,103545.6907843321,12304.795828517723,1154.9643569994744,11149.831471518248,627586.4921917127,678758.7895221589,63710.29798652403,615048.4915356349,0.0,0.0,0.0,8141978.279639887,10846685.864655579,3934036.4811713267
1965,250651600.0,56722785.60550683,1319059.2483973245,35943613.156218834,140351.92508068623,3936.477048153559,136415.44803253267,231711908.2013998,6386058.680956662,6386058.680956662,163675907.38611925,3452193.202134588,96824.31714550516,3355368.884989083,741198.0525647823,64132.082425482455,6162.732642627798,57969.34978285465,1120326.799279203,1084482.5285425524,104212.675251492,980269.8532910604,0.0,0.0,0.0,10916082.217052191,16468713.9363701,5294054.14533767
1966,257959600.0,69120142.37649101,1615943.2290158255,43491492.63490577,176838.80933673354,5121.039242515206,171717.77009421834,275971442.44875115,8034292.804436905,8034292.804436905,195995352.9080449,4319337.043628946,125082.8061161273,4194254.2375128185,1186321.1763499149,107527.17388516336,10528.8022308938,96998.37165426956,1177637.4989863501,1250005.2252457063,122397.50500884192,1127607.7202368644,0.0,0.0,0.0,13624870.903935077,23363196.899258465,6730387.941046711
1967,265480400.0,81919318.68649746,1923923.6899935445,53908598.298592985,225645.94842482804,6708.352674161984,218937.59575066605,319341027.3960947,9794382.955296904,9794382.955296904,229936760.49443763,5275943.257448722,156851.42280152152,5119091.8346472,1494633.6729877468,144486.5135764299,14370.498817814323,130116.01475861557,1315830.6250663842,1376091.142882299,136864.78864018183,1239226.3542421171,0.0,0.0,0.0,16501754.754695501,31591351.766086314,8273599.887867656
1968,273220600.0,95144439.20648979,2243479.480007676,75700533.03302607,316274.78331465385,9613.870281344476,306660.9130333094,361713923.3698176,11655705.835648179,11655705.835648179,271360188.65144026,6426525.468090424,195348.42949686188,6231177.038593562,1766111.356085634,181060.55633786175,18249.89293111506,162810.6634067467,1356285.2311598205,1441544.0072897207,145299.5855123563,1296244.4217773643,0.0,0.0,0.0,19652598.872459166,41276069.91083205,9967880.72771343
1969,281186400.0,108821464.7587492,2575174.44774059,108293557.36829203,450146.64583525306,13948.299284878465,436198.3465503746,402995145.4654764,13605418.72554299,13605418.72554299,319956815.3930471,7777485.301085433,240994.11528878915,7536491.185796644,2233653.4219298637,235010.40435869608,23964.538712562186,211045.8656461339,1068544.5477265331,1208370.4844583063,123220.25202645916,1085150.2324318471,0.0,0.0,0.0,22874304.35596799,52406399.92806855,11743974.33873149
1970,289384600.0,122977242.9213779,2919621.8373713065,138359617.4424184,585837.1085993666,18461.44113790551,567375.6674614612,443103536.83575165,15628766.928465482,15628766.928465482,365938495.7296684,9168648.652590217,288930.9416035752,8879717.710986642,2694005.2274128124,291824.25350590056,30065.442039440066,261758.8114664605,1978629.0907716176,1904643.1293132864,196227.47911536595,1708415.6501979204,0.0,0.0,0.0,27046034.768577967,65595665.31452517,13856769.382121332
