Year,Fuel_Emissions,Biochar_Stock,Biochar_Decay,Construction_InUse,Construction_Disposed,Construction_Recycled,Construction_LandfillIn,Exterior_InUse,Exterior_Disposed,Exterior_LandfillIn,Household_InUse,Household_Disposed,Household_Recycled,Household_LandfillIn,GraphicPaper_InUse,GraphicPaper_Disposed,GraphicPaper_Recycled,GraphicPaper_LandfillIn,OtherPaper_InUse,OtherPaper_Disposed,OtherPaper_Recycled,OtherPaper_LandfillIn,HouseholdPaper_InUse,HouseholdPaper_Disposed,HouseholdPaper_LandfillIn,LF_Input_Total,LF_Stock_Total,LF_Decay_Total
1961.0,2213737500.0,133296808.19387569,1703191.8061243093,451310107.44257665,551539.5904404158,46880.865187435345,504658.7252529804,197491676.2398257,2061748.1110441685,2061748.1110441685,227623082.1175728,2080972.9479911812,176882.7005792504,1904090.2474119307,291913832.84354246,26086167.156457573,5869387.610202954,20216779.54625462,75384122.37026177,73065877.62973823,16439822.466691101,56626055.16304713,0.0,0.0,0.0,81313331.79301083,2357571.0780532975,2112926.0056557823
1962.0,1996187500.0,269001507.64771616,3495300.5461594798,843442226.1278334,1062606.795926874,101369.72122339255,961237.0747034815,406232486.00669765,4428519.575850517,4428519.575850517,437891034.031057,4149132.3962490624,395815.6450146198,3753316.7512344425,480632184.19459724,45281648.64894522,11035815.81749998,34245832.83144524,76153552.2018645,144630570.1683973,35248635.63013445,109381934.53826286,0.0,0.0,0.0,152770840.77149653,7110187.552731072,4390456.927110666
1963.0,1867225000.0,369760752.62565243,4840755.022063709,1190265499.9862852,1547382.819648095,157027.14638417767,1390355.6732639172,606373071.6753836,6912928.996193744,6912928.996193744,626370157.7452588,6158191.552840977,624928.2557303318,5533263.297110645,652725364.531032,64706819.6635652,16478402.51986382,48228417.14370138,67143108.23895633,207508076.85212287,52844532.21887362,154663544.63324925,0.0,0.0,0.0,216728509.74351895,14225571.935742462,6721163.583556917
1964.0,1982650000.0,486944583.5240319,6416169.101620564,1631440347.9918327,2174603.691212076,230060.92627499352,1944542.7649370828,779205290.4593514,9320734.051860537,9320734.051860537,834837320.4063737,8480852.359211527,897226.8175789587,7583625.541632568,832473430.6732383,86551933.85779366,22713819.479982764,63838114.377810895,83980615.17198147,286972448.3126903,75310164.61645693,211662283.6962334,0.0,0.0,0.0,294349300.4324745,23842525.249411143,9231949.044761507
1965.0,2023975000.0,604045347.6709023,7999235.853129573,2125513593.406834,2901410.9114935836,316664.5382845709,2584746.3732090127,968738929.3339319,12093711.889758237,12093711.889758237,1064219365.3361769,11142364.932564523,1216095.1876176682,9926269.744946854,1053899770.14566,114073660.5275783,30623624.418412104,83450036.10916619,110201978.86137782,391341726.53017765,105057574.17695728,286284152.35322034,0.0,0.0,0.0,394338916.4703006,36324572.63071636,12122680.626608888
1966.0,708866962.5,735263880.7291386,9781466.941763632,2660004387.9905243,3717744.8236703873,415927.87739175797,3301816.9462786294,1150658877.2124794,15000231.072331056,15000231.072331056,1296008074.1587586,13991103.883947885,1565274.2231708257,12425829.660777058,1267816085.9545527,143383684.1911075,39197873.937819175,104185810.25328833,116400322.32458955,500952847.77061355,136949239.9813915,364003607.78922206,0.0,0.0,0.0,498917295.7218971,51832009.231655106,15220441.078447998
1967.0,718613250.0,862053429.5487522,11510451.18038647,3116607522.322882,4483532.466646305,511968.5296219267,3971563.9370243787,1368321674.4756606,18492111.392005138,18492111.392005138,1513204425.606998,16877562.769698024,1927226.1456974344,14950336.62400059,1402393120.5842772,168222965.3702753,46688530.15000332,121534435.22027197,108086239.8921423,602344365.3975996,167174398.58850363,435169966.809096,0.0,0.0,0.0,594118413.982398,70630284.25420941,18615736.930475794
1968.0,728597275.0,999561333.4920254,13392096.056726823,3629767613.357653,5359391.507000448,622716.3981617806,4736675.108838668,1558408798.7207325,21947533.167279825,21947533.167279825,1734213163.2928245,19964701.40932759,2319731.0619596913,17644970.347367898,1566841768.4923031,197951352.0919741,55653017.36953123,142298334.72244287,214566723.79286498,807194606.3507626,226938664.3388949,580255942.0118678,228188.01933675614,12071811.980663242,12071811.980663242,778955267.3384603,92808960.17104566,22150502.706650138
1969.0,738343562.5,1118635088.4037256,15026245.088299792,4169239601.892069,6313951.619459492,744783.4328298803,5569168.186629612,1744833286.938391,25595975.29361914,25595975.29361914,1958617396.6105933,23254454.061111003,2743057.465128573,20511396.59598243,1751499490.3914878,232142278.10081536,66003867.982495606,166138410.11831975,244128349.77547932,1037515774.6689574,294991738.6063853,742524036.062572,290336.7888309133,27431475.191832326,27431475.191832326,987770461.4489553,118568024.08956845,25917476.157708406
1970.0,748565325.0,1258287317.481932,16947770.921793696,4643955448.342981,7239578.289513925,865410.3303436552,6374167.95917027,1885403765.326257,28997209.08417338,28997209.08417338,2136933619.0884287,26299579.305822223,3143819.5299189035,23155759.77590332,1886636220.217406,264963270.17408162,76089448.64370082,188873821.5303808,273754608.51468074,1295768829.5178874,372105672.3935089,923663157.1243784,307033.47317262716,43674441.7186597,43674441.7186597,1214738557.1926656,147616534.0945418,29478626.81427362
