Year,Fuel_Emissions,Biochar_Stock,Biochar_Decay,Construction_InUse,Construction_Disposed,Construction_Recycled,Construction_LandfillIn,Exterior_InUse,Exterior_Disposed,Exterior_LandfillIn,Household_InUse,Household_Disposed,Household_Recycled,Household_LandfillIn,GraphicPaper_InUse,GraphicPaper_Disposed,GraphicPaper_Recycled,GraphicPaper_LandfillIn,OtherPaper_InUse,OtherPaper_Disposed,OtherPaper_Recycled,OtherPaper_LandfillIn,HouseholdPaper_InUse,HouseholdPaper_Disposed,HouseholdPaper_LandfillIn,LF_Input_Total,LF_Stock_Total,LF_Decay_Total
1961.0,420574912800.0,2328937100.2058883,31810299.794111717,17302674526.358807,21145349.648536265,1797354.7201255825,19347994.928410683,10765198667.343508,112385131.56604044,112385131.56604044,12673035865.294115,115859272.96677743,9848038.202176083,106011234.76460135,2531001801.761611,226176798.2383889,50889779.6036375,175287018.63475138,1184736176.551927,1148302663.448073,258368099.2758164,889934564.1722565,1137081.3074136956,60154918.692586295,60154918.692586295,1363120862.7586465,125510125.43730773,112234235.82174474
1962.0,420405904837.5,4654332987.838045,64566112.36784408,34853072553.020096,43814458.827748775,4179777.0294218543,39634681.798326924,20638053634.99354,225679737.98268124,225679737.98268124,24818655059.88925,235017099.819129,22419975.086471032,212597124.73265797,4965792788.427727,463967689.3338846,113075873.28490679,350891816.0489778,1298884164.0160873,2371929892.53584,578074831.792985,1793855060.742855,1235361.7018233216,125509156.99076296,125509156.99076296,2748167578.2962623,374115167.6616633,229306502.2893106
1963.0,421194849075.0,6977491433.192679,97665154.64536546,54045933144.181885,69783280.94076358,7081550.429741434,62701730.51102214,31368436978.314205,357803109.1676854,357803109.1676854,37941074759.93643,371186197.91418856,37667672.598893836,333518525.31529474,7459667157.197189,728288025.2305372,185467672.38048953,542820352.8500476,1459338891.1528633,3748761063.2074423,954668983.4473206,2794092079.760122,1387924.8722150084,198934432.11854795,198934432.11854795,4289870229.7227197,762584875.1947101,365553657.4609554
1964.0,422351371425.0,9265580792.047092,130502841.14558733,74991322788.45227,99358252.75565314,10511548.267118819,88846704.48853433,42780643125.09597,508169007.0124781,508169007.0124781,52015793065.342575,525042217.698702,55546534.490573555,469495683.20812845,9987950704.192087,1019303595.0051019,267495789.17881766,751807805.8262843,1680943241.9448159,5335670319.919422,1400239683.2689445,3935430636.6504774,1490205.0501180494,277770627.0684299,277770627.0684299,6031520464.2543335,1308010008.8373237,521086261.06652737
1965.0,424026945912.5,11565239854.05465,163684137.99244294,96559548629.99554,131344850.75557639,14335183.050359344,117009667.70521705,54446156617.45155,673397225.5786316,673397225.5786316,66355162690.99071,691191289.7312524,75437701.62372196,615753588.1075305,12171065781.1644,1305479923.027687,350462382.496372,955017540.5313151,1707986849.726165,6942331116.769299,1863702275.573078,5078628841.19622,1679909.0672343043,366642718.00119555,366642718.00119555,7806449581.1201105,2022630828.5231597,691539661.705543
1966.0,425136712400.0,13866861166.632368,197036087.42228034,120012151230.7699,167397900.97641426,18727873.19604607,148670027.7803682,66322291302.77557,853725474.7088512,853725474.7088512,81298058611.8733,873188781.3591564,97689210.4268879,775499570.9322685,14361938994.180485,1617922986.9839149,442303750.5464554,1175619236.4374595,1887302123.445806,8722185399.623741,2384449288.533082,6337736111.090659,1911325.1122104584,467757392.8889851,467757392.8889851,9759007813.83859,2921419803.49951,879106098.4451377
1967.0,426198942337.5,16161281668.868315,230401697.76405323,145630070165.06473,208066197.67639524,23758798.688501295,184307398.98789394,77152088215.65111,1036644520.3713492,1036644520.3713492,96326300549.20757,1066957705.0023099,121834462.32684775,945123242.6754621,16252645864.050667,1931463130.1298187,536057454.3802447,1395405675.749574,2035963141.0481281,10640802892.86673,2953243902.16483,7687558990.7019,2012462.4948296663,574222530.3941554,574222530.3941554,11823262358.880335,4011094642.0379753,1076400323.49624
1968.0,427750518562.5,18478086054.662807,264195214.20550984,172844297649.6842,252886884.3339471,29383337.557835404,223503546.7761117,87965565456.04749,1232288627.7305193,1232288627.7305193,111783225936.21466,1275956553.2357137,148255462.9576901,1127701090.2780237,18166886227.933807,2275125036.116862,639639849.9669595,1635485186.1499023,2263509626.804118,12775701959.576633,3591823726.1340747,9183878233.442558,2495293.50224905,706230836.8919063,706230836.8919063,14109087521.26902,5305324557.146107,1289263349.6765234
1969.0,429876378487.5,20802330998.466293,298187656.1965135,201741053290.8112,302165861.4198896,35642992.0778469,266522869.34204274,98680181488.72594,1440053748.2823987,1440053748.2823987,127442182631.82675,1498629198.281291,176775855.45556965,1321853342.8257213,20247896768.634262,2664400459.2995424,757555830.0144465,1906844629.285096,2527650552.3166323,15159967793.840193,4310358806.976827,10849608986.863365,2774135.5515042674,852990701.340402,852990701.340402,16637874277.939026,6816779861.402836,1516974656.1934328
1970.0,431529647150.0,23127704737.58238,332277060.8839157,232543216244.0904,356388581.7545494,42602254.98405643,313786326.770493,109238111648.72488,1659458613.1998808,1659458613.1998808,143291411753.00275,1735221056.5656717,207426201.8765445,1527794854.6891272,22415469890.35218,3096197984.282082,889134548.1997542,2207063436.082328,2787470734.0758314,17788395075.237244,5108289811.79869,12680105263.438553,3276462.6464658394,1026325134.6939361,1026325134.6939361,19414533628.87432,8558198769.560062,1759620886.5022752
1971.0,434495223400.0,25453104923.774845,366439213.8075319,263043554741.95337,413093161.43918014,49971230.80793548,363121930.63124466,119771428311.37582,1891884968.0336962,1891884968.0336962,158876443038.0876,1981897036.116277,239746971.08102837,1742150065.0352485,24373017006.559258,3547813579.7929235,1027954761.5708014,2519858818.222122,2859403620.9509087,20479034575.492233,5933660444.887028,14545374130.605206,3690657.3691382213,1221571677.3247979,1221571677.3247979,22283961589.852314,10540105164.298935,2015250568.9613168
1972.0,442304951150.0,27805971964.34687,401071759.4279752,295431566073.01495,475042574.1771412,58085165.57763481,416957408.5995064,130059456606.46632,2135087238.5374327,2135087238.5374327,174763922266.27795,2243838052.84954,274362155.9708086,1969475896.8787317,26092754759.204636,4018535447.354624,1173783982.9543786,2844751464.400245,3079122188.0887613,23380722586.893494,6829333233.94258,16551389352.950912,4243770.286513326,1446079507.0382845,1446079507.0382845,25363740868.405113,12775578550.364498,2286047157.9501085
1973.0,444669722050.0,30175932994.054928,436018170.29194295,330218051650.80756,543103352.820002,67059273.927463226,476044078.8925387,140148639153.55963,2389332694.5882564,2389332694.5882564,190819462311.4465,2520138452.2921414,311172181.00364465,2208966271.288497,28194635121.04371,4549107415.259979,1338591382.2619493,3210516032.9980297,3694116406.4227223,26872001997.66825,7907184204.431212,18964817793.237038,4732543.82940864,1696444883.208876,1696444883.208876,28946121754.21324,15277736010.661371,2572185584.4724193
1974.0,450510799950.0,32562426856.56488,471266537.49004704,363409330857.97174,612680436.1596118,76331319.00995046,536349117.14966136,150327838325.56088,2657385617.0162306,2657385617.0162306,206556410891.46143,2806557398.4287214,349657366.96608007,2456900031.4626412,30174439613.007908,5095131614.515632,1509455912.9473486,3585675701.568283,3556483241.414989,30211749430.703747,8950368168.849499,21261381261.854248,4817333.525492619,1951295881.6833832,1951295881.6833832,32448987610.73445,18057047430.232903,2871323346.057
1975.0,451167425837.5,34952836879.99503,506626976.56984574,394793733000.31555,683527673.2603266,85865261.02260107,597662412.2377255,160855533042.81168,2941891602.639602,2941891602.639602,221922975948.5885,3102484491.683739,389736438.06742746,2712748053.6163116,31502379093.781948,5608528581.216331,1671999708.4844346,3936528872.731896,3114131142.720503,33127408141.91225,9875855307.50917,23251552834.40308,4510618.699264717,2189920770.9841185,2189920770.9841185,35630304546.61273,21125016364.015453,3184333134.711091
1976.0,459282247750.0,37392606590.558105,542769689.4369314,428892809338.7605,761164720.330867,96354952.0184661,664809768.3124009,171457129679.87415,3240114968.625559,3240114968.625559,238035704606.74457,3417911348.515727,432669401.50148785,2985241947.0142393,33083499256.46673,6164877127.615098,1848599411.259926,4316277716.355172,3539585636.955824,36468479346.53942,10935434405.914509,25533044940.624912,4932875.84266454,2450884295.1414537,2450884295.1414537,39190373636.07373,24498854676.018578,3516328371.9490795
1977.0,458275064850.0,39802847078.7116,578523311.8465053,464440822671.5568,844353126.1161169,107653503.87998638,736699622.2361305,182239689027.66812,3552995007.3117948,3552995007.3117948,254521080572.30905,3749874948.315882,478102306.73851,3271772641.577372,34749137530.61942,6752839385.146015,2035959197.3769832,4716880187.769032,3804716351.425943,40053445385.85914,12075984022.269667,27977461363.58947,5194575.962662265,2725692519.1787915,2725692519.1787915,42981501341.66259,28194131633.35383,3866190313.790043
1978.0,453601396425.0,42198438715.46976,614104363.241843,502961826792.80725,935183636.6345586,120036034.69056484,815147601.9439937,193193674935.89893,3880295651.372919,3880295651.372919,271925034893.9454,4103557379.545833,526714472.61258084,3576842906.9332523,36830812217.83934,7403047667.238738,2243419842.4218564,5159627824.816881,4143733698.978107,43959502808.24159,13321489377.873022,30638013430.36857,5668836.005452902,3025590483.1733384,3025590483.1733384,47095517898.60895,32229571110.37851,4236846683.225482
1979.0,458057817387.5,44624588573.89664,650182141.5731232,542540556468.8752,1031656607.862215,133255560.60785028,898401047.2543647,204256230592.38257,4221163042.718905,4221163042.718905,289225730064.562,4470126831.754753,577391015.9777013,3892735815.777052,39083287360.73505,8098623304.984951,2466029601.314767,5632593703.670184,4619500781.925705,48316821981.55098,14712465163.630934,33604356817.920044,6789918.1788929375,3384796964.9944453,3384796964.9944453,51634047392.33499,36618268236.92418,4623602779.204658
1980.0,456823172737.5,47067044971.922035,686543601.9746014,582648731130.6481,1133342097.0994425,147261920.71232504,986080176.3871174,215280991091.15988,4573762647.38182,4573762647.38182,306627928575.676,4851292384.99484,630357450.2171977,4220934934.7776423,41399907089.09066,8831891405.605772,2701541083.509327,6130350322.096445,4703864063.933504,52742032666.99871,16132984604.775618,36609048062.22309,6707099.80467357,3739622113.1897717,3739622113.1897717,56259798256.055885,41373022869.82332,5026023125.647436
1981.0,455314313512.5,49520842801.74916,723113370.1728716,620912673435.902,1237521502.4376287,161704257.42724687,1075817245.010382,226551112256.3972,4940556949.464526,4940556949.464526,323406882700.4615,5240353852.658501,684745700.7664105,4555608151.89209,43440922400.13551,9572046826.44687,2940552942.0780787,6631493884.368792,4568119630.7859535,57033585561.3173,17520837586.81812,39512747974.499176,6457364.751297575,4081235548.438474,4081235548.438474,60797459753.67344,46503605508.65763,5441399707.532689
1982.0,456573098900.0,51986086817.36938,759891584.3797822,661416997088.8904,1349203331.7820165,177238954.85273188,1171964376.9292846,238051744758.52872,5321116366.176791,5321116366.176791,340870464934.4011,5648692122.629131,742044037.7784363,4906648084.850695,45565741573.05868,10347970205.149378,3191915706.8341093,7156054498.3152685,4683796800.031723,61441368572.6484,18952090652.409164,42489277920.239235,6566501.700903613,4428622646.737571,4428622646.737571,65473683893.24884,52027188289.72601,5876146046.888385
1983.0,455435339937.5,54401336794.878075,795959022.4913049,702091915091.7717,1466157532.5357006,193580317.2091342,1272577215.3265665,249635261731.9151,5713579990.815904,5713579990.815904,358126143333.9722,6068356262.217144,801219721.6941466,5267136540.522997,47922687649.49333,11173955153.488375,3460108446.8608766,7713846706.627499,4984653905.252756,66137182244.733444,20479930319.492798,45657251925.24065,7170469.00840928,4807961377.729161,4807961377.729161,70432353756.26277,57955102328.412964,6325379707.978521
