Year,Fuel_Emissions,Biochar_Stock,Biochar_Decay,Construction_InUse,Construction_Disposed,Construction_Recycled,Construction_LandfillIn,Exterior_InUse,Exterior_Disposed,Exterior_LandfillIn,Household_InUse,Household_Disposed,Household_Recycled,Household_LandfillIn,GraphicPaper_InUse,GraphicPaper_Disposed,GraphicPaper_Recycled,GraphicPaper_LandfillIn,OtherPaper_InUse,OtherPaper_Disposed,OtherPaper_Recycled,OtherPaper_LandfillIn,HouseholdPaper_InUse,HouseholdPaper_Disposed,HouseholdPaper_LandfillIn,LF_Input_Total,LF_Stock_Total,LF_Decay_Total
1961.0,928627850.0,4905501.4679982755,57698.53200172485,1750549220.1778038,2139321.0212237537,181842.28680401907,1957478.7344197347,280624041.83280116,2929622.651335233,2929622.651335233,692490091.0998049,6330874.412755311,538124.3250842014,5792750.0876711095,404517849.7236861,36148750.27631392,8133468.812170633,28015281.46414329,86775681.41578288,84107118.58421712,18924101.68144885,65183016.90276827,0.0,0.0,0.0,103878149.84033765,5639157.815858917,5040693.65756716
1962.0,898940587.5,9890636.72958731,118464.73841096448,3358589118.314338,4228016.720050758,403340.98923726677,3824675.730813491,534851780.9296155,5850225.3918520585,5850225.3918520585,1320160373.5332313,12512869.635087777,1193692.8236065898,11319176.811481187,696682016.9360265,65487632.78765962,15960316.713987822,49527316.0736718,86899312.83831663,165747568.57746625,40395164.3457216,125352404.23174465,0.0,0.0,0.0,195873798.2395632,16558792.478375496,10074443.271630157
1963.0,870441062.5,14865622.538655106,179914.19093220402,5269565364.298347,6805864.621345578,690653.5904347008,6115211.030910877,786271025.8271147,8995987.088484794,8995987.088484794,1918159361.6849017,18842115.120414343,1912082.4734720152,16930032.64694233,1221167662.1880333,118209154.74799317,30103442.629357282,88105712.1186359,57582268.26556157,219048400.3254064,55783420.212302186,163264980.11310422,771386.8165871805,40808613.18341281,40808613.18341281,324220536.1814909,33048416.138535462,15551607.106178036
1964.0,840753800.0,19830364.807314884,241757.73134022293,7101921969.848307,9433093.24193262,997968.5851024127,8435124.656830207,1075292234.6453109,12797268.47326334,12797268.47326334,2621567495.257886,26548639.89997495,2808697.838328938,23739942.06164601,1508025669.2315676,154406992.95646566,40521019.0938365,113885973.86262916,170145933.44981888,382322803.3797072,100332953.31466071,281989850.0650465,771386.8165871805,81617226.36682563,81617226.36682563,522465385.48624086,56034361.31884271,21986390.011432312
1965.0,813441775.0,24725649.92413505,303114.88317983295,9018384844.441845,12309222.761641936,1343447.8815173144,10965774.880124621,1382732428.1465895,17099836.524122227,17099836.524122227,3345650343.741942,34937994.897583604,3813187.5698836097,31124807.327699993,1791056879.0057118,193497590.22585604,51945361.45801914,141552228.7678369,213665911.75388223,584396885.5172234,156884162.83479065,427512722.6824327,831954.966630322,125630071.4001953,125630071.4001953,753885441.5824116,86107797.40613985,29116982.6446497
1966.0,714879750.0,29730692.270325735,366157.65380931745,10999080172.637535,15421989.627791414,1725356.557611252,13696633.070180163,1690355405.8339138,21742026.599794924,21742026.599794924,4060692036.01919,43766093.97196765,4896392.68719822,38869701.28476943,2041474123.1338751,233166955.87183657,63742600.8007132,169424355.07112336,193402449.50063145,765637471.7415596,209308062.27154762,556329409.470012,323982.4629666158,142769688.93722868,142769688.93722868,942831814.4331084,123659021.06765229,36757137.29323206
1967.0,756416125.0,34607160.45226798,427831.81805775553,12884284033.46711,18587200.481660195,2122447.3718379424,16464753.109822253,1938536225.2795432,26112573.854445443,26112573.854445443,4705482575.676397,52481351.30083462,5992774.772557413,46488576.5282772,2266156756.2782116,274081566.8556631,76068481.31308647,198013085.54257667,207387644.47554702,961073854.8173401,266736028.27208248,694337826.5452577,357694.92383968516,161692794.013389,161692794.013389,1143109609.5937684,168421940.47104406,44302984.089153096
1968.0,757155700.0,39475545.04977784,489615.4024901409,14864540343.083649,22037767.026901215,2560603.9209106113,19477163.105990604,2184192400.9218273,30759024.069962084,30759024.069962084,5365299756.925653,61830812.20240278,7184222.4289464485,54646589.77345633,2467290713.995224,316548042.28298783,88995874.53831036,227552167.74467748,204680905.83766076,1153450182.8281183,324286661.2499634,829163521.5781549,459975.10174272617,186026818.91164625,186026818.91164625,1347625285.1838875,220902017.2018026,52402700.21865047
1969.0,758053212.5,44306734.90107863,551110.1486992151,16811935145.305914,25630682.92362293,3023353.54531339,22607329.37830954,2441649028.7116065,35834210.70467569,35834210.70467569,6010631283.071316,71563819.4822939,8441551.401213214,63122268.08108069,2652662436.9947176,361400877.0005064,102755327.33395612,258645549.66655028,227912726.2764482,1368438000.530114,389081221.5170669,979356779.013047,439404.78663373465,209272614.12501252,209272614.12501252,1568838750.9686756,281492709.0216462,60973116.344222315
1970.0,759056887.5,49131252.796595864,612682.1044827652,18832801893.61198,29500583.361897796,3526463.638017324,25974119.723880474,2696704513.4726443,41205279.56841327,41205279.56841327,6653861511.799604,81792899.07857296,9777423.073645031,72015476.00492793,2845168057.8148327,410899379.1798847,117997891.51641704,292901487.66346765,248638804.28460315,1602819160.8415198,460281253.8653526,1142537906.9761672,482831.0074193833,234815783.11759314,234815783.11759314,1809450053.0544496,350631933.56628525,70055650.75258267
1971.0,759795750.0,53978363.33617525,674689.4604206133,20802793910.95632,33507693.631978735,4053373.0611556605,29454320.570823073,2939004793.2961864,46765154.03990628,46765154.03990628,7267934210.045678,92276211.28009091,11162508.321111832,81113702.95897909,2993322957.561923,460857900.2529107,133530430.02900732,327327470.22390336,257903310.8869969,1845583529.3317115,534745226.6541893,1310838302.6775222,529114.2164146141,262807468.90117854,262807468.90117854,2058306419.3723128,428523115.33714414,79441995.79884952
1972.0,760492100.0,58873120.87795082,737442.4582244274,22759939395.58939,37702217.234364025,4609985.819682286,33092231.41468174,3195489737.8234262,52784608.16558347,52784608.16558347,7884919586.024195,103293627.07900795,12630083.613855908,90663543.46515204,3052754464.3896017,507352293.1723202,148193789.31517747,359158503.8571427,260099778.0565576,2090219014.2947707,610537254.6759521,1479681759.6188188,601110.3192960843,294607958.5818825,294607958.5818825,2309988605.103261,515671739.13366526,89391759.24889612
1973.0,699379787.5,63799098.562031776,800722.3159190448,24911373373.92143,42343628.85766965,5228347.407367964,37115281.450301684,3457866419.8909364,59190005.93689649,59190005.93689649,8535139390.521079,115127383.75385119,14215266.253862377,100912117.49998881,3169222896.1205893,560483121.8610935,164924194.64745852,395558927.21363497,288260639.6950151,2362091804.673637,695054094.1814641,1667037710.4921727,593682.1499511708,326015476.4319313,326015476.4319313,2585829519.024926,612788122.0538762,100101021.96697608
1974.0,724392100.0,68790141.05587387,864957.5061579043,27213208360.67526,47399277.99796795,5905279.810112405,41493998.18785555,3735699163.6971025,66085321.43153582,66085321.43153582,9210543818.859083,127726881.6032333,15912963.382533528,111813918.22069976,3310291200.193289,617822518.8511087,183032731.0044347,434789787.84667397,304322336.9951564,2648694742.9207478,784687863.5880651,1864006879.3326826,660415.6805505906,360953392.75138074,360953392.75138074,2879143297.7708287,720588834.3931885,111592525.50077873
1975.0,724392100.0,73800882.59415148,929558.4617223897,29360108562.853405,52514567.38103408,6596919.498742972,45917647.88229111,3959674686.0979166,72758799.00634232,72758799.00634232,9819738490.73246,140273621.35590714,17621277.943085104,122652343.41282204,3469303531.3721275,677575887.0931569,201997131.5631854,475578755.52997154,289554205.07603085,2920530717.3504953,870660893.9079087,2049869823.4425867,729674.7887272811,399555317.96265346,399555317.96265346,3166332687.236667,838868992.9811499,123048631.71349412
1976.0,719642100.0,78786246.3185339,993936.2756175833,31664640229.7201,58069009.65926012,7350888.040430574,50718121.61882954,4223242977.042212,80131122.14811885,80131122.14811885,10453342990.040384,153553511.3891753,19438159.47714908,134115351.91202621,3467994932.098048,724826450.7322149,217346383.7725415,507480066.9596734,287166364.96329635,3190506403.5277042,956704916.7554108,2233801486.7722936,715961.2453212867,437431756.7173322,437431756.7173322,3443677906.128274,968465928.0346464,135367660.62547812
1977.0,719642100.0,83761565.03934567,1058281.2791882376,33914077850.692116,63821796.222115286,8137164.149351804,55684632.07276348,4437413365.324671,87302979.74056044,87302979.74056044,11039903697.900806,166925587.64994317,21282711.986158837,145642875.66378433,3573460459.3303328,782397030.2262563,235890169.87335622,546506860.3529,321574516.10904783,3493889315.0642385,1053396309.3020303,2440493005.762208,723960.8123081168,475731395.90502405,475731395.90502405,3751361749.4972405,1109321535.511155,147774880.00059962
1978.0,719642100.0,88620555.29394543,1121209.7454002285,35888266911.92969,69508550.43337756,8921810.053411128,60586740.37996644,4687655608.123416,95112197.4619661,95112197.4619661,11542290142.745232,180015852.40079036,23106038.490359914,156909813.91043046,3602477482.957683,834745519.9962524,252961313.65189976,581784206.3443527,313379763.11101925,3788302128.8801503,1148007219.0577476,2640294909.822403,747388.1156266904,515270407.78939736,515270407.78939736,4049958275.708516,1261539915.030879,160390372.23263878
1979.0,672142100.0,93441923.19131525,1183732.1026301838,37837165854.98216,75423733.80894704,9742226.10048056,65681507.708466485,4932717296.252949,103151081.719009,103151081.719009,12031660151.177002,193413778.95420605,24982597.259017207,168431181.69518885,3674108529.1455812,891945052.4736835,271597136.8605894,620347915.6130941,324758496.52868897,4094019604.719638,1246628365.513337,2847391239.2063007,770815.4189452641,556048792.370452,556048792.370452,4361051718.312511,1425424386.9227006,173379299.23084277
1980.0,672142100.0,98213341.00824727,1245682.183067983,39885688872.82816,81725781.50638834,10619119.846644651,71106661.65974368,5201980016.784882,111710548.8111075,111710548.8111075,12555056007.525782,207530436.19086123,26965671.457848705,180564764.73301253,3810728895.8406935,956295180.7157716,292516132.730737,663779047.9850346,335994017.16912997,4410279435.871532,1349037316.9897544,3061242118.881778,855953.6675908121,601331238.7028612,601331238.7028612,4689734380.773537,1601690223.76993,187116138.35663444
1981.0,681642100.0,102963217.49597007,1307423.5122771997,42082844014.40218,88489072.64306198,11562675.681987371,76926396.9610746,5446117414.283002,120286281.45929256,120286281.45929256,13101210119.163265,222272236.87656903,29043832.32131372,193228404.55525532,3968547616.869803,1024322572.5816206,314674051.33453035,709648521.2470902,326881649.6545982,4717382923.913144,1449189968.1785035,3268192955.7346406,804527.8798183334,643893110.8230429,643893110.8230429,5012175670.7803955,1790764938.794073,201366367.95147908
1982.0,463142100.0,107803113.12672321,1370404.3692468521,44302115063.508575,95577203.60294716,12555560.214900225,83021643.38804694,5656995716.450897,128757199.27456981,128757199.27456981,13621542542.598087,237196738.5349716,31159500.60461853,206037237.93035308,4195275167.956879,1100242654.2453473,339378809.5434392,760863844.7019081,345332913.45107394,5042651834.378847,1555447036.969636,3487204797.409211,849668.2935297313,688843042.5295131,688843042.5295131,5354727765.233603,1992746084.6757784,215834934.7112646
1983.0,558142100.0,112569518.77879298,1432494.3479302302,46207365008.78112,102589076.34074236,13545083.321221776,89043993.01952058,5874687836.697745,137495624.3641265,137495624.3641265,14063835104.088032,251796383.69021118,33245284.18345596,218551099.50675523,4246829495.465707,1162836625.620395,360082063.63457847,802754561.9858165,313267562.7604439,5336282850.686998,1652424509.7526317,3683858340.9343667,886237.7426123829,735727604.7869008,735727604.7869008,5667431224.597486,2207521002.695859,230315798.87032187
1984.0,653142100.0,117324027.48761666,1494491.2911763217,48274763526.15823,110092587.57742375,14606072.488731243,95486515.08869252,6163167624.064467,147159157.84435704,147159157.84435704,14547850672.242725,267100643.80754906,35436458.08575643,231664185.72179264,4326777597.971448,1229347705.699493,382090429.7754347,847257275.9240582,356240344.572095,5672538073.498601,1763067113.0486584,3909470960.4499426,961662.2313453517,786602342.5555553,786602342.5555553,6017640437.584397,2436064258.6963577,245766602.65434325
1985.0,580345737.5,122064661.08193734,1556366.405679315,50554922189.556885,118168109.98285174,15749816.43595492,102418293.54689683,6492858431.663087,157489333.6321643,157489333.6321643,15098525227.262602,283345909.1659659,37765231.735451534,245580677.4305144,4558866954.917585,1310763109.1802356,408839659.0408252,901923450.1394105,378072838.0578932,6028643589.817502,1880392095.6252136,4148251494.1922884,915950.4199920372,835058792.1355633,835058792.1355633,6390722041.076838,2679336808.235153,262215755.0707798
1986.0,627986337.5,126814640.693323,1618420.3886143428,52858151948.37174,126606305.76511927,16948969.487610504,109657336.27750877,6793292418.983523,167775654.16205272,167775654.16205272,15629891431.828098,299770776.5436528,40130747.945063785,259640028.598589,4708564939.767103,1387038897.8817732,434099631.0682219,952939266.8135513,368844672.661691,6375194284.518009,1995235671.5618188,4379958612.95619,1009659.6332663317,888472732.5022969,888472732.5022969,6758443631.310188,2937467308.1443806,278942519.1289233
