Year,Fuel_Emissions,Biochar_Stock,Biochar_Decay,Construction_InUse,Construction_Disposed,Construction_Recycled,Construction_LandfillIn,Exterior_InUse,Exterior_Disposed,Exterior_LandfillIn,Household_InUse,Household_Disposed,Household_Recycled,Household_LandfillIn,GraphicPaper_InUse,GraphicPaper_Disposed,GraphicPaper_Recycled,GraphicPaper_LandfillIn,OtherPaper_InUse,OtherPaper_Disposed,OtherPaper_Recycled,OtherPaper_LandfillIn,HouseholdPaper_InUse,HouseholdPaper_Disposed,HouseholdPaper_LandfillIn,LF_Input_Total,LF_Stock_Total,LF_Decay_Total
1961.0,807500000.0,4905501.4679982755,57698.53200172485,1222688588.894987,1494230.1367383287,127009.56162275794,1367220.5751155708,244937345.74647102,2557065.2876717146,2557065.2876717146,485078402.85789925,4434677.8218241455,376947.6148550524,4057730.206969093,464400025.26901925,41499974.730980776,9337494.314470675,32162480.4165101,138326944.65247092,134073055.3475291,30166437.45319405,103906617.89433505,0.0,0.0,0.0,144051114.3806015,4212420.253866437,3769595.8158899415
1962.0,777812500.0,9890636.72958731,118464.73841096448,2354460819.4149284,2963635.746186956,282722.5748510336,2680913.171335922,471253335.1080499,5152381.784685518,5152381.784685518,928803341.1113439,8802110.345061297,839696.7488600618,7962413.5962012345,777235709.2726529,73164315.99636638,17831239.36164535,55333076.63472103,135065273.08789524,260861671.5645757,63575895.47038032,197285776.09419537,0.0,0.0,0.0,268414561.28113908,12425326.01339862,7582802.792690493
1963.0,749312500.0,14865622.538655106,179914.19093220402,3774366986.8234377,4868847.512036665,494086.67414873606,4374760.83788793,681884919.1936498,7810271.69665543,7810271.69665543,1334568137.7293296,13118260.555659112,1331230.3810169832,11787030.174642129,1429908712.86556,138026996.4070928,35150304.360956974,102876692.04613584,74151075.40917493,328833363.7213076,83741536.94361827,245091826.7776893,1252251.3256285398,66247748.67437145,66247748.67437145,438188330.2073821,24754721.651370198,11642667.071213912
1964.0,719625000.0,19830364.807314884,241757.73134022293,5063551287.372898,6721941.304023625,711143.8507252107,6010797.453298414,909485492.8881471,10866670.422349587,10866670.422349587,1819588391.302912,18440391.929400526,1950890.4842275751,16489501.44517295,1747469248.6605115,178739464.20504844,46906588.252236225,131832875.95281222,309736022.35320896,626953957.0546349,164531494.1916522,462422462.86298275,1252251.3256285398,132495497.3487429,132495497.3487429,760117805.4853588,41797248.95041434,16324442.021776812
1965.0,692312500.0,24725649.92413505,303114.88317983295,6417368164.32235,8757031.206889084,955756.1229566097,7801275.083932474,1151692255.9669762,14321614.007447155,14321614.007447155,2319189403.907775,24236579.48694454,2645218.3048004536,21591361.182144087,2054334871.1668906,222134377.49362093,59633045.133480616,162501332.36014032,362791735.83404016,969421034.5539402,260245752.8599359,709175281.6940043,1252251.3256285398,198743246.02311435,198743246.02311435,1114134110.3507826,63993427.87855457,21518071.345383488
1966.0,593750000.0,29730692.270325735,366157.65380931745,7812910495.733538,10954972.52242209,1225602.8006886216,9729369.72173347,1394928897.0506485,18055901.68475553,18055901.68475553,2813299569.3337803,30342535.269516964,3394613.3712520907,26947921.898264874,2337082908.9687047,267251962.19818592,73060674.81092803,194191287.38725787,318622984.52646303,1267713895.0288668,346564462.5251237,921149432.503743,377530.5848376412,218715715.4382767,218715715.4382767,1388789628.6340315,91637232.37238151,27089388.810926944
1967.0,635285900.0,34607160.45226798,427831.81805775553,9171329905.763634,13226924.280120587,1510364.6567723418,11716559.623348245,1588429205.234267,21549006.76144381,21549006.76144381,3264843679.9279294,36425297.79041481,4159355.661976213,32265942.128438596,2582516090.3023376,313066818.66636693,86888431.49386682,226178387.17250013,347436004.5033481,1595292169.5756655,442756709.1886402,1152535460.3870254,444317.3222044967,242221398.1160722,242221398.1160722,1686466754.1888285,124557669.5800004,32611071.305611737
1968.0,636025000.0,39475545.04977784,489615.4024901409,10620593949.264015,15731442.081451744,1827861.7895439141,13903580.29190783,1775293754.5725338,25211169.77120408,25211169.77120408,3732878853.9642706,43006081.837698855,4996946.452977308,38009135.38472155,2811325798.452144,361490291.8501937,101631159.77054963,259859132.07964405,335466848.9213778,1910368771.5606902,537090478.5559571,1373278293.004733,576035.6097891283,272695362.50628304,272695362.50628304,1982956673.0384936,163134633.88016742,38546921.14766645
1969.0,636922037.5,44306734.90107863,551110.1486992151,12021433749.374647,18309492.112583715,2159757.820594305,16149734.29198941,1961771291.304301,29105433.726965047,29105433.726965047,4180556720.0839705,49765284.9518518,5870231.82882264,43895053.12302916,3027604583.3054905,413121215.14665407,117460715.76615645,295660499.38049763,365005485.481281,2254460082.1093597,640999506.2025272,1613460575.9068327,530583.524636685,300764778.98164636,300764778.98164636,2299036075.41096,207551242.66535556,44733612.35679547
1970.0,637925000.0,49131252.796595864,612682.1044827652,13463565047.226748,21072408.159940153,2518969.8871333776,18553438.272806775,2119443440.364453,32937455.019295458,32937455.019295458,4615260498.450638,56763559.254515395,6785446.41710478,49978112.837410614,3239344204.6890225,468960378.6164675,134671256.96789747,334289121.64857,405814399.86078876,2637213061.151232,757327940.7637398,1879885120.387492,605718.6041743974,332809060.377472,332809060.377472,2648452308.5430465,257919016.46885163,51101232.326016776
1971.0,638663862.5,53978363.33617525,674689.4604206133,14885204398.640778,23952632.948891472,2897512.3804440955,21055120.568447378,2269336925.0537686,36900920.457829446,36900920.457829446,5037974060.851824,64006331.88529697,7742745.420104001,56263586.46519297,3419662612.142485,526981592.54653805,152689318.40268677,374292274.1438513,416283171.5112225,3028923931.556265,877610028.7830645,2151313902.7732005,659519.0314976976,367699541.34597427,367699541.34597427,3007525345.7544956,314426842.48079103,57711801.47953038
1972.0,639350000.0,58873120.87795082,737442.4582244274,16279027005.111174,26944994.775425903,3294661.506350583,23650333.26907532,2416893197.898507,41044255.091249265,41044255.091249265,5454003997.053446,71537867.18875676,8747192.539379213,62790674.649377555,3489176644.0668077,580285968.0756768,169497167.25997505,410788800.8157017,423194285.3624144,3427057905.3837843,1001017841.1253625,2426040064.258422,762481.9182715998,408037059.42770267,408037059.42770267,3372351187.511528,377307752.2823043,64604353.20818885
1973.0,639983175.0,63799098.562031776,800722.3159190448,17750972773.650475,30182219.70033315,3726726.6499353047,26455493.050397843,2576256724.57148,45510387.84750881,45510387.84750881,5879882036.014671,79507131.33206382,9817082.644582232,69690048.6874816,3606364825.205988,639611490.3635702,188208004.5250958,451403485.8384744,447722089.710002,3848767868.0187435,1132513926.396736,2716253941.6220074,732798.9238863307,446804260.5038163,446804260.5038163,3756117617.549686,446998297.0230154,71965384.84467727
1974.0,665000000.0,68790141.05587387,864957.5061579043,19350694039.243797,33735684.939634845,4202989.319011979,29532695.620622866,2751246695.5645895,50346638.756145485,50346638.756145485,6325537558.075757,88012104.97997372,10965063.784431774,77047041.19554195,3767346200.2435064,705155036.1434746,208905386.43181962,496249649.71165496,481370749.32185215,4302366693.426972,1274595699.6595562,3027770993.767416,830929.0481368812,490762831.4556794,490762831.4556794,4171709850.507061,524031431.71447587,79893240.88084976
1975.0,665000000.0,73800882.59415148,929558.4617223897,20795815442.990593,37274788.99285662,4682487.061815031,32592301.93104159,2894110559.687335,55064993.63697593,55064993.63697593,6719374797.925982,96410966.55504364,12111218.217696376,84299748.33734727,3950977146.954197,773348214.6251198,230548524.57036692,542799690.0547528,463573563.1789275,4737734979.431586,1412401022.7952116,3325333956.6363745,887707.0508344538,537725124.404845,537725124.404845,4577815815.001337,608228910.0681405,87759565.55170015
1976.0,660250000.0,78786246.3185339,993936.2756175833,22338124745.26554,41102232.365898944,5203083.539849966,35899148.82604898,3041471092.919932,60012551.46705297,60012551.46705297,7117060332.5793085,105178838.79882182,13314466.231978197,91864372.56684363,3913994518.4377,823871706.2970135,247046083.75601977,576825622.5409937,460405320.3351757,5170593087.087183,1550453502.7694364,3620139584.3177466,846892.9335547087,582528231.4712902,582528231.4712902,4967269511.189977,699968515.0522664,96036467.8758197
1977.0,660250000.0,83761565.03934567,1058281.2791882376,23924488588.851562,45165398.89551728,5758507.06872499,39406891.82679229,3134600054.8449287,64573185.87839893,64573185.87839893,7499023416.919402,114136327.52725661,14552176.332693724,99584151.19456288,4066093205.7849407,891974649.6092496,268927467.1175666,623047182.491683,516235356.2044189,5657641515.571571,1705760587.8243065,3951880927.747265,859879.243598264,628018352.227692,628018352.227692,5406510691.366394,799191338.4851459,104341405.46687451
1978.0,660250000.0,88620555.29394543,1121209.7454002285,25341117344.478775,49211906.139961444,6316622.576784444,42895283.563177,3266386447.483389,69657069.11066905,69657069.11066905,7839994885.50044,123038413.72708373,15792666.509398716,107245747.21768501,4114923576.29418,952932608.1437263,288776733.2717764,664155874.8719499,508128626.51810753,6135166032.084687,1859200944.205874,4275965087.8788133,888634.6444089934,675029717.583283,675029717.583283,5834948780.225576,906096458.4773129,112892979.89936411
1979.0,660250000.0,93441923.19131525,1183732.1026301838,26761487947.32226,53447707.92751184,6903657.892371543,46544050.0351403,3396433107.610949,74867744.58608672,74867744.58608672,8170334769.225196,132131022.68227097,17066912.93113509,115064109.75113589,4236144052.556359,1021724620.0223594,311114996.02856296,710609623.9937963,544058563.1660634,6647808435.892392,2024256687.7619605,4623551748.130432,935941.916710516,724543775.6665725,724543775.6665725,6295181052.163164,1020881051.4051459,121691311.44452995
1980.0,660250000.0,98213341.00824727,1245682.183067983,28263106906.192917,57973191.50157374,7532803.689366625,50440387.81220712,3534816404.8470864,80298441.27571021,80298441.27571021,8517389366.273407,141649989.7728615,18405430.81936054,123244558.95350097,4421778620.495019,1098137402.1174545,335903508.19706714,762233893.9203874,560330862.3576342,7175142765.919348,2194766904.614848,4980375861.3045,1027773.6805899423,778916001.9859825,778916001.9859825,6775509145.252288,1143945190.4071045,130919249.03945965
1981.0,669750000.0,102963217.49597007,1307423.5122771997,29841912311.097347,62794522.92160746,8205224.45835121,54589298.46325625,3629530833.9109564,85403157.6019525,85403157.6019525,8862610679.266026,151427902.07715026,19786756.360126812,131641145.71702345,4624614447.477026,1178356467.722171,361993588.2891385,816362879.4330325,533629272.9921617,7676144832.873276,2358127857.226717,5318016975.646559,981394.0018629594,830834607.9841195,830834607.9841195,7236848064.845943,1275321485.7591543,140257306.43018246
1982.0,451250000.0,107803113.12672321,1370404.3692468521,31397755912.245514,67800379.4304982,8906640.019194424,58893739.41130377,3720204353.878596,90543032.25814116,90543032.25814116,9187797460.114191,161288145.326964,21187719.91922801,140100425.40773597,4847433281.372613,1262611506.3586414,389462804.6735321,873148701.6851093,549678420.686289,8193512278.279132,2527355608.5581865,5666156669.720945,1008294.2155246094,884176313.768595,884176313.768595,7713018882.25183,1415106302.6555514,149752380.18078375
1983.0,546250000.0,112569518.77879298,1432494.3479302302,32686696791.812614,72696849.06188764,9598340.416507795,63098508.64537984,3818444297.7576365,95821943.11710314,95821943.11710314,9445988218.940786,170778635.11578858,22548315.323989477,148230319.7917991,4882591304.007032,1332478137.072965,412612973.11581403,919865163.9571509,508201928.38316846,8670175459.084251,2684792173.376294,5985383285.707957,1067660.2042951477,940658653.5642998,940658653.5642998,8153057874.7836895,1563111723.046471,159145351.16336238
1984.0,641250000.0,117324027.48761666,1494491.2911763217,34107128620.248127,77957679.11144084,10342708.23504973,67614970.87639111,4013278811.4953604,102162738.39036144,102162738.39036144,9756526151.49474,180936351.26816076,24004971.82074806,156931379.4474127,5014811484.460139,1412418293.972235,438990133.1124761,973428160.8597589,552206946.0684904,9190742151.405521,2856551163.1126375,6334190988.292884,1180826.620388986,1003127826.9439108,1003127826.9439108,8637456064.810719,1720335815.3061657,169484996.4544707
1985.0,568453637.5,122064661.08193734,1556366.405679315,35677840272.65992,83619931.57069896,11145126.826660253,72474804.7440387,4248730331.170673,109059425.88520923,109059425.88520923,10123028391.28066,191814510.14643645,25565639.705986604,166248870.44044983,5254153502.511433,1503875739.7669978,469073351.53080237,1034802388.2361954,574267715.4273612,9731341051.335619,3035299154.800191,6696041896.535428,1106619.1344258133,1061671207.809485,1061671207.809485,9140298593.650806,1887525094.516571,180593821.8592924
1986.0,616094237.5,126814640.693323,1618420.3886143428,37227001861.125725,89489362.436205,11980070.536224665,77509291.89998034,4463139005.361151,115898205.2258963,115898205.2258963,10460896114.600216,202662883.3137387,27130773.65931695,175532109.65442175,5414073724.866837,1590657363.1469238,497825818.4053369,1092831544.741587,574192368.7761045,10271250882.69932,3214579076.043311,7056671806.656009,1212364.8019233344,1125808843.0075617,1125808843.0075617,9644251801.185455,2064660641.6559558,191804059.6409139
1987.0,668507875.0,131526115.20521665,1680025.4881063607,38749786698.75872,95564070.22746196,12847399.755150704,82716670.47231126,4554812229.983179,121590813.34992056,121590813.34992056,10721586621.026728,213007528.71959075,28636210.92952276,184371317.790068,5556461640.392126,1677578440.8795729,526738820.7166578,1150839620.162915,506809752.57501346,10745871467.396906,3374070342.3332543,7371801125.063652,1248540.9513303812,1191860302.0562313,1191860302.0562313,10103179848.895098,2250948647.445875,202390795.82237995
1988.0,724715337.5,136211968.0628148,1741347.1424018582,40344576602.69393,101967780.22243111,13763923.77615273,88203856.44627838,4595256430.6732645,126759723.18369871,126759723.18369871,10985133870.161697,223517782.83855438,30171116.00246202,193346666.83609235,5807091007.619583,1777124239.1322813,559739971.7337765,1217384267.3985047,694658500.3126184,11404571797.689117,3592092525.1637197,7812479272.525398,1350576.2445297437,1263309725.8117015,1263309725.8117015,10701483512.201672,2446316613.5850644,212942280.32688057
1989.0,783290200.0,140897651.82262418,1802716.2401906382,42049976993.29243,108757915.79850274,14737723.98806751,94020191.81043524,4629676376.754128,131815339.46837096,131815339.46837096,11261363840.6427,234270297.22437283,31745836.18807153,202524461.0363013,6263530359.6796465,1898170617.2960196,599664343.0056454,1298506274.2903743,599318231.8766545,11965202905.228043,3780010855.5646534,8185192049.663389,1381186.8324895524,1336378538.979212,1336378538.979212,11248436855.248083,2650965340.013777,223711265.88639545
1990.0,842011600.0,145621912.640564,1864639.182060175,43632805112.59796,115662574.69052103,15732187.541599842,99930387.14892119,4677762111.041811,136942887.98324743,136942887.98324743,11507350179.103384,244865699.47675133,33306133.094311845,211559566.3824395,6665372330.902479,2019586139.3346133,639870180.7572318,1379715958.5773816,933619813.852883,12852870876.297312,4072205017.9921083,8780665858.305202,1573198.7024192617,1419605340.2767928,1419605340.2767928,12028419998.673983,2864880556.89872,234517624.62966526
1991.0,899300875.0,150383019.79025993,1927092.8503040795,45028873029.23294,122600135.71593964,16736120.995605055,105864014.72033459,4721179464.567151,141949917.242027,141949917.242027,11699169034.174496,255051131.11589184,34816980.95597234,220234150.1599195,6907624905.699874,2131576187.7685626,677239386.8108534,1454336800.9577093,926705218.7106361,13723779715.44814,4360287102.356418,9363492613.09172,1268020.416395714,1486687319.860397,1486687319.860397,12772564816.03211,3087797521.1116605,245131117.90934002
1992.0,955758900.0,155108494.75490674,1989125.0353531763,46430317863.51623,129797175.89518091,17780400.939819474,112016774.95536144,4739025008.053696,146601382.10929683,146601382.10929683,11880998198.6114,265180385.4688428,36326010.50441623,228854374.96442658,7006792020.662941,2234088672.2955265,711724506.9500386,1522364165.345488,634818546.8120002,14312293490.334484,4559537029.148454,9752756461.186031,1365417.7417223782,1558921902.1186748,1558921902.1186748,13321515060.67928,3319601945.0395947,255668108.10115087
1993.0,1010992612.5,159770329.48627108,2050365.268635675,47961837850.25432,137410667.912415,18886768.36328405,118523899.54913095,4743992545.761807,150994014.75692502,150994014.75692502,12064207926.953142,275334588.698262,37844082.109103315,237490506.58915865,7253348113.661707,2351829161.980003,751187649.545293,1600641512.43471,619739586.930309,14894876353.631485,4757508470.101765,10137367883.52972,1626071.5361680223,1644945830.5825067,1644945830.5825067,13889963647.44215,3560338739.766189,266271626.16862035
1994.0,1066564050.0,164366939.77012584,2110789.7161452486,49471801316.816284,145268509.9274985,20031860.427009497,125236649.500489,4742005777.306861,155165957.51424524,155165957.51424524,12246026727.512026,285473031.5174415,39365420.1167667,246107611.40067482,7536333970.134874,2475886113.5231185,792807786.0053796,1683078327.5177388,711007660.9603584,15566102966.077127,4984448824.9528475,10581654141.124279,1650188.9691060535,1732245641.6134007,1732245641.6134007,14523488328.670828,3809975667.8139043,276873290.3676939
1995.0,1126319762.5,168919268.66947263,2170671.100653212,51086406634.42318,153527632.12418547,21237511.269422505,132290120.85476297,4743298458.972728,159206735.07838982,159206735.07838982,12440564034.81752,295708117.28821886,40905369.1930089,254802748.09520996,8050602763.278933,2625208912.5007906,842677353.6004173,1782531558.9003735,750356960.2686011,16272742780.917244,5223459267.240129,11049283513.677114,1749441.4815817971,1824796200.1318188,1824796200.1318188,15202910876.737669,4068649540.7263255,287625731.1159415
1996.0,1191749350.0,173462794.2953662,2230474.3741064332,52775100609.61698,162162029.730931,22500433.096718248,139661596.63421276,4742697621.820622,163055893.25569397,163055893.25569397,12583065070.475222,305440904.15826905,42380775.8229076,263060128.33536145,8315760821.57717,2758642118.4652367,887606926.1051354,1871035192.3601012,766867142.9354897,16994296008.301523,5467999904.837737,11526296103.463787,1793965.9731597006,1919702234.158659,1919702234.158659,15882811148.207815,4336174266.262411,298252892.6891818
1997.0,2161226250.0,175510357.23019096,2257437.0651752427,54459024656.35407,171084610.39180696,23808779.146926604,147275831.24488035,4703106346.357401,166316485.22171274,166316485.22171274,12703463283.433702,314897660.83308154,43822345.23309103,271075315.5999905,8535465431.212704,2891960479.668617,932642169.1901927,1959318310.478424,741238978.070595,17690550575.46237,5705110280.330876,11985440295.131496,1764282.9787744316,2013037951.1798844,2013037951.1798844,16542464188.856388,4612230787.507139,308611110.8218558
1998.0,5101025000.0,177338836.19030577,2281521.039885183,56320554471.848656,180521968.37400806,25194330.517048523,155327637.85695952,4679104913.711635,169514905.0393252,169514905.0393252,12846783667.39845,324461408.45033026,45283064.64944184,279178343.8008884,8817660067.722746,3034942207.1959925,980938318.3676693,2054003888.8283231,1183194239.202076,18815947201.938602,6081593106.781872,12734354095.15673,2012878.0567510603,2119525073.1231334,2119525073.1231334,17511903943.805363,4897059935.638069,319191738.5662432
1999.0,4911761250.0,179261978.0494542,2306858.140851558,58097920615.553986,190170531.53688085,26615017.164073948,163555514.3728069,4665372058.60823,172603844.84989473,172603844.84989473,12977089131.410118,333804294.02378047,46717054.12550492,287087239.89827555,9070388579.477226,3180302861.916882,1030151504.8071644,2150151357.1097174,1216360734.995391,19960293213.99075,6465461619.083434,13494831594.907314,2059257.735478043,2228465815.3876553,2228465815.3876553,18496695366.525665,5190582651.614321,329723883.1447258
2000.0,5299408750.0,187170855.56509283,2411122.4843613687,60165456951.28076,200485930.3858018,28134830.52437967,172351099.86142212,4665793284.803397,175629486.42143488,175629486.42143488,13154252991.195786,343452969.59896785,48197851.46103303,295255118.1379348,9433707349.815346,3339855047.826662,1084116097.7334542,2255738950.093208,1286277778.6198492,21171823411.266605,6872368486.009631,14299454925.256973,2532330.458493269,2362433484.929162,2362433484.929162,19560863064.700134,5493190961.891329,340627394.1437831
2001.0,5741847500.0,192785649.3524857,2485206.212607149,61944601731.185394,210785177.67404404,29658229.320578262,181126948.3534658,4666178011.7484045,178455146.05041182,178455146.05041182,13265670227.730503,352396444.6460401,49583441.693565086,302813002.952475,9564407889.583138,3482426615.4930873,1132716527.984299,2349710087.508788,1079954155.6766968,22181308861.0382,7214835496.444485,14966473364.593716,2281880.1933675613,2483151604.7357945,2483151604.7357945,20461730154.194653,5804427864.524254,351158194.723428
2002.0,4677372500.0,197439006.7253295,2546642.6271561855,63937431667.30613,221665725.8692964,31269285.43383618,190396440.4354602,4629874328.669983,180698458.81358948,180698458.81358948,13399253867.264307,361387059.8127297,50979081.59262394,310407978.22010577,9675718046.276985,3625162247.103893,1181502292.9917743,2443659954.1121187,1092078648.7755828,23208759312.71943,7564131058.514342,15644628254.205086,2337535.807839941,2606814068.9279547,2606814068.9279547,21376605154.714314,6124263289.234275,361667452.75913453
2003.0,5390965000.0,202031695.5309538,2607311.194375705,66028661328.926674,233004827.94209468,32951077.162272528,200053750.77982217,4577373143.161002,182540348.51108754,182540348.51108754,13539269719.687763,370285584.0405423,52365047.36644029,317920536.674102,9982061135.32385,3787913679.929087,1236952315.0060804,2550961364.923007,1245371951.1392431,24384236458.217728,7962731013.768177,16421505444.44955,2370001.582948829,2732194067.345006,2732194067.345006,22405175512.682575,6452641714.539227,372136210.66005945
2004.0,5133488400.0,205084045.52121484,2647650.0097389375,68200971298.07212,244791696.34740108,34702367.186335616,210089329.16106546,4522264511.928936,184108938.52771232,184108938.52771232,13686117028.077534,379092029.4838776,53741164.43023848,325350865.0536391,10340222059.16877,3960517562.7741756,1295774888.2862232,2664742674.487952,1262636815.634874,25571895351.586258,8366436789.45302,17205458562.13324,2281880.1933675613,2852912187.1516385,2852912187.1516385,23442662556.515247,6789570462.493048,382620384.7885964
2005.0,5685275000.0,208392654.26627332,2691391.2549415235,70227084201.1793,256757751.6435666,36485260.42179309,220272491.2217735,4465718248.606137,185416318.01221594,185416318.01221594,13809152927.528313,387524338.3137651,55067184.19465113,332457154.119114,10788597097.82618,4146344999.536311,1359088496.3389735,2787256503.1973376,1319643930.49922,26814433634.349976,8789232032.637268,18025201601.712708,2318983.9363491475,2975593203.215289,2975593203.215289,24526197271.47844,7134814356.87529,392902068.9708612
