Year,Fuel_Emissions,Biochar_Stock,Biochar_Decay,Construction_InUse,Construction_Disposed,Construction_Recycled,Construction_LandfillIn,Exterior_InUse,Exterior_Disposed,Exterior_LandfillIn,Household_InUse,Household_Disposed,Household_Recycled,Household_LandfillIn,GraphicPaper_InUse,GraphicPaper_Disposed,GraphicPaper_Recycled,GraphicPaper_LandfillIn,OtherPaper_InUse,OtherPaper_Disposed,OtherPaper_Recycled,OtherPaper_LandfillIn,HouseholdPaper_InUse,HouseholdPaper_Disposed,HouseholdPaper_LandfillIn,LF_Input_Total,LF_Stock_Total,LF_Decay_Total
1961.0,12675662.5,204790.86656011344,2209.13343988657,14346070.785163091,17532.126745654194,1490.2307733806065,16041.895972273587,0.0,0.0,0.0,6101500.9700033255,55781.06729158748,4741.390719784937,51039.67657180254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67081.57254407613,35555.13898168847,31526.43356238766
1962.0,12778162.5,412650.8329572039,4540.033602909525,24177588.102404132,30559.460363170034,2915.2871877219236,27644.17317544811,30568.27908248682,319.12277446900765,319.12277446900765,10249603.562273026,97613.35994020234,9312.041973330215,88301.31796687213,466511.351732982,41688.64826701804,10160.147823285308,31528.500443732733,536245.4242034116,519754.57579658856,126671.97286173889,393082.6029348497,0.0,0.0,0.0,540875.7172953717,96091.78096864908,55727.971929828636
1963.0,12881175.0,622918.7126472441,6932.120309959873,34148662.641260855,44495.895572734975,4515.407188754967,39980.48838398001,60804.72352965586,663.8163728155597,663.8163728155597,14419721.475412587,142448.704631474,14455.578354870157,127993.12627660383,758045.097560951,71466.25417203092,18199.777225285696,53266.47694674523,539330.1370051493,1026515.2871982624,261414.98196319456,765100.3052350678,0.0,0.0,0.0,987004.2132152123,182954.21392407478,81774.9980779737
1964.0,12985725.0,836138.2645231583,9380.448124085731,46307803.850761145,61886.45699485795,6547.241539987829,55339.21545487012,90683.3386462891,1034.9105590664788,1034.9105590664788,19480455.068013348,198333.84692187601,20982.613392464646,177351.23352941137,1419668.1103978916,136976.9871630593,35946.86358418654,101030.12357887276,525511.7301898934,1520282.1342050214,398967.56104504265,1121314.5731599787,0.0,0.0,0.0,1456070.0562821997,302548.079584136,114131.49388328675
1965.0,13090275.0,1052258.9668908787,11879.29763227967,58296141.67224768,80035.65242248251,8735.216656238137,71300.43576624438,150745.63569552999,1752.2418989310117,1752.2418989310117,24435217.621618073,256815.55104210606,28029.252103826322,228786.29893827974,1615913.5173298195,166754.5930680722,44766.0748725357,121988.5181955365,431256.50974412577,1923091.9304473775,516263.3050235284,1406828.625423849,0.0,0.0,0.0,1830656.1202228407,456009.36561144446,148377.6905761467
1966.0,13196362.5,1271233.8288141573,14425.138076721387,72192931.14196299,101512.78716996872,11356.884374340198,90155.90279562853,179495.80491592473,2203.7175460488857,2203.7175460488857,30133101.327637233,325690.6742777165,36437.09755875143,289253.5767189651,1449158.9242617474,166754.5930680722,45586.954711824954,121167.63835624725,481995.15369327285,2377877.1842693924,650058.133423166,1727819.0508462265,0.0,0.0,0.0,2230599.8862631163,649135.7601511647,188486.80252092218
1967.0,13302962.5,1493018.3255180619,17015.503296095383,86067675.1551097,124133.89334627207,14174.681977997037,109959.21136827504,207780.03886149492,2684.1538668130825,2684.1538668130825,35760351.30147841,398088.1258771546,45457.1465649996,352630.979312155,2215427.034659639,250131.88960210828,69421.49809011076,180710.3915119975,644517.8657949786,2988588.810830384,829451.6654922323,2159137.1453381516,0.0,0.0,0.0,2805121.881397392,883501.1460148296,230908.95868357812
1968.0,13410587.5,1718162.8315940846,19655.49392397726,99919207.64583397,147943.26889797708,17189.76854370351,130753.50035427356,235569.28294190316,3193.7079280147836,3193.7079280147836,41313432.07888801,474031.9554541276,55078.54231742642,418953.41313670116,2898317.848523495,333509.18613614433,93764.41399758242,239744.7721385619,649465.1203170256,3599300.4373913757,1011925.0393765065,2587375.398014869,0.0,0.0,0.0,3380020.7915724204,1160787.1311704847,275614.6362633344
1969.0,13518725.0,1946026.2166675313,22336.61492655333,132662206.24476242,196102.67093455922,23131.951153317896,172970.71978124132,537948.9315967363,6604.451064549243,6604.451064549243,52232006.306182116,603295.3906702165,71163.74010358225,532131.6505666343,3307995.577702231,399922.270821264,113707.92508154442,286214.3457397196,542216.0354763432,4106061.1487930496,1167456.0972271203,2938605.0515659293,0.0,0.0,0.0,3936526.218718074,1518200.4074394323,354293.545143477
1970.0,13628400.0,2177161.5926429257,25064.624024605317,156216376.25036463,235677.45426886395,28172.59450716752,207504.85976169643,836788.9777122317,10274.180395113126,10274.180395113126,59765637.05178345,709396.4553317553,84800.38424924496,624596.0710825104,3917838.137471837,490157.440230394,140758.41285939355,349399.0273710005,592542.4082153197,4664797.317774382,1339588.9011743756,3325208.4166000066,0.0,0.0,0.0,4516982.555210327,1939436.7491036113,421138.769575141
1971.0,13754475.0,2414488.036437456,27873.556205469435,179729950.16636437,277307.4930648758,33545.45181149193,243762.04125338385,1131826.8253368265,14209.917919690157,14209.917919690157,67190758.10848084,820313.6557338346,99232.05429681762,721081.601437017,4437445.5278323125,580392.609639524,168164.79593447948,412227.81370504457,594191.4930560021,5223533.486755715,1513483.1634103148,3710050.3233454,0.0,0.0,0.0,5101331.697660536,2427215.2810599064,491275.02865379606
1972.0,14119887.5,2660890.539409036,30797.497028420406,191889656.06810796,307245.8888190033,37568.06083331077,269677.82798569254,1575634.8697636202,20013.038745897185,20013.038745897185,70408873.52226265,898604.9867863122,109875.66648480602,788729.3203015062,4729489.731823301,658355.7960090123,192300.77687861797,466055.0191303943,473536.27261023456,5665324.876182815,1654798.790508107,4010526.085674708,0.0,0.0,0.0,5555001.291838199,2961252.968131353,544382.4999616487
1973.0,14175237.5,2668996.7272753576,30893.812133678148,203203981.8524253,337616.55763084156,41686.94798707558,295929.60964376596,1952301.9149415358,25581.890762546514,25581.890762546514,73358370.57688454,977659.2235816324,120715.72996456955,856943.4936170628,4406375.859570458,688313.8722528435,202538.8573147932,485775.0149380503,469825.83171869937,6107116.265609915,1797041.1461805452,4310075.11942937,0.0,0.0,0.0,5974305.128390796,3542076.9656974724,597630.9964572564
1974.0,14803562.5,2761799.7264411016,31997.00083425605,213317148.28076544,367973.6281109527,45844.31089500091,322129.31721595174,2384357.1127994265,32148.778566978785,32148.778566978785,75805286.63844673,1055129.1096568264,131454.16747878428,923674.9421780421,4220345.296183012,730182.9908586798,216320.03184082467,513862.9590178551,402795.1536932729,6483938.333062442,1920896.2194703775,4563042.113592064,0.0,0.0,0.0,6354858.110570891,4169363.3875455605,650666.6161128846
1975.0,15461100.0,2881379.8176400918,33419.90880100991,221081702.05001897,396876.1811439951,49855.88472963469,347020.2964143604,3207026.3748408267,43278.23573982476,43278.23573982476,77698479.16784248,1130170.0320587526,141972.81046393994,988197.2215948127,4093154.7202308606,778188.1009843369,231991.3786923573,546196.7222919796,266672.4415915671,6730821.756565821,2006574.7819364925,4724246.974629329,0.0,0.0,0.0,6648939.450670306,4843579.749174805,704279.3921197534
1976.0,15571287.5,2944409.2903826768,34170.52725741486,233119113.19911888,432292.9021546631,54723.453061421234,377569.4490932419,3162280.9834943656,46221.13493095625,46221.13493095625,80355416.95558253,1214392.758391029,153728.55945750687,1060664.1989335222,4311909.215932435,856151.2873538252,256725.43555851438,599425.8517953109,463641.7635661407,7172613.145992922,2150779.028422764,5021834.117570158,0.0,0.0,0.0,7105714.75232319,5567493.796942103,760540.7351904225
1977.0,15463150.0,3067768.4857083955,35640.80467428123,246883572.84855205,471449.0699770924,60108.90788958271,411340.16208750964,3114569.561775734,49207.61513593447,49207.61513593447,83317503.0344552,1303990.7290722108,166256.47098313263,1137734.2580890781,3952085.716263006,886109.3635976564,267159.1023868998,618950.2612107566,67641.76356614071,7224588.603572581,2178190.0584017048,5046398.545170876,0.0,0.0,0.0,7263630.841694155,6345051.274706455,820724.5575481701
1978.0,15212537.5,3186115.7058781185,37052.779830276944,260608005.51784897,512354.9076016875,65763.60947041468,446591.2981312728,3063856.809729733,52220.881416005126,52220.881416005126,86189048.3924991,1395446.3843293372,179113.32495185116,1216333.059377486,3767906.305946583,933934.0033844953,283019.3953737905,650914.6080107047,55273.62726102345,7276564.06115224,2205090.2456949237,5071473.815457316,0.0,0.0,0.0,7437533.662392785,7177568.695582278,882627.8180489404
