Year,Fuel_Emissions,Biochar_Stock,Biochar_Decay,Construction_InUse,Construction_Disposed,Construction_Recycled,Construction_LandfillIn,Exterior_InUse,Exterior_Disposed,Exterior_LandfillIn,Household_InUse,Household_Disposed,Household_Recycled,Household_LandfillIn,GraphicPaper_InUse,GraphicPaper_Disposed,GraphicPaper_Recycled,GraphicPaper_LandfillIn,OtherPaper_InUse,OtherPaper_Disposed,OtherPaper_Recycled,OtherPaper_LandfillIn,HouseholdPaper_InUse,HouseholdPaper_Disposed,HouseholdPaper_LandfillIn,LF_Input_Total,LF_Stock_Total,LF_Decay_Total
1961.0,610137.5,122596.79885838667,1303.2011416133325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1962.0,609900.0,243853.23622718,2643.5626312066756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1963.0,609425.0,363468.46111244947,3984.7751147305216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1964.0,609187.5,481745.3639398263,5323.097172623158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1965.0,608950.0,598690.1568578765,6655.207081949864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1966.0,608712.5,714014.3821088299,7975.774749046583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1967.0,608475.0,1002709.3098750808,11305.07223374904,5912346.564826581,7225.393690791997,825.0579674248054,6400.335723367191,0.0,0.0,0.0,2179293.340671916,19923.508835246874,2275.0386217054856,17648.47021354139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24048.805936908582,12732.236857495796,11316.569079412784
1968.0,608000.0,1288087.7174882845,14621.592386796294,11951636.611149285,15023.147388554033,1745.5638795251657,13277.583509028867,0.0,0.0,0.0,4387590.593330099,41508.567404507645,4822.947820331411,36685.61958417623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49963.2030932051,38801.243872840074,23894.196077860826
1969.0,607762.5,1570168.6689285105,17919.048559774063,17042312.39548346,22106.241156783493,2607.6161440596893,19498.625012723805,0.0,0.0,0.0,6226967.554493314,61187.24928694645,7217.548108683601,53969.70117826285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73468.32619098666,76677.12176385871,35592.44829996801
1970.0,607525.0,1937927.4929591499,22241.175969360604,23412607.526531413,31150.099319557776,3723.644757239877,27426.4545623179,275114.5117423814,2872.1049702210685,2872.1049702210685,7875867.539891352,80404.42924305591,9611.44708844608,70792.98215460984,367187.21112395276,32812.78887604726,9422.84193730041,23389.946938746853,203123.2667437165,196876.73325628354,56537.05162380246,140339.68163248108,0.0,0.0,0.0,264821.17025837675,128353.96424616141,49414.6992048461
