Year,Fuel_Emissions,Biochar_Stock,Biochar_Decay,Construction_InUse,Construction_Disposed,Construction_Recycled,Construction_LandfillIn,Exterior_InUse,Exterior_Disposed,Exterior_LandfillIn,Household_InUse,Household_Disposed,Household_Recycled,Household_LandfillIn,GraphicPaper_InUse,GraphicPaper_Disposed,GraphicPaper_Recycled,GraphicPaper_LandfillIn,OtherPaper_InUse,OtherPaper_Disposed,OtherPaper_Recycled,OtherPaper_LandfillIn,HouseholdPaper_InUse,HouseholdPaper_Disposed,HouseholdPaper_LandfillIn,LF_Input_Total,LF_Stock_Total,LF_Decay_Total
1961,3302293600.0,30274525.850753978,692074.1492460209,32338620.626233824,108668.53051128378,2173.3706102256756,106495.15990105811,18202488.067779355,393516.5060843402,393516.5060843402,33420351.517161854,584742.4422735644,11694.848845471288,573047.5934280931,13926681.022970967,1113495.312657537,89079.62501260296,1024415.6876449339,8782624.490771206,7382877.497110633,590630.1997688507,6792247.297341783,0.0,0.0,0.0,8889722.244400209,5765984.389492974,3123737.8549072347
1962,3379044800.0,60996498.20674014,1421227.6440138344,65581909.57539468,229454.7549152568,5384.324680483053,224070.43023477375,36450909.40422675,839797.6816497154,839797.6816497154,67217161.90215892,1234918.8329745745,28978.27919597501,1205940.5537785995,24849376.327334948,2142070.6666355184,186213.3557622272,1955857.3108732912,11640627.62200599,11867278.59258357,1031639.9943803727,10835638.598203197,0.0,0.0,0.0,15061304.574739575,14407503.253876105,6419785.710356445
1963,3457580000.0,92189036.09528002,2171962.1114601153,99717391.82117933,363075.3302439088,9255.901702469127,353819.4285414397,54691926.64090678,1339848.8413955553,1339848.8413955553,101324257.6640948,1951914.7762045572,49760.28332194709,1902154.49288261,34261719.81983171,3164912.086937919,287963.0800676758,2876949.0068702428,11741710.722963218,12564307.260834992,1143177.604420352,11421129.65641464,0.0,0.0,0.0,17893901.426104486,23431959.78663818,8869444.89334241
1964,3537940800.0,123879718.51320088,2941617.5820791493,134844942.28937024,510637.36042178737,13752.215675085094,496885.1447467023,72871633.0393543,1893788.5965196926,1893788.5965196926,135753479.4241403,2737911.4551373273,73735.9851602587,2664175.4699770687,44503125.36340202,4342370.093824542,407587.6392556095,3934782.4545689328,14022340.55423417,14468520.799603522,1358057.951950644,13110462.847652879,0.0,0.0,0.0,22100094.513465278,33962845.36512345,11569208.934980012
1965,3620168800.0,156098433.82017368,3729384.6930272016,166314281.56075233,657327.4261588848,18436.186925891874,638891.2392329929,90936478.91729547,2500774.3305826904,2500774.3305826904,167192127.45031193,3536432.270357593,99186.98626049641,3437245.2840970964,53104848.382196315,5474462.049141556,526065.0316520254,4948397.01748953,13525797.82498836,14590317.366751347,1402047.4885850607,13188269.878166286,0.0,0.0,0.0,24713577.749568596,44865426.3968148,13810996.717877248
1966,3704308400.0,188877260.14620382,4535173.673969857,201476201.336475,827366.4865487509,23959.538414953375,803406.9481337975,108949462.51619394,3161450.583898074,3161450.583898074,200840625.1762697,4433564.614189602,128390.69918333531,4305173.915006267,63375515.9778089,6793951.808054802,665247.4194999967,6128704.388554805,13265537.56314994,14237410.78142099,1394093.0183626858,12843317.763058305,0.0,0.0,0.0,27242053.598651245,56225849.978147164,15881630.01731888
1967,3790403200.0,222250096.3657719,5359263.780431917,249578548.55253237,1053350.0634926304,31315.624165144447,1022034.439327486,126858102.24336104,3873233.3323008465,3873233.3323008465,243086452.5374927,5544549.334137379,164836.9607889266,5379712.373348452,68168917.02493533,7734805.445441041,769296.7998078036,6965508.645633237,14106373.578584298,14882083.446276717,1480158.6478741167,13401924.7984026,0.0,0.0,0.0,30642413.58901262,68697877.02027681,18170386.54688298
1968,3878499200.0,256251560.90954307,6202135.4562288225,295977929.3664304,1290234.4431349947,39219.52436050518,1251014.9187744895,144612992.23543808,4632563.2721012235,4632563.2721012235,291117977.9237457,6834467.436261304,207748.72623632528,6626718.710024978,74848969.7201407,8811560.192210471,888156.0584837858,7923404.133726685,14946626.987675752,15791713.536799064,1591716.5343712028,14199997.002427861,0.0,0.0,0.0,34633698.03705524,82626298.24037017,20705276.816961866
1969,3968642400.0,290918619.0541017,7064441.855441309,340838085.0884448,1538810.8774666467,47681.782948543085,1491129.0945181036,162168746.6922209,5434974.207267966,5434974.207267966,337363516.37498724,8180041.025470346,253467.756433317,7926573.269037029,80958415.28855966,9839308.281145874,1003336.362284885,8835971.918860989,15441206.263188453,16400412.789816607,1672386.9237877717,14728025.866028834,0.0,0.0,0.0,38416674.35571292,97791441.4514366,23251531.14464649
1970,4060881200.0,326288694.585514,7946924.468587676,382855728.5116854,1794944.134442217,56563.94072246308,1738380.1937197538,179600062.3610179,6277689.731816428,6277689.731816428,380133531.32521176,9547186.774262201,300859.7852174743,9246326.989044726,86086914.84349886,10771885.289591687,1109782.6480798917,9662102.641511794,14377640.450287307,15615761.03454057,1608827.0685021495,14006933.96603842,0.0,0.0,0.0,40931433.52213112,113341580.63213086,25381294.34143686
1971,4199233200.0,363134202.33110094,8868792.25441305,418613138.4480456,2046982.7077335124,65481.90494654124,1981500.8027869712,196754209.32483906,7152562.0381691065,7152562.0381691065,414752941.05787194,10845725.353576446,346949.07484858093,10498776.278727865,87083973.360764,11342491.18323668,1179380.354559339,10163110.828677341,11997554.72998676,13358146.231732432,1388966.0555628003,11969180.176169632,0.0,0.0,0.0,41765130.12453092,128333674.17798397,26773036.57867781
1972,4406844800.0,402782484.99812573,9863417.332975235,431186451.950964,2236860.002365495,72529.141519924,2164330.860845571,213717413.57001168,8055659.365144549,8055659.365144549,430824873.4232045,11876202.110458525,385080.31020169385,11491121.800256832,81906984.67780678,11340949.782123694,1189087.997855005,10151861.784268688,3249077.203295476,5447174.109098978,571131.1203904491,4876042.98870853,0.0,0.0,0.0,36739016.79922417,139242289.4600492,25830401.51715894
1973,4524043200.0,443528828.9103165,10888156.087809179,454493749.84505665,2472475.6693776115,81158.38778509917,2391317.2815925125,230464664.26892132,8980517.889001524,8980517.889001524,454400983.7862233,13057477.621222379,428608.3965975613,12628869.224624818,80144406.94530658,11468786.870541146,1211671.5247878698,10257115.345753277,5227310.801185707,5056124.929988624,534177.0383032856,4521947.891685338,0.0,0.0,0.0,38779767.63265747,151658436.44635177,26363620.646354903
1974,4533032800.0,483280371.5369649,11890157.373351661,485937288.2007531,2748147.0135735977,91225.52786663038,2656921.4857069673,246977488.3536418,9920558.315431926,9920558.315431926,483805100.72194767,14367632.934663435,476937.69372049434,13890695.240942942,77702837.85329771,11446686.822321344,1217819.573368283,10228867.248953061,11119539.276111133,10547032.069693856,1122104.788467636,9424927.28122622,0.0,0.0,0.0,46121969.57226111,168727156.23361832,29053249.78499457
1975,4665565600.0,524468328.82712156,12930542.709843364,513192459.25218636,3024902.136963274,101455.97694085498,2923446.160022419,263243969.13995233,10869278.89957777,10869278.89957777,510560757.9868288,15663123.941426286,525345.1085258672,15137778.83290042,77602509.53598015,11521033.714298775,1233678.0738130235,10287355.640485752,8620622.679347984,9842816.263889223,1053973.706739511,8788842.557149712,0.0,0.0,0.0,48006702.09013607,186017249.79309002,30716608.530664384
1976,4752199600.0,566185939.6079967,13986389.21912483,529703723.0516257,3279779.319458128,111062.9821519869,3168716.337306141,279373781.1196497,11822930.417537106,11822930.417537106,528616475.64550394,16828141.76476403,569850.4156614655,16258291.349102564,74717315.98434928,11322567.751596326,1219733.6566764242,10102834.094919901,7844653.507524673,8546520.734433934,920681.5287815145,7625839.2056524195,0.0,0.0,0.0,48978611.40451813,203177869.72169024,31817991.475917906
1977,4871711200.0,609114821.4954869,15074918.112509841,548094070.5885907,3552312.44072172,121368.54386098281,3430943.8968607374,295364805.6373981,12775972.875320239,12775972.875320239,547711998.1802299,18012300.527387597,615409.4616044787,17396891.065783117,74378023.02655882,11260473.810000837,1219871.1513889662,10040602.658611871,8539170.956580127,8956209.871470448,970245.3229178167,7985964.5485526305,0.0,0.0,0.0,51630375.0451286,221529721.6675605,33278523.099258356
1978,4934072800.0,652135041.0879925,16167680.407494308,567494456.1422741,3840025.050171818,132296.00077658848,3707729.0493952297,311220188.86855125,13723437.042891605,13723437.042891605,567084838.2566825,19198197.604918037,661413.5928971851,18536784.012020852,72161779.55594201,11023632.630089693,1200514.574641514,9823118.055448178,7914448.612097144,8608645.192713527,937513.4648047597,7671131.727908768,0.0,0.0,0.0,53462199.88766463,240437145.4028794,34554776.15234574
1979,5004053600.0,695476622.7142421,17270418.373750474,585418232.5276473,4134739.03194122,143567.2145104676,3991171.8174307523,326947715.123574,14661030.822557848,14661030.822557848,581843372.7316098,20295204.06897725,704694.0311337148,19590510.037843537,73904501.46893522,11069539.645706255,1211499.011798958,9858040.633907298,8805932.212505475,9204461.412500992,1007376.6626520925,8197084.7498489,0.0,0.0,0.0,56297838.06158834,260632146.94197363,36102836.52249407
1980,5109791200.0,739968329.8645777,18404192.84966445,603077924.1377614,4439972.207803343,155304.28433906307,4284667.923464281,342559090.72981626,15585211.338917602,15585211.338917602,596085294.6077689,21361773.805634443,747206.2521621856,20614567.55347226,75361571.0430275,11113188.142994538,1221976.4152600258,9891211.727734512,10331832.459242832,10701761.363983769,1176737.028138295,9525024.335845474,0.0,0.0,0.0,59900682.87943412,282517980.01495177,38014849.806456
1981,5132928400.0,783918307.639254,19525822.225323655,619433474.1602173,4751937.382822635,167375.64757975386,4584561.735242881,358069173.5598597,16493221.53705072,16493221.53705072,609085862.2829566,22379428.878024265,788261.9443733874,21591166.933650877,78761654.78958783,11335860.02441862,1251991.6039058343,10083868.420512786,13275668.979578722,13532982.32447926,1494653.2693202565,12038329.055159003,0.0,0.0,0.0,64791147.68161627,306782254.7897565,40526872.906811595
1982,5201849600.0,828378745.2421738,20662062.397080228,638317100.0985037,5082870.363881012,180214.24767598548,4902656.116205027,373495183.4018774,17383092.226776917,17383092.226776917,623192620.2360628,23382773.39196152,829041.1939982818,22553732.197963238,81924035.32072216,11587949.699975621,1285224.4206981037,10302725.279277517,18163048.317645535,18325926.3149319,2032536.2675602601,16293390.047371639,0.0,0.0,0.0,71435595.86759433,334300316.3919114,43917534.26543943
1983,5256326400.0,873123358.3357116,21807086.906462185,652282682.7061253,5408110.201226656,192947.69529980118,5215162.505926855,388740720.81679857,18251121.836420983,18251121.836420983,633430862.9588612,24283068.086576063,866358.4593838862,23416709.627192177,102926452.68559021,13311553.786484214,1482307.3019442474,11829246.484539967,24574744.324450072,24850145.173061855,2767186.4783962998,22082958.694665555,0.0,0.0,0.0,80795199.14874554,366455692.8185282,48639822.72212872
1984,5305060000.0,918098000.6638719,22959457.671839725,665450134.0785836,5739758.414426658,206001.47435973567,5533756.940066922,403943278.02975464,19099020.493895307,19099020.493895307,643157912.0900067,25129430.753026593,901902.0333561301,24227528.719670463,123127690.87040102,15211776.109067474,1700380.5220235705,13511395.587043904,23174427.925741144,25151931.130784795,2811496.4011711674,22340434.72961363,0.0,0.0,0.0,84712136.47029021,399017471.4408967,52150357.84792173
1985,5358036000.0,963464618.7433419,24123281.920530014,672767278.424799,6060124.048914883,218736.41496207027,5841387.633952813,419007772.08851784,19924411.427213866,19924411.427213866,648698228.9818677,25854405.734111525,933198.7226015574,24921207.011509966,125656350.42938128,15916840.999606386,1785690.6269875509,14131150.372618835,18343688.375558373,20704073.885756344,2322764.3399319686,18381309.545824375,0.0,0.0,0.0,83199465.99111986,428715069.8042002,53501867.627816275
1986,5405373600.0,1009105027.031727,25295491.711614974,676759127.8383615,6375497.765576321,231369.89130246596,6144127.874273854,434071767.7024223,20730162.93753311,20730162.93753311,651807491.9735861,26479906.183029134,960968.5769708871,25518937.606058247,132565185.19029397,16972477.925663598,1910777.9497655937,15061699.975898005,22923668.278362587,23410269.534464967,2635550.744001098,20774718.79046387,0.0,0.0,0.0,88229647.1842271,460708093.7526566,56236623.235770755
1987,5451464400.0,1055061685.3658355,26477141.6658913,681626649.3127773,6698372.422373532,244351.1623068977,6454021.260066635,449154395.6313249,21517356.552545637,21517356.552545637,655721708.2801545,27057438.00723703,987033.2685641331,26070404.738672893,140762479.0366348,18163624.71299906,2051733.416533621,16111891.29646544,23321798.671998642,24871952.871435434,2809495.221746826,22062457.64968861,0.0,0.0,0.0,92216131.4974392,493916480.19272435,59007745.05737143
1988,5504654400.0,1101582207.5321333,27674577.833702233,685144035.2277907,7020727.840816218,257387.0616957265,6763340.779120492,464158324.3683722,22284916.024835527,22284916.024835527,658809157.0511174,27559762.019651935,1010369.056899236,26549392.9627527,140370022.58240855,18699063.128559966,2119016.075215181,16580047.053344784,25551087.933908425,26813610.817893036,3038573.214446101,23775037.603446934,0.0,0.0,0.0,95952734.42350043,528112581.44697726,61756633.16924751
1989,5553084800.0,1148671977.0806897,28887930.4514436,688879947.5958844,7346643.058760216,270624.4638560161,7076018.5949042,479102515.9650798,23034215.394084707,23034215.394084707,662089905.796987,28004058.759986628,1031570.9266257284,26972487.8333609,139499939.52023652,19117775.753437802,2173174.1260067006,16944601.627431102,25919006.85388389,27637955.548239045,3141688.168528492,24496267.37971055,0.0,0.0,0.0,98523590.82949145,562507561.9909765,64128610.285492264
