Year,Fuel_Emissions,Biochar_Stock,Biochar_Decay,Construction_InUse,Construction_Disposed,Construction_Recycled,Construction_LandfillIn,Exterior_InUse,Exterior_Disposed,Exterior_LandfillIn,Household_InUse,Household_Disposed,Household_Recycled,Household_LandfillIn,GraphicPaper_InUse,GraphicPaper_Disposed,GraphicPaper_Recycled,GraphicPaper_LandfillIn,OtherPaper_InUse,OtherPaper_Disposed,OtherPaper_Recycled,OtherPaper_LandfillIn,HouseholdPaper_InUse,HouseholdPaper_Disposed,HouseholdPaper_LandfillIn,LF_Input_Total,LF_Stock_Total,LF_Decay_Total
1961.0,1470362.5,237428.03561743267,2571.9643825673375,5618040.178173904,6865.726089110666,583.5867175744066,6282.139371536259,275114.5117423814,2872.1049702210685,2872.1049702210685,2177924.235468981,19910.99221846198,1692.4343385692684,18218.55787989271,734374.4222479055,65625.57775209453,14765.754994221268,50859.82275787326,330075.3084585393,319924.69154146075,71983.05559682866,247941.6359446321,0.0,0.0,0.0,326174.26092415536,14480.241229453937,12892.560992196099
1962.0,1464900.0,234884.4011782279,2543.6344392047627,10391985.875205249,13096.351959632764,1249.3554081153875,11846.996551517377,684799.7676380933,7410.399840450572,7410.399840450572,4080360.17346804,38698.93197092958,3691.7700513239793,35007.161919605605,1678513.6750866808,155860.74716122448,37985.59792255428,117875.1492386702,340225.92537561787,639849.3830829215,155940.8756820649,483908.5074008566,0.0,0.0,0.0,656048.2149511003,42746.66815887348,25998.131382154013
1963.0,1459437.5,232368.77641018765,2515.624768040255,16314468.380015299,21085.00467948253,2139.6890764685763,18945.31560301395,2190229.3506695786,23789.788590152602,23789.788590152602,6817623.771465523,66389.37069878815,6737.1391866964605,59652.23151209168,2440620.9557353384,237892.71935134265,60582.36220538169,177310.35714596097,314835.51703265327,935164.4829673468,238151.35487632797,697013.1280910189,0.0,0.0,0.0,976710.8209422381,95746.95007312729,49387.05379100444
1964.0,1454212.5,229880.84475239142,2487.931657796243,20427509.612312716,27313.137044044328,2889.57736677357,24423.559677270758,3210946.610531252,36569.98060794153,36569.98060794153,8680379.144640302,87932.84667628803,9302.804110052854,78630.04256623518,3120696.2641938776,319924.6915414608,83957.82008523626,235966.87145622453,314054.70034672413,1230479.5828517722,322914.692635524,907564.8902162481,0.0,0.0,0.0,1283155.34452392,167235.4599957178,68135.07292885694
1965.0,1448987.5,227420.29331116553,2460.5514412258954,25742844.695602864,35352.88135108937,3858.4689282460117,31494.412422843354,4135885.9167174543,49419.00972064888,49419.00972064888,10934408.629388414,114401.14361144103,12485.920273283558,101915.22333815748,3535145.9949003225,385550.26929355535,103502.82954590603,282047.4397476493,237883.47531783048,1451965.9077650912,389787.2516941567,1062178.6560709346,0.0,0.0,0.0,1527054.7413002334,260216.15088965712,89847.95458771037
1966.0,1443525.0,244272.0617430394,2648.2315681261102,31611570.738350127,44510.04990616489,4979.623792951779,39530.42611321311,5322651.450806798,66021.10258025404,66021.10258025404,13319127.720296679,143698.73128549458,16076.49559671968,127622.2356887749,3883970.1478546727,451175.8470456499,123341.32768350908,327834.5193621408,260931.43360300767,1698061.8243354456,464211.90600884316,1233849.9183266026,0.0,0.0,0.0,1794858.2020709852,378204.8361723232,115185.07909957593
1967.0,1438300.0,260937.86992986695,2834.1918131724474,39668477.149791494,56839.53591741488,6490.43000011964,50349.105917295245,5804468.430389832,76566.22875942627,76566.22875942627,15730504.300255924,175000.5687768398,19983.079089130955,155017.48968770885,4442559.131399892,541411.0164547799,150262.98287902764,391148.0335757523,160150.61691707856,1845719.3742776583,512260.16890577594,1333459.2053718823,0.0,0.0,0.0,2006540.063312065,520074.47826040885,140063.18227634474
1968.0,1433075.0,307087.08995079034,3350.7799790766367,48644241.49378737,70964.57661584,8245.489341386887,62719.08727445311,6137901.125691948,86237.65319405972,86237.65319405972,18242055.962666966,209037.5516062036,24288.41241524204,184749.13919096155,4910912.945535983,631646.1858639099,177584.11741966373,454062.0684442462,207808.1668592912,2042596.1075339417,574265.5225648865,1468330.5849690554,0.0,0.0,0.0,2256098.5330727757,687228.8530977326,166551.5048221507
1969.0,1427850.0,352723.3618072008,3863.7281435895015,59128057.464542046,87697.27463644791,10344.627452047187,77352.64718440072,6461442.8126526745,96345.3716285028,96345.3716285028,20920510.917199552,246522.09005126645,29079.343581111683,217442.74647015476,5931609.2097298615,779303.7358061225,221575.5842375025,557728.15156862,539445.1086896887,2559397.532331686,727700.8661273764,1831696.6662043096,6493.155021777614,343506.84497822233,343506.84497822233,3124072.42803421,882441.0292174149,195928.58916337593
1970.0,1422625.0,397850.6191467397,4372.742660461112,71560568.69530883,107713.12010480792,12875.894579006796,94837.22552580113,6637109.256986992,105434.0063370086,105434.0063370086,23963704.81027736,289405.801539626,34595.21539763525,254810.58614199073,6437460.712857572,894148.496872288,256772.44279143622,637376.0540808517,448034.09223490907,2977760.5905012884,855122.9058100121,2122637.6846912764,4637.967872698296,588868.8771055241,588868.8771055241,3803964.4338824525,1108898.7682756055,228624.07894660992
