Year,Fuel_Emissions,Biochar_Stock,Biochar_Decay,Construction_InUse,Construction_Disposed,Construction_Recycled,Construction_LandfillIn,Exterior_InUse,Exterior_Disposed,Exterior_LandfillIn,Household_InUse,Household_Disposed,Household_Recycled,Household_LandfillIn,GraphicPaper_InUse,GraphicPaper_Disposed,GraphicPaper_Recycled,GraphicPaper_LandfillIn,OtherPaper_InUse,OtherPaper_Disposed,OtherPaper_Recycled,OtherPaper_LandfillIn,HouseholdPaper_InUse,HouseholdPaper_Disposed,HouseholdPaper_LandfillIn,LF_Input_Total,LF_Stock_Total,LF_Decay_Total
1961.0,102718750.0,0.0,0.0,540497771.0981692,660534.5512749722,56145.43685837264,604389.1144165995,134441222.03292963,1403522.1172372936,1403522.1172372936,202679980.12496194,1852938.4270510003,157499.76629933502,1695438.6607516652,193790027.2276774,17317572.772322588,3896453.8737725825,13421118.898550006,59570163.561196476,57738236.43880353,12991103.198730795,44747133.240072735,571.39764191643,30228.602358083568,30228.602358083568,61901830.63338637,1952496.2027809336,1750853.6896246248
1962.0,110366250.0,0.0,0.0,1075818479.920185,1352884.2942468938,129061.38402370198,1223822.9102231918,262596202.6717903,2869116.007001999,2869116.007001999,402017335.783756,3805185.9245647583,363004.1120147812,3442181.812549977,375743485.1834795,35124942.04419793,8560474.332666751,26564467.71153118,62854422.040807,116884141.5203895,28486415.497057386,88397726.02333212,0.0,30228.602358083568,30228.602358083568,122527543.06699656,5869024.192200716,3618592.740355385
1963.0,89751250.0,0.0,0.0,1669480699.6317396,2155995.2890810724,218788.64335531645,1937206.645725756,417371143.4863899,4740569.755163475,4740569.755163475,619908365.0903497,6059559.884754498,614919.1945038064,5444640.690250691,561403623.3479753,54854861.835504204,13969477.996241704,40885383.8392625,72408503.61111598,185247027.74610162,47175477.09314282,138071550.6529588,0.0,30228.602358083568,30228.602358083568,191109580.18571928,12112326.344392201,5879114.938948436
1964.0,83362500.0,0.0,0.0,2340164975.0588436,3098523.4802015293,327806.4802431444,2770716.999958385,562337340.1908184,6668503.96588133,6668503.96588133,841185198.7546909,8493779.502749752,898594.4371725944,7595185.065577158,735674499.2218454,75330124.12612988,19768880.538439136,55561243.58769074,78809670.44691417,259530784.8477632,68108650.30717652,191422134.5405867,0.0,30228.602358083568,30228.602358083568,264048012.7620524,20817245.49828488,8329486.877524193
1965.0,80417500.0,0.0,0.0,2979087964.349645,4054891.1007791776,442557.17559201486,3612333.9251871626,719848722.3162755,8883487.531973708,8883487.531973708,1051742142.6674588,10985760.172034342,1199003.0983896286,9786757.073644713,907655977.4040314,97430521.81781399,26155693.551337495,71274828.2664765,78791967.94907059,333615302.6953695,89560637.247263,244054665.44810647,0.0,30228.602358083568,30228.602358083568,337642300.8477467,32130107.034241427,10969716.994849034
1966.0,72793750.0,0.0,0.0,3693880567.4955883,5156601.2962888805,576901.9482094438,4579699.348079436,854018422.1723089,11028372.30449672,11028372.30449672,1254943921.5314395,13563891.719857357,1517479.267617452,12046412.452239905,1067234839.327528,120397538.0765034,32913978.64806191,87483559.4284415,81755105.49370769,410577961.50644934,112242778.99936047,298335182.5070889,0.0,30228.602358083568,30228.602358083568,413503454.6427046,46087649.896467246,13696941.242590245
1967.0,73197500.0,0.0,0.0,4514531053.167433,6447811.826627814,736266.9423528734,5711544.884274941,1012606694.3969082,13585215.485037515,13585215.485037515,1473335535.93973,16433492.644831408,1876518.376640719,14556974.26819069,1197735588.2375994,142818451.08992875,39637772.07833678,103180679.01159197,111293000.4233303,516081643.4609594,143233079.48801517,372848563.9729442,171419.292574929,9098809.309783153,9098809.309783153,518981786.9318225,63101480.374475285,16839904.159495093
1968.0,106922500.0,0.0,0.0,5364111797.927678,7844412.741851752,911455.0489397362,6932957.692912015,1144729161.5081372,16049904.375817442,16049904.375817442,1673360078.9064379,19300910.86413671,2242604.1610988034,17058306.703037906,1335686287.3527842,167908700.88481498,47206678.55047658,120702022.3343384,127316206.38713783,636238073.1648016,178875103.2149854,457362969.9498162,217131.1039282434,20585678.205854908,20585678.205854908,638691839.2617768,83134045.13800421,20008604.00823845
1969.0,145088750.0,0.0,0.0,6313685378.024568,9438095.288550539,1113302.3234954623,8324792.965055076,1278660855.804808,18696867.470508337,18696867.470508337,1895183071.4009752,22524961.746406168,2657007.7417359515,19867954.004670218,1493614560.5920148,197026326.7607695,56019522.88478121,141006803.87598827,137688245.10063154,765996968.6564858,217792136.82153028,548204831.8349555,203988.9581641655,31377289.24769074,31377289.24769074,767478539.3988682,106511204.25591817,23512455.322319664
1970.0,130553750.0,296764.9616021725,3235.038397827451,7246354258.560366,11096000.215758864,1326402.2886694798,9769597.927089384,1401534106.5590014,21395883.026358206,21395883.026358206,2101442237.5776649,25780573.11021778,3081778.1643549707,22698794.945862807,1638064445.6514823,227541514.9405326,65343050.77078235,162198464.16975024,132675146.40159708,890601631.2715205,255753890.11506566,634847741.1564548,276556.45868755213,46007932.789003186,46007932.789003186,896918414.0145185,133270656.87459125,27104823.280637316
1971.0,156132500.0,708848.4710920036,7916.490510168925,8092912408.697431,12735660.69372088,1540612.8675678347,11195047.826153046,1567118142.1641004,24699492.669809423,24699492.669809423,2298650720.3670664,29119936.58411564,3522592.9838384176,25597343.600277223,1753828836.4042175,258220209.24726504,74817542.59620026,183402666.65106478,147830356.4396402,1030053949.601811,298451099.0652993,731602850.5365118,307411.9313510393,62270920.85765214,62270920.85765214,1038768322.1414684,163732094.79087234,31030446.179958608
1972.0,179502500.0,1145882.2532064684,12966.217885535278,9092066554.076586,14646019.405267257,1790821.5146438074,12855197.89062345,1733888870.172085,28215160.289473273,28215160.289473273,2525431942.9548845,32892136.24203448,4021839.9016763964,28870296.340358082,1837367573.1297548,288760663.2744627,84344818.13068758,204415845.1437751,157149494.50848475,1178082218.4327452,344108956.28904194,833973262.1437032,312554.5101282872,78805966.34752385,78805966.34752385,1187135728.1554568,198299046.44375554,35373702.86757159
1973.0,189240000.0,1785436.1122250587,20446.14098140972,10258362991.293648,16858697.0613084,2081614.813136839,14777082.24817156,1955318886.6945643,32503810.636035524,32503810.636035524,2814870955.328885,37419677.92853109,4620366.306813194,32799311.621717893,1970550532.627924,325213686.5420242,95695308.65296432,229518377.88905987,172255482.5542242,1340488198.2166526,394443521.8516624,946044676.3649902,259414.52943005922,92529751.81809379,92529751.81809379,1348173010.5780687,237827862.0239165,40551388.92576399
1974.0,150076250.0,2476823.5507491147,28612.561475943603,11331863434.96132,19071407.272739418,2376027.675420861,16695379.597318556,2199926238.758208,37289398.44003922,37289398.44003922,3083645878.8076124,41982261.737807326,5230396.181008423,36751865.556798905,2161876070.796568,368537035.13805807,109180772.7290888,259356262.40896928,175685588.3966727,1505776650.2521653,446093180.7582474,1059683469.493918,339981.59694027586,110515770.22115351,110515770.22115351,1520292145.7181976,282538900.18104285,46025605.43703033
