Year,Fuel_Emissions,Biochar_Stock,Biochar_Decay,Construction_InUse,Construction_Disposed,Construction_Recycled,Construction_LandfillIn,Exterior_InUse,Exterior_Disposed,Exterior_LandfillIn,Household_InUse,Household_Disposed,Household_Recycled,Household_LandfillIn,GraphicPaper_InUse,GraphicPaper_Disposed,GraphicPaper_Recycled,GraphicPaper_LandfillIn,OtherPaper_InUse,OtherPaper_Disposed,OtherPaper_Recycled,OtherPaper_LandfillIn,HouseholdPaper_InUse,HouseholdPaper_Disposed,HouseholdPaper_LandfillIn,LF_Input_Total,LF_Stock_Total,LF_Decay_Total
1961.0,9262500.0,137137.51993653263,1462.4800634673836,9988663.25153321,12207.001677884704,1037.5951426201998,11169.406535264505,0.0,0.0,0.0,2545086.0366560933,23267.654331539972,1977.7506181808978,21289.903713359075,91796.80278098819,8203.197219011816,1845.7193742776585,6357.477844734158,76171.22502889368,73828.77497110632,16611.474368498923,57217.3006026074,0.0,0.0,0.0,96034.08869596515,17129.2495360529,15330.060712570681
1962.0,9262500.0,272474.40859156917,2963.111344963426,18680709.867433384,23534.30973077599,2245.107433660637,21289.202297115353,0.0,0.0,0.0,4592893.682732647,43619.86985508527,4161.21378477891,39458.65607030636,175390.40834296454,16406.39443802363,3998.483991847819,12407.910446175812,78513.67508668103,147657.54994221264,35986.355926630364,111671.19401558228,0.0,0.0,0.0,184826.9628291798,48683.744634737384,29193.363268737223
1963.0,9500000.0,405712.81795535615,4461.590636213043,26689988.99793694,34671.76330002651,3518.4622589702703,31153.301041056242,0.0,0.0,0.0,6278611.8965977235,62033.948626758574,6295.154507413927,55738.794119344646,250780.8166859291,24609.591657035446,6267.140917798105,18342.45073923734,78513.67508668103,221486.32491331897,56404.26826018294,165082.05665313604,0.0,0.0,0.0,270316.60255277425,93298.64721839255,42277.192576745714
1964.0,10687500.0,537159.4750138554,5953.342941500718,30872987.58111021,41757.387142811436,4417.698362106668,37339.68878070477,0.0,0.0,0.0,6539259.241155166,68605.65542011548,7258.095209457421,61347.560210658055,409764.83059087006,41015.98609505908,10763.823087850804,30252.163007208277,78513.67508668103,295315.0998844253,77499.52623252576,217815.57365189953,0.0,0.0,0.0,346754.9856504706,143244.7448960875,48741.151313667884
1965.0,11875000.0,666824.8128623246,7434.662151530693,35171026.72452545,49364.128187150556,5387.678387187651,43976.4497999629,0.0,0.0,0.0,7875851.212466949,85321.36417783023,9312.10752884152,76009.25664898871,644139.2528387755,65625.57775209453,17617.502901430813,48008.07485066372,103904.0834296456,393753.4665125671,105705.01740858486,288048.4491039822,0.0,0.0,0.0,456042.2304035975,203719.55858626703,59510.8927587721
1966.0,13062500.0,794424.8139540068,8899.998908317852,39248710.234613836,57105.14912136233,6388.718050514015,50716.43107084832,0.0,0.0,0.0,9061216.693810439,101650.14488292809,11372.25145968474,90277.89342324334,853904.0834296455,90235.16940912997,24668.265536701812,65566.90387242816,104684.90011557472,492191.83314070886,134554.17565473713,357637.6574859717,0.0,0.0,0.0,564198.8858524916,274436.6363274148,70277.24675294389
1967.0,14250000.0,920273.3964926399,10351.417461366837,43224934.39235407,65125.71661521747,7436.617806184264,57689.0988090332,0.0,0.0,0.0,10261036.39327829,119032.52873300355,13592.16402824435,105440.3647047592,947262.5195824921,106641.56384715361,29597.254203444834,77044.30964370878,257027.3501733621,738287.7497110632,204904.06756231035,533383.6821487529,0.0,0.0,0.0,773557.455306254,355915.3859555043,81650.71388570289
1968.0,14250000.0,1044385.3935893716,11788.002903268401,49971954.823355965,76943.85908687471,8940.231876820453,68003.62721005426,0.0,0.0,0.0,12416273.220584422,146097.01870840284,16975.249737481678,129121.76897092117,1116011.3640783029,131251.15550418905,36900.59582746259,94350.55967672647,617177.9670904406,1328917.9494799138,373618.53275305865,955299.4167268551,0.0,0.0,0.0,1246775.372584557,454348.9298970528,98691.8522394269
1969.0,15437500.0,1166479.726910873,13205.66667849848,52270170.62512714,83947.04656809143,9902.256667000753,74044.78990109068,0.0,0.0,0.0,13025528.571741875,160602.2322476803,18944.37731909777,141657.85492858253,1260150.6169170784,155860.74716122448,44315.116847500496,111545.63031372399,323424.5005778736,1624233.049364339,461810.16504237347,1162422.8843219657,0.0,0.0,0.0,1489671.159465363,561324.785011251,108726.78971547508
1970.0,15437500.0,1286872.304048059,14607.422862813954,55816877.6392697,92807.62329119151,11094.109728348849,81713.51356284267,0.0,0.0,0.0,13951278.362639822,178619.29503257567,21351.931968715646,157267.36306386002,1379680.2780988184,180470.33881825994,51825.630655152265,128644.70816310769,466397.1504045115,2067205.699190977,593639.0420499258,1473566.6571410513,0.0,0.0,0.0,1841192.2419308617,679402.0087512576,120903.65288669613
