Year,Fuel_Emissions,Biochar_Stock,Biochar_Decay,Construction_InUse,Construction_Disposed,Construction_Recycled,Construction_LandfillIn,Exterior_InUse,Exterior_Disposed,Exterior_LandfillIn,Household_InUse,Household_Disposed,Household_Recycled,Household_LandfillIn,GraphicPaper_InUse,GraphicPaper_Disposed,GraphicPaper_Recycled,GraphicPaper_LandfillIn,OtherPaper_InUse,OtherPaper_Disposed,OtherPaper_Recycled,OtherPaper_LandfillIn,HouseholdPaper_InUse,HouseholdPaper_Disposed,HouseholdPaper_LandfillIn,LF_Input_Total,LF_Stock_Total,LF_Decay_Total
1961.0,1161584475.0,12775971.139347848,154028.86065215166,2343014.688505153,2863.364547753752,243.38598655906895,2619.978561194683,33542250.865854025,350170.06123774237,350170.06123774237,14917237.517209979,136376.18576853717,11591.97579032566,124784.20997821151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,477574.24977714854,251450.18531305867,226124.06446408993
1962.0,1162891200.0,25894262.38012527,317808.75922258,5363476.878484789,6719.970489185524,641.0664205511442,6078.90406863438,67314051.23628777,734596.4185486453,734596.4185486453,30177588.432524487,285447.45550864557,27230.890202992297,258216.56530565326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,998891.887922933,770186.5879627189,480155.4852732727
1963.0,1164199350.0,39368013.718842864,488248.66128240206,6602688.191619828,8620.194028271935,874.7702587555596,7745.423769516376,101280432.82794942,1154686.1755813416,1154686.1755813416,44872028.44364697,439474.93290932104,44597.557725128885,394877.37518419215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1557308.97453505,1570855.682027598,756639.8804701716
1964.0,1165509162.5,53211740.63289347,664873.0859493944,9129915.149484482,12198.836568403161,1290.568783519275,10908.267784883887,135405074.17217854,1611735.2951573485,1611735.2951573485,60137092.00779568,608831.3908248674,64410.96107971314,544420.4297451542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2167063.9926873865,2676584.5495675746,1061335.1251474095
1965.0,1166820162.5,67381425.0917261,846815.5411673858,11846537.092201494,16208.435313897406,1769.0140561126125,14439.421257784794,169650421.64460143,2106908.8564337958,2106908.8564337958,75530465.29736744,790152.6318520444,86238.49774210775,703914.1341099367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2825262.411801517,4109198.8627286823,1392648.0986404093
1966.0,1168132825.0,82012672.61730163,1035652.4744244707,14172901.08582206,19962.317404540117,2233.3120479457216,17729.005356594396,204274664.15594804,2644320.5388085246,2644320.5388085246,91004482.02154696,983392.7046396805,110018.42775199187,873374.2768876886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3535423.8210528074,5892548.717996817,1752073.9657846733
1967.0,1169446912.5,97062045.04501674,1230727.5722848885,16975142.497645598,24500.538507929756,2797.683471272545,21702.85503665721,238938168.27447453,3221965.7336711427,3221965.7336711427,106689344.18884651,1190081.5314202912,135893.80612363527,1054187.725296656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4297856.314004456,8050692.103643996,2139712.9283572775
1968.0,1170762662.5,112547142.33302358,1432202.711993161,19916056.688884147,29452.64487517719,3422.150613376869,26030.49426180032,273897184.47809917,3843610.8217114927,3843610.8217114927,122589242.41442713,1410657.079158668,163906.5357004959,1246750.5434581721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5116391.859431465,10609710.371053332,2557373.5920221293
1969.0,1172079600.0,128486566.6698009,1640275.6632226722,22851890.733969886,34662.41846420016,4088.722335848814,30573.69612835134,309107339.9207932,4509967.913450309,4509967.913450309,138636821.97123247,1644883.2168140549,194027.74089167023,1450855.4759223848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5991397.085501045,13595813.445358908,3005294.011195471
1970.0,1173398200.0,144899302.15463132,1855164.5151695886,25782382.182796124,40139.444505475825,4798.220081356001,35341.22442411982,344523653.5243731,5221538.93514089,5221538.93514089,154818336.1993648,1892945.7379912105,226280.41730143054,1666665.32068978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6923545.48025479,17035511.169307686,3483847.7563060075
1971.0,1183996162.5,161982955.95955667,2079446.1950746346,28133940.48928622,45192.773481442775,5466.898814359623,39725.87466708315,380100753.1029999,5978602.101120734,5978602.101120734,170906514.67308936,2153040.6763248765,260449.9483861449,1892590.7279387317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7910918.703726549,20954236.608992852,3992193.2640413865
1972.0,1176635087.5,179315492.6803905,2307563.2791661606,30480322.567684196,50493.26078373211,6173.9927589818635,44319.26802475025,415793104.9061046,6781200.6543756,6781200.6543756,187102685.13931137,2427105.519133787,296770.9287898625,2130334.5903439247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8955854.512744274,25378637.348367263,4531453.773369864
1973.0,1174433700.0,197057192.27984735,2541600.4005431607,32821277.173195563,56049.085012182426,6920.618194860072,49128.466817322354,451852087.24611574,7632233.007460057,7632233.007460057,203517302.80378234,2716337.5465697423,335397.7151292687,2380939.8314404734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10062301.305717852,30337369.219170127,5103569.4349149875
1974.0,1174118537.5,215345528.56742907,2783363.71241828,35118589.987809375,61822.06664193228,7702.15533611456,54119.91130581772,487932512.85399646,8528398.583427355,8528398.583427355,219904017.63572222,3018707.7729784944,376088.3038168538,2642619.469161641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11225137.963894812,35856268.224217355,5706238.958847583
1975.0,1192059762.5,234792263.39668706,3040965.170742005,39241219.02059865,70102.09511829716,8806.277976797122,61295.81714150004,524286408.66164577,9472101.739384765,9472101.739384765,237014262.17683592,3341117.5421859333,419713.70156614546,2921403.840619788,409964.52121989324,36635.478780106765,10921.672048828508,25713.80673127826,618916.5937681041,599883.4062318959,178835.65463204903,421047.7515998469,0.0,0.0,0.0,12901562.955477178,41966674.76000016,6344394.861363249
1976.0,1197786600.0,254931401.65744478,3308261.739242273,43355367.32091986,78785.76815748637,9973.398277383014,68812.36988010336,560866566.5780602,10462642.862994043,10462642.862994043,254294456.2860243,3678978.352039554,465717.5682467996,3213260.7837927546,783293.5636596797,73270.95756021353,21971.0216772253,51299.935882988226,637949.7813043123,1199766.8124637918,359761.95101032953,840004.8614534623,0.0,0.0,0.0,14636020.814003352,48696266.18286841,7015124.593798649
1977.0,1194058087.5,275528063.6006669,3582138.056777909,46657978.684293814,86905.6430047914,11080.31306693168,75825.32993785973,597626599.4850262,11499080.26749678,11499080.26749678,271430468.13136685,4029512.5420323783,513755.5966346724,3515756.945397706,845331.0933986427,85362.47026103694,25736.50823401295,59625.962027024,251406.20469101987,1424993.7953089802,429631.0127183218,995362.7825906584,0.0,0.0,0.0,16145651.287450029,56070461.54495663,7716467.180744126
1978.0,1198180850.0,296893426.3879433,3866737.212723581,49952283.49788705,95400.73582654478,12245.216432989675,83155.5193935551,634521180.8535969,12580235.625185857,12580235.625185857,288708450.1345976,4395191.4894319475,564147.3368757108,3831044.152556237,895277.1104367822,97453.98296186035,29532.45864769987,67921.52431416049,239519.05146443495,1650220.7781541685,500082.96643438446,1150137.811719784,0.0,0.0,0.0,17712494.63316959,64115656.24403706,8449240.598055217
1979.0,1191574075.0,318710780.131482,4157846.2564613195,53237900.94259318,104282.24488767274,13469.781415685842,90812.4634719869,671506277.3819567,13704702.481504831,13704702.481504831,306113325.86887026,4775870.792593655,616882.9191880899,4158987.8734055655,933131.6147740986,109545.49566268377,33356.587264479334,76188.90839820442,239519.05146443495,1875447.7609993569,571073.5664785325,1304374.1945208244,0.0,0.0,0.0,19335065.921301413,72857401.75177073,9212757.310648698
1980.0,1186665662.5,341074062.7334473,4456717.3980346685,56514439.01712824,113561.33215464416,14755.703449596534,98805.62870504762,708836205.6916349,14873956.611470584,14873956.611470584,323754644.9429771,5172497.636896356,672093.5707221727,4500404.066174183,958894.6064105914,121637.00836350718,37206.908495343225,84430.09986816396,239519.05146443495,2100674.7438445454,642564.4137771442,1458110.3300674013,0.0,0.0,0.0,21015706.73628538,82322446.89865267,10008121.159467885
1981.0,1182425100.0,363620370.4946696,4758492.238777726,59781494.58686451,123249.09806214663,16104.693002473161,107144.40505967347,746466951.5564009,16086420.975605264,16086420.975605264,341616539.78829265,5584904.826004844,729767.4310402354,4855137.394964608,1109894.102306619,146000.5041039723,44851.66231130757,101148.84179266472,445079.797409076,2525140.980745093,775728.6267735667,1749412.3539715263,0.0,0.0,0.0,22899263.971393734,92536575.49040592,10834574.183876295
1982.0,1194259725.0,386960820.25060976,5071350.244059843,63038653.45837778,133356.55532739148,17518.46881208719,115838.0865153043,784356167.8341222,17340341.308669172,17340341.308669172,359683331.6325794,6012882.12857077,789886.089825292,5222996.038745478,1099202.0855018236,158092.0168047957,48764.77043905685,109327.24636573886,91669.9838952363,2600938.523048762,802280.6753055791,1798657.8477431831,0.0,0.0,0.0,24587160.528038874,103524529.83655375,11691221.087782111
1983.0,1224955650.0,411856487.8006505,5405532.44995929,66285490.480635844,143894.60186214707,18998.75153591535,124895.85032623172,822760176.8245711,18636903.2083745,18636903.2083745,378064031.4615005,6457315.25839071,852574.916609937,5604740.341780772,1076418.5559962043,170183.52950561914,52698.74989386878,117484.77961175036,80607.37308899254,2676736.0653524315,828873.6568672976,1847862.408485134,0.0,0.0,0.0,26331886.588578388,115312081.38244975,12578987.85458552
1984.0,1225805900.0,437158148.0199003,5745639.780750163,68374932.76416089,153472.7043652429,20361.34761047292,133111.35675476998,861637228.8798954,19974302.894471373,19974302.894471373,396315577.2447001,6914079.637165038,917296.5282723745,5996783.108892663,1041543.5137897618,182275.04220644257,56652.44169009707,125622.6005163455,80607.37308899254,2752533.6076561008,855507.9610468915,1897025.6466092092,0.0,0.0,0.0,28126845.60724436,127921471.29651105,13494807.446057502
1985.0,1228678225.0,462950243.77324325,6092804.246657047,71442736.49832532,164631.15310580976,21942.556595280825,142688.59651052894,900947434.4375244,21350627.534343977,21350627.534343977,415183301.5847962,7389602.52951232,984909.4090730287,6404693.120439291,1269232.9928032125,218910.52098654932,68280.30338492208,150630.21760162723,80607.37308899254,2828331.14995977,882183.7713507822,1946147.3786089877,0.0,0.0,0.0,29994786.84750441,141378114.52617434,14441366.021630513
1986.0,1244536575.0,489791483.27356005,6454560.499683195,75701429.37313521,177706.87126481876,23789.876188267626,153916.99507655113,940652862.2453938,22763877.03822467,22763877.03822467,434691173.8039156,7884156.481504163,1055463.444991979,6828693.036512184,2764903.1541599603,372129.83864325203,116464.95704713967,255664.88159611236,80607.37308899254,2904128.6922634393,908901.1099915478,1995227.5822718916,0.0,0.0,0.0,31997379.53368141,155706573.81920472,15418027.77678301
1987.0,1271461000.0,518178342.1783448,6837641.095215271,79562334.32589392,190853.37054248102,25657.86011563729,165195.5104268437,981014449.5137755,24215085.3513191,24215085.3513191,454539301.10339725,8395051.160002008,1128610.135177076,7266441.024824932,3862359.1880806773,500805.19022067136,157246.61743227224,343558.5727883991,312980.3902438042,3205153.2174122967,1006378.3515665424,2198774.8658457543,0.0,0.0,0.0,34189055.32520503,170929849.8793549,16423445.826420672
1988.0,1283570412.5,547526740.5775386,7234201.600806119,83004312.34343874,204031.24490440352,27540.76333418103,176490.48157022247,1021995164.9445909,25702393.746876772,25702393.746876772,474722160.10461426,8922080.376703296,1204329.7790907263,7717750.597612569,4801130.870385084,623525.0206170881,196391.3775583432,427133.64305874484,192768.13630511725,3382736.0308094644,1065458.749914207,2317277.2808952574,0.0,0.0,0.0,36341045.75001357,187069868.21958038,17456616.485834092
1989.0,1312134300.0,578657169.6826165,7655370.894922166,86986799.58239542,218396.57324071828,29594.79678081315,188801.77645990514,1063263009.4312292,27220833.108357623,27220833.108357623,495419354.28109074,9466707.0049379,1282828.1407411888,8183878.864196711,4785946.137312285,670465.3557437175,211811.39534908434,458653.9603946332,83836.83090199537,3458533.5731131337,1092609.507272981,2365924.0658401526,0.0,0.0,0.0,38418091.77524903,204147165.89734888,18516216.071245752
1990.0,1325050500.0,610881387.6894916,8091881.993124899,90954643.05929211,233320.6863858603,31735.8039571462,201584.88242871407,1105084741.6193764,28771393.03085456,28771393.03085456,516439163.2829021,10027096.768952096,1363865.254504422,8663231.514447674,4705700.4180824,714705.8546016258,226441.92068126673,488263.9339203591,80607.37308899254,3534331.115416803,1119790.359832214,2414540.755584589,0.0,0.0,0.0,40539014.1172359,222181708.9210255,19601666.4040543
