Year,Fuel_Emissions,Biochar_Stock,Biochar_Decay,Construction_InUse,Construction_Disposed,Construction_Recycled,Construction_LandfillIn,Exterior_InUse,Exterior_Disposed,Exterior_LandfillIn,Household_InUse,Household_Disposed,Household_Recycled,Household_LandfillIn,GraphicPaper_InUse,GraphicPaper_Disposed,GraphicPaper_Recycled,GraphicPaper_LandfillIn,OtherPaper_InUse,OtherPaper_Disposed,OtherPaper_Recycled,OtherPaper_LandfillIn,HouseholdPaper_InUse,HouseholdPaper_Disposed,HouseholdPaper_LandfillIn,LF_Input_Total,LF_Stock_Total,LF_Decay_Total
1961,528954200.0,785148.6811571358,16151.318842864217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1962,537736600.0,1574670.5265783165,33078.15457881935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1963,546664800.0,2368511.367453128,50359.159125188344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1964,555741200.0,3166998.585216962,67912.78223616644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1965,564968400.0,3970493.323510425,85705.26170653672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1966,574348600.0,4779372.643402241,103720.68010818418,0.0,0.0,0.0,0.0,4377813.585921616,94643.21032408183,94643.21032408183,2596244.2215828337,45425.4404262442,1315.4661236627737,44109.974302581424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138753.18462666325,78782.48045877158,59970.70416789168
1967,583884800.0,5594020.85221258,121951.79118966103,0.0,0.0,0.0,0.0,8655843.689980568,199580.62697084088,199580.62697084088,5145192.594861744,94594.88129232322,2812.263323623536,91782.61796869968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,291363.2449395406,238933.13569550967,131212.58970280245
1968,593579200.0,6414824.649399818,140396.20281276215,0.0,0.0,0.0,0.0,12823788.501587652,314793.42166994564,314793.42166994564,7643098.810605836,147505.58427682408,4483.757883411402,143021.8263934127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,457815.24806335836,484673.140805472,212075.242953396
1969,603434600.0,7242170.158517491,159054.4908823264,0.0,0.0,0.0,0.0,16871470.07838926,440049.9850119547,440049.9850119547,10086241.877506204,204109.1685686503,6324.551779566505,197784.61678908378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,637834.6018010385,820662.6592543017,301845.0833522087
1970,613453400.0,8076441.002459774,177929.15605771742,0.0,0.0,0.0,0.0,20789054.021732353,574893.3897862972,574893.3897862972,12470973.064426795,264309.16601617157,8329.155048376057,255980.0109677955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,830873.4007540927,1251542.339833411,399993.7201749837
