Year,Fuel_Emissions,Biochar_Stock,Biochar_Decay,Construction_InUse,Construction_Disposed,Construction_Recycled,Construction_LandfillIn,Exterior_InUse,Exterior_Disposed,Exterior_LandfillIn,Household_InUse,Household_Disposed,Household_Recycled,Household_LandfillIn,GraphicPaper_InUse,GraphicPaper_Disposed,GraphicPaper_Recycled,GraphicPaper_LandfillIn,OtherPaper_InUse,OtherPaper_Disposed,OtherPaper_Recycled,OtherPaper_LandfillIn,HouseholdPaper_InUse,HouseholdPaper_Disposed,HouseholdPaper_LandfillIn,LF_Input_Total,LF_Stock_Total,LF_Decay_Total
1961,272680000.0,14401733.770437645,213366.2295623548,3575972.077860441,7028.200703454205,421.69204220725226,6606.508661246952,1096117.9886062983,16103.84503798748,16103.84503798748,2096401.8901154865,25976.609254725277,1428.7135090098902,24547.89574571539,1734084.3060734142,122708.87931069647,18406.33189660447,104302.547414092,1317393.6736156808,1107431.6245665948,166114.74368498923,941316.8808816057,0.0,0.0,0.0,1092877.6777406475,714677.0010108582,378200.67672978924
1962,275737800.0,28954823.05347617,437310.71696147136,8380074.865408895,16936.950846414016,1133.6150480495835,15803.335798364433,2449424.327359575,37715.0137979494,37715.0137979494,4869101.51108074,62468.85188617924,3868.7879393170774,58600.06394686216,2589416.054932912,204308.4931461812,33478.59109170171,170829.9020544795,2112036.8304163655,2087711.6846004787,342098.5820501293,1745613.1025503494,0.0,0.0,0.0,2028561.418148005,1897393.5196019376,845844.8995569253
1963,278829800.0,43663270.775607824,666852.2778683474,12980714.495981231,27095.420069213345,1923.3988186994238,25172.02125051392,4191223.963547248,67250.95276389414,67250.95276389414,7666451.53715567,102168.99957960632,6741.736161469172,95427.26341813714,2470460.3204151634,226971.28755918666,39032.76204762491,187938.52551156175,1955968.2275831285,2135070.913217296,367172.93983136164,1767897.9733859343,0.0,0.0,0.0,2143686.736330041,2943939.7624936895,1097140.493438289
1964,281956600.0,58532352.1635206,901018.6120872297,17451424.496436417,37652.21870220429,2781.103706837445,34871.11499536685,5902255.508973315,99257.01154740679,99257.01154740679,10410335.596739206,144229.9008777864,9932.095531195811,134297.80534659058,2987029.6553162853,291777.04061273194,51856.33341402338,239920.70719870855,1029384.843755566,1310907.0114924165,232982.11168355175,1077924.8998088648,0.0,0.0,0.0,1586271.5388969376,3476228.113393968,1053983.1879966594
1965,285118400.0,73568041.28449215,1139410.8790284498,22896130.989224374,50789.91292615524,3864.826889895124,46925.086036260116,7854064.918724853,137781.89366448432,137781.89366448432,13664185.152460143,195664.4448980207,13910.642226733613,181753.8026712871,3485895.9988286532,359147.60836226563,65432.656795505136,293714.9515667605,1736872.978126763,1686406.8009355888,307244.3609645872,1379162.4399710016,0.0,0.0,0.0,2039338.1739097936,4281207.6679159645,1234358.6193877973
1966,288315600.0,88776794.88721909,1381846.3972730604,29520796.18261103,67069.91645488335,5225.926566376718,61843.989888506636,10450992.534634385,189231.9420361044,189231.9420361044,17674953.508505844,260123.92215850216,18967.61072572,241156.31143278215,3918282.9599326393,424468.08244844025,78881.10648950738,345586.9759589329,1988749.4934052173,2073324.2630869052,385296.6070863606,1688027.6560005448,0.0,0.0,0.0,2525846.875316871,5317888.929257951,1489165.6139748844
1967,291548800.0,104165149.9625178,1628244.9247012835,37607877.44822219,87237.33783104943,6931.800480483027,80305.5373505664,12994586.981358266,244446.13980255855,244446.13980255855,22302845.45098114,336724.8743548991,25072.231593985183,311652.64276091394,4427610.33580116,496189.5791171173,93739.24362475725,402450.33549236006,2167698.757753323,2279705.303811582,430677.82932258095,1849027.4744890009,0.0,0.0,0.0,2887882.1298954,6470568.47880549,1735202.580347861
1968,294818200.0,119739961.73025176,1878588.2322660415,48875864.22586329,114904.3305729232,9283.62821749788,105620.70235542531,18906465.913707413,353715.93377959146,353715.93377959146,29725831.68420919,453173.2450822762,34348.00119354461,418825.2438887316,5195083.559655337,587323.3521811413,112524.59436565361,474798.7578154877,2007024.9462081082,2183476.449969094,418329.700202271,1765146.749766823,0.0,0.0,0.0,3118107.387606059,7639289.259923573,1949386.6064879755
1969,298124200.0,135508659.08873016,2132902.6415215894,60565268.75344457,145115.99956772564,11895.484382212728,133220.51518551292,25390008.79717165,481335.5571726833,481335.5571726833,37512401.364217184,582280.6799826125,44819.45160870211,537461.2283739104,5497692.501416086,649280.6711204277,125924.40963156732,523356.26148886036,2713493.5460557803,2737908.5028838133,531002.2724932545,2206906.230390559,0.0,0.0,0.0,3882279.7926115263,9198258.160978768,2323310.891556332
1970,301467200.0,151478917.1282036,2391241.9605265646,66094309.72003205,165065.42382074698,13704.697271828782,151360.7265489182,31741330.45996743,618153.3277829691,618153.3277829691,42317381.15555079,683141.4148105406,53302.69019607587,629838.7246144648,6678894.775052745,771031.7429131351,151162.0853861103,619869.6575270249,3338707.891783728,3431886.797692246,672827.2472780216,2759059.550414224,0.0,0.0,0.0,4778281.986887601,11184501.323377978,2792038.824488391
