Year,Fuel_Emissions,Biochar_Stock,Biochar_Decay,Construction_InUse,Construction_Disposed,Construction_Recycled,Construction_LandfillIn,Exterior_InUse,Exterior_Disposed,Exterior_LandfillIn,Household_InUse,Household_Disposed,Household_Recycled,Household_LandfillIn,GraphicPaper_InUse,GraphicPaper_Disposed,GraphicPaper_Recycled,GraphicPaper_LandfillIn,OtherPaper_InUse,OtherPaper_Disposed,OtherPaper_Recycled,OtherPaper_LandfillIn,HouseholdPaper_InUse,HouseholdPaper_Disposed,HouseholdPaper_LandfillIn,LF_Input_Total,LF_Stock_Total,LF_Decay_Total
1961.0,20864732200.0,1104655420.6249814,14834179.375018686,1582805204.6552258,1934323.472765513,164417.4951850686,1769905.9775804444,829672968.8593006,8661512.773089316,8661512.773089316,883006271.5369058,8072609.099571619,686171.7734635876,7386437.326108032,218476757.805963,19523642.194036998,4392819.493658325,15130822.700378673,79951958.39279447,77493241.60720554,17435979.361621246,60057262.245584294,275413.66340371926,14570186.336596278,14570186.336596278,107576127.35933705,9396539.41499101,8421316.661786783
1962.0,21069005712.5,2234004643.3924937,30484977.232487667,3311626793.1131487,4158787.329127896,396736.6986518726,3762050.6304760235,1675773016.9266975,18282577.97335906,18282577.97335906,1822475232.8665104,17227200.347540423,1643426.8097885204,15583773.537751902,403691013.1328696,37819544.67309337,9217189.34197183,28602355.33112154,97479171.59849928,169591586.7942952,41332009.14501155,128259577.64928365,305697.73842529004,30742488.59817099,30742488.59817099,225232823.72016317,28968245.593692653,18056695.962885343
1963.0,21275280400.0,3388956413.971109,46680829.42138476,4763791788.140743,6172091.216191757,626338.7822296307,5545752.433962125,2538165573.714445,28915835.408745136,28915835.408745136,2660830042.6260595,26080176.34439093,2646595.022611917,23433581.321779013,581444142.61296,57083670.51990971,14537072.058696952,42546598.461212754,107047564.8705181,270514931.54959774,68890017.35651171,201624914.19308603,264557.10820730706,44738331.48996368,44738331.48996368,346805013.3087487,58762543.8191419,28100870.93903702
1964.0,21483573125.0,4570516250.095332,63377763.875776984,6109386705.275038,8168081.6799186785,864137.426403657,7303944.253515022,3415817198.199793,40603333.10299111,40603333.10299111,3459862449.889647,35152932.15458241,3718983.90748042,31433948.247101992,738792111.9876661,76245830.62529373,20009189.347169258,56236641.278124474,112106853.0773052,376070588.96168745,98692185.0116165,277378403.950071,278270.6516133014,59459660.83835038,59459660.83835038,472415931.67015386,99262458.63561961,38841310.78713042
1965.0,21693905262.5,5779754758.5113535,80564391.58397885,7466184320.80603,10287935.482512286,1122841.4171070135,9165094.065405272,4307400443.790072,53381510.2847309,53381510.2847309,4263234303.851651,44837238.979375914,4893606.597781087,39943632.38159483,867601245.0401216,94570066.94754457,25387790.643621378,69182276.30392319,119204909.07496771,488363565.0625404,131103554.7289761,357260010.3335643,306269.13606720645,75662191.70228317,75662191.70228317,604594715.0715016,151243818.69250607,50508876.67484452
1966.0,21906297712.5,7017798446.979411,98241811.53194268,8986348029.460674,12722933.566921812,1423395.9036117285,11299537.663310083,5211763188.192932,67285294.02246095,67285294.02246095,5099103096.3039,55409030.48629403,6198962.417153442,49210068.06914059,995500546.0386963,114450499.00142527,31288191.939600036,83162307.06182523,128682311.4005551,609635301.4602795,166660578.0810761,442974723.3792034,313125.90777020366,92227465.79451297,92227465.79451297,746159395.9904531,215722146.46879822,63316571.9786195
1967.0,22120769237.5,8285823944.392866,116417502.58654533,10708806877.101614,15536832.4637499,1774129.9590494866,13762702.504700415,6127213575.752262,82340268.79637414,82340268.79637414,6002392839.519314,67223004.35892422,7676104.266988862,59546900.09193537,1146206213.4317887,138145532.60690752,38340852.27310789,99804680.33379963,134553080.64223516,736321148.0225663,204358257.76740906,531962890.25515723,213131.32043482838,103502734.47407815,103502734.47407815,890920176.4560449,293917528.61490375,77454489.2469044
1968.0,22337339312.5,9585057104.860378,135102839.53248695,12490190930.45761,18573941.20013124,2158136.3758752286,16415804.824256012,7053137068.73156,98578536.02048068,98578536.02048068,6911808505.546081,79775978.7474327,9269300.457065469,70506678.29036723,1329961591.6392837,166911421.79250523,46926298.598230556,119985123.19427468,146942318.56124064,874848736.336752,245959279.41143754,628889456.9253145,223416.47798932414,115322117.99608882,115322117.99608882,1049697717.250782,386746324.28793883,92672223.46206886
1969.0,22556030975.0,10916772423.51692,154311881.34345788,14507799914.858696,22061055.43182326,2602286.109656659,19458769.322166603,7988339028.162617,116021923.17939821,116021923.17939821,7893533863.14281,93690998.6168561,11051637.354974719,82639361.26188138,1496308915.4756668,196692276.16361684,55924543.92750415,140767732.23611268,155236592.4881798,1021051367.2202008,290310494.9115775,730740872.3086233,264557.10820730706,129317960.88788152,129317960.88788152,1218946619.1960638,495535912.8183712,109330465.23301384
1970.0,22776863225.0,12282292811.610973,174060711.90594667,16745308966.143032,26001136.09365127,3108143.9935126207,22892992.10013865,8931352257.791393,134684215.2397565,134684215.2397565,8929380259.1909,108860605.09510723,13013063.530678699,95847541.56442852,1654250086.8748858,228383228.6007809,65584765.51215797,162798463.08862293,187829112.56472468,1198608192.8885787,344204072.0466461,854404120.8419325,338838.801656443,147243522.08622506,147243522.08622506,1417870854.9211044,621557385.7008562,127403276.02183872
