Year,Fuel_Emissions,Biochar_Stock,Biochar_Decay,Construction_InUse,Construction_Disposed,Construction_Recycled,Construction_LandfillIn,Exterior_InUse,Exterior_Disposed,Exterior_LandfillIn,Household_InUse,Household_Disposed,Household_Recycled,Household_LandfillIn,GraphicPaper_InUse,GraphicPaper_Disposed,GraphicPaper_Recycled,GraphicPaper_LandfillIn,OtherPaper_InUse,OtherPaper_Disposed,OtherPaper_Recycled,OtherPaper_LandfillIn,HouseholdPaper_InUse,HouseholdPaper_Disposed,HouseholdPaper_LandfillIn,LF_Input_Total,LF_Stock_Total,LF_Decay_Total
1961.0,10687500.0,25540.776075573158,259.2239244268411,3202555.390132196,3913.7968751586195,332.6727343884827,3581.124140770137,890502.2353766556,9296.550298347143,9296.550298347143,1396728.9137942733,12769.157935317313,1085.3784245019717,11683.77951081534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24561.45394993262,12958.957281210574,11602.496668722046
1962.0,10687500.0,51111.167896433886,529.6081791392695,6159218.497045489,7753.091194904115,739.6232511024286,7013.4679438016865,1771337.60387708,19338.019071232226,19338.019071232226,2691149.9501114786,25497.95743109895,2432.433941194467,23065.52348990448,0.0,0.0,0.0,0.0,50780.81668592912,49219.183314070884,11995.451975543456,37223.73133852743,0.0,0.0,0.0,86640.74184346583,38652.45237361494,23723.51541253402
1963.0,10687500.0,76706.79937972713,804.3685167067408,9572807.016268471,12369.425590123054,1255.2392195165842,11114.186370606469,2641748.8389853165,30148.57865491032,30148.57865491032,4160683.843402704,40690.01114213265,4129.189141083114,36560.822001049535,0.0,0.0,0.0,0.0,52342.45005778736,98438.36662814177,25068.563671192416,73369.80295694935,0.0,0.0,0.0,151193.3899835157,78733.73318771961,37742.306212461655
1964.0,11875000.0,102324.75809708417,1082.0412826429688,14701945.254019748,19342.649787822815,2046.3443269145735,17296.305460908243,3500956.151858916,41749.02291524838,41749.02291524838,6149513.974211577,61633.24275215977,6520.452887206367,55112.7898649534,91796.80278098819,8203.197219011816,2152.7646175701607,6050.432601441655,77732.85840075192,172267.1415992481,45208.05696897337,127059.08463027474,0.0,0.0,0.0,247267.63547282643,137177.3534608229,55714.49796800672
1965.0,11875000.0,127962.83588722939,1361.9222098547834,24186077.828440227,32030.546887674325,3495.864133207635,28534.68275446669,4348160.843129277,54156.30289753903,54156.30289753903,9612604.52274013,97422.58772479522,10632.85404978343,86789.73367501178,175390.40834296454,16406.39443802363,4404.375725357703,12002.01871266593,103904.0834296456,270705.5082273899,72672.19946840209,198033.3087589878,0.0,0.0,0.0,379516.04679867125,223748.1952990914,82909.87748874899
1966.0,11875000.0,153322.51054201127,1640.3253452181207,34069303.922459595,45922.66967057492,5137.662595516137,40785.007075058784,5182549.37067268,67383.08069427144,67383.08069427144,13048805.315710127,135320.9463157784,15139.219241034121,120181.72707474427,342577.6194669173,32812.78887604726,8970.278376982478,23842.510499064785,53904.0834296456,319924.69154146075,87460.21417557914,232464.4773658816,0.0,0.0,0.0,484656.8027090209,339818.0932607703,112279.9168823956
1967.0,13062500.0,178702.2675912203,1920.2429507909746,45170471.68115279,62078.4966212999,7088.659862012743,54989.83675928716,6300131.929182308,84536.16047891008,84536.16047891008,16997509.445043333,180316.46556012236,20590.094178238778,159726.3713818836,493358.4361528464,49219.18331407089,13660.271170820692,35558.9121432502,52342.45005778736,369143.8748555316,102452.03378115517,266691.8410743764,0.0,0.0,0.0,601503.1218377075,491357.83473460446,147712.62714624667
1968.0,13062500.0,204100.78941738277,2201.4781738375377,58024112.23887159,81269.72680737307,9442.861468690055,71826.86533868301,7400022.828761583,102767.86128061017,102767.86128061017,20721721.168454964,226068.82166328526,26267.303327057933,199801.51833622734,811326.4639627283,82031.97219011816,23062.87239216412,58969.09979795404,52342.45005778736,418363.0581696025,117620.64920003698,300742.4089695655,0.0,0.0,0.0,734107.7537230401,680098.9957094042,185655.08398072084
1969.0,14250000.0,229516.90804029495,2483.881377087805,69938565.82820038,100367.5493103947,11839.192383060612,88528.35692733408,8481140.15040291,122083.67408022392,122083.67408022392,24834884.379445143,278118.51274701726,32806.40605779562,245312.10668922163,912888.0973345863,98438.3666281418,27988.494851052947,70449.87177708885,103123.2667437165,516801.42479774426,146939.59796802793,369861.82682971633,0.0,0.0,0.0,896235.8363035849,909063.9827303174,226959.1506758664
1970.0,1740162.5,254949.573492981,2767.3345473139484,81463947.60726064,120021.10811797043,14347.17640598347,105673.93171198697,9542399.870083507,142482.24910544607,142482.24910544607,28864997.549885884,332464.4130987469,39742.38913667633,292722.0239620706,1089840.1390494094,123047.95828517724,35335.65726487654,87712.3010203007,104684.90011557472,615239.791425886,176678.28632438267,438561.50510150334,0.0,0.0,0.0,1067152.0109013077,1179653.2704139906,270288.91709583043
1971.0,1782675.0,280694.5115798624,3055.0619131186395,94312884.02463493,142336.92165527891,17218.273814426688,125118.64784085222,10879556.97322145,167053.86699509958,167053.86699509958,33450347.096010398,394956.16477401485,47777.22681290403,347178.93796111085,1333979.3918881847,155860.7471612245,45159.58732975902,110701.15983146548,53904.0834296456,664458.9747399569,192522.45124791996,471936.52349203697,0.0,0.0,0.0,1221989.136120565,1498637.177988422,320367.545222631
1972.0,1743725.0,304670.8346461475,3323.676933714908,108449482.59925759,167404.9908803773,20469.210850527306,146935.78002985,12191488.309000323,192931.88985154073,192931.88985154073,37763731.995951355,458445.3295960322,56055.76073682422,402389.568859208,1545305.855850913,188673.53603727178,55110.12096551304,133563.41507175873,153904.0834296456,812116.5246821695,237213.12937329515,574903.3953088744,0.0,0.0,0.0,1450724.0491212322,1867822.3871021387,373072.02962688217
1973.0,1716175.0,327490.95700725826,3579.877638889262,125282966.52806029,197083.56910178426,24334.743982659384,172748.82511912487,13476894.624102913,220100.5349811981,220100.5349811981,42398566.02214672,528246.2370805917,65224.802847570376,463021.43423302134,1723819.530937594,221486.32491331905,65173.15568836602,156313.16922495305,106246.53348743297,910554.8913103113,267934.08449661575,642620.8068136955,0.0,0.0,0.0,1654804.7703719926,2292417.1606844775,431276.0207510053
1974.0,1769850.0,350947.2279837205,3843.7290235377677,141251210.74391815,227259.60503817795,28313.33332426721,198946.27171391074,14734496.929447742,248535.01660513127,248535.01660513127,46595592.27519044,597671.7973125329,74461.45483259478,523210.3424799381,1869520.4171482278,254299.11378936633,75337.2689869407,178961.84480242562,104684.90011557472,1008993.257938453,298918.841464313,710074.41647414,0.0,0.0,0.0,1859727.8920755456,2772558.9987868555,490549.7926966024
1975.0,1859862.5,375922.0375594453,4125.190424275193,157487738.90124997,259316.251768013,32575.502816522694,226740.7489514903,15963045.606087057,278201.3576802584,278201.3576802584,51464757.74750505,676635.4795947336,84999.4584643935,591636.02113034,1982408.5144828144,287111.90266541357,85593.04113501967,201518.8615303939,104684.90011557472,1107431.6245665948,330144.58723507577,777287.0373315191,0.0,0.0,0.0,2075384.026624002,3313739.578815867,555397.547733077
1976.0,1873637.5,400024.73074973054,4397.306809714778,177077582.74501684,297099.6720740889,37609.5001289039,259490.171945185,17458163.724207036,312155.160029541,312155.160029541,57617108.3631529,771180.6972883466,97622.86283116968,673557.834457177,2069125.386788507,319924.6915414608,95932.58457364385,223992.10696781694,104684.90011557472,1205869.9911947367,361592.0495468114,844277.9416479253,0.0,0.0,0.0,2313473.2150476454,3927473.188908678,631469.5563390922
1977.0,1920900.0,424451.19730207894,4673.533447651577,198536785.70117804,339091.54175213526,43233.56126316267,295857.9804889726,18918631.782649104,347493.39437470376,347493.39437470376,64376316.522711575,875978.9612734963,111685.74094113577,764293.2203323605,2131232.6674371646,352737.48041750805,106349.20757856591,246388.27283894212,104684.90011557472,1304308.3578228785,393244.74430213904,911063.6135207395,0.0,0.0,0.0,2565096.4815557185,4620327.911863022,714789.8722416942
1978.0,1971725.0,448900.74393168406,4950.453370394902,220011658.92958426,383228.03575586615,49189.45540999028,334038.5803458759,20343091.270888735,384162.5480898277,384162.5480898277,70335226.97271077,978606.504558958,125609.60193057188,852996.9026283862,2175371.92027594,385550.2692935553,116837.16805066448,268713.1012428908,104684.90011557472,1402746.7244510204,425088.41992901335,977658.304522007,0.0,0.0,0.0,2817569.436828987,5392105.666286868,799420.2766402422
1979.0,1991200.0,472482.80823116977,5217.935700514297,244144657.9113854,432815.7812799972,55905.336266787774,376910.4450132094,21730242.174908664,422099.17006344633,422099.17006344633,76575967.56843321,1088497.3254155612,140597.48196540264,947899.8434501586,2478495.1870196564,442972.649826638,134885.1065060569,308087.5433205811,53904.0834296456,1451965.9077650912,442123.40465874213,1009842.503106349,0.0,0.0,0.0,3064839.504953744,6248650.846776973,890364.2780367094
1980.0,2095225.0,497876.4386675166,5506.369563653217,267376558.89809275,483769.73745840805,62859.09691605809,420910.64054234995,23375686.88572799,464328.9582235506,464328.9582235506,82305340.13843635,1198601.902282133,155741.51772112818,1042860.3845610048,2753885.5953626204,500395.0303597207,153063.21946425256,347331.8108954681,52342.45005778736,1501185.091079162,459189.65839275764,1041995.4326864043,0.0,0.0,0.0,3317427.226908778,7192199.152620068,984551.6774838117
1981.0,2227512.5,526840.5949617195,5835.843705797049,303309794.54237187,552735.6810911844,72224.77564093741,480510.905450247,24978215.205981355,507918.87615519366,507918.87615519366,91340350.91011517,1343503.3669833487,175552.6783826512,1167950.6886006976,2991383.2843542425,557817.4108928035,171362.68328851077,386454.7276042927,52342.45005778736,1550404.2743932328,476287.45796365483,1074116.816429578,0.0,0.0,0.0,3616952.014240009,8247041.576850955,1101538.0459752493
1982.0,2261950.0,556664.9810222184,6175.613939501169,336682641.6153822,622042.7617886852,81715.04351943445,540327.7182692508,26536507.850219864,552785.6307450576,552785.6307450576,100544774.65703498,1496637.203483827,196606.69929478498,1300030.504189042,4020677.776126853,689068.5663969925,212548.81262353546,476519.7537734571,52342.45005778736,1599623.4577073036,493416.88644749287,1106206.5712598106,0.0,0.0,0.0,3975870.1782366177,9416530.727880988,1223654.702173319
1983.0,2294012.5,587636.0147597365,6528.966262481833,368784715.97070634,693210.4679238694,91526.25096248137,601684.216961388,28049333.56006513,598836.5442309098,598836.5442309098,108741440.33852603,1647404.0714917881,217510.7351387115,1429893.3363530766,5133565.87346144,836726.1163392052,259099.22342497902,577626.8929142262,103123.2667437165,1698061.8243354454,525819.0122448102,1172242.8120906353,0.0,0.0,0.0,4380283.802550236,10699933.22950502,1347011.5959213437
1984.0,2337712.5,619740.2386271514,6895.776132585135,401503491.7079692,768573.28275108,101967.23801109428,666606.0447399857,29812392.298682187,649068.9602261237,649068.9602261237,116989629.12173632,1804883.8815616895,239455.40192969955,1565428.47963199,6131609.2097298615,984383.6662814178,305953.7805045746,678429.8857768432,104684.90011557472,1796500.1909635873,558365.6494208486,1238134.5415427387,0.0,0.0,0.0,4797667.911917681,12103585.44052231,1477451.27358081
1985.0,2378562.5,653260.9240277981,7279.314599353211,432300928.32020116,845187.5398879523,112649.2469848533,732538.292903099,31524599.23157778,700522.6643420026,700522.6643420026,125038295.28519359,1966815.1328619784,262143.29154058354,1704671.8413213948,6831214.179370139,1115634.821785607,347977.2637468861,767657.5580387209,104684.90011557472,1894938.557591729,591049.6170994902,1303888.9404922388,0.0,0.0,0.0,5209279.297097456,13629838.033580028,1611480.205508777
1986.0,2409437.5,688774.6906674947,7686.233360303469,464471397.4168903,927060.7994531953,124106.97167202986,802953.8277811655,33184786.906664614,753088.6458600868,753088.6458600868,132932606.10299546,2133468.240494977,285610.4827671051,1847857.757727872,7432380.782382278,1246885.9772897959,390236.16680992034,856649.8104798755,104684.90011557472,1993376.924219871,623864.3982553332,1369512.5259645376,0.0,0.0,0.0,5630062.567813538,15282960.168879457,1750778.096069696
1987.0,2451000.0,725368.5744586891,8106.116208805563,501950622.99873424,1019211.4489721461,137020.29317927375,882191.1557928724,34791900.77725337,806650.2288134098,806650.2288134098,140618397.15378726,2304213.163953365,309772.77932938567,1994440.3846239792,10780809.904976908,1632436.2465833512,512564.73167931486,1119871.5149040362,460150.61691707856,2436349.574046509,764983.5442651081,1671366.0297814007,0.0,0.0,0.0,6474519.313915699,17069096.610891845,1897145.3272178723
1988.0,2482825.0,763622.917319198,8545.657139491013,541060225.2159727,1117635.0247159586,150861.8041521809,966773.2205637777,36641840.55970352,864182.7076160247,864182.7076160247,148484620.9757499,2482416.2474389765,335084.16027003847,2147332.087168938,13317517.533249088,1976970.5297818473,622685.462328124,1354285.0674537234,471082.0505200862,2879322.223873147,906898.7438886785,1972423.4799844683,0.0,0.0,0.0,7304996.562786932,18995699.609089233,2051685.017151352
1989.0,2512987.5,803814.8231349947,9008.094184203279,578972889.9106321,1219124.2334330848,165202.83905393246,1053921.3943791525,38433742.1640957,922705.9641281639,922705.9641281639,156289393.5936675,2665904.9539335975,361255.2806021691,2304649.6733314283,13798364.414360043,2165644.065819119,684163.7490751289,1481480.3167439902,318739.60046229884,3174637.323757572,1002921.8594396777,2171715.4643178945,0.0,0.0,0.0,7934472.81290063,21066150.761975497,2210825.878952479
1990.0,2539587.5,845328.4369555333,9486.386179461324,643358604.1491354,1357547.9442234598,184650.9029595992,1172897.0412638607,40166677.645573296,982093.3896557756,982093.3896557756,168584219.52448064,2896162.678069071,393930.14139861375,2502232.536670457,13847960.13996681,2329708.0101993554,738126.8154716947,1591581.1947276606,263273.88366079505,3420733.2403279264,1083798.8804637205,2336934.359864206,0.0,0.0,0.0,8585738.52218196,23318023.314008325,2405350.4155572653
