Year,Fuel_Emissions,Biochar_Stock,Biochar_Decay,Construction_InUse,Construction_Disposed,Construction_Recycled,Construction_LandfillIn,Exterior_InUse,Exterior_Disposed,Exterior_LandfillIn,Household_InUse,Household_Disposed,Household_Recycled,Household_LandfillIn,GraphicPaper_InUse,GraphicPaper_Disposed,GraphicPaper_Recycled,GraphicPaper_LandfillIn,OtherPaper_InUse,OtherPaper_Disposed,OtherPaper_Recycled,OtherPaper_LandfillIn,HouseholdPaper_InUse,HouseholdPaper_Disposed,HouseholdPaper_LandfillIn,LF_Input_Total,LF_Stock_Total,LF_Decay_Total
1961.0,3092497262.5,91687823.72295246,1160976.27704755,0.0,0.0,0.0,0.0,65633312.90368684,685190.1886559561,685190.1886559561,35381767.17431211,323466.75766315724,27494.674401368367,295972.0832617889,0.0,0.0,0.0,0.0,26812.271210170577,25987.728789829427,5847.238977711621,20140.489812117805,0.0,0.0,0.0,1001302.7617298628,517120.0681786797,464042.2037390653
1962.0,3134770825.0,184301145.3471999,2373278.3757525627,0.0,0.0,0.0,0.0,131543588.84358105,1435613.1281741683,1435613.1281741683,70963687.77008194,671434.3578388831,64052.962897311554,607381.3949415715,0.0,0.0,0.0,0.0,27636.813630511726,51975.457579658854,12667.197286173889,39308.260293484964,0.0,0.0,0.0,2082302.7834092248,1578862.9964867777,981251.5948076417
1963.0,3177621975.0,277861548.05766004,3613197.289539886,0.0,0.0,0.0,0.0,197994089.15230218,2257321.263234903,2257321.263234903,106898687.06510061,1046263.4110013316,106173.95754276133,940089.4534585703,0.0,0.0,0.0,0.0,27636.813630511726,77963.18636948828,19854.302427584393,58108.883941903885,0.0,0.0,0.0,3255519.600635377,3224030.265122909,1552243.448057342
1964.0,3221059425.0,372397064.65401703,4876083.403643004,0.0,0.0,0.0,0.0,264582362.16982168,3149534.453066344,3149534.453066344,142981710.87674427,1447109.2667230086,153096.07891719244,1294013.187805816,0.0,0.0,0.0,0.0,121479.76286610874,194907.9659237207,51149.68731346701,143758.2786102537,0.0,0.0,0.0,4587305.919482414,5492620.158532204,2174957.747462865
1965.0,3265090350.0,467937677.11076486,6159987.543252187,3153251.501240843,3853.5433017557316,420.58176095501955,3432.961540800712,331566627.1656971,4117831.8216232364,4117831.8216232364,180705326.1889334,1888482.7221940209,206111.96673762897,1682370.755456392,0.0,0.0,0.0,0.0,124365.66133730276,311852.7454779531,83718.3737875992,228134.3716903539,0.0,0.0,0.0,6031769.9103107825,8437187.47181679,2859068.225335842
1966.0,3309722950.0,564516089.2065086,7463987.904256283,6159211.7720738035,7749.603685139411,866.9977000210475,6882.605985118364,399199533.33704984,5167769.860094454,5167769.860094454,218804035.93502796,2360591.9073366867,264094.5056679227,2096497.401668764,0.0,0.0,0.0,0.0,124365.66133730276,428797.52503218554,117223.597830407,311573.9272017785,0.0,0.0,0.0,7582723.794950115,12106877.981203135,3601459.35836199
1967.0,3354965937.5,662166032.142287,8787657.064221626,8199586.296811916,10687.598716279022,1220.4024930492853,9467.196223229737,467068564.6484839,6297969.221889133,6297969.221889133,256657491.66284734,2858717.000053034,326433.0413597103,2532283.9586933237,0.0,0.0,0.0,0.0,70741.11891696163,493766.84700675914,137039.84038567316,356727.006621086,0.0,0.0,0.0,9196447.383426772,16547610.129259981,4398988.228748843
1968.0,3400827000.0,760923760.0296866,10130872.112600394,10909743.676251244,14607.557912502267,1697.2758637489608,12910.282048753306,535422525.6143375,7513309.668556785,7513309.668556785,295133607.8164399,3391294.3190412233,394039.99142466125,2997254.327616562,0.0,0.0,0.0,0.0,82498.1696813646,571730.0333762474,160738.995424427,410991.0379518204,0.0,0.0,0.0,10934465.316173922,21812926.964614745,5258157.442867335
1969.0,3447315362.5,860826074.8858577,11493685.143828878,14589243.391157102,19929.64235063461,2350.8680996589696,17578.774250975643,604175582.478578,8815109.985380508,8815109.985380508,334304270.6538302,3959965.784864933,467111.10393225553,3492854.680932678,0.0,0.0,0.0,0.0,109722.71210170575,675680.948535565,192113.02865762738,483567.91987793765,0.0,0.0,0.0,12809111.360442098,27957868.88001794,6180601.525160965
1970.0,3494439225.0,961910801.567628,12876273.318229657,18263277.8394462,25539.98911586309,3053.019048049611,22486.97006781348,673570602.8444166,10207718.419396471,10207718.419396471,373960340.851813,4563792.372068083,545550.1558774457,4018242.216190637,0.0,0.0,0.0,0.0,97141.11891696161,766637.999299968,220155.27902308674,546482.7202768812,0.0,0.0,0.0,14794930.325931802,35038636.717017144,7167679.768655722
