Year,Fuel_Emissions,Biochar_Stock,Biochar_Decay,Construction_InUse,Construction_Disposed,Construction_Recycled,Construction_LandfillIn,Exterior_InUse,Exterior_Disposed,Exterior_LandfillIn,Household_InUse,Household_Disposed,Household_Recycled,Household_LandfillIn,GraphicPaper_InUse,GraphicPaper_Disposed,GraphicPaper_Recycled,GraphicPaper_LandfillIn,OtherPaper_InUse,OtherPaper_Disposed,OtherPaper_Recycled,OtherPaper_LandfillIn,HouseholdPaper_InUse,HouseholdPaper_Disposed,HouseholdPaper_LandfillIn,LF_Input_Total,LF_Stock_Total,LF_Decay_Total
1961.0,1801190987.5,62060229.31965359,778370.6803464048,0.0,0.0,0.0,0.0,7915575.425570272,82636.0026519746,82636.0026519746,4267147.7999170385,39011.066250833035,3315.9406313208083,35695.125619512226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118331.12827148683,62366.23937833322,55964.888893153606
1962.0,1823410937.5,124094748.58393095,1582880.7357226391,0.0,0.0,0.0,0.0,15745223.145574044,171893.50285539756,171893.50285539756,8494105.844634246,80388.90145417434,7668.876729473903,72720.02472470043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,244613.527580098,189478.7163848982,117501.05057353302
1963.0,1845905075.0,186103503.32901,2397045.2549209557,377551.177532163,461.3998631813958,46.822481765631636,414.5773814157642,23812027.5448238,271430.53259859065,271430.53259859065,13016853.727321055,127279.96025081485,12916.266547810268,114363.69370300458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,386208.803683011,388234.8591015406,187452.6609663686
1964.0,1868676475.0,248090494.4826299,3217408.846380111,729283.144433252,917.8895825363243,97.10759180159951,820.7819907347248,31775661.203144837,378264.6551989605,378264.6551989605,17480608.429002296,176725.69679703447,18696.591781768617,158029.10501526584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,537114.5422049611,662486.5673796609,262862.8339268407
1965.0,1891729237.5,310060130.7656562,4042363.7169737434,1080545.9962288104,1399.8050236358345,152.77691613487428,1247.0281075009602,39958559.74424616,495998.6661089608,495998.6661089608,22071373.66932272,230486.24907545195,25155.63078476484,205330.61829068713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,702576.312507149,1018995.6241625613,346067.2557242485
1966.0,1915065925.0,372019507.2430028,4871023.5226534195,1323816.5685834633,1776.8355391348919,198.785949364054,1578.0495897708379,48019806.90810383,621585.5476477761,621585.5476477761,26561251.045514833,286649.63528112404,32069.32697438138,254580.30830674266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,877743.9055442896,1461961.7436222169,434777.78608463396
1967.0,1938690637.5,433975079.94173074,5702827.301272063,1566700.1024831817,2174.0114021790805,248.24743196015552,1925.763970218925,56281318.64253829,758554.4003547635,758554.4003547635,31171354.131918736,347259.1680176379,39653.05637246961,307606.1116451683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1068086.2759701507,1998539.8398895208,531508.179702847
1968.0,1962606962.5,495934856.6508871,6537423.29084369,1809176.0622024005,2592.1153058579002,301.1820847152973,2290.933221142603,64401737.105803706,903775.7929057549,903775.7929057549,35719381.97443299,410801.907857885,47731.7404569355,363070.1674009495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1269136.893527847,2633485.3072782136,634191.426139154
1969.0,1986817975.0,557906484.7309197,7374571.919967306,2020634.4866218294,2994.559092018052,353.2333053505499,2641.325786667502,72702623.20963034,1060688.255894944,1060688.255894944,40367186.19947288,478789.1896281904,56477.19174060547,422311.99788758496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1485641.5795691963,3374095.7094930634,745031.1773543467
1970.0,2011327775.0,619897771.2429448,8214113.487974906,2323446.2314357273,3529.5625929424086,421.9195935695838,3107.6429993728248,80842358.42753482,1226064.3603011123,1226064.3603011123,44984519.945039816,550155.3560422033,65764.89808839142,484390.45795381186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1713562.461254297,4225489.691568293,862168.4791790671
1971.0,1973819437.5,678718284.7867278,9012486.456217062,2664013.7846112847,4138.848572781997,500.67001009900326,3638.1785626829937,89142344.33390982,1403238.1008916588,1403238.1008916588,49680751.264251046,625934.8880782684,75718.36012468966,550216.5279535787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1957092.8074079207,5195020.932706222,987561.5662699927
1972.0,2023132700.0,739186028.4262433,9834856.36048444,3003956.587931444,4779.248134627175,584.3758735041393,4194.872261123036,97260910.44183388,1588872.0163151594,1588872.0163151594,54299660.50623251,704793.572168302,86177.64714743846,618615.9250208635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2211682.813597146,6287596.265599927,1119107.480703441
1973.0,2008432150.0,797904529.8276305,10634898.598612832,4322079.3545597065,6648.103941167694,820.8695839827878,5827.234357184906,105189703.01657973,1782742.5862953407,1782742.5862953407,59254495.78613829,790494.6771784342,97605.72977475075,692888.9474036834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2481458.768056209,7510346.415894585,1258708.6177615505
1974.0,2034067912.5,856967155.1773365,11440974.650294036,4711185.237434225,7484.904325721349,932.5132420202729,6552.391083701076,112920623.83669226,1984562.258917046,1984562.258917046,63679693.57489775,875362.352610812,109057.77146282133,766304.5811479908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2757419.231148738,8865577.993899764,1402187.6531435573
1975.0,2063664787.5,916440233.6051702,12253921.572166214,5099433.9529223265,8362.66455620233,1050.5242187748088,7312.1403374275205,120775709.8677837,2197422.757131113,2197422.757131113,68196365.4663114,964754.3016285469,121193.16184651763,843561.1397820293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3048296.03725057,10360327.829213765,1553546.2019365698
1976.0,2074245350.0,975165813.8756225,13057819.729547707,5486783.862590646,9282.74278180833,1175.0915556781258,8107.651226130205,128414169.48434214,2417742.458435718,2417742.458435718,72622182.51879817,1057056.717453242,133811.5739872055,923245.1434660365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3349095.253127885,11998924.32652174,1710498.755819909
1977.0,2081141037.5,1032745719.31206,13847094.563562488,6167641.933342728,10606.344742296045,1352.2898649281685,9254.054877367877,136158587.2707841,2648498.0683222967,2648498.0683222967,77236157.26015083,1154747.3128080687,147228.20402359898,1007519.1087844698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3665271.2319841343,13788607.659278559,1875587.8992273172
1978.0,2146972687.5,1092328454.0556598,14664865.256400008,6847143.901402703,11995.318569523615,1539.6660287142845,10455.652540809331,143998648.3595286,2889439.4132131143,2889439.4132131143,81928802.5860251,1256917.1034570916,161332.3192615882,1095584.7841955035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3995479.849949427,15735839.33764821,2048248.171579778
1979.0,2207102262.5,1153466233.2885275,15505020.767132385,7409585.747667629,13310.57583642882,1719.2816210154292,11591.29421541339,151594496.27179393,3136825.875039836,3136825.875039836,86465815.08789524,1361438.844206493,175852.4057670455,1185586.4384394477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4334003.607694697,17844047.240470856,2225795.7048720494
1980.0,2273687287.5,1216501534.9361575,16372298.352370007,7957247.534127012,14671.279489627235,1906.3271385394205,12764.952351087815,159269806.02494574,3393482.938677145,3393482.938677145,91074760.61543483,1470248.0436974242,191038.12643379095,1279209.9172636333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4685457.808291866,20119163.188420236,2410341.860342488
1981.0,2298494850.0,1278663783.7845268,17228551.15163056,8510234.363116032,16103.041921727956,2104.1496500414014,13998.892271686555,167015499.64374506,3659019.070298992,3659019.070298992,95751377.2845949,1583291.6352549836,206885.2926315777,1376406.3426234059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5049424.3051940845,22566863.438794944,2601724.054819375
1982.0,2386310700.0,1343326745.0065799,18120238.77794704,9387070.270607898,17997.551095162453,2364.2597604632974,15633.291334699155,174822908.79376557,3933007.2728311396,3933007.2728311396,100491461.9719973,1700505.225151465,223387.95178438685,1477117.2733670783,411984.050881075,36815.949118925026,11356.179417314608,25459.769701610418,13406.135605085288,12993.864394914714,4008.0633237580964,8985.801071156617,0.0,0.0,0.0,5460203.408305684,25192730.466753334,2799890.8095745277
1983.0,2455896412.5,1409354606.2435172,19031738.763062734,9929936.848662794,19575.819857402257,2584.642736903528,16991.17712049873,182683807.9181359,4214989.810570245,4214989.810570245,105290881.4440227,1821813.5035545484,240538.4333455902,1581275.0702089581,718488.1441630458,67495.90671802922,20900.670689614974,46595.23602841425,13818.406815255863,25987.728789829427,8047.317056964053,17940.411732865374,0.0,0.0,0.0,5877791.705660981,28001716.331715718,3004270.19293732
1984.0,2546199937.5,1477839836.2240255,19978170.019491583,11345825.850687632,22292.40915002583,2957.5519220560436,19334.857227969784,190590442.4488954,4504483.321005514,4504483.321005514,110535870.93913096,1950698.8287537862,258800.78871271518,1691898.040041071,925648.2713657334,92039.87279731256,28606.678477177724,63433.19432013484,27224.542420341153,51975.457579658854,16154.359610641535,35821.09796901732,0.0,0.0,0.0,6314970.510563707,31000790.091001816,3216642.4589884514
1985.0,2584321225.0,1545848649.6070416,20918986.61698387,12552528.157972679,24888.434755827337,3317.208668560455,21571.22608726688,300979508.0962253,5870465.4169039475,5870465.4169039475,170924147.7703433,2587408.737872906,344857.9542500746,2242550.7836228316,1108264.4324891374,116583.83887659592,36363.6240615496,80220.21481504632,41042.949235597014,90957.05076440299,28370.381620775526,62586.669143627456,0.0,0.0,0.0,8277394.310572719,34987980.139555216,4147397.3780606505
