Year,Fuel_Emissions,Biochar_Stock,Biochar_Decay,Construction_InUse,Construction_Disposed,Construction_Recycled,Construction_LandfillIn,Exterior_InUse,Exterior_Disposed,Exterior_LandfillIn,Household_InUse,Household_Disposed,Household_Recycled,Household_LandfillIn,GraphicPaper_InUse,GraphicPaper_Disposed,GraphicPaper_Recycled,GraphicPaper_LandfillIn,OtherPaper_InUse,OtherPaper_Disposed,OtherPaper_Recycled,OtherPaper_LandfillIn,HouseholdPaper_InUse,HouseholdPaper_Disposed,HouseholdPaper_LandfillIn,LF_Input_Total,LF_Stock_Total,LF_Decay_Total
1961.0,41475087.5,5220299.07334957,61500.926650430054,764715.9267144506,934.5483339900957,79.43660838915814,855.1117256009376,0.0,0.0,0.0,325239.9237741645,2973.404439850079,252.73937738725675,2720.6650624628223,0.0,0.0,0.0,0.0,13406.135605085288,12993.864394914714,2923.6194888558107,10070.244906058902,0.0,0.0,0.0,13646.021694122663,1895.2632719450144,1680.5135161187454
1962.0,42087012.5,10390094.785239164,124604.28811040497,1681414.2808378316,2108.796903846622,201.17333625108532,1907.6235675955368,0.0,0.0,0.0,712464.5887665895,6721.883742708915,641.2489395949141,6080.6348031140005,0.0,0.0,0.0,0.0,13818.406815255863,25987.728789829427,6333.598643086944,19654.130146742482,0.0,0.0,0.0,27642.38851745202,6071.4027309171415,3812.11891173741
1963.0,42135700.0,15509782.2752224,187912.51001676338,2382785.353298485,3086.9727230493563,313.2634739840745,2773.7092490652817,0.0,0.0,0.0,1004763.7264194102,9858.320781133498,1000.4143517331293,8857.90642940037,0.0,0.0,0.0,0.0,13818.406815255863,38981.59318474414,9927.151213792196,29054.441970951942,0.0,0.0,0.0,40686.05764941759,12073.30069108724,5629.717718295554
1964.0,41415637.5,20579457.527698927,251124.74752347084,3074062.450114872,4107.609082476918,434.562101641377,3673.046980835541,0.0,0.0,0.0,1265961.799176361,12914.193450451994,1366.249546670015,11547.94390378198,0.0,0.0,0.0,0.0,40630.67802542644,77963.18636948828,20459.8749253868,57503.31144410148,0.0,0.0,0.0,72724.302328719,19851.721155897554,7442.5704198072035
1965.0,41259837.5,25598765.839438595,314091.68826033146,3820225.0424888167,5251.713397256293,573.1802384685204,4678.533158787773,0.0,0.0,0.0,1547812.4788592942,16348.84263098959,1784.3383309551177,14564.504300034472,0.0,0.0,0.0,0.0,14642.949235597014,90957.05076440299,24417.859021383098,66539.19174301988,0.0,0.0,0.0,85782.22920184213,29620.188539715215,9474.570075004582
1966.0,41769775.0,30568627.048717506,376738.7907210898,5061623.031175498,7063.628698375003,790.2532934732421,6273.375404901761,0.0,0.0,0.0,2037267.8187507489,21889.634605349063,2448.9333426858148,19440.70126266325,0.0,0.0,0.0,0.0,13818.406815255863,103950.9151593177,28417.84189828048,75533.0732610372,0.0,0.0,0.0,101247.14992860222,42655.96433642659,12678.300870853638
1967.0,42330962.5,35489413.58130899,439013.467408515,6357094.030370109,9041.704253759664,1032.4600226517844,8009.24423110788,0.0,0.0,0.0,2544824.5207950473,27942.15911437962,3190.6774898301137,24751.48162454951,0.0,0.0,0.0,0.0,13818.406815255863,116944.7795542324,32456.804301869954,84487.97525236245,0.0,0.0,0.0,117248.70110801983,59208.40947940017,16208.280712683796
1968.0,42380162.5,40360941.24028711,500872.3410218816,7860285.176133301,11381.655688825907,1322.4530483368205,10059.202640489088,0.0,0.0,0.0,3135382.3326634606,35120.7872529781,4080.7412763582734,31040.04597661983,0.0,0.0,0.0,0.0,13818.406815255863,129938.64394914711,36531.58986918795,93407.05407995917,0.0,0.0,0.0,134506.30269706808,79916.2218450662,20391.43625144289
1969.0,42428850.0,45184243.60185427,562297.6384328351,9503530.356122516,14019.824745557995,1653.7556558857277,12366.069089672266,0.0,0.0,0.0,3779168.14541538,43215.64691044539,5097.647210144579,38117.99970030082,0.0,0.0,0.0,0.0,13818.406815255863,142932.50834406182,40639.29452372886,102293.21382033295,0.0,0.0,0.0,152777.28261030602,105279.4060889127,25120.884546126577
1970.0,42478050.0,49959772.58672513,623271.0151291417,11181998.343795313,16843.085248807034,2013.4018013575628,14829.683447449472,0.0,0.0,0.0,4388641.020372859,51470.79184953897,6152.755477771031,45318.036371767936,0.0,0.0,0.0,0.0,27224.542420341153,168920.23713389123,48508.7902932225,120411.44684066874,0.0,0.0,0.0,180559.16665988613,135387.72781818506,30039.39808994507
1971.0,44286150.0,54947469.22463703,687103.3620880968,12413597.993369102,19270.394561101617,2331.1093580390125,16939.285203062605,0.0,0.0,0.0,4800841.132567948,58384.95964155975,7062.736850437875,51322.22279112187,0.0,0.0,0.0,0.0,27636.813630511726,194907.96592372065,56473.25236605651,138434.71355766413,0.0,0.0,0.0,206696.2215518486,169374.42403201244,34274.811780357086
1972.0,45637612.5,60084081.94694975,752987.277687284,13668054.844841836,21850.093629431158,2671.689602875607,19178.404026555552,0.0,0.0,0.0,5216766.039372658,65677.90743147442,8030.674165484798,57647.23326598962,0.0,0.0,0.0,0.0,27636.813630511726,220895.69471355007,64521.97118953626,156373.7235240138,0.0,0.0,0.0,233199.36081655894,207467.40367563488,38732.65764892272
1973.0,46030700.0,65220675.64821488,819006.2987348743,15845393.433932552,25688.227506078503,3171.8343775573003,22516.393128521202,0.0,0.0,0.0,6018889.867277899,76851.45120784837,9489.17455860047,67362.2766492479,0.0,0.0,0.0,0.0,27636.813630511726,246883.42350337948,72646.34420729862,174237.07929608086,0.0,0.0,0.0,264115.74907385,252023.19641374366,45322.877039660365
1974.0,46702587.5,70398593.05242242,885682.5957924579,17461209.539610885,29040.497809648692,3618.0353928235777,25422.462416825114,0.0,0.0,0.0,6572446.323349527,86351.71503047812,10758.202674731112,75593.512355747,0.0,0.0,0.0,0.0,27636.813630511726,272871.1522932089,80839.31985747078,192031.83243573815,0.0,0.0,0.0,293047.8072083103,301933.80526052427,51105.36592579147
1975.0,46873250.0,75552032.81860363,952160.2338187806,19601988.631359175,33202.62373446024,4170.938595647512,29031.68513881273,0.0,0.0,0.0,7302916.179238241,97919.0944280556,12300.670376749362,85618.42405130624,0.0,0.0,0.0,0.0,27636.813630511726,298858.88108303834,89095.01927517242,209763.8618078659,0.0,0.0,0.0,324413.97099798487,358491.35369161586,58092.56075902736
1976.0,47397537.5,80714963.90394811,1018868.9146555251,21738503.15366531,37570.80742710398,4756.044585671306,32814.762841432675,0.0,0.0,0.0,8021589.3386357445,109944.21194353662,13917.709246853463,96026.50269668315,0.0,0.0,0.0,0.0,27636.813630511726,324846.60987286776,97408.4704901614,227438.13938270637,0.0,0.0,0.0,356279.40492082224,421922.6395459259,65409.97968380587
1977.0,47905937.5,85903157.4095497,1086006.4943984083,23870543.52779399,42152.0991867109,5374.316779306983,36777.782407403916,0.0,0.0,0.0,8728011.086112326,122420.68646740277,15608.417187048752,106812.26928035403,0.0,0.0,0.0,0.0,27636.813630511726,350834.3386626972,105775.41650511873,245058.92215757846,0.0,0.0,0.0,388648.9738453364,492465.048547895,73047.64268578881
1978.0,47084912.5,90921321.6839605,1151035.7255892032,26169189.469257347,47162.932135200324,6053.625337439375,41109.306797760946,0.0,0.0,0.0,9374527.848290052,134908.53795812812,17316.263146639434,117592.27481148868,0.0,0.0,0.0,0.0,81261.35605085288,428797.5250321855,129942.81804987941,298854.7069823061,0.0,0.0,0.0,457556.2885915557,570251.6158978313,80915.01425931341
1979.0,46269525.0,95737790.14679626,1213531.5371642336,28650432.473140202,52642.33626078538,6799.630784776408,45842.70547600897,0.0,0.0,0.0,10136218.353184197,148971.6597598574,19242.160506408552,129729.49925344886,0.0,0.0,0.0,0.0,82910.44089153517,506760.71140167373,154308.56184292908,352452.1495587446,0.0,0.0,0.0,528024.3542882025,656169.5770484176,89654.2435788713
1980.0,42971587.5,100000880.7283561,1268909.4184401573,31610765.680055913,58973.84363216362,7662.824408699894,51311.01922346372,0.0,0.0,0.0,11065747.005779885,165163.9947013557,21460.74618995451,143703.24851140118,0.0,0.0,0.0,0.0,82910.44089153517,584723.897771162,178858.135793638,405865.761977524,0.0,0.0,0.0,600880.0297123889,751512.6791382795,99671.16564500306
1981.0,43033087.5,104288616.81800039,1324663.9103557006,34179375.43051069,65135.98646367148,8511.17843379053,56624.80802988095,0.0,0.0,0.0,11766935.914639756,179971.0001185983,23516.421230089818,156454.5788885085,0.0,0.0,0.0,0.0,29285.89847119403,610711.6265609914,187611.89772739774,423099.72883359366,0.0,0.0,0.0,636179.1157519831,855456.946742729,109135.11931393991
1982.0,43492800.0,108650972.40445982,1381444.413540572,36077471.09954712,70770.8985739952,9296.864158107614,61474.03441588759,0.0,0.0,0.0,12170611.89847717,192616.11940795748,25303.139184043357,167312.9802239141,0.0,0.0,0.0,0.0,27636.813630511726,636699.3553508208,196395.10286414667,440304.2524866741,0.0,0.0,0.0,669091.2671264758,966709.5070080647,117534.45437446612
1983.0,43336487.5,112990984.76469907,1437987.6397607406,37969808.8171543,76652.98887991901,10120.679103793129,66532.30977612588,0.0,0.0,0.0,12561518.03252023,205506.82901603339,27133.56257206854,178373.26644396485,0.0,0.0,0.0,0.0,27636.813630511726,662687.0841406502,205206.5849525833,457480.4991880669,0.0,0.0,0.0,702386.0754081577,1085486.114474256,126128.96875389933
1984.0,44274875.0,117496641.52260208,1496743.2420969969,39856138.11762905,82788.82067054813,10983.659686626961,71805.16098392117,0.0,0.0,0.0,12939420.605297534,218619.1083673544,29004.373632236977,189614.73473511744,0.0,0.0,0.0,0.0,27636.813630511726,688674.8129304796,214045.2648410003,474629.5480894793,0.0,0.0,0.0,736049.4438085179,1211976.087388276,134929.92280501866
