Year,Fuel_Emissions,Biochar_Stock,Biochar_Decay,Construction_InUse,Construction_Disposed,Construction_Recycled,Construction_LandfillIn,Exterior_InUse,Exterior_Disposed,Exterior_LandfillIn,Household_InUse,Household_Disposed,Household_Recycled,Household_LandfillIn,GraphicPaper_InUse,GraphicPaper_Disposed,GraphicPaper_Recycled,GraphicPaper_LandfillIn,OtherPaper_InUse,OtherPaper_Disposed,OtherPaper_Recycled,OtherPaper_LandfillIn,HouseholdPaper_InUse,HouseholdPaper_Disposed,HouseholdPaper_LandfillIn,LF_Input_Total,LF_Stock_Total,LF_Decay_Total
1961.0,3404754875.0,3338823.309126504,38876.69087349567,18087298.31665194,22104.22709624143,1878.8593031805217,20225.36779306091,83113541.96848784,867678.0278457333,867678.0278457333,41227759.66019845,376911.91842679854,32037.51306627788,344874.40536052064,1332889.5763799485,119110.42362005156,26799.8453145116,92310.57830553997,321747.2545220469,311852.7454779531,70166.86773253945,241685.87774541366,0.0,0.0,0.0,1566774.2570502684,649207.758124603,583570.0428747119
1962.0,3367361925.0,6694147.372650024,79375.9364764805,35595433.96744643,44777.05759529778,4271.606263989575,40505.451331308206,168293183.8131163,1835870.2809761649,1835870.2809761649,83215793.25171888,787191.248215597,75095.84701225732,712095.4012033397,3279757.9961488172,303731.58023113146,74023.93414107867,229707.6460900528,331641.76356614067,623705.4909559062,152006.36743408666,471699.1235218196,0.0,0.0,0.0,3289877.903122685,1993715.3141648741,1243963.5774705415
1963.0,3330379612.5,10066422.664084744,120624.70856527997,76836728.37544367,97745.78859226676,9919.162898037966,87826.6256942288,253951854.04384756,2893821.6551929824,2893821.6551929824,134226201.17363703,1307830.946951462,132717.61773819418,1175113.3292132677,5641805.568677582,541952.4274712346,138014.97729174988,403937.4501794847,278017.2211457996,883582.7788542005,225015.42751262314,658567.3513415774,0.0,0.0,0.0,5219266.411621541,4133025.9421349536,2017450.9821304
1964.0,3293803425.0,13455981.02617965,162441.63790509282,121494659.85207155,157912.64554883563,16706.27602275915,141206.36952607648,341482307.09450054,4060289.2670527603,4060289.2670527603,187033866.63671035,1879507.747551481,198841.42342355236,1680666.3241279286,8565366.039794214,851639.5288833687,223495.71706689894,628143.8118164698,249555.86509494667,1117472.3379626654,293258.2072638775,824214.1306987879,0.0,0.0,0.0,7334519.903222023,7137824.559991084,2877363.3428506353
1965.0,3257629087.5,16863236.69286461,204744.33331503675,167116057.1527961,222651.97404201396,24300.585718093844,198351.3883239201,429289743.0017892,5323953.6253140075,5323953.6253140075,240591184.39250523,2494908.7410316393,272298.2537258826,2222610.4873057567,11712395.24005069,1208970.7997435234,324554.0428258838,884416.7569176396,221919.05146443498,1325374.1682813007,355803.0885972966,969571.0796840041,0.0,0.0,0.0,9598903.337545328,11069447.217174653,3813292.843760115
1966.0,3221851850.0,20288945.658574138,247491.03429047385,211090941.83778003,288986.9526873868,32330.817612842653,256656.13507454412,518759803.9139811,6702904.040945458,6702904.040945458,294025302.00409156,3147624.887095701,352144.9158586087,2795479.9712370923,11303158.186135136,1280437.0539155542,350042.6879657987,930394.3659497555,221094.5090440938,1533275.998599936,419163.1679996371,1114112.830600299,0.0,0.0,0.0,11799547.34380715,15995171.61479203,4829315.749639719
1967.0,3186467675.0,23733591.391949825,290654.2666243123,260849766.68922913,366032.906329734,41796.80424775603,324236.102081978,609775466.7436616,8200546.014600778,8200546.014600778,350082903.90675914,3863720.9312847196,441193.0857587669,3422527.8455259525,10422588.005133567,1316170.1810015696,365289.3113789161,950880.8696226536,221094.5090440938,1741177.8289185714,483245.75293895265,1257932.0759796188,0.0,0.0,0.0,14156122.907810982,22000908.30307346,5941573.273927282
1968.0,3151472287.5,27197970.963863764,334220.4280860594,301276307.3013713,435873.39509896457,50644.83725363921,385228.5578453253,702216516.7860972,9819849.169883888,9819849.169883888,403152292.0954765,4594520.444774701,533844.787960277,4060675.6568144243,9772862.612321971,1375725.3928115955,386778.2077400275,988947.185071568,1481271.2559221108,3170502.91235919,891370.7928081861,2279132.119551004,0.0,0.0,0.0,17533832.68916621,29142482.969516277,7124178.718100818
1969.0,3116860937.5,30682592.508197002,378178.4556667637,364533581.42026174,537325.2909401691,63382.0147590855,473943.27618108364,795960007.4086156,11563300.177766051,11563300.177766051,465167327.27442795,5448125.491649136,642651.9952501284,4805473.496399008,8730359.613605363,1405502.9987166084,399619.72948333394,1005883.2692332745,1788147.4617798508,4859705.283698102,1381736.0138067815,3477969.2698913207,0.0,0.0,0.0,21326569.489470735,37546390.609222375,8438809.310640048
1970.0,3082629825.0,34188267.31624651,422525.19195049576,374534237.9004067,579157.7884861494,69231.8133752168,509925.9751109326,890880765.018059,13432859.425436886,13432859.425436886,507828695.91888225,6172292.283172821,737828.2670822287,5434464.016090592,7658079.0089837415,1435280.6046216213,412169.2406004259,1023111.3640211953,509403.8678950746,5301496.673125203,1522429.7261257526,3779066.94699945,0.0,0.0,0.0,24179427.727659054,47177953.50418717,9745686.52167362
