Year,Fuel_Emissions,Biochar_Stock,Biochar_Decay,Construction_InUse,Construction_Disposed,Construction_Recycled,Construction_LandfillIn,Exterior_InUse,Exterior_Disposed,Exterior_LandfillIn,Household_InUse,Household_Disposed,Household_Recycled,Household_LandfillIn,GraphicPaper_InUse,GraphicPaper_Disposed,GraphicPaper_Recycled,GraphicPaper_LandfillIn,OtherPaper_InUse,OtherPaper_Disposed,OtherPaper_Recycled,OtherPaper_LandfillIn,HouseholdPaper_InUse,HouseholdPaper_Disposed,HouseholdPaper_LandfillIn,LF_Input_Total,LF_Stock_Total,LF_Decay_Total
1961,1349928000.0,25742157.607259657,585842.3927403411,8945031.04543823,30058.282025085555,601.1656405017111,29457.116384583846,41934845.928301804,906582.3304727838,906582.3304727838,32379591.788436994,566532.6880978182,11330.653761956364,555202.0343358618,0.0,0.0,0.0,0.0,234203.3197538988,196876.73325628354,15750.138660502684,181126.59459578086,0.0,0.0,0.0,1672368.0757890104,967541.7303492915,704826.3454397188
1962,1348184200.0,51545103.98902498,1195553.6182346807,17763008.16744233,62200.56169815887,1459.581953814796,60740.97974434407,83720310.48037837,1929206.597096175,1929206.597096175,64680710.73930517,1188706.9778462457,27893.884007955206,1160813.0938382905,0.0,0.0,0.0,0.0,331885.3742309338,334507.79635072127,29079.25506721593,305428.5412835053,0.0,0.0,0.0,3456189.211962315,2879391.4912915383,1544339.451020068
1963,1346442600.0,77415800.92635697,1815403.0626680155,25616010.989624307,93715.06578215557,2389.0839301511933,91325.98185200438,125354537.60776688,3072079.3568223356,3072079.3568223356,96821668.4710457,1866777.4002353398,47589.870965239046,1819187.5292701006,0.0,0.0,0.0,0.0,348658.30953647126,370018.0868277304,33666.511118402515,336351.5757093279,0.0,0.0,0.0,5318944.443653769,5724902.102154032,2473433.832791276
1964,1344703200.0,103364506.52617157,2442694.4001854137,34417253.32644951,130898.19002511966,3525.28091406551,127372.90911105415,166717128.58557954,4335145.768273698,4335145.768273698,128401876.50693892,2594811.2626868486,69882.08636190278,2524929.176324946,0.0,0.0,0.0,0.0,408605.6306833724,423243.2902887055,39726.86109018705,383516.42919851845,0.0,0.0,0.0,7370964.282908217,9585460.259972164,3510406.1250900836
1965,1342966000.0,129402592.58853291,3076313.9376386493,41909308.830564246,166553.45487359003,4671.35632107399,161882.09855251605,207804035.11224055,5718640.133140496,5718640.133140496,158315567.97973257,3353318.0554080363,94051.14716227815,3259266.908245758,0.0,0.0,0.0,0.0,455034.7750971216,476302.2933449199,45769.97315447982,430532.3201904401,0.0,0.0,0.0,9570321.46012921,14513807.66200895,4641974.058092426
1966,1341231000.0,155542831.00587663,3715761.582656283,48295660.21067984,201133.9728495826,5824.597959175144,195309.37489040746,248496775.22924322,7218285.8289380465,7218285.8289380465,187596483.27132073,4157722.270756135,120402.6366603611,4037319.634095774,185689.08030627956,14846.60416876716,1453.7437695540657,13392.860399213096,143612.45587273067,225073.73047134708,22038.678316172958,203035.0521551741,0.0,0.0,0.0,11667342.750478614,20399108.308697447,5782042.1037901165
1967,1339498400.0,181798498.76961258,4360832.23626405,54654868.62503471,238068.40319981612,7077.666673775895,230990.73652604021,288682294.8017941,8827509.548969854,8827509.548969854,216342629.43045297,5008243.84933772,148892.839663605,4859351.009674115,541772.6420449162,45387.09361307636,4514.159550024197,40872.93406305216,50673.39902535337,72675.35524772493,7228.225533445478,65447.12971427946,0.0,0.0,0.0,14024171.35894734,27404807.044940706,7018472.622704082
1968,1337768000.0,208183209.903718,5011488.8658946,61408005.515565634,278858.8561003689,8476.53057020951,270382.3255301594,328370437.45766723,10540011.88787646,10540011.88787646,245244368.92910677,5915055.417721181,179801.16813916262,5735254.249582019,866573.9369117536,77306.26933501492,7792.040225676394,69514.22910933853,39415.71299212924,43447.76915044691,4379.292492683302,39068.47665776361,0.0,0.0,0.0,16654231.168755742,35675535.76490249,8383502.448793968
1969,1336039800.0,234711395.77937528,5667814.124342702,71789752.49370933,334576.329139539,10367.223249692417,324209.10588984657,367463046.1922599,12345227.934269857,12345227.934269857,276592484.7461831,6916979.672098592,214330.3821243221,6702649.289974269,1112619.40131544,106226.30317724327,10832.134695185538,95394.16848205774,38909.61791347532,41618.09760646382,4243.890877746106,37374.20672871772,0.0,0.0,0.0,19504854.705344748,45302140.64159048,9878249.82865674
1970,1334313800.0,261397342.30536458,6329953.474010713,83787515.449022,399569.08860981505,12591.590907467185,386977.4977023479,405988653.3690853,14233294.487366706,14233294.487366706,309603578.62341034,8002580.2705366975,252184.7155928642,7750395.5549438335,1608330.3511196182,157204.42299592865,16196.119449105849,141008.3035468228,38901.565704056695,41580.45380618279,4283.861635435063,37296.592170747725,0.0,0.0,0.0,22548972.435730457,56360429.12181085,11490683.955510097
