Year,Fuel_Emissions,Biochar_Stock,Biochar_Decay,Construction_InUse,Construction_Disposed,Construction_Recycled,Construction_LandfillIn,Exterior_InUse,Exterior_Disposed,Exterior_LandfillIn,Household_InUse,Household_Disposed,Household_Recycled,Household_LandfillIn,GraphicPaper_InUse,GraphicPaper_Disposed,GraphicPaper_Recycled,GraphicPaper_LandfillIn,OtherPaper_InUse,OtherPaper_Disposed,OtherPaper_Recycled,OtherPaper_LandfillIn,HouseholdPaper_InUse,HouseholdPaper_Disposed,HouseholdPaper_LandfillIn,LF_Input_Total,LF_Stock_Total,LF_Decay_Total
1961.0,1634475000.0,1483100.5609502674,16899.4390497326,2295168871.298238,2804892.862782799,238415.89333653793,2566476.9694462614,378010959.0618181,3946310.01993862,3946310.01993862,730891316.3419193,6681945.622911755,567965.3779474992,6113980.244964256,509145642.4101897,45498557.58981033,10237175.457707323,35261382.132103,199322424.17640805,193192775.82359198,43468374.560308196,149724401.2632838,0.0,0.0,0.0,197612550.62973592,6655903.884140525,5970863.350208612
1962.0,1533537500.0,2741346.776488957,31753.784461309966,4672994238.272995,5872765.189178638,560245.4005747308,5312519.788603907,785092153.9443204,8555154.828282677,8555154.828282677,1472358335.5450974,13928897.707290798,1328777.9477314656,12600119.759559333,1010874998.0514731,94400244.35871658,23006753.087689415,71393491.27102716,215573704.91106355,396195919.26534456,96558878.11318202,299637041.15216255,0.0,0.0,0.0,397498326.7996356,20415294.68212636,12708403.578460082
1963.0,1432362500.0,4014376.8641865943,46969.91230236285,7177969778.941061,9270985.531256266,940812.0496473183,8330173.481608948,1166174769.8403974,13296760.798183832,13296760.798183832,2222612607.3543205,21748516.491063625,2207021.713901161,19541494.777162462,1432228297.1543326,140489300.89714026,35777361.056440294,104711939.84069997,229197262.33059204,612101970.0512475,155879437.4093697,456222532.6418778,0.0,0.0,0.0,602102901.539533,41601457.9601071,19982265.778974503
1964.0,1337600000.0,6220754.369409113,73622.49477748125,9915456832.961933,13144873.588667575,1390654.2170407986,11754219.371626776,1515107754.1598747,18100240.967228465,18100240.967228465,3012758365.425435,30447548.497937758,3221180.594213942,27226367.903723814,1832906300.97508,188849396.17925292,49559737.17198516,139289659.00726777,246230255.79259717,844120412.6868446,221522475.79631716,622597936.8905275,0.0,0.0,0.0,818968424.1403743,70751072.3400539,27931213.862632256
1965.0,1240225000.0,8193095.953212945,97658.41619616882,12934430115.639046,17578839.811433624,1918582.152708766,15660257.65872486,1885248747.011479,23507810.779964216,23507810.779964216,3876143107.243863,40372523.078790024,4406320.500651533,35966202.57813849,2224447514.593186,240714586.3818938,64620991.83369676,176093594.54819706,547579623.7831908,1367725503.6324596,367172508.85972923,1000552994.7727304,1001660.0662795018,52990739.93372049,52990739.93372049,1304771600.2714756,108897958.7977261,36987384.55915535
1966.0,1759518750.0,11030607.450297661,132488.50291528294,16486084503.462366,22908777.172399454,2562951.336060187,20345825.836339265,2341642100.6842575,30231627.301740613,30231627.301740613,4771271550.59592,51207054.87115951,5728860.545898768,45478194.32526074,2721642812.521505,306656102.0716814,83832880.2825828,222823221.78909856,523936939.10014445,1859447982.6410856,508331251.4159668,1351116731.2251189,1194221.0716053387,116168518.86211514,116168518.86211514,1786164119.339673,157440509.4088259,47513096.85224081
1967.0,1722825000.0,13596426.943518076,164180.50677958416,19992312165.414818,28475884.166863002,3251622.8342376887,25224261.332625315,2712279356.2989225,36570481.95377418,36570481.95377418,5589087792.644337,61991086.221647285,7078678.5862850165,54912407.63536227,3156594353.5696597,372928058.95184517,103502294.6232763,269425764.3285689,531398040.6765364,2359382583.9472976,654822037.3095417,1704560546.6377559,1289644.4778053826,184394474.38430977,184394474.38430977,2275087936.272396,216117353.9377658,58030306.39282186
1968.0,1688268750.0,16871578.76014384,204848.18337423823,23685878935.322655,34573373.25809955,4017136.3557718857,30556236.902327664,2948161948.290932,41946373.67036125,41946373.67036125,6387845375.765684,73223646.4923867,8507974.337096088,64715672.15529061,3549516371.7904763,441366381.7791833,124087916.81337526,317278464.96580803,516873862.8648893,2844987118.4699845,799853680.4473901,2045133438.0225945,1272502.5485478896,251713571.83576187,251713571.83576187,2751343757.552144,284773233.21580815,68562403.44993713
1969.0,1017687500.0,20284147.72753039,247431.03261344807,27760293596.68626,41462984.74930183,4890906.040803898,36572078.70849793,3203849337.96007,47853918.587945715,47853918.587945715,7262739751.5615835,85775476.1162964,10117935.23371683,75657540.88257957,3878871172.7267246,510239999.06375116,145074020.1789819,365165978.88476926,555252302.5680032,3368230546.8566074,957672364.4143115,2410558182.442296,1421065.9354461613,326892105.9003157,326892105.9003157,3262699805.406404,364581928.05656415,80274843.33826727
1970.0,981587500.0,23476717.82794825,287429.89958213957,31318541034.791172,48088187.91380716,5748403.142265041,42339784.77154212,3473911477.4011188,54256106.978003465,54256106.978003465,8002124437.115015,97771080.94519806,11687435.382996745,86083645.56220132,4187988689.208646,583459883.5180792,167552056.60558465,415907826.91249454,522759130.4204856,3858822559.6628757,1108137293.0886464,2750685266.5742292,1194792.469247255,390100113.4310684,390100113.4310684,3739372744.2295394,455308046.1516824,91953419.2166287
1971.0,867112500.0,26540772.966083057,325944.86186519224,35292576891.563095,55565699.987249136,6721695.438853534,48844004.548395604,3692296085.326638,60477030.17468352,60477030.17468352,8767708125.160948,110612767.10917938,13380652.674713971,97232114.43446541,4443617126.025985,658442963.1826615,190779352.97432137,467663610.20834017,544513592.1098403,4371504141.940499,1266613478.0950081,3104890663.8454914,1487919.4595503837,468815393.97151804,468815393.97151804,4247922817.182894,557556497.7153606,104304697.59386629
1972.0,803462500.0,30366586.1290174,374186.83706565463,39580012483.6515,63812550.540322065,7802590.263591063,56009960.276731,3905832136.473299,66955286.2970604,66955286.2970604,9534611029.009113,124095598.76554464,15173615.573800176,108921983.19174446,4679696552.848519,738379773.1774663,215675178.79274625,522704594.38472,638063114.0120168,4974179063.373236,1452920296.317913,3521258767.0553226,1627340.4841779927,554906453.48734,554906453.48734,4830757044.692919,672018062.9557287,117425664.52516782
1973.0,998687500.0,33877990.570758946,418595.55825845286,44629793316.02038,73413775.8785251,9064710.208701357,64349065.669823736,4243971221.6815295,75032195.37875746,75032195.37875746,10558820776.305782,140565262.7740116,17356189.042295184,123209073.73171642,4905947969.511751,821289832.0043019,241667516.52697438,579622315.4773276,671131396.6437837,5606137823.863978,1649626419.8167348,3956511404.0472436,1702764.9729109614,644987688.514429,644987688.514429,5443711742.819298,801442925.2766565,133165472.45936966
1974.0,826500000.0,37849038.56291344,468952.00784550665,49506199917.57276,83295061.5538894,10377386.872798787,72917674.68109061,4640406683.959572,84126354.64560431,84126354.64560431,11564724422.139389,157669628.6162557,19643406.268243413,138026222.3480123,5217913190.66162,914956464.4357222,271060013.7192323,643896450.7164899,712015271.342794,6276822631.539699,1859537250.952846,4417285380.586853,1985035.4080176777,750001853.1064112,750001853.1064112,6106253936.08446,946621526.9334648,149891650.01789907
1975.0,898462500.0,45384191.027362816,564847.5355506222,54161746662.27629,93404108.70530018,11733494.470397929,81670614.23490225,4932788040.181264,92594744.47919689,92594744.47919689,12482204226.980362,174762776.58990318,21953831.594483793,152808944.99541938,5253046110.184799,988088459.8350457,294566318.5766882,693522141.2583575,547246971.5547388,6786615244.633519,2023207789.0494363,4763407455.584083,1562201.1529995196,832646851.9534117,832646851.9534117,6616650752.50537,1107175361.2447312,166520469.39825192
1976.0,932900000.0,51047018.047991306,637172.9793715067,59619442615.54039,104993167.17849228,13290962.278641699,91702204.89985058,5300266257.0187025,102206062.69100033,102206062.69100033,13583962550.277863,194285329.9166001,24594352.76226202,169690977.1543381,5638651741.147385,1094791908.6020195,328284187.30816615,766507721.2938534,598917145.0060745,7351436873.439804,2204401092.6479917,5147035780.791813,1834186.4305517403,929680665.5228599,929680665.5228599,7206823412.353715,1285393865.3199358,185380740.66998452
1977.0,883500000.0,61140464.10201895,766553.9459723542,64474732207.1372,116419463.44876052,14843272.053408042,101576191.39535248,5552807533.495499,111038157.40712902,111038157.40712902,14506930752.47113,213035957.22212926,27161701.115363874,185874256.1067654,5921652381.833895,1197286428.127074,360977979.2189214,836308448.9081526,528850913.8565734,7846654701.970662,2365740971.754667,5480913730.215996,1742762.8078451115,1021877902.7150148,1021877902.7150148,7737588686.74841,1480272539.6773663,203609930.55181623
1978.0,1010325000.0,67196035.40664941,844428.6953695471,69577989894.90616,128699448.89324957,16519291.940993953,112180156.95225562,5846092292.872815,120599238.32682316,120599238.32682316,15470193095.914639,232904965.09774098,29894651.03419252,203010314.06354845,6272029275.8150215,1309307796.3680055,396772683.6622156,912535112.7057899,552308561.0233622,8366749283.885584,2535460016.4338593,5831289267.451725,1835900.6234774895,1119002402.0915372,1119002402.0915372,8298616491.591679,1692998098.7261066,223064150.29388696
1979.0,1118625000.0,74862772.8316286,943262.575020803,74921855532.44919,141859631.90868932,18323524.158670817,123536107.7500185,6278158308.09136,131936483.15590386,131936483.15590386,16629207788.770685,255334728.5654392,32980714.84090676,222354013.72453243,6626425747.109554,1425782270.2192776,434150490.8897651,991631779.3295126,568937203.472642,8902196116.583097,2710717403.8691845,6191478712.713913,1566200.9364929346,1201859001.1550443,1201859001.1550443,8862796097.828924,1925962147.3727102,244862555.98385125
1980.0,1149500000.0,76093619.88984248,959152.9417861224,79994350792.53094,155310164.49659556,20180379.06511208,135129785.43148348,6711220375.978781,143728711.62070793,143728711.62070793,17809853427.979843,278852847.02353674,36233019.09801297,242619827.92552376,6917320084.651798,1540911518.1649983,471341367.4598896,1069570150.7051086,531674858.39947253,9401054392.788597,2875639373.725094,6525415019.063503,1692479.8153564655,1291396121.3396878,1291396121.3396878,9407859616.086014,2179862211.59,267578260.76042563
1981.0,1320500000.0,79530069.86896223,1003550.0208802549,84751530628.99786,168997858.59043056,22082584.56627324,146915274.02415732,7049465155.839069,154967112.76373383,154967112.76373383,18760895567.925976,301172714.21709573,39353586.99941332,261819127.21768242,7250791776.942154,1663986514.1882093,511180161.21225715,1152806352.9759521,624120078.8900744,9990640161.487524,3069145696.08417,6921494465.403355,1851899.7574511496,1389367021.5822368,1389367021.5822368,10027369353.967117,2453795956.5503125,289767769.0452609
1982.0,1365862500.0,82093373.46243228,1036696.4065299411,88172268098.56535,181671423.74650735,23865382.26889066,157806041.4776167,7343255893.8585205,166076464.01701853,166076464.01701853,19388624723.580585,321284950.8013028,42205802.15639021,279079148.6449126,7516176657.080684,1785506216.8314846,550753937.7450396,1234752279.0864449,559434004.8095264,10514739019.280146,3243356906.091642,7271382113.188503,2014748.0853973322,1495953073.4968395,1495953073.4968395,10605049119.911335,2746114979.572878,310642631.1169826
