Year,Fuel_Emissions,Biochar_Stock,Biochar_Decay,Construction_InUse,Construction_Disposed,Construction_Recycled,Construction_LandfillIn,Exterior_InUse,Exterior_Disposed,Exterior_LandfillIn,Household_InUse,Household_Disposed,Household_Recycled,Household_LandfillIn,GraphicPaper_InUse,GraphicPaper_Disposed,GraphicPaper_Recycled,GraphicPaper_LandfillIn,OtherPaper_InUse,OtherPaper_Disposed,OtherPaper_Recycled,OtherPaper_LandfillIn,HouseholdPaper_InUse,HouseholdPaper_Disposed,HouseholdPaper_LandfillIn,LF_Input_Total,LF_Stock_Total,LF_Decay_Total
1961,643082000.0,10803817.701435,158782.29856499945,61429279.47382372,120732.85132274519,7243.971079364711,113488.88024338048,15880009.359933749,233304.4549878436,233304.4549878436,37124368.23789253,460009.70142759377,25300.533578517658,434709.1678490761,12232324.429328678,865595.0675700482,129839.26013550721,735755.8074345409,14754809.144495625,12403234.195145864,1860485.1292718796,10542749.065873984,8619.851416922902,28300.99292053396,28300.99292053396,12088308.36930936,7873381.321169697,4214927.0481396625
1962,779119000.0,21259341.309884768,318376.39155023266,131682718.21734115,266827.2867383986,17859.143019295727,248968.14371910287,58480535.122353345,884224.7365853232,884224.7365853232,87556948.06080884,1122740.5236074436,69532.97308279836,1053207.5505246453,27023703.239356257,2060932.2935477188,337710.4322041087,1723221.86134361,21874867.270533662,21886107.694777608,3586322.0310579697,18299785.66371964,8668.215149328968,28647.34373240649,28647.34373240649,22238055.299624726,20735994.607390717,9375442.013403704
1963,784424200.0,31579755.639313743,478085.67057102395,205347073.67381546,429182.5997473884,30466.00876649338,398716.590980895,99044612.3234725,1573613.65459519,1573613.65459519,138641224.41923922,1846301.919411214,121830.30534018355,1724471.6140710306,35230128.02129646,2967317.440133517,510296.2441022251,2457021.196031292,18471122.35773574,20602715.71606873,3543095.2907224833,17059620.425346248,8668.32969125168,28647.39560587459,28647.39560587459,23242090.87663053,31954448.42342117,12023637.060600076
1964,751814000.0,41797058.37292409,637597.2663896504,287381879.03849804,618440.6970065318,45679.850329864006,572760.8466766678,117817651.501699,2011102.9524862862,2011102.9524862862,186219352.83460185,2581581.6116562854,177775.30895119478,2403806.3027050905,48703091.07474384,4334393.200086821,770333.8770561581,3564059.3230306627,24292433.46102827,24610134.621726625,4373858.010309014,20236276.61141761,8668.439676137912,28647.395605969672,28647.395605969672,28816653.431922287,45364575.90963189,15406525.945711564
1965,798484600.0,51915367.81713304,796590.5557910531,367391864.1385596,815741.3914019424,62073.334704756846,753668.0566971855,169843911.9953256,2973529.736795914,2973529.736795914,246296706.18760207,3524904.2944190083,250600.88228444266,3274303.4121345654,57271105.129086785,5492717.041616967,1000711.2972235694,4492005.744393397,21984378.30279725,24069979.32112563,4385279.643587332,19684699.677538298,8668.54966101807,28647.395605969672,28647.395605969672,31206854.02316533,58543866.04029228,18027563.892504945
1966,539186000.0,61956978.66060818,955189.1565248616,458105137.20358074,1046373.5773852046,81530.91229941203,964842.6650857925,212389277.64154696,3885917.8891290436,3885917.8891290436,308020828.0223174,4555752.373401963,332194.50508211955,4223557.868319844,64594164.38541578,6625019.787387321,1231161.8068655874,5393857.980521733,27874113.93248261,28439013.955437288,5284969.544318864,23154044.411118425,8668.659645898224,28647.395605969672,28647.395605969672,37650868.209780805,74526887.90745711,21667846.34261597
1967,549225800.0,71906479.64282772,1112999.017780446,541669248.2229893,1277178.5808368477,101483.46247627569,1175695.118360572,262608897.6380771,4987964.446312974,4987964.446312974,369126851.1985318,5649197.709202336,420634.18556969694,5228563.523632639,73478965.077924,7896409.07488306,1491775.4124306072,6404633.662452452,31737330.85126009,33087361.64079255,6250804.902564515,26836556.738228034,17288.621047701286,56948.38852650363,56948.38852650363,44690361.87751317,93342853.05684379,25874396.728126504
1968,707672600.0,81797237.02634063,1270442.616487084,641742521.3516678,1554324.94997986,125580.77570136714,1428744.174278493,312826817.65969306,6180273.075008587,6180273.075008587,438226651.8869647,6912550.055871792,523932.69052415923,6388617.365347633,82618645.33601943,9216381.657485755,1765755.786273902,7450625.871211853,33812703.56419808,35711198.08318964,6841866.688425282,28869331.394764356,97.39193114171596,692.7534973082385,692.7534973082385,50318284.63410823,113779943.78110099,29881193.909851022
1969,795062200.0,91601636.60553004,1427000.4208105977,753948621.1757118,1871930.2551932891,153446.3269492969,1718483.9282439922,362555401.7799848,7456932.511705437,7456932.511705437,512198064.7634294,8316155.234182676,640113.1445749415,7676042.089607735,90753433.5507095,10484524.023500962,2033415.6808473112,8451108.34265365,43775521.06888929,44537233.02645931,8637751.014214631,35899482.01224467,86199.40316236149,283010.03295237094,283010.03295237094,61485058.917407855,139513536.3365104,35751466.361998454
1970,734296800.0,101325042.644898,1582693.960632045,869912750.7914573,2215788.752685876,183967.74667273625,2031821.0060131398,410601129.2598762,8800194.835915843,8800194.835915843,586875514.5154203,9814213.84046663,765762.3861108078,9048451.454355821,98507587.32555588,11721455.219169226,2298011.2439925103,9423443.975176714,51578871.725341335,53439425.92674664,10476890.399353722,42962535.52739292,69443.3285384973,229871.45148318715,229871.45148318715,72496318.25033763,169714217.83308673,42295636.75376128
