Year,Fuel_Emissions,Biochar_Stock,Biochar_Decay,Construction_InUse,Construction_Disposed,Construction_Recycled,Construction_LandfillIn,Exterior_InUse,Exterior_Disposed,Exterior_LandfillIn,Household_InUse,Household_Disposed,Household_Recycled,Household_LandfillIn,GraphicPaper_InUse,GraphicPaper_Disposed,GraphicPaper_Recycled,GraphicPaper_LandfillIn,OtherPaper_InUse,OtherPaper_Disposed,OtherPaper_Recycled,OtherPaper_LandfillIn,HouseholdPaper_InUse,HouseholdPaper_Disposed,HouseholdPaper_LandfillIn,LF_Input_Total,LF_Stock_Total,LF_Decay_Total
1961.0,794375000.0,0.0,0.0,12362179.181001032,15107.641353474175,1284.149515045305,13823.49183842887,44525111.76883278,464827.5149173572,464827.5149173572,29260442.056573976,267504.4542914265,22737.878614771256,244766.57567665525,0.0,0.0,0.0,0.0,13406.135605085288,12993.864394914714,2923.6194888558107,10070.244906058902,0.0,0.0,0.0,733487.8273385002,381448.3810535955,341969.2013788458
1962.0,799500000.0,0.0,0.0,25712134.319593295,32294.807377683566,3080.8344473116217,29213.972930371943,89556327.12205029,977230.4538931082,977230.4538931082,59205405.47533046,560015.6713064902,53423.93131558385,506591.7399909063,0.0,0.0,0.0,0.0,13818.406815255863,25987.728789829427,6333.598643086944,19654.130146742482,0.0,0.0,0.0,1532690.296961129,1168135.2835695525,726349.2642984295
1963.0,814875000.0,0.0,0.0,37897789.15928681,49039.750216526416,4976.5138517211035,44063.236364805314,134715226.12792677,1535801.9541567718,1535801.9541567718,88717246.0982287,868444.4990971999,88129.03940427807,780315.4596929218,0.0,0.0,0.0,0.0,13818.406815255863,38981.59318474414,9927.151213792196,29054.441970951942,0.0,0.0,0.0,2389235.0921854507,2382863.435063548,1145452.4987205034
1964.0,830250000.0,0.0,0.0,50567895.79067881,67317.77754660194,7121.844922700827,60195.93262390111,180284632.93770137,2145603.525392877,2145603.525392877,118658744.63390556,1201078.0541260215,127067.35060620814,1074010.7035198133,0.0,0.0,0.0,0.0,54036.81363051173,90957.05076440299,23869.854079617933,67087.19668478506,0.0,0.0,0.0,3346897.3582213763,4057778.829931357,1604894.7666687816
1965.0,850750000.0,0.0,0.0,63326728.80159034,86719.3332212811,9464.68406321893,77254.64915806217,225882628.60680905,2804908.2500124914,2804908.2500124914,148659915.1820766,1555441.0820448129,169763.2796938157,1385677.8023509972,0.0,0.0,0.0,0.0,55273.62726102345,142932.50834406185,38370.9213193163,104561.58702474555,0.0,0.0,0.0,4372402.288546296,6223333.892714132,2102285.638738777
1966.0,866125000.0,0.0,0.0,77749766.96542974,109218.24963503702,12218.943713919514,96999.30592111751,271788884.5573177,3518405.286389628,3518405.286389628,179547152.93029824,1939729.5286483723,217009.94119556653,1722719.5874528058,0.0,0.0,0.0,0.0,108898.16968136461,246883.42350337957,67492.37450841615,179391.0489949634,0.0,0.0,0.0,5517515.228758514,8917618.244832572,2643839.82764511
1967.0,886625000.0,0.0,0.0,91038907.48700172,131555.74238401747,15022.172916714973,116533.5694673025,317948542.70268416,4287387.6604701625,4287387.6604701625,210101397.8177761,2343925.6533704614,267649.71129935957,2076275.9420711019,0.0,0.0,0.0,0.0,56922.71210170576,298858.8810830384,82945.16654922323,215913.71453381516,0.0,0.0,0.0,6696110.886542382,12173125.511303218,3224689.9055379196
1968.0,907125000.0,0.0,0.0,105953421.90586811,157073.12950057135,18250.581866025736,138822.5476345456,364305571.43321615,5112905.5206668265,5112905.5206668265,241476134.23675793,2778892.2567889984,322884.00180635694,2456008.2549826414,0.0,0.0,0.0,0.0,108898.16968136461,402809.7962423561,113247.92859448267,289561.86764787347,0.0,0.0,0.0,7997298.190931887,16029733.592206066,3851128.242381165
1969.0,948125000.0,0.0,0.0,118011001.69327089,180453.93073625592,21286.051287941194,159167.87944831472,410803019.7861031,5995743.891698478,5995743.891698478,271735255.1741215,3227922.865200715,380760.5153395292,2847162.349861186,0.0,0.0,0.0,0.0,83734.98331187632,480772.98261184443,136695.80885254257,344077.1737593019,0.0,0.0,0.0,9346151.294767281,20517263.160617393,4514544.552596652
1970.0,968625000.0,0.0,0.0,133950347.9096633,209784.17450571415,25077.34352742949,184706.83097828465,457383292.76838815,6936402.690933564,6936402.690933564,303729980.3549449,3716797.457324217,444301.4201562522,3272496.037167965,0.0,0.0,0.0,0.0,15879.76286610874,493766.84700675914,141794.92547249657,351971.9215342626,0.0,0.0,0.0,10745577.480614075,25681840.19214756,5229028.527549646
