Year,Fuel_Emissions,Biochar_Stock,Biochar_Decay,Construction_InUse,Construction_Disposed,Construction_Recycled,Construction_LandfillIn,Exterior_InUse,Exterior_Disposed,Exterior_LandfillIn,Household_InUse,Household_Disposed,Household_Recycled,Household_LandfillIn,GraphicPaper_InUse,GraphicPaper_Disposed,GraphicPaper_Recycled,GraphicPaper_LandfillIn,OtherPaper_InUse,OtherPaper_Disposed,OtherPaper_Recycled,OtherPaper_LandfillIn,HouseholdPaper_InUse,HouseholdPaper_Disposed,HouseholdPaper_LandfillIn,LF_Input_Total,LF_Stock_Total,LF_Decay_Total
1961,9605769200.0,23698336.537101448,355963.46289855195,208090546.27540842,408980.297348975,24538.817840938496,384441.47950803646,25895787.4808238,380453.3390224542,380453.3390224542,114991894.17604388,1424869.68579639,78367.83271880145,1346501.8530775886,42695967.6441319,3021291.5960012022,453193.73940018035,2568097.8566010217,41788312.83538878,35128223.32308553,5269233.49846283,29858989.8246227,25859.554250768706,84902.97876160189,84902.97876160189,34623387.33159341,22567609.62819535,12055777.703398058
1962,9713699400.0,47685028.39978776,730008.1373136857,419495833.25623083,851638.2923823365,57001.40435515722,794636.8880271793,52476119.37741272,811806.4131959538,811806.4131959538,231100860.66290665,2980722.9475055216,184600.5591837415,2796122.38832178,84763629.35593998,6516994.457804354,1067893.8953536907,5449100.562450663,63583978.94178911,63355971.95299429,10381696.059566202,52974275.89342809,43244.3482818327,142544.0170382874,142544.0170382874,62968486.16246195,59149482.51315345,26386613.277503844
1963,9821301400.0,71969625.90878285,1114002.491004894,674017858.7546091,1407942.967264788,99944.41249169667,1307998.5547730913,78524313.66326372,1279217.9413622161,1279217.9413622161,365792985.0010476,4889394.877164865,322632.2112061098,4566762.665958755,127042456.73153314,10529323.447695397,1810751.399774298,8718572.047921099,75990674.87986423,78640630.1650576,13524005.778517365,65116624.386540234,51961.270789335875,171537.86720297072,171537.86720297072,81160713.46375835,101208189.18171331,39102006.7951985
1964,9934363600.0,96563820.38593388,1506405.522848973,956642694.8664608,2055368.6782277068,151815.58078015756,1903553.0974475492,108799597.40760687,1853543.231001294,1853543.231001294,515605726.0903406,7130822.560391491,491049.4318777043,6639773.128513787,173590794.92104626,15318825.558345616,2722551.863562118,12596273.694783498,91446526.16587658,94337522.29764682,16766219.848712016,77571302.44893481,345085.14173562475,1134118.0810602196,1134118.0810602196,101698563.68174115,150318856.1003572,52587896.76309723
1965,10048455200.0,121479320.30015475,1906600.085779128,1245259232.2189722,2755774.261459438,209698.9314325953,2546075.3300268427,144972979.06702667,2567453.685933705,2567453.685933705,668757562.496278,9578562.789014675,680981.9743885143,8897580.814626161,241142117.80617332,22075123.789816055,4021839.391452526,18053284.39836353,111435295.49528886,114694170.92354512,20895988.578922775,93798182.34462234,372589.7273545353,1230797.0392991456,1230797.0392991456,127093373.61287174,209211819.01561645,68200410.6976125
1966,10164566800.0,146729581.11547774,2314339.1846770025,1521956673.025263,3476588.2082917644,270887.3909256395,3205700.817366125,180351224.04375616,3333378.2628193507,3333378.2628193507,817442543.0614276,12143414.263901498,885468.5594756278,11257945.70442587,313123867.0193738,29820302.03917206,5541661.476954353,24278640.56221771,134566533.7148307,138747602.12592512,25784186.917725027,112963415.2082001,450318.03563871887,1486546.7917175794,1486546.7917175794,156525627.34674674,279542419.13023794,86195027.23212531
1967,10282408200.0,172329023.51817685,2729557.5973008918,1804779727.9758677,4253628.846317381,337989.52620267717,3915639.3201147034,217102153.98959535,4183436.1500933096,4183436.1500933096,969614486.5945845,14922939.016024806,1111148.630731526,13811790.385293279,364312142.09164876,36748363.39197948,6942434.774509434,29805928.617470045,289623433.43403137,274403698.07849765,51839853.532359816,222563844.54613784,4415889.70403609,14508120.84809369,14508120.84809369,288788759.8672029,427844183.5116952,140486995.4857456
1968,10401170600.0,198291745.07964155,3152278.438535311,2095570987.5459518,5093170.97523577,411499.77156197885,4681671.203673791,255277651.29812282,5121550.1266859025,5121550.1266859025,1125113942.0637264,17921345.90203871,1358337.9361272587,16563007.96591145,415300053.9457277,43974381.48979576,8425000.336260526,35549381.15353523,372947285.19677746,381002575.498502,72995837.98434716,308006737.51415485,4903614.757683885,16195696.306125386,16195696.306125386,386118044.27008665,616460311.7490605,197501916.0327213
1969,10522766200.0,224633534.66336793,3582610.416273628,2392225222.066686,5994022.914883655,491343.51955000777,5502679.395333647,297104390.16168374,6183282.983431561,6183282.983431561,1283609977.9499536,21139892.779345885,1627185.0226343365,19512707.75671155,473814286.6090831,51949251.7972604,10075271.226052428,41873980.57120798,412962447.28896505,433204640.3181492,84017653.70218506,349186986.6159642,5268318.567242846,17403064.81442511,17403064.81442511,439662702.13707405,812247453.3818629,243875560.5042717
1970,10644627000.0,251370036.068949,4020698.5944189033,2686540477.4348927,6942795.104783557,576431.47140688,6366363.6333766775,343662394.6355374,7390436.632794469,7390436.632794469,1442311218.6502218,24548290.486659944,1915401.2540970044,22632889.23256294,599493874.9930236,64899490.42635084,12723655.54792513,52175834.87842571,457100957.73710996,478907858.7518984,93890700.74238114,385017158.00951725,5641065.952456847,18634557.04531773,18634557.04531773,492217239.4319948,1016956201.616104,287508491.1977536
