Year,Fuel_Emissions,Biochar_Stock,Biochar_Decay,Construction_InUse,Construction_Disposed,Construction_Recycled,Construction_LandfillIn,Exterior_InUse,Exterior_Disposed,Exterior_LandfillIn,Household_InUse,Household_Disposed,Household_Recycled,Household_LandfillIn,GraphicPaper_InUse,GraphicPaper_Disposed,GraphicPaper_Recycled,GraphicPaper_LandfillIn,OtherPaper_InUse,OtherPaper_Disposed,OtherPaper_Recycled,OtherPaper_LandfillIn,HouseholdPaper_InUse,HouseholdPaper_Disposed,HouseholdPaper_LandfillIn,LF_Input_Total,LF_Stock_Total,LF_Decay_Total
1961,524976200.0,25551026.960030917,581373.0399690815,898039.1774921461,3017.710584738651,60.35421169477302,2957.356373043878,35944153.65283012,777070.5689766718,777070.5689766718,22024964.349792857,385361.93846652214,7707.238769330443,377654.6996971917,0.0,0.0,0.0,0.0,87826.24490771205,73828.77497110632,5906.301997688506,67922.47297341781,0.0,0.0,0.0,1225605.0980203252,702284.471384696,523320.62663562916
1962,537641600.0,51667556.09087299,1198470.8691579273,1604583.3392301174,5644.020886026256,132.44110354137786,5511.579782484879,71645060.50535646,1651115.0438558622,1651115.0438558622,43828479.90669735,805631.2582550998,18904.730341254413,786726.5279138454,0.0,0.0,0.0,0.0,113478.73472313616,116211.82676013216,10102.465141475637,106109.36161865652,0.0,0.0,0.0,2549462.513170849,2106649.0353706516,1145097.9491848932
1963,550612800.0,78379934.01036349,1838622.0805095043,2308400.4065004685,8473.513288860762,216.01579491389006,8257.497493946872,107005007.86512783,2623333.3354604645,2623333.3354604645,65537320.71202114,1263875.4712678657,32220.055045762692,1231655.416222103,0.0,0.0,0.0,0.0,116562.02423578472,124230.30421538238,11303.233725590557,112927.07048979182,0.0,0.0,0.0,3976173.319666306,4236277.509600493,1846544.8454364648
1964,563897000.0,105722808.2040848,2499925.8062786884,3303269.8347094967,12503.708178476569,336.743264274085,12166.964914202485,142041150.18239003,3695666.442865218,3695666.442865218,87387445.61829655,1764970.794541063,47533.261190889105,1717437.5333501738,0.0,0.0,0.0,0.0,116700.29724986354,124730.25208856518,11707.548618399616,113022.70347016556,0.0,0.0,0.0,5538293.644599761,7143863.849707375,2630707.304492878
1965,577501600.0,133734148.49365515,3182059.7104296656,4312708.921796379,16898.2529381664,473.9485034262576,16424.30443474014,176654291.87725765,4865955.201855362,4865955.201855362,109173415.44465145,2306139.363617763,64680.727888170644,2241458.6357295923,0.0,0.0,0.0,0.0,116702.5392109396,124740.52493185298,11986.863294970792,112753.66163688219,0.0,0.0,0.0,7236591.803656577,10884261.969321579,3496193.684042374
1966,591434400.0,162453747.03585306,3885301.457802079,5023607.292488181,20624.553296359987,597.2622592639583,20027.291037096027,210748367.08562374,6130093.304085174,6130093.304085174,130606568.26899551,2882428.188554147,83471.65377714175,2798956.534777005,0.0,0.0,0.0,0.0,116702.59239967243,124740.59449668262,12214.298973600291,112526.29552308233,0.0,0.0,0.0,9061603.425422357,15507087.762933321,4438777.631810613
1967,605703400.0,191923496.36248663,4610250.673366441,5706846.410558629,24524.617561280684,729.105862296595,23795.51169898409,244232392.47580484,7482028.562043899,7482028.562043899,151821445.23671272,3495392.0457607773,103916.4351990811,3391475.6105616963,0.0,0.0,0.0,0.0,204528.87839463376,198569.36962303548,19749.531086252646,178819.83853678283,0.0,0.0,0.0,11076119.522841362,21104108.82092127,5479098.464853415
1968,620316600.0,222188067.38052988,5357728.981956743,6605952.501791061,29419.676775086213,894.276025646263,28525.40074943995,277022380.38652503,8913841.439424714,8913841.439424714,172962656.14599362,4146585.2213671,126044.61225447412,4020540.6091126255,0.0,0.0,0.0,0.0,288732.23921303026,290171.6047262464,29247.677268936288,260923.92745731008,0.0,0.0,0.0,13223831.37674409,27721920.82293095,6606019.374734404
1969,635282200.0,253293576.99960503,6128690.380924857,7325337.313986438,34050.89503939269,1055.1052180921017,32995.78982130059,309158340.0735435,10418391.838297803,10418391.838297803,193805128.36772972,4830946.829708788,149692.31212437895,4681254.517584409,0.0,0.0,0.0,0.0,308917.2296671114,326445.4500408472,33288.375663161096,293157.0743776861,0.0,0.0,0.0,15425799.220081199,35358007.44782593,7789712.595186219
1970,650609200.0,285288367.6028376,6924209.3967674645,8356550.21889795,40032.39810107208,1261.5379775431002,38770.86012352898,340457637.16139996,11982347.762850353,11982347.762850353,214582262.89029253,5550660.135576111,174917.53913379152,5375742.596442319,0.0,0.0,0.0,0.0,428212.72996438865,430729.41617900523,44376.26462239848,386353.15155660675,0.0,0.0,0.0,17783214.37097281,44087294.695641436,9053927.123157308
1971,665037400.0,318129538.5961422,7743129.00669543,9415514.81185825,46506.62484351305,1487.722576200597,45018.90226731245,370982136.145409,13595899.727082526,13595899.727082526,235130455.76771396,6300998.83318829,201565.65324381704,6099433.179944472,0.0,0.0,0.0,0.0,521061.34469170735,536802.9066371869,55816.20405347231,480986.70258371456,0.0,0.0,0.0,20221338.51187803,53928015.90929622,10380617.29822324
1972,674713400.0,351441366.41926354,8575972.176878655,10399963.521123502,53151.46231624129,1723.4113571027472,51428.05095913854,400803829.71256524,15248662.309527809,15248662.309527809,255417673.70904556,7078921.036053922,229530.71050015118,6849390.325553771,0.0,0.0,0.0,0.0,483724.8162076469,526537.312583155,55206.94570064625,471330.36688250874,0.0,0.0,0.0,22620811.05292323,64824567.64204129,11724259.320178147
1973,699192000.0,386644404.0016029,9458262.417660644,11298422.351640595,59920.94605283611,1966.8898814402692,57954.05617139584,429774814.77627903,16925073.847016055,16925073.847016055,275341724.3163843,7879798.921719433,258652.40434034052,7621146.517379092,46422.27007656989,3711.65104219179,392.13405293325593,3319.516989258534,176109.0146097492,258198.32348632693,27278.522118145156,230919.80136818177,0.0,0.0,0.0,24838413.738923986,76645246.06716654,13017735.313798755
1974,703418000.0,421884689.7896495,10343514.211953383,12163444.000819776,66979.0994824747,2223.390406750766,64755.709075723935,457993365.525053,18614209.84527122,18614209.84527122,295016678.58460563,8702350.90774766,288877.0328948305,8413473.874852829,89020.89043465916,7635.1223610772995,812.305045181288,6822.817315896012,59365.054725300186,87313.23670582265,9289.305309475145,78023.9313963475,0.0,0.0,0.0,27177286.17791201,89486497.42985557,14336034.815222967
1975,702577400.0,456745428.1536885,11221061.635960978,13032526.821710525,74451.87447206602,2497.1345576238946,71954.73991444212,485453215.33810294,20303238.807439163,20303238.807439163,314419056.90740895,9542878.665975649,320070.5457719597,9222808.120203689,127622.59379327926,11691.444972676429,1251.9257969084326,10439.519175767997,40446.086132937184,46130.9373252323,4939.723927024872,41191.21339820743,0.0,0.0,0.0,29649632.40013127,103429850.58604197,15706279.243944883
1976,711165400.0,491873099.9987928,12107028.154895639,13826101.858091634,82080.84044991131,2779.498871715161,79301.34157819615,512275822.8843755,21982501.47585572,21982501.47585572,333545700.1991407,10397851.944077954,352101.87405990664,10045750.070018047,162137.82405472329,15793.043582182336,1701.319631832588,14091.723950349748,38956.118021850445,41784.81661756287,4501.3064425521525,37283.51017501072,0.0,0.0,0.0,32158928.121577322,118478399.73595044,17110378.971668858
1977,723773600.0,527679750.5839209,13011749.414871978,14611863.447118154,90079.053279546,3077.646944448723,87001.40633509727,538361281.1211632,23638635.387792736,23638635.387792736,352363199.31758004,11263117.856961925,384816.43617935036,10878301.420782574,238988.85129556112,23561.017235973253,2552.4152632028395,21008.601972770415,38902.71000386723,41583.87824263943,4504.870246757705,37079.00799588173,0.0,0.0,0.0,34662025.82487906,134609998.61551777,18530426.945311718
1978,738857600.0,564447012.3002003,13942338.283720575,15389441.729177926,98447.49647108602,3391.6992465997673,95055.79722448626,563852972.2478151,25264267.282763295,25264267.282763295,370931488.529273,12136070.744539764,418110.19555003336,11717960.54898973,308019.3118184492,31407.959873744276,3420.4435918216063,27987.516281922668,38901.94963049769,41580.2219753565,4528.240750874759,37051.981224481744,0.0,0.0,0.0,37142323.12648392,151796634.6112631,19955687.130738556
1979,796659200.0,606502002.2924434,15008610.00775691,16158466.599134088,107185.66590282606,3721.7215815174823,103463.94432130858,588785584.2530267,26851286.248451825,26851286.248451825,389244700.6350833,13013090.10407625,451843.05079076084,12561247.053285489,369229.2056233875,39175.93352753519,4287.586139439895,34888.347388095295,38901.95920134592,41580.198269515415,4550.719427023535,37029.47884249188,0.0,0.0,0.0,39587915.072289206,170006965.77515066,21377583.90840169
1980,825760600.0,650949168.9525604,16137533.339883009,16918569.22742241,116291.5044437464,4067.72115388632,112223.78328986008,613316320.1455,28395690.98069564,28395690.98069564,407368844.0935574,13891894.701544069,485919.8805220276,13405974.821022041,422774.8964077196,46711.707412872085,5136.2942875252875,41575.4131253468,38901.97288187021,41580.19821738595,4572.047274796828,37008.15094258912,0.0,0.0,0.0,41992473.14907548,189208656.94363087,22790781.980595253
1981,845259400.0,696071990.5374829,17285578.415077586,17658076.431679375,125723.35043602846,4428.304815461837,121295.04562056661,637490206.083355,29892938.881943446,29892938.881943446,425295830.8458751,14769167.378851602,520208.6549340647,14248958.723917536,468959.8516492759,53875.71106670337,5950.314997245095,47925.39606945828,68177.40153926378,66189.78987438325,7310.346194158244,58879.443680225006,0.0,0.0,0.0,44369997.49123124,209381335.84428844,24197318.590573657
1982,857631600.0,741110860.0965261,18433330.440956704,18387973.442285035,135510.83971606992,4804.56558658443,130706.2741294855,661471178.8628285,31342644.778727412,31342644.778727412,443104919.51141566,15643299.878622038,554636.5177496193,15088663.36087242,554639.2944094134,64261.317170011906,7127.249968413257,57134.06720159865,76728.2451658995,80317.4738040585,8908.045117073074,71409.42868698543,0.0,0.0,0.0,46690557.9096179,230483920.67730528,25587973.07660103
1983,850817200.0,784055045.759345,19529314.337181065,18418168.243824054,143329.0570609458,5113.618288164789,138215.43877278102,685422623.0462555,32746280.246738404,32746280.246738404,460386299.54142755,16504499.85331254,588838.8162005757,15915661.037111966,630105.448791553,74277.33532883292,8271.14837928849,66006.18694954444,77756.02202494333,82990.29962247526,9241.380014243005,73748.91960823225,0.0,0.0,0.0,48939911.82918093,252470185.9249465,26953646.58153973
1984,866888200.0,827381778.8676966,20636566.891648374,18440466.179001693,151301.3748351248,5430.24706586089,145871.1277692639,709275166.7031521,34102055.77492553,34102055.77492553,477568590.7265589,17357192.05556063,622954.2945925096,16734237.76096812,695799.6523312852,83783.55392337857,9365.370758533854,74418.18316484471,77802.1267177974,83156.94891353618,9295.328513230015,73861.62040030616,0.0,0.0,0.0,51130444.46722806,275304802.6578498,28295827.73432478
1985,850730600.0,867741103.176503,21669275.691193733,18454723.02028054,159407.76943388992,5753.724465312361,153654.04496857757,733075919.0810978,35411665.33619792,35411665.33619792,494661273.496401,18199490.013317432,656899.2924103374,17542590.720907096,659448.2237507786,85238.61854436314,9562.81476932518,75675.80377503796,77802.88772631722,83160.37319463212,9329.659004202758,73830.71419042937,0.0,0.0,0.0,53257416.62003906,298950225.3691626,29611993.90872623
1986,879584600.0,909938713.6449097,22750289.53159324,18460815.384973317,167626.58759109973,6083.249775376579,161543.33781572315,756754549.286115,36675355.62471049,36675355.62471049,511607214.6118358,19028668.77858307,690559.5749249562,18338109.20365811,807908.2221014799,100396.80500568586,11302.769228629299,89094.03577705656,458383.31374414166,403085.08792436944,45379.70832889428,357705.37959547515,0.0,0.0,0.0,55621807.58155686,323569070.0278989,31002962.922820568
