Year,Fuel_Emissions,Biochar_Stock,Biochar_Decay,Construction_InUse,Construction_Disposed,Construction_Recycled,Construction_LandfillIn,Exterior_InUse,Exterior_Disposed,Exterior_LandfillIn,Household_InUse,Household_Disposed,Household_Recycled,Household_LandfillIn,GraphicPaper_InUse,GraphicPaper_Disposed,GraphicPaper_Recycled,GraphicPaper_LandfillIn,OtherPaper_InUse,OtherPaper_Disposed,OtherPaper_Recycled,OtherPaper_LandfillIn,HouseholdPaper_InUse,HouseholdPaper_Disposed,HouseholdPaper_LandfillIn,LF_Input_Total,LF_Stock_Total,LF_Decay_Total
1961.0,545370775.0,44553148.81902134,554251.180978663,223237527.6099157,272815.37133437657,23189.30656342201,249626.06477095454,56326076.35146651,588025.7017978925,588025.7017978925,98534904.13323672,900824.5913666065,76570.09026616155,824254.5011004449,56179643.30196477,5020356.698035231,1129580.257057927,3890776.440977304,9597574.353640603,9302425.646359397,2093045.7704308643,7209379.875928532,0.0,0.0,0.0,12762062.584575128,877167.6421639123,784738.6255053796
1962.0,569696237.5,89439228.29153389,1131820.5274874517,530802665.1783775,664439.7930293847,63385.70094534998,601054.0920840347,137372958.37192357,1487629.4135618159,1487629.4135618159,236508141.6234076,2225338.4458730742,212291.0739424399,2013047.3719306344,104034245.00577873,9745398.296186037,2375099.491157605,7370298.805028433,12736448.795333842,21361125.558306765,5206026.15738586,16155099.400920905,0.0,0.0,0.0,27627129.08352582,3016412.535234249,1962485.984506148
1963.0,595014212.5,134664833.38211712,1721094.9094167517,736386372.7591914,953834.9863022844,96794.3963953932,857040.5899068912,195505296.39567593,2227604.4224362755,2227604.4224362755,327418187.8250929,3210322.067948132,325780.86489204474,2884541.2030560873,153864971.71445403,15069273.291324705,3837579.28866504,11231694.002659665,14271153.539706882,34822572.19470515,8868004.398684317,25954567.796020836,0.0,0.0,0.0,43155448.01407976,6088402.140228554,2897196.6104049496
1964.0,621363887.5,180239494.17467108,2319739.20744603,997008629.1089156,1326672.0387527803,140354.49278966244,1186317.5459631179,308596201.53979915,3602785.339351874,3602785.339351874,459032717.32771575,4631163.2819941435,489951.2121183117,4141212.0698758317,203879631.59484994,20885340.11960408,5480938.716333629,15404401.403270453,16296111.94155608,50203566.980352305,13174919.459529381,37028647.52082293,0.0,0.0,0.0,61363363.8792842,10660746.095503936,4357970.999915442
1965.0,648785400.0,226174054.03041324,2926740.1442578435,1284736805.9711735,1753378.5238120635,191366.48259008848,1562012.041221975,405036152.8112641,4920153.418218296,4920153.418218296,591967255.4450026,6155774.631365111,671850.8997478203,5483923.7316172905,243304790.9023551,26274840.692494843,7053607.724160361,19221232.96833448,38192766.81800807,86748810.59104994,23288136.64782885,63460673.94322109,64003.95664323647,3385996.043356763,3385996.043356763,98033992.1459699,16748537.384176087,5878297.90238541
1966.0,677321025.0,272479878.85626984,3541575.1741434196,1570273568.047782,2200928.4055648427,246231.9291494688,1954696.4764153739,436019085.8522446,5659078.325837422,5659078.325837422,695703970.6750957,7508722.670444638,840048.8011864424,6668673.869258195,278900995.2842463,31803795.618108805,8694442.316890266,23109353.30121854,40540036.118542776,124918287.25111191,34149849.78117229,90768437.46993962,75135.07953771239,7360860.96381905,7360860.96381905,135521100.4064882,23955356.260102093,7075629.795584987
1967.0,707014462.5,319169506.7541407,4163972.1021291674,1813504211.0250726,2621109.9587836117,299301.0135554118,2321808.9452282,453776798.72277254,6306250.118053269,6306250.118053269,778490426.003465,8749265.267718282,999066.8089745063,7750198.458743775,312364726.44342005,37636268.840826206,10445554.021954222,27190714.818871982,45948946.18017962,168280387.75080836,46704467.13303594,121575920.61777242,85338.60885764864,11875522.3549614,11875522.3549614,177020415.31363106,32161980.967163853,8171632.814963483
1968.0,737910362.5,366403927.09715927,4795779.656981409,2100875667.4307556,3117560.9887794415,362234.47147807904,2755326.5173013625,483290055.0880264,7110074.501103121,7110074.501103121,877702346.0777438,10207343.279025128,1186007.7833860058,9021335.495639123,348074103.0246035,44190623.41881665,12423969.35765881,31766654.061157838,41771938.67426372,207434248.07715175,58319085.4180654,149115162.65908635,93686.95102850557,16831835.403932896,16831835.403932896,216600388.63822067,41584613.43379976,9464104.047407702
1969.0,770056225.0,414046475.1578941,5434951.93926522,2337356795.6217647,3578122.796676066,422069.52796122053,3156053.268714845,514768811.7873778,7978804.518707308,7978804.518707308,958682289.8302727,11577611.803294173,1365676.2012958429,10211935.60199833,375301392.1693956,50572710.85520784,14379089.22972845,36193621.625479385,45193076.188984886,250033451.2354801,71090776.92167448,178942674.31380564,117804.3839665367,23064031.019966356,23064031.019966356,259547120.34867188,52188069.99688074,10743336.826339502
1970.0,803500737.5,462110777.3331529,6081497.824741198,2555895660.1499057,4040482.321430627,482994.3127490854,3557488.0086815413,550869942.572347,8941630.194247965,8941630.194247965,1033202532.9876399,12957182.386588437,1548885.7280184706,11408296.658569967,374298954.81592137,55002437.353474215,15795038.797399811,39207398.5560744,46292616.45039058,293592428.46843284,84310878.23399542,209281550.2344374,116876.79039199704,29247154.22957436,29247154.22957436,301643517.88158566,64018949.68682573,12076535.171554483
