Year,Fuel_Emissions,Biochar_Stock,Biochar_Decay,Construction_InUse,Construction_Disposed,Construction_Recycled,Construction_LandfillIn,Exterior_InUse,Exterior_Disposed,Exterior_LandfillIn,Household_InUse,Household_Disposed,Household_Recycled,Household_LandfillIn,GraphicPaper_InUse,GraphicPaper_Disposed,GraphicPaper_Recycled,GraphicPaper_LandfillIn,OtherPaper_InUse,OtherPaper_Disposed,OtherPaper_Recycled,OtherPaper_LandfillIn,HouseholdPaper_InUse,HouseholdPaper_Disposed,HouseholdPaper_LandfillIn,LF_Input_Total,LF_Stock_Total,LF_Decay_Total
1961.0,30827500.0,13872401.342930961,167598.6570690389,53641963.15783964,65555.07156298099,5572.181082853384,59982.8904801276,577740.4746590009,6031.420437464244,6031.420437464244,16187655.634702701,147990.5866919668,12579.199868817179,135411.38682314963,38003876.35132911,3396123.6486708913,764127.8209509506,2631995.827719941,29300531.227781102,28399468.7722189,6389880.473749253,22009588.298469648,1855.187149079318,98144.81285092067,98144.81285092067,24941154.636781257,106429.64412747862,94996.05361326286
1962.0,22010312.5,28254862.134333603,347539.20859735744,135102882.21250418,168892.7107351168,16111.893006432518,152780.81772868428,901606.2141423526,9961.234973015116,9961.234973015116,42148298.23460594,395699.9570167334,37748.670989729944,357951.2860270035,80873341.30427626,7530535.047052846,1835304.1522581489,5695230.894794697,35152723.3102214,61597807.91755971,15012308.147392634,46585499.77016708,2782.7807236189774,245362.03212730167,245362.03212730167,53046786.03581778,378544.3683190991,248578.6145370824
1963.0,22192475.0,40472570.11527448,502292.01905912353,221114579.54470274,283707.7024692919,28790.426234728213,254917.2762345637,1248908.2909988898,14470.107443572524,14470.107443572524,68479274.67961445,663811.0690154948,67363.00583293212,596448.0631825627,126768545.47575854,12304795.828517724,3133570.458899053,9171225.369618671,37209263.18969992,96641866.4371782,24611062.38419316,72030804.05298504,3710.374298158636,441651.657829143,441651.657829143,82509516.52729355,826274.2823276087,418105.5328521894
1964.0,22376300.0,51203397.020577125,639173.0946973573,319210964.33898336,419786.3387738947,44411.05031054227,375375.2884633524,1674075.6016509791,20162.24215049372,20162.24215049372,98570057.75259776,984144.4264459016,104116.98428154447,880027.4421643572,167705895.26021397,17062650.215544578,4477750.404545934,12584899.810998645,51334110.663146965,145319638.73479432,38136225.200255394,107183413.53453892,5565.561447237955,736086.096381905,736086.096381905,121779964.41469768,1480988.4045679406,620850.8505378712
1965.0,22561550.0,60583990.33787338,759406.6827037508,394315340.2425448,535392.7810391649,58433.60798604843,476959.1730531164,1818238.5708631824,23378.906442972642,23378.906442972642,117657833.13885938,1224720.8521199296,133667.95500345022,1091052.8971164795,204252577.8687665,21853317.391447477,5866628.4661764605,15986688.925271016,52147539.23229616,194366554.90726596,52178639.21831271,142187915.68895325,6493.155021777614,1079592.9413601274,1079592.9413601274,160845588.53219694,2289835.550065564,782543.831114945
1966.0,22748462.5,68127566.82513584,856423.5127375305,467561289.90954703,655053.2977260655,73284.99954246171,581768.2981836038,2096655.468381972,28204.50483750178,28204.50483750178,134158916.30951263,1456065.089089986,162899.30874048942,1293165.7803494965,242067182.2849613,27185395.58380516,7431875.635329983,19753519.948475175,64803674.83738146,255669047.72494125,69894166.54385322,185774881.18108803,8348.342170856931,1521244.5991892703,1521244.5991892703,208952784.3121231,3249900.8980878256,943073.235348341
1967.0,21844300.0,74034987.54831448,932579.2768213624,526897985.25651497,764166.1521462821,87259.10299782394,676907.0491484582,2150012.8616469796,31016.992399824838,31016.992399824838,147406088.5472838,1670750.3772534535,190780.7338010759,1479969.6434523775,273080959.66430265,32386222.62065865,8988458.430400016,23397764.190258637,65928843.38892013,317685218.7006706,88170220.27206217,229514998.42860842,7420.748596317272,1913823.850592953,1913823.850592953,257014480.15446064,4346250.874525035,1091543.708563451
1968.0,23126562.5,81347933.09638675,1027054.4519277316,600976949.8881404,897019.7141561611,104226.1765631051,792793.537593056,2283041.729211754,34790.49256008194,34790.49256008194,162988944.10545793,1918027.024975677,222858.6732299177,1695168.3517457594,318263035.39357907,39317924.27072363,11054034.737564262,28263889.53315937,87609505.38936085,400693371.3598511,112652906.48676485,288040464.8730863,4637.967872698296,2159185.8827202544,2159185.8827202544,320986292.6708648,5604892.997000815,1264110.2594231172
1969.0,23317987.5,87708541.1797138,1109391.9166729485,669888648.2729089,1030539.1961406433,121560.72241698268,908978.4737236607,2247148.0922193252,37000.11109867297,37000.11109867297,175960917.665726,2154291.00914869,254116.65305817788,1900174.3560905121,354952863.82551366,46110171.56806542,13110277.463147385,32999894.104918033,96984452.08409522,492142613.95739484,139928480.0078392,352214133.94955564,1855.187149079318,2257330.695571175,2257330.695571175,390317511.69095767,7018509.593901303,1432536.3440123585
1970.0,23511075.0,93839648.00030668,1188893.1794071172,755148479.127112,1190918.4221981189,142360.93097572078,1048557.4912223981,2209037.0721673574,39223.002870860546,39223.002870860546,193264459.6139608,2441480.9447955205,291851.64473234705,2149629.3000631733,395498874.082701,53853989.742812574,15465239.329594301,38388750.413218275,104310805.72671306,590433323.0355945,169554617.8197836,420878705.2158109,1855.187149079318,2355475.5084220953,2355475.5084220953,464860340.93160766,8622202.263084635,1633717.1249731001
1971.0,23598950.0,99566385.31367263,1263262.6866340556,868759709.09438,1394232.3146934928,168658.09289774075,1225574.2217957522,2168702.313530643,41445.18650095812,41445.18650095812,218493079.2765112,2815267.446960011,340558.4805325291,2474708.9664274817,438123324.06270707,62475550.01999399,18101864.058076035,44373685.96191795,118568768.57906075,702333136.3001347,203496230.96905148,498836905.3310832,13913.903618094886,3091561.6048040004,3091561.6048040004,550043881.2725294,10473978.114852931,1889952.5229558952
1972.0,23522000.0,103324265.90944035,1312119.4042322738,957558828.3705455,1577817.278260667,192925.39835566175,1384891.8799050055,2126151.857348212,43651.873623570216,43651.873623570216,233729590.17271993,3117033.952217896,381130.96187073947,2735902.9903471563,472860588.1877796,71162735.8749275,20786099.97286198,50376635.90206553,129512189.2603669,824421320.5106875,240807267.697133,583614052.8135545,17624.277916253523,4023937.326887747,4023937.326887747,642179072.7863835,12527602.837548513,2110822.021180149
1973.0,23413462.5,107122719.51604068,1361546.3933996656,1053173034.8615456,1778971.6405137517,219657.17193783956,1559314.468575912,2081408.874639452,45827.61938175701,45827.61938175701,249101505.19800675,3433218.0858501517,423913.99514716305,3009304.0907029887,523416116.14973444,81794079.47076681,24068205.013655465,57725874.457111344,124731975.29140566,941562976.7981762,277058326.2929871,664504650.5051891,14841.497192634544,4809095.829695112,4809095.829695112,731654066.9706562,14796683.322584677,2345365.6936244937
1974.0,24141875.0,110605813.22344473,1406906.2925959514,1148006224.9603672,1989219.218913928,247828.587005979,1741390.631907949,2034512.2395986586,47956.49202435636,47956.49202435636,266166577.6369523,3778113.6430028453,470699.5371805329,3307414.1058223126,555033393.3381121,91326194.63925853,27055800.504245505,64270394.13501303,96645581.96027291,1031634082.2629259,305626288.6386342,726007793.6242917,14841.497192634544,5594254.332502478,5594254.332502478,800969203.3215618,17297200.406719476,2596244.145619818
1975.0,25080712.5,114226222.98735826,1454090.2360864754,1234237941.082015,2199297.762427437,276277.4410237111,1923020.321403726,1985516.9246007695,50022.25925080057,50022.25925080057,279216753.58708894,4100547.081896991,515113.8122076477,3585433.2696893434,566991723.4887191,99537595.05548936,29673884.603780814,69863710.45170856,102743655.49172316,1128448215.8417034,336409997.8461593,792038217.9955442,14841.497192634544,6379412.8353098435,6379412.8353098435,873839817.1329064,20016644.351598203,2839031.9054651447
1976.0,24805925.0,117743755.7171752,1499967.2701830624,1352884572.765563,2459076.386748166,311291.60472895583,2147784.78201921,1934494.2016598629,52008.58844437582,52008.58844437582,298458222.0567074,4491174.828242936,568532.5705765529,3922642.2576663834,606067966.2029347,110480660.14565112,33128719.206098337,77351940.93955278,153332169.41610944,1274087779.2680392,382047828.34974533,892039950.918294,14841.497192634544,7164571.338117209,7164571.338117209,982678898.8240939,23008008.05476282,3131071.92496535
1977.0,24948425.0,121386247.5462722,1547508.1709029914,1500773216.0140204,2767290.9758230643,352824.6187387842,2414466.35708428,1881531.6380744937,53899.25747776031,53899.25747776031,326284175.49794996,4975625.5191205,634383.2983622251,4341242.220758275,636323457.1887554,121185832.51646154,36537135.89670126,84648696.61976027,155846145.23802546,1420662507.1773424,428325143.3787526,992337363.7985898,14841.497192634544,7949729.840924575,7949729.840924575,1091745398.094595,26334067.70789476,3483548.182188374
1978.0,25337212.5,125041004.55574512,1595242.990527083,1665958613.5278487,3111835.090531105,399421.38660866435,2712413.7039224408,1826732.8775117053,55678.37238378275,55678.37238378275,354914236.6003603,5488158.039819273,704435.6884021042,4783722.351417169,712417198.9481531,136476592.13269955,41357871.59274265,95118720.5399569,186623600.77542084,1597039450.5833154,483966894.9349706,1113072555.6483448,249522.67155116829,21150207.169373404,21150207.169373404,1236893297.7853982,30020123.407407954,3865758.7282101996
1979.0,25428175.0,129270479.33984335,1650525.2159017832,1866888223.7937763,3516995.8545363727,454278.3428905469,3062717.5116458256,1770217.201650964,57330.58787416443,57330.58787416443,386561554.1861379,6049565.868724188,781401.7621051519,5268164.106619036,785789738.4845951,152423607.52645853,46412965.999797106,106010641.52666143,177920814.61175448,1764064749.159615,537157455.8092874,1226907293.3503275,761554.32469706,61438652.844676346,61438652.844676346,1402744799.9278042,34112327.821624964,4296007.791922018
1980.0,25531725.0,133948756.14304131,1711723.196802021,2110113232.7362657,3993882.111586365,518949.0025615796,3474933.1090247855,1712118.8716432462,58841.326472012384,58841.326472012384,418155212.3255618,6633718.639740164,861958.7597191083,5771759.880021056,844126057.8634598,167862024.69263875,51346437.047491804,116515587.64514695,191233363.14293042,1944280788.8640857,594725884.6118004,1349554904.2522852,69569.51809047443,65119083.326585874,65119083.326585874,1540495109.5395358,38649073.26351636,4768788.873626464
1981.0,25576137.5,138240842.52583653,1767913.6172048002,2353847454.2150364,4495108.778394192,587366.1392009361,3907742.6391932564,1652586.252940596,60196.9919099245,60196.9919099245,449963944.55865157,7243067.062864449,946435.9032058727,6296631.159658576,910549773.2469474,184793423.75267914,56768928.91823944,128024494.8344397,185101155.53410354,2118147553.921041,650699388.9989172,1467448164.922124,73279.89238863306,68995803.43419725,68995803.43419725,1674733033.9815228,43648698.387344114,5264945.666934001
1982.0,26071562.5,142980827.11934042,1830015.4064960985,2566656055.1605606,4983130.549180136,654612.1178524496,4328518.431327687,1591780.731410955,61385.172441638235,61385.172441638235,487132513.05232716,7924753.221274959,1041040.2533986061,6883712.967876352,983852792.3662413,203176788.7204846,62671535.607853875,140505253.11263072,190790279.56470162,2297723744.242429,708751606.7222013,1588972137.5202274,75135.07953771239,72970668.35465953,72970668.35465953,1813721675.5591636,49134991.578627035,5787323.380362748
1983.0,26182237.5,148488590.03490767,1902237.0844327514,2750373086.1538534,5458851.236804302,720745.3023076293,4738105.934496673,1529875.432959853,62394.82982472904,62394.82982472904,512733958.57168823,8527379.73670984,1125890.5252426136,7401489.211467227,986916412.5970129,216170653.11539933,66939046.42838281,149231606.68701652,242590129.19708413,2527331234.4025693,782609204.3551491,1744722030.04742,59365.98877053818,76111302.36588898,76111302.36588898,1982266929.0761142,55061445.74821515,6275535.806200521
1984.0,25944025.0,152918222.70331874,1960367.3315889293,2953558926.5332227,5980318.401365131,793413.6711484176,5186904.730216714,1467053.763020894,63216.469954867134,63216.469954867134,538377476.3612972,9149655.263370115,1213892.1517282096,7935763.111641906,1026510438.4583682,232814940.2727743,72360618.70416942,160454321.5686049,285233819.8101517,2796732434.272136,869245285.7915468,1927487148.4805894,54728.02089783989,79006574.34499115,79006574.34499115,2180133928.705999,61455559.67447266,6791770.385555973
1985.0,26431850.0,156846274.2889373,2011948.4143814552,3152681523.010031,6520816.218735415,869114.8438659486,5651701.374869466,1403507.7861390153,63842.29146480955,63842.29146480955,560643287.5793693,9759994.675321594,1300842.711070861,8459151.964250732,1064127660.182545,249852980.89666185,77931555.141196,171921425.75546587,254859951.59596527,3035470082.937037,946792402.8719043,2088677680.0651326,75135.07953771239,82981439.26545343,82981439.26545343,2357755240.7166367,68317472.55921626,7312782.745841417
1986.0,26731812.5,160723384.01203057,2062890.2769067236,3393582035.3732877,7136809.261837328,955414.9904838507,6181394.271353478,1339436.46934798,64266.30903622245,64266.30903622245,583875825.7070116,10395554.12482395,1391667.8841835938,9003886.240640357,1126301705.8881576,269737530.9555465,84419379.19107763,185318151.76446885,280953229.2988978,3300441556.3083377,1032934594.8002377,2267506961.5081,101107.69962482284,88330331.5658286,88330331.5658286,2556404991.659427,75690065.59644893,7876953.783797385
1987.0,26418075.0,164194857.11786044,2108526.8941701353,3619563082.4662023,7762673.9100457635,1043594.8851263719,6719079.024919392,1275043.816039388,64484.44869872386,64484.44869872386,607657807.6322657,11052613.355006825,1485886.2935924295,9566727.061414396,1214966104.472534,293010001.465883,92001505.78318316,201008495.68269986,373444954.00420034,3654253655.5615363,1147390318.2260773,2506863337.3354588,101107.69962482284,93679223.86620378,93679223.86620378,2817901347.4193945,83584469.58456722,8455886.546914214
1988.0,24975737.5,167098639.1900537,2146717.92780675,3823124802.1517463,8389038.191675257,1132378.1097673818,7256660.081907875,1210536.919450075,64494.61299420007,64494.61299420007,629506433.6394664,11708282.387054265,1580419.8735478194,10127862.513506446,1286742014.4015431,315921531.29858303,99505653.63145524,216415877.6671278,375298866.72337174,4007130590.3317676,1262124005.7256904,2745006584.606077,119659.57111561603,100009564.29508817,100009564.29508817,3078881043.7767015,91997199.56292522,9036287.230050541
1989.0,25124887.5,170576163.83705032,2192475.3530033724,4086047208.2819176,9115062.407091314,1235176.9791047378,7879885.427986576,1146123.966688828,64296.71454879264,64296.71454879264,679073727.2428875,12631836.881560016,1711733.1097777975,10920103.77178222,1507643836.722643,353246078.64508677,111596436.97982274,241649641.665264,338275370.7336071,4324151350.057698,1366072867.6135333,2958078482.444165,122442.351839235,106487121.94324894,106487121.94324894,3325079531.9669957,101093888.99975482,9767596.47748797
1990.0,25277837.5,173458348.00446305,2230415.832587276,4324320257.3376875,9842996.113521762,1338824.2587846646,8504171.854737097,1082012.2253305155,63892.67730116783,63892.67730116783,710352473.5695195,13419779.882361079,1825331.0929762262,11594448.789384853,1780636906.1306758,397272638.11952317,125868815.30450247,271403822.8150207,327463975.24353886,4631795855.362298,1467502669.7191176,3164293185.6431804,127080.31971193329,113210041.623537,113210041.623537,3569069563.403161,110805142.3552159,10451259.965962034
1991.0,25352650.0,176349854.15514278,2268493.8493202664,4630844556.950113,10685540.132472074,1458681.0325789505,9226859.099893123,1018406.0449941253,63286.405363490885,63286.405363490885,740950451.0457034,14221339.2043869,1941352.2852505,12279986.9191364,2032952838.6163232,441971859.76591855,140422262.6491557,301549597.1167629,264680689.15416414,4878876155.598934,1550105088.8558097,3328771066.7431245,118731.97754107635,119491309.64599593,119491309.64599593,3771382105.9302764,121185046.18921915,11190228.590389788
