Year,Fuel_Emissions,Biochar_Stock,Biochar_Decay,Construction_InUse,Construction_Disposed,Construction_Recycled,Construction_LandfillIn,Exterior_InUse,Exterior_Disposed,Exterior_LandfillIn,Household_InUse,Household_Disposed,Household_Recycled,Household_LandfillIn,GraphicPaper_InUse,GraphicPaper_Disposed,GraphicPaper_Recycled,GraphicPaper_LandfillIn,OtherPaper_InUse,OtherPaper_Disposed,OtherPaper_Recycled,OtherPaper_LandfillIn,HouseholdPaper_InUse,HouseholdPaper_Disposed,HouseholdPaper_LandfillIn,LF_Input_Total,LF_Stock_Total,LF_Decay_Total
1961.0,79887637.5,1512753.4827633437,17246.517236656196,0.0,0.0,0.0,0.0,6602748.281817153,68930.51928530565,68930.51928530565,2570696.357510996,23501.788692575024,1997.6520388688773,21504.136653706148,0.0,0.0,0.0,0.0,177732.85840075192,172267.1415992481,38760.10685983083,133507.0347394173,0.0,0.0,0.0,223941.6906784291,47595.19871050071,42839.45722851109
1962.0,66710187.5,2978180.6015535393,34572.881209804305,833103.3795892,1018.1236564297814,97.1261539252667,920.9975025045146,14509392.841117572,157744.86137926625,157744.86137926625,5959824.822715364,56133.02085916993,5354.9334502021375,50778.08740896779,0.0,0.0,0.0,0.0,741787.5587474761,885945.2996532759,215918.13555978218,670027.1640934937,0.0,0.0,0.0,879471.1103842322,156478.62340889336,100560.5215923459
1963.0,55706337.5,4278042.103306564,50138.49824697501,1653136.8748932683,2079.0654786045425,210.98186893749505,1868.0836096670473,21553493.073554292,245370.52361844064,245370.52361844064,8956013.059293281,87404.13281829152,8869.700105473099,78534.43271281842,0.0,0.0,0.0,0.0,936698.3842386686,1771890.5993065517,451234.1460814635,1320656.4532250883,0.0,0.0,0.0,1646429.4931660146,324013.7339724011,158237.92937741833
1964.0,46517700.0,5769888.964351247,68153.13895531636,2310834.2491228236,3002.0861684939537,317.60395122667387,2684.48221726728,29194566.51390896,346576.795872385,346576.795872385,12128396.3773458,122343.84163847439,12943.295205987752,109400.54643248663,0.0,0.0,0.0,0.0,1094506.5510979597,2805493.4489020403,736245.4992089947,2069247.9496930456,0.0,0.0,0.0,2527909.7742151846,558141.8509656021,224533.7075289379
1965.0,38844550.0,7154903.274865844,84985.68948540279,3067065.2738752603,4097.154462802185,447.1698652211718,3649.984597581013,32081453.8059227,406357.081607633,406357.081607633,13454690.148416566,142641.213786593,15568.085832016812,127073.1279545762,2662107.2806486576,237892.71935134265,63863.44801768669,174029.27133365595,540602.4676683142,3297685.282042749,885279.5207968982,2412405.761245851,0.0,0.0,0.0,3123515.2267392967,829361.9368552926,265860.1082700996
1966.0,32437037.5,8612118.280394126,102784.99447171776,4404211.073248369,5962.905501987625,667.1083536284241,5295.797148359201,33228687.512387764,451961.5436669904,451961.5436669904,14156366.981543591,158344.7290087021,17715.036979795063,140629.69202890704,5820696.264193878,541411.0164547798,148009.59322021087,393401.4232345689,1310527.1592097748,4552774.4565515565,1244626.1248063184,3308148.331745238,0.0,0.0,0.0,4299436.787824064,1128596.1092465078,298652.8604530415
1967.0,27086637.5,9725679.579908844,116438.70048528162,5076778.251994752,7120.7557201309355,813.1094985823265,6307.646221548609,33311437.11980632,488833.12147794996,488833.12147794996,14366483.142183362,170286.8330933231,19444.82396443425,150842.00912888887,8124986.133949732,795710.1302441461,220841.05059493452,574869.0796492116,776143.4929283574,5266452.614605584,1461649.0152778137,3804803.5993277705,0.0,0.0,0.0,5025655.45580537,1449399.838820066,325179.04725482914
1968.0,22618550.0,11092429.479533121,133250.10037572385,6366266.572936374,9094.292222974374,1056.6805745622535,8037.611648412121,33631954.49744466,529500.7319780197,529500.7319780197,14899450.068124512,185596.25006019825,21564.729540444478,164031.52051975377,10725757.706602149,1099228.4273475832,309042.4900549992,790185.937292584,1317554.509383137,6521541.789114391,1833498.355177047,4688043.433937345,0.0,0.0,0.0,6179799.235376115,1795982.5260163762,354987.1769498754
1969.0,18887662.5,12027645.670766372,144783.80876674879,7860708.037659232,11425.98789387684,1347.790892291116,10078.197001585724,33911296.78286837,571155.3777267978,571155.3777267978,15456497.003134213,201732.15632533404,23795.99606640924,177936.1602589248,12931214.179370139,1394543.5272320085,396503.67705658334,998039.8501754252,1334732.4764735776,7776630.963623199,2211091.093233182,5565539.870390017,0.0,0.0,0.0,7322749.45555275,2169406.3728737487,385745.888129936
1970.0,15772137.5,12803279.177996056,154366.49277031558,9996559.821208227,14668.052080627906,1753.4009978150839,12914.651082812821,33323220.03356346,605004.6880761101,605004.6880761101,15784802.946353791,216387.5627674314,25866.704480295688,190520.85828713572,17228072.4245594,1903141.7548107412,546524.8323634239,1356616.9224473173,776143.4929283574,8490309.121677227,2438160.351276481,6052148.770400746,0.0,0.0,0.0,8217205.890294122,2565245.921398487,412600.64892132004
