Year,Fuel_Emissions,Biochar_Stock,Biochar_Decay,Construction_InUse,Construction_Disposed,Construction_Recycled,Construction_LandfillIn,Exterior_InUse,Exterior_Disposed,Exterior_LandfillIn,Household_InUse,Household_Disposed,Household_Recycled,Household_LandfillIn,GraphicPaper_InUse,GraphicPaper_Disposed,GraphicPaper_Recycled,GraphicPaper_LandfillIn,OtherPaper_InUse,OtherPaper_Disposed,OtherPaper_Recycled,OtherPaper_LandfillIn,HouseholdPaper_InUse,HouseholdPaper_Disposed,HouseholdPaper_LandfillIn,LF_Input_Total,LF_Stock_Total,LF_Decay_Total
1961.0,42512500.0,0.0,0.0,176768462.50791976,216026.19530697083,18362.226601092523,197663.9687058783,112500115.73591748,1174464.187691189,1174464.187691189,101488212.73707564,927824.2930422211,78865.0649085888,848959.2281336323,29133734.892207783,2603465.1077922178,585779.649253249,2017685.4585389686,18688153.033488892,18113446.96651111,4075525.5674650003,14037921.399046112,0.0,0.0,0.0,18276694.24211578,1170713.4760530342,1050373.9084776654
1962.0,42987500.0,0.0,0.0,343375206.28539884,432108.1489664577,41221.91083944506,390886.2381270126,225263154.34876552,2458530.659829583,2458530.659829583,196075095.1563014,1857584.2884074608,177208.35419706543,1680375.9342103954,54355349.45617758,5089985.4360302035,1240505.667566835,3849479.7684633685,23231075.239571918,40073077.79391698,9766409.107640069,30306668.68627691,0.0,0.0,0.0,38685941.28690727,3524184.407959405,2176321.9002606208
1963.0,46075000.0,0.0,0.0,530215473.86439896,685225.8423489374,69536.15956342217,615689.6827855152,332537488.89984906,3797616.5671301037,3797616.5671301037,297169135.49515307,2909833.9058554247,295287.5713020495,2614546.3345533754,79592640.94211356,7800108.514064013,1986395.382459781,5813713.131604232,25551713.757016394,64163702.382088855,16340090.897901958,47823611.484186895,0.0,0.0,0.0,60665177.20026012,7139562.990454178,3412474.0019742204
1964.0,40850000.0,0.0,0.0,708875111.0293826,942615.310607809,99723.43574867696,842891.874859132,442876644.27527547,5280779.521877214,5280779.521877214,396188675.6241003,4012416.710570126,424491.2803033595,3587925.4302667663,97929285.30306365,10135755.639049932,2659925.822765044,7475829.816284888,36934104.68617635,99221148.51956876,26038600.821708936,73182547.69785982,0.0,0.0,0.0,90369974.34114784,12096885.44383001,4754274.373627281
1965.0,47262500.0,0.0,0.0,896901567.4127489,1225751.333835223,133780.42339436008,1091970.9104408629,559101958.834023,6944795.95170065,6944795.95170065,494986045.2703364,5183108.975058239,565692.6442109931,4617416.330847246,126009089.44255576,13550795.860507865,3637776.512856293,9913019.347651571,33555155.88934661,130666300.35526237,35077998.61700407,95588301.7382583,0.0,0.0,0.0,118155504.27889864,18516305.30707246,6234763.32974631
1966.0,40612500.0,0.0,0.0,1092280044.5865724,1533427.4659585047,171554.33234405587,1361873.1336144488,669155256.2418749,8673571.226310782,8673571.226310782,587134632.7365708,6365003.480575506,712093.6247187783,5652909.855856728,156415376.18732965,17478913.25522611,4778341.707521288,12700571.547704821,32368053.644512367,161071943.0393628,44033446.02138561,117038497.01797718,0.0,0.0,0.0,145427422.78146395,26429833.492763862,7774826.030090556
1967.0,49875000.0,0.0,0.0,1291889520.5495489,1862983.96291784,212731.6278625531,1650252.335055287,783362141.4585414,10573092.775573831,10573092.775573831,682301701.1195698,7644054.756694009,872864.310283772,6771190.446410237,187350647.4996134,21805328.687716253,6051841.635452836,15753487.052263416,54026199.35672671,212501658.31443524,58977619.72808682,153524038.5863484,0.0,0.0,0.0,188272061.19565117,35967390.71307843,9456978.336724784
1968.0,47500000.0,0.0,0.0,1462196641.0448663,2174408.915777524,252648.10126209146,1921760.8145154326,888191582.0867085,12509331.499561008,12509331.499561008,773472122.4041036,8959577.51393938,1041027.8538606388,7918549.660078742,214617870.04895225,26190577.450661153,7363347.844688935,18827229.605972216,67911703.8813968,276743323.88289356,77804980.1033965,198938343.77949706,0.0,0.0,0.0,240115215.35962445,47140401.7525899,11176630.934643723
1969.0,36812500.0,0.0,0.0,1633622381.035426,2503506.331613167,295309.5228071786,2208196.8088059886,991030783.7604423,14553456.168138098,14553456.168138098,862407370.8899884,10326527.914220292,1218100.3866838252,9108427.527536467,238206679.2167598,30638990.832192443,8711433.016637655,21927557.81555479,87703475.3795783,359774117.3663986,102292798.7975459,257481318.56885266,0.0,0.0,0.0,305278956.888888,60023488.604131445,12986993.652939001
1970.0,57475000.0,0.0,0.0,1819745204.1318343,2867563.5191718224,342785.0343164837,2524778.4848553385,1093256500.477589,16719894.942020241,16719894.942020241,947460016.149929,11729543.771912467,1402135.3101649617,10327408.461747505,283399472.1241026,37415513.092657216,10744605.318582527,26670907.77407469,78168401.78068794,432985252.6187006,124340287.31969185,308644965.2990088,144860.73017865332,7663555.269821346,7663555.269821346,372551510.2315279,74699264.09090503,14896306.401849493
