Year,Fuel_Emissions,Biochar_Stock,Biochar_Decay,Construction_InUse,Construction_Disposed,Construction_Recycled,Construction_LandfillIn,Exterior_InUse,Exterior_Disposed,Exterior_LandfillIn,Household_InUse,Household_Disposed,Household_Recycled,Household_LandfillIn,GraphicPaper_InUse,GraphicPaper_Disposed,GraphicPaper_Recycled,GraphicPaper_LandfillIn,OtherPaper_InUse,OtherPaper_Disposed,OtherPaper_Recycled,OtherPaper_LandfillIn,HouseholdPaper_InUse,HouseholdPaper_Disposed,HouseholdPaper_LandfillIn,LF_Input_Total,LF_Stock_Total,LF_Decay_Total
1961.0,134937555650.0,978378371.2938968,13101828.706103176,3456548000.6943955,4224197.590972838,359056.7952326913,3865140.7957401467,4348418142.323441,45396054.46499126,45396054.46499126,3773851885.145061,34501262.39243164,2932607.3033566894,31568655.08907495,657257947.7612585,58734252.23874152,13215206.753716841,45519045.485024676,189026512.03170255,183213487.96829745,41223034.79286693,141990453.17543054,0.0,0.0,0.0,268339349.01026157,42646623.471486345,38183226.87832001
1962.0,135832099012.5,1951329539.9916131,26546231.30228358,6677345501.58433,8404210.579101477,801738.2222396694,7602472.356861807,7810130459.511169,85665506.77515614,85665506.77515614,6959941965.180052,66047206.02221337,6300719.031460523,59746486.990752846,1295847092.2319598,121048855.52929848,29501418.66293598,91547436.86636251,213608125.94222707,384618386.0894755,93737259.91768678,290881126.17178875,0.0,0.0,0.0,535443029.16092205,122132094.20039557,73528995.39386156
1963.0,136726642375.0,2918838134.8358145,40070805.15579885,10204542684.237686,13196740.24009786,1339194.435380305,11857545.804717556,11649804577.265083,133370316.18782547,133370316.18782547,10465591403.361588,102645106.79318646,10416341.712840525,92228765.08034593,1962636952.82627,191452139.40568987,48755686.538438275,142696452.86725157,230272668.3625682,601615921.4845512,153209033.73285958,448406887.7516916,0.0,0.0,0.0,828559967.6918321,244324740.98517174,115263980.2881128
1964.0,137621185737.5,3880944999.2792025,53619935.55661209,13941438853.891792,18515533.408449836,1958840.0330771506,16556693.375372685,15739930154.62959,187689064.03703254,187689064.03703254,14178212592.098492,143541793.3776382,15185920.11826609,128355873.2593721,2560257462.1671705,261965690.65909922,68747642.51202217,193218048.14707705,236800154.8370613,824460695.8573385,216363177.33596542,608097518.5213732,0.0,0.0,0.0,1133917197.3402276,414241082.2097337,162685289.44721526
1965.0,138515729100.0,4837718051.361676,67167747.91752653,17816078077.446705,24298935.96498355,2652023.988631397,21646911.97635215,19896594631.94765,247097945.85004434,247097945.85004434,17972188420.973225,187796555.16923234,20496410.62509302,167300144.54413933,3111895647.049037,334671415.11813396,89844155.72145572,244827259.39667824,246369971.80519778,1056401175.3065662,283595991.2054923,772805184.101074,0.0,0.0,0.0,1453677445.868288,635637663.1561589,214648421.4241107
1966.0,139410272462.5,5789238733.653452,80699517.70822433,21869152624.100548,30618776.014725626,3425518.1891600406,27193257.825565584,24108831303.349274,311702975.3391679,311702975.3391679,21852687712.65767,235584074.30829862,26356296.25532368,209227778.05297494,3629156760.9114366,410802286.1376005,112304104.30748473,298498181.83011574,254889928.91383952,1296319887.4942715,354384697.3925068,941935190.1017647,0.0,0.0,0.0,1788557383.1495888,912483083.6273795,271278590.74648774
1967.0,140304815825.0,6735600099.928092,94206033.72536038,26102637630.04588,37503111.606833644,4282429.769034236,33220681.837799408,28404352391.23892,381991539.85611725,381991539.85611725,25836535394.014275,287185376.833868,32793311.12249826,254392065.71136975,3819465458.89492,464519102.01651675,128922433.69990428,335596668.3166125,180457481.9809541,1463849781.137907,406276244.6928627,1057573536.4450443,0.0,0.0,0.0,2062774492.166943,1249158497.6577005,332928873.3749654
1968.0,141205099800.0,7676900119.5899105,107681180.33818164,30512840725.750248,44974012.19108506,5225603.474934596,39748408.71615047,32717226535.70713,457485103.0628551,457485103.0628551,29884714856.505627,342377675.85040873,39781417.878891736,302596257.97151697,3997881800.282561,521973458.61235917,146750187.11208752,375223271.5002717,185922871.5844382,1638903122.2661982,460769289.8610809,1178133832.4051173,0.0,0.0,0.0,2353186873.6559114,1649690016.5315776,399298250.8766453
1969.0,142111160137.5,8613243301.009031,121120818.58087951,35086065529.3307,53041863.83581517,6256731.728760905,46785132.10705426,37072776417.054535,538579805.4122176,538579805.4122176,34011065500.999664,401392057.62065923,47347552.310031064,354044505.3106282,4158816335.6581297,582999864.6244314,165761473.5811823,417238391.0432491,189151144.855061,1816854095.154555,516577156.1350787,1300276939.0194764,0.0,0.0,0.0,2656924772.892626,2118426981.4469082,470672477.91456926
1970.0,143023034337.5,9544735813.568892,134522087.44013995,39745947250.540245,61640288.28457054,7368404.638167111,54271883.646403424,41494963400.95636,625661280.8857987,625661280.8857987,38228329869.8392,464452521.4180239,55520086.10384163,408932435.3141823,4294090468.4482403,647186667.2098889,185852464.17437872,461334203.0355102,197072264.52829885,2002393484.8495424,575026931.5812669,1427366553.2682755,0.0,0.0,0.0,2977566356.1501703,2659983531.8394775,547309049.4538152
