Year,Fuel_Emissions,Biochar_Stock,Biochar_Decay,Construction_InUse,Construction_Disposed,Construction_Recycled,Construction_LandfillIn,Exterior_InUse,Exterior_Disposed,Exterior_LandfillIn,Household_InUse,Household_Disposed,Household_Recycled,Household_LandfillIn,GraphicPaper_InUse,GraphicPaper_Disposed,GraphicPaper_Recycled,GraphicPaper_LandfillIn,OtherPaper_InUse,OtherPaper_Disposed,OtherPaper_Recycled,OtherPaper_LandfillIn,HouseholdPaper_InUse,HouseholdPaper_Disposed,HouseholdPaper_LandfillIn,LF_Input_Total,LF_Stock_Total,LF_Decay_Total
1961.0,66625113337.5,504655017.5886538,6655082.411346223,3012740586.7558937,3681826.934341342,312955.2894190141,3368871.644922328,4033256932.5834904,42105875.14590608,42105875.14590608,2763385834.4840794,25263392.064312335,2147388.3254665486,23116003.738845788,714343992.6938827,63835607.30611727,14363011.643876385,49472595.66224088,222914988.48542398,216059811.51457605,48613457.59077961,167446353.92379645,1142.79528383286,60457.204716167136,60457.204716167136,285570157.3204277,36144848.772848,32445901.7568262
1962.0,67044256662.5,1007137768.8669536,13495948.721700236,5855882203.97617,7368993.3678357545,702981.3909132435,6666011.976922511,7269791566.964079,79725192.85382238,79725192.85382238,5119843218.690222,48577217.86474626,4634130.9425393585,43943086.9222069,1409716229.5048003,131680363.18908218,32092476.274493285,99587886.9145889,255353540.90264302,456916247.582781,111357331.34275466,345558916.24002635,1714.19292574929,151143.01179041783,151143.01179041783,575632237.9193574,103785954.24592042,62693186.27987937
1963.0,67477185437.5,1504648546.8376591,20348922.029294442,8970564280.23336,11598040.384116236,1176959.6780067666,10421080.70610947,10840164009.802977,124090741.76723504,124090741.76723504,7706474966.182472,75570409.64767617,7668823.530531776,67901586.11714439,2135554414.3390806,208310415.16572,53048857.72516962,155261557.44055036,275512157.74473345,716548817.7016377,182478136.06992435,534070681.6317134,2285.59056766572,272057.4212227521,272057.4212227521,892017705.0839753,207863043.77895412,98336319.05745521
1964.0,67903618587.5,1998242861.900413,27199084.937246177,12259921494.286484,16278842.978206266,1722210.6765411848,14556632.30166508,14639682425.557468,174567676.19322938,174567676.19322938,10440151209.925293,105683274.82516158,11180700.279460812,94502574.54570076,2781610061.395618,284658752.9434625,74702981.6616005,209955771.281862,300790819.6483261,1000105257.8155982,262457570.5532848,737647687.2623135,3428.38585149858,453429.0353712535,453429.0353712535,1231683770.620142,352660106.78339964,138829820.03614968
1965.0,68343206150.0,2487792582.456302,34030679.444110654,15644792753.572853,21337124.175330345,2328767.203754442,19008356.9715759,18499936819.963696,229762683.2047912,229762683.2047912,13216716041.953278,138113241.35680482,15073895.818060456,123039345.53874436,3390122633.1140203,364474828.28159785,97845025.74599594,266629802.5356019,307124597.7138998,1289064979.8737774,346055711.8269988,943009268.0467787,3999.78349341501,665029.2518778385,665029.2518778385,1582114485.5493698,541327138.1068363,183143354.39167482
1966.0,68770998512.5,2973031032.0372696,40831650.41903281,19180942670.288944,26858668.55589687,3004850.9329895247,23853817.622907348,22402428772.23699,289686415.0800664,289686415.0800664,16043740182.833462,173012450.6851062,19356008.76037489,153656441.9247313,3967952266.6211777,448681566.4928427,122659447.48754355,326022119.0052991,321390351.0582754,1591685584.6991436,435131034.95460635,1156554549.7445374,5142.57877724787,937086.6731005906,937086.6731005906,1950710430.050642,777167626.8475564,231356185.88698488
1967.0,69214669412.5,3453790663.892175,47594068.145094596,22852263820.696316,32845875.18856896,3750626.2192889685,29095248.969279993,26382740743.555016,354885328.75995713,354885328.75995713,18942093092.59514,210656473.99769813,24054578.850549255,186601895.14714888,4213752618.604495,510742248.0166824,141751185.95086223,368991062.06582016,268907533.9346956,1843017241.1137156,511510220.0184978,1331507021.0952177,4571.18113533144,1178915.4919652592,1178915.4919652592,2272259471.5293894,1063914578.8660791,283835520.8578632
1968.0,69652599462.5,3933755291.220739,54365972.671436235,26654868356.239178,39315622.55217777,4568145.998515157,34747476.55366261,30369610460.449783,424810215.4806687,424810215.4806687,21884344638.76037,250889391.0592641,29151245.57206832,221738145.4871958,4454556119.170324,577902299.4341708,162474296.68153274,415428002.7526381,299734250.7002613,2125804877.5843105,597659245.6992396,1528145631.8850708,2856.98820958215,1330058.503755677,1330058.503755677,2626199530.6629915,1404938761.5460415,340271654.8415648
1969.0,70084708862.5,4409934906.828542,61102384.392197385,30583902422.71562,46283965.0890306,5459581.017020445,40824384.07201016,34392688003.984604,499883436.5279594,499883436.5279594,24876295052.771603,293838223.9653461,34660677.54891667,259177546.41642943,4667756095.792232,648597223.3780925,184412446.78002697,464184776.59806556,327432844.0016774,2434471960.6414437,692181395.0127714,1742290565.6286724,1142.79528383286,1390515.7084718442,1390515.7084718442,3007751224.9516087,1803902200.4654784,400921928.096962
1970.0,70551649300.0,4883376379.390589,67815827.43795316,34610484361.97228,53737865.086504385,6423758.638515526,47314106.44798886,38474255818.444046,580459275.430186,580459275.430186,27932420900.102325,339708628.69575083,40608353.8050831,299100274.89066774,4881357135.154282,725645466.6379502,208383461.71907863,517262004.9188715,329366012.12060165,2744216906.4065757,788056213.3385981,1956160693.0679774,146003.5254624862,9114528.183009358,9114528.183009358,3409410882.9387007,2264733534.830389,466042322.40393203
1971.0,71494031250.0,5354434223.493071,74509555.89751819,38772005238.02944,61743830.72890931,7469054.209397008,54274776.5195123,42609167374.26076,666607396.8333993,666607396.8333993,31050580121.687798,388558909.05699617,47003360.83831662,341555548.21867955,5071686875.862768,807499355.291513,233967424.8853042,573531930.4062088,358154785.18479866,3081832153.691513,892939824.9087528,2188892328.78276,151420.37510785394,17125107.8079015,17125107.8079015,3841987088.568461,2791438303.1029477,535732953.29903233
1972.0,73168295812.5,5827233908.735521,81240914.75754891,43137087236.97695,70409670.77131282,8609243.902196875,61800426.86911594,46764569968.563866,758083601.429035,758083601.429035,34194765777.678436,440131632.51280487,53816479.06978517,386315153.4430197,5221666728.234131,893062147.6286381,260856737.08798522,632205410.540653,424592826.8981209,3482985232.2235174,1017353792.6962633,2465631439.527254,170847.89493301258,26163459.912968487,26163459.912968487,4330199491.722047,3387805917.8678684,609831566.9762497
1973.0,73763418325.0,6295100495.222607,87913713.51291418,47653448278.57322,79700880.76386991,9841005.708495043,69859875.05537486,50962395816.05319,855163304.0482482,855163304.0482482,37394914420.15041,494743956.7459413,61088134.23285722,433655822.51308405,5602121496.36692,1002248326.8467348,294915210.993501,707333115.8532338,472082376.37643594,3928213498.7830725,1155891091.8474264,2772322406.935646,186275.63126475617,36017984.281703725,36017984.281703725,4874352508.687291,4057896983.031208,688587936.4533676
