Year,Fuel_Emissions,Biochar_Stock,Biochar_Decay,Construction_InUse,Construction_Disposed,Construction_Recycled,Construction_LandfillIn,Exterior_InUse,Exterior_Disposed,Exterior_LandfillIn,Household_InUse,Household_Disposed,Household_Recycled,Household_LandfillIn,GraphicPaper_InUse,GraphicPaper_Disposed,GraphicPaper_Recycled,GraphicPaper_LandfillIn,OtherPaper_InUse,OtherPaper_Disposed,OtherPaper_Recycled,OtherPaper_LandfillIn,HouseholdPaper_InUse,HouseholdPaper_Disposed,HouseholdPaper_LandfillIn,LF_Input_Total,LF_Stock_Total,LF_Decay_Total
1961.0,2718840687.5,151236901.43166375,1938298.5683362444,379437510.1118133,463705.12309305667,39414.935462909816,424290.18763014686,306728547.740848,3202145.102764016,3202145.102764016,317854561.43648577,2905886.070918215,247000.31602804828,2658885.7548901667,48836266.26669684,4364133.733303161,981930.0899932113,3382203.64330995,10568503.568675568,10243496.431324434,2304786.6970479977,7938709.734276436,0.0,0.0,0.0,17606234.422870718,3317343.289019887,2967977.7562644426
1962.0,2737894412.5,303569140.97317255,3955760.458491211,768106419.6615214,965468.0640098585,92102.95743817452,873365.106571684,481499296.22547734,5318038.192552068,5318038.192552068,567163424.0092125,5388781.018264604,514074.66209446726,4874706.3561701365,96353849.52915257,9000416.737544259,2193536.330055779,6806880.40748848,14195888.776746048,23687814.791929524,5773075.16317375,17914739.628755774,0.0,0.0,0.0,35787729.69153814,9061891.716015236,5321561.228298539
1963.0,2757082412.5,457019998.61568356,6012942.357488979,1126008359.0014007,1458242.6157959537,147981.27120625053,1310261.3445897033,654075835.0904753,7591241.00418001,7591241.00418001,799211263.8702148,7881112.961232325,799768.9149186179,7081344.046313707,133245224.81230217,13101424.716850398,3336441.9885021225,9764982.728348276,13897495.205966355,36744482.86475299,9357443.035800679,27387039.828952312,0.0,0.0,0.0,53134868.95238401,17270911.170292594,7773826.940806063
1964.0,2776404175.0,611621879.6088016,8101919.006881923,1471686668.1511924,1963759.4998258168,207754.78830325665,1756004.71152256,824298953.3424143,10025424.309542952,10025424.309542952,1023653411.3230584,10465654.599366214,1107207.8102940756,9358446.78907214,164825893.8490978,17094330.9632044,4486064.38149899,12608266.58170541,15279433.88445847,51152512.834647596,13423951.270489898,37728561.564157695,0.0,0.0,0.0,71476703.95600076,28042126.630691696,10368660.34973855
1965.0,2795861750.0,767413002.2243193,10219277.384482255,1845755525.5065665,2531961.954123535,276342.29952760774,2255619.6545959273,992006179.58713,12623423.243616456,12623423.243616456,1251264028.8634515,13240884.514898105,1445130.9067529181,11795753.608145187,193027593.6565386,21142100.192559153,5675698.778482204,15466401.414076949,15266451.191961687,65506401.702896714,17585509.51616181,47920892.1867349,0.0,0.0,0.0,90062090.10716942,41548230.9797762,13168692.157273058
1966.0,2815455650.0,924433329.2821805,12363272.942138823,2225288700.3295245,3137993.454269613,351067.3859038656,2786926.0683657476,1173523443.5829656,15559309.048351698,15559309.048351698,1487641463.8560174,16264360.360943181,1819597.955995031,14444762.40494815,229149257.00678772,26259336.649750914,7178711.953835595,19080624.69591532,25098133.861582704,89391290.10481578,24437567.917402577,64953722.1874132,0.0,0.0,0.0,116825344.40499412,58068922.63964477,16270305.86179703
1967.0,2835186387.5,1082725532.9621384,14532996.3200421,2612355037.8233166,3786036.374358582,432322.3909038337,3353713.983454748,1368505458.7307868,18847787.2780044,18847787.2780044,1731588880.4749207,19534821.773239914,2230654.9699534066,17304166.803286508,254297047.88241798,30853209.12436972,8562986.517666187,22290222.606703535,22339467.16441501,110309246.13656265,30615181.1837046,79694064.95285805,0.0,0.0,0.0,141489955.62430725,77889745.54425484,19684845.16013559
1968.0,2855056012.5,1242334514.8614523,16728018.100685976,2995676696.9620442,4464148.233062927,518696.6290710641,3945451.6039918624,1560101753.2990232,22330779.228593625,22330779.228593625,1969856599.2230434,22939863.740859058,2665420.00232128,20274443.738537777,277716678.87264633,35703169.00977164,10037764.653029071,25665404.35674257,25435992.178769693,134319741.8942992,37763313.30761074,96556428.58668846,0.0,0.0,0.0,168772507.5145543,101152791.74258643,23287628.372791655
1969.0,2875064525.0,1403307100.9527788,18948213.90867341,3362081715.408031,5157321.26991227,608349.2036545943,4548972.066257676,1748117938.747582,26007820.06293193,26007820.06293193,2197456169.3657875,26433858.29771854,3118094.802189628,23315763.49552891,306295138.9782895,41447539.894356854,11784574.416032411,29662965.478324443,27417674.779304776,160155875.5995213,45536329.5138382,114619546.0856831,0.0,0.0,0.0,198155067.18872607,127974487.22949785,27050860.137807116
1970.0,2895213462.5,1565690057.5973327,21193643.35544604,3735034322.238828,5894399.904445694,704609.3521597168,5189790.552285977,1932360745.282134,29877127.106973413,29877127.106973413,2427666946.574551,30134377.364422362,3602226.5975655434,26532150.76685682,333757990.182776,47605548.79551352,13670875.807999995,33934672.98751353,30045108.208641753,188482499.98043537,54126481.35371839,134356018.62671697,0.0,0.0,0.0,229889760.04034674,158541192.90389013,31032362.75172393
1971.0,2918003312.5,1729740050.2404292,23467407.356903583,4152293780.960561,6723320.180762016,813309.4805491582,5910010.700212858,2112639367.3549254,33935546.97117287,33935546.97117287,2671635005.014968,34147244.28667476,4130738.4991789833,30016505.787495777,360652890.58825684,54263099.59451912,15722362.618904088,38540736.97561504,31837877.858774517,218470173.3598327,63300241.096530914,155169932.2633018,0.0,0.0,0.0,263572732.69779834,193108029.68562442,35295226.677147195
1972.0,2923596225.0,1894092072.9807932,25750177.25963595,4607935339.603188,7641333.288292404,934333.3280247174,6706999.960267687,2288766854.4366984,38178518.13914436,38178518.13914436,2927248031.4653406,38463755.99952743,4703101.905845564,33760654.09368187,383101625.17372614,61118265.414530724,17852185.690375447,43266079.72415528,31025884.115279987,247619742.48575804,72327864.56678018,175291877.91897786,0.0,0.0,0.0,297204129.83622706,231919480.74767894,39834721.131039396
1973.0,2931255537.5,2059062507.0024295,28045965.978363726,5061637113.473643,8603388.553332819,1062296.866161234,7541091.687171585,2460561530.8754225,42600050.416453116,42600050.416453116,3178320078.87114,42944973.327996135,5302597.95903737,37642375.368958764,413972097.4518968,69022866.2547705,20310229.131482195,48712637.1232883,33611254.70928144,279300949.5246259,82185319.00062366,197115630.52400225,0.0,0.0,0.0,333611785.119874,275129793.1320142,44573205.08824819
1974.0,2944552350.0,2225264881.0998015,30363025.902627844,5410191587.423517,9484873.37360638,1181681.1057128701,8303192.26789351,2627848427.395258,47192722.36437912,47192722.36437912,3382939772.2999167,47206098.96704086,5881212.43442116,41324886.5326197,432410325.31407183,76113184.9262623,22548877.1895294,53564307.7367329,67671663.93041918,343917271.51647097,101887055.7879802,242030215.72849077,108565.5519641217,5743434.448035877,5743434.448035877,398158759.07815194,322654728.5532857,49295865.74362075
