Year,Fuel_Emissions,Biochar_Stock,Biochar_Decay,Construction_InUse,Construction_Disposed,Construction_Recycled,Construction_LandfillIn,Exterior_InUse,Exterior_Disposed,Exterior_LandfillIn,Household_InUse,Household_Disposed,Household_Recycled,Household_LandfillIn,GraphicPaper_InUse,GraphicPaper_Disposed,GraphicPaper_Recycled,GraphicPaper_LandfillIn,OtherPaper_InUse,OtherPaper_Disposed,OtherPaper_Recycled,OtherPaper_LandfillIn,HouseholdPaper_InUse,HouseholdPaper_Disposed,HouseholdPaper_LandfillIn,LF_Input_Total,LF_Stock_Total,LF_Decay_Total
1961.0,423467987.5,156128.78357823877,1671.2164217612276,7453139.912023811,9108.375076877184,774.2118815345607,8334.163195342624,42876033.5551723,447611.6810315291,447611.6810315291,26283598.47234614,240289.59140691682,20424.615269587932,219864.9761373289,0.0,0.0,0.0,0.0,348559.5257322175,337840.4742677826,76014.10671025109,261826.3675575315,0.0,0.0,0.0,937637.1879217322,356288.90731813974,319521.9130460609
1962.0,425917737.5,322406.03764592315,3522.745932315679,15398569.650645662,19344.32583001235,1845.3946691846395,17498.93116082771,86276072.30005568,941419.3074649003,941419.3074649003,53066398.055625476,501984.28912234586,47887.899495757534,454096.3896265883,0.0,0.0,0.0,0.0,211811.08554071427,532748.4401915033,129838.77218328237,402909.6680082209,0.0,0.0,0.0,1815924.2962605373,1090862.1014123391,678441.434158117
1963.0,428381325.0,499876.92833122663,5529.109314696486,25605429.03177157,32927.88517439574,3341.4949292102924,29586.39024518545,130152914.29105644,1483414.4197211405,1483414.4197211405,79960865.17345828,782480.8115998749,79405.51451504865,703075.2970848263,0.0,0.0,0.0,0.0,435180.40751528786,948552.100828774,241560.67953561014,706991.4212931639,0.0,0.0,0.0,2923067.5283443164,2231394.6882713204,1075543.5201921712
1964.0,430859262.5,688988.2463079916,7688.682023235056,34844964.84555328,46098.159231757854,4876.927807714309,41221.231424043544,174787247.41176033,2078895.9160570758,2078895.9160570758,107582935.34556586,1088087.0499669416,115113.53337384126,972973.5165931003,0.0,0.0,0.0,0.0,267909.2552220789,1195435.5243321536,313718.0821892643,881717.4421428894,0.0,0.0,0.0,3974808.1062171087,3811072.3635337073,1513412.9888118326
1965.0,433352062.5,891370.6613579274,10017.584950064162,45603702.1861098,61858.583706558384,6751.342862459664,55107.24084409872,219794771.0003619,2726390.3365076003,2726390.3365076003,136369365.05639762,1423838.954997308,155400.01710536948,1268438.9378919387,0.0,0.0,0.0,0.0,275955.8650949467,1455312.8122304478,390685.74434212956,1064627.067888318,0.0,0.0,0.0,5114563.583131956,5866581.000826888,1994427.8779504565
1966.0,435858700.0,1107450.9081401287,12519.753217798587,55405574.337993845,77321.03961448152,8650.398940728,68670.64067375351,265452513.4375897,3430855.941007547,3430855.941007547,165095708.00018087,1779846.7026266262,199122.82747134706,1580723.8751552792,0.0,0.0,0.0,0.0,236149.7294898614,1676208.506943998,458237.70060977276,1217970.8063342252,0.0,0.0,0.0,6298221.263170805,8431309.759212028,2515521.698451441
1967.0,438380200.0,1338244.27754535,15206.630594778813,70950455.41299208,100641.80487159315,11492.152056868583,89149.65281472457,311372881.2894373,4190426.6870040977,4190426.6870040977,195072487.1496765,2168597.6218532557,247629.23968124876,1920968.3821720069,0.0,0.0,0.0,0.0,570066.3059864818,2221950.811530416,616679.2817355292,1605271.5297948867,0.0,0.0,0.0,7805816.251785716,11547510.90094084,3084343.5802620174
1968.0,440916050.0,1584754.2771612597,18090.00038409029,83918704.5576105,122092.52066466222,14186.128147473826,107906.3925171884,357830027.9650717,5009618.209867808,5009618.209867808,225377469.0789247,2582958.6221249467,300118.1547699213,2282840.4673550255,0.0,0.0,0.0,0.0,674216.0354763432,2858650.1668812367,803694.977122135,2054955.1897591017,0.0,0.0,0.0,9455320.259499125,15251802.905346587,3696073.065334274
1969.0,443466250.0,1848565.4826285571,21188.794532702443,94780423.3663721,142118.03450847586,16764.01150779155,125354.0230006843,404763767.20657194,5889517.797974959,5889517.797974959,254994225.44914687,3014323.256537362,355564.6539551764,2658758.6025821855,0.0,0.0,0.0,0.0,650289.6627373666,3469361.7934422283,986426.5125305097,2482935.2809117185,0.0,0.0,0.0,11156565.704469547,19577542.507585388,4347890.82131903
1970.0,446031825.0,2131243.441306945,24522.041321612043,106479115.06016032,164211.99229652924,19629.700628497605,144582.29166803163,452442775.54923666,6834383.693359178,6834383.693359178,285592369.2203685,3477941.703527691,415748.89561253146,3062192.8079151595,137328.01696035833,12271.983039641676,3524.1428845503538,8747.840155091322,113219.69611361405,3560318.844206631,1022416.0415648436,2537902.8026417876,0.0,0.0,0.0,12587809.435739247,24569207.937938176,5049493.362589574
