Year,Fuel_Emissions,Biochar_Stock,Biochar_Decay,Construction_InUse,Construction_Disposed,Construction_Recycled,Construction_LandfillIn,Exterior_InUse,Exterior_Disposed,Exterior_LandfillIn,Household_InUse,Household_Disposed,Household_Recycled,Household_LandfillIn,GraphicPaper_InUse,GraphicPaper_Disposed,GraphicPaper_Recycled,GraphicPaper_LandfillIn,OtherPaper_InUse,OtherPaper_Disposed,OtherPaper_Recycled,OtherPaper_LandfillIn,HouseholdPaper_InUse,HouseholdPaper_Disposed,HouseholdPaper_LandfillIn,LF_Input_Total,LF_Stock_Total,LF_Decay_Total
1961.0,761795975.0,974817.8305173981,10982.169482601965,78776752.3609331,96271.93589698931,8183.114551244092,88088.82134574522,26418232.98284078,275797.65885096526,275797.65885096526,40074155.33323307,366365.45110561297,31141.063343977105,335224.3877616359,3358477.826545234,300122.1734547663,67527.48902732242,232594.68442744386,1289223.3740223686,1249576.6259776317,281154.74084496713,968421.8851326646,571.39764191643,30228.602358083568,30228.602358083568,1930356.0398765383,369033.4352794711,330077.4326788753
1962.0,763771025.0,1961202.3455014299,22515.485015968243,157329081.95229894,197828.7488916493,18872.310248709415,178956.4386429399,53440184.483730026,582991.1160782366,582991.1160782366,79951969.3584759,756613.5810962878,72178.8229508383,684434.7581454496,7551809.149219839,701668.6773253947,171007.16336334756,530661.5139620472,2689592.885983262,3818030.4880391066,930511.2006468569,2887519.28739225,1714.19292574929,120914.40943233427,120914.40943233427,4985477.523653258,1121660.8223297468,693754.9258163504
1963.0,765751062.5,2959749.073580153,34353.27192127717,239008801.6470545,308996.57435194834,31356.720326006605,277639.85402594175,81033722.0624848,923042.4027985854,923042.4027985854,120625564.96354032,1180633.6919133603,119809.74404790987,1060823.9478654503,11220402.65869173,1092206.4905281093,278144.07011977036,814062.4204083389,4661921.940947857,8257600.8229683,2102901.532121647,6154699.290846653,2856.98820958215,272057.4212227521,272057.4212227521,9502325.337167721,2286607.7934219856,1096559.2335977382
1964.0,767736325.0,3970802.313183245,46446.76039690806,328043434.5926773,435413.336190569,46064.29936695914,389349.03682360984,109572167.73320939,1301585.1865977289,1301585.1865977289,163842845.37415576,1655815.7203790222,175176.05617544352,1480639.6642035786,15578906.723693136,1579295.9349985928,414454.54970384244,1164841.3852947503,8620240.100358058,16476220.052751858,4323853.567565078,12152366.48518678,21141.71275090791,1390515.708471844,1390515.708471844,17879297.46657829,3908025.938140327,1550155.7429065763
1965.0,769726812.5,4994430.236094602,58772.0770886417,418833788.6036927,571021.5051598033,62322.18282687386,508699.32233292947,138526791.69540963,1715143.2707082098,1715143.2707082098,207503228.18708357,2165458.2281415537,236341.5079444829,1929116.7201970709,20193508.25953894,2132798.464154196,572560.0355450506,1560238.4286091453,10172364.464459278,26083017.12872547,7002111.763179478,19080905.36554599,22284.50803474077,2569431.2004371034,2569431.2004371034,27363534.30783045,6017682.205020149,2043303.0463583875
1966.0,771722525.0,6031307.154144406,71323.08195019617,518419514.88822275,724842.6740140006,81092.7831641676,643749.8908498329,168268886.0780749,2169088.8283881415,2169088.8283881415,253852580.43281487,2731255.831627459,305563.0481763767,2425692.783451082,25185610.440033924,2769497.8195050173,757118.4058524522,2012379.413652565,10585077.501219014,36047145.475559235,9854478.716601638,26192666.758957595,22284.50803474077,3748346.692402363,3748346.692402363,37191924.36770158,8665094.996526645,2591118.711182561
1967.0,773723225.0,7081515.594112171,84091.56003223563,623387361.4807676,893632.1789057456,102042.65410381494,791589.5248019306,199775309.47765875,2675382.6971781272,2675382.6971781272,301898165.81075203,3346681.4852032624,382153.04825796536,2964528.436945297,29545052.32450045,3406558.115533475,945454.6882748419,2461103.427258633,11005302.095453804,46407586.6864379,12879941.840458728,33527644.84597917,22855.9056766572,4957490.7867257055,4957490.7867257055,47377739.718888864,11901108.99387249,3195486.661579511
1968.0,775729150.0,8145736.198093655,97079.39601851668,727128275.1690465,1070032.0419988688,124328.75975581812,945703.2822430506,231567875.52456856,3221200.2337217755,3221200.2337217755,350254061.8239703,4000970.3040319476,464879.23370118707,3536091.0703307604,33332058.862096336,4049393.462404117,1138466.4076178328,2910927.0547862845,11098313.18099452,56845991.083686054,15981961.707938578,40864029.37574747,22855.9056766572,6166634.881049048,6166634.881049048,57644585.89787839,15761178.865535764,3842924.714632311
1969.0,777740300.0,9224349.593094638,110286.60499901664,840473477.7842234,1267554.1564690648,149518.62048534816,1118035.5359837166,262918892.96526942,3800094.5342264227,3800094.5342264227,400769993.4221079,4712010.373068734,555821.05671639,4156189.316352344,36536815.94265702,4697642.9194393065,1335657.621783665,3361985.2976556416,17678730.678484056,73660051.61070569,20943398.858115,52716652.752590686,26284.29152815578,7557150.589520892,7557150.589520892,72710108.02632971,20292207.509252906,4543290.74284534
1970.0,779756675.0,10317735.245005397,123714.3480892403,954458598.0487933,1476284.97969391,176473.3000827956,1299811.6796111146,294669854.4332777,4421171.298753518,4421171.298753518,450384074.37573296,5453891.154811637,651951.4752372095,4801939.679574427,41983270.5113336,5604145.431323426,1609341.3087344433,3994804.122588983,24660054.32324588,97044676.23342054,27868300.02345633,69176376.2099642,31426.87030540365,9219723.719215488,9219723.719215488,92913826.70970772,25528880.44064641,5286249.726545557
