Year,Fuel_Emissions,Biochar_Stock,Biochar_Decay,Construction_InUse,Construction_Disposed,Construction_Recycled,Construction_LandfillIn,Exterior_InUse,Exterior_Disposed,Exterior_LandfillIn,Household_InUse,Household_Disposed,Household_Recycled,Household_LandfillIn,GraphicPaper_InUse,GraphicPaper_Disposed,GraphicPaper_Recycled,GraphicPaper_LandfillIn,OtherPaper_InUse,OtherPaper_Disposed,OtherPaper_Recycled,OtherPaper_LandfillIn,HouseholdPaper_InUse,HouseholdPaper_Disposed,HouseholdPaper_LandfillIn,LF_Input_Total,LF_Stock_Total,LF_Decay_Total
1961.0,781562500.0,9375657.475429287,112142.52457071356,88140246.2965745,107714.92714666363,9155.76880746641,98559.15833919722,29683407.845888518,309885.00994490477,309885.00994490477,50146049.00165572,458444.5938008392,38967.790473071334,419476.8033277679,32684068.03656528,2920731.9634347185,657164.6917728117,2263567.271661907,13660852.181581909,13240747.818418093,2979168.259144071,10261579.559274022,0.0,0.0,0.0,13353067.802547798,437351.9090195422,390569.06259232765
1962.0,997837500.0,18667424.336345155,227233.1390841332,219377842.19381016,274318.41202594317,26169.21053027713,248149.20149566603,124018268.41412531,1322904.4908093656,1322904.4908093656,154301639.7766726,1442785.8298991339,137637.73949362276,1305148.0904055112,72337040.86050282,6725227.176062456,1639038.5655182987,5086188.610544158,12941435.018313475,25377017.163268436,6184759.074974402,19192258.088294033,0.0,0.0,0.0,27154648.481548734,1942976.5988732441,1370577.0928568412
1963.0,997837500.0,27874875.091022607,342749.24532254675,350656900.6408406,450508.7635268349,45717.261856229816,404791.5016706051,217300334.61943084,2415911.7911017323,2415911.7911017323,257872615.57681984,2489702.9249260407,252653.02204556373,2237049.902880477,88961615.62702364,8811825.233479178,2244041.723684406,6567783.509794772,12343334.270035394,36967544.20353236,9414248.4010796,27553295.802452758,0.0,0.0,0.0,39178832.50790034,4560796.01642604,2439933.778100018
1964.0,1040887500.0,36998717.19374561,458157.89727699384,494412587.8337868,651901.6337115432,68967.55224776852,582934.0814637747,257667305.1826944,3050786.5409441423,3050786.5409441423,334255215.0072536,3358010.693583932,355258.77829106967,3002751.915292862,120796863.88414934,12444151.742874295,3265718.091678522,9178433.651195772,13411915.863220137,49610574.25978438,13019300.410854468,36591273.84892991,0.0,0.0,0.0,52406180.03782646,7954682.025336112,3242586.528790707
1965.0,1004500000.0,46039313.09931743,573204.0944281779,639120112.4549254,865718.5925592617,94485.88523299673,771232.7073262649,358724536.9515548,4367301.531996871,4367301.531996871,441532388.58834076,4563573.232134772,498075.5413709626,4065497.6907638097,136397920.54610586,14950343.33804347,4013491.784107932,10936851.553935539,12211945.35557611,61058168.79170424,16391359.934497027,44666808.85720721,0.0,0.0,0.0,64807692.3412297,12641729.12799787,4516984.827425188
1966.0,484927500.0,54997172.908083625,687740.1912338088,793696723.1821709,1103397.7949277032,123444.16427966079,979953.6306480424,446215841.9809314,5649200.470625573,5649200.470625573,545918584.294452,5818822.0216180105,650988.813692333,5167833.207925677,151627428.46476233,17647292.081343547,4824372.691012773,12822919.390330773,12611950.167339869,72930229.56052464,19937484.24513528,52992745.315389365,0.0,0.0,0.0,77612652.01491943,18615611.865618322,5823104.571578837
1967.0,502250000.0,63872901.593451604,801671.3146320173,923084668.7636393,1323277.9557201318,151103.3262970658,1172174.629423066,549863454.788354,7197805.304895963,7197805.304895963,646942863.4187491,7119717.84583085,812990.9851148096,6306726.860716041,163772237.9451718,20309590.519590516,5636715.101419043,14672875.418171473,14390558.88154167,86513149.14134216,24010822.56020558,62502326.581136584,0.0,0.0,0.0,91851908.79434313,26013194.510226324,7279124.1504270695
1968.0,731747500.0,72667168.96023466,914932.6332169437,1083241383.6557472,1592492.083212467,185034.23996248367,1407457.8432499832,657849415.236672,8908019.00041045,8908019.00041045,762615482.478315,8630647.836584559,1002808.9807547345,7627838.855829824,176027563.21213686,23219674.733034957,6528093.632985363,16691581.100049594,10874340.474726414,96635369.50498073,27168543.385715086,69466826.11926565,0.0,0.0,0.0,104101722.9188055,35023801.89683744,8932708.312879141
1969.0,921475000.0,81381283.18388756,1027485.7763471041,1253477556.1032453,1888383.8465537298,222750.67794345552,1665633.1686102743,764072541.8475815,10723575.022806916,10723575.022806916,884443868.5427315,10284990.041447498,1213200.646973938,9071789.39447356,182963505.37986764,25914457.832269214,7368129.871010509,18546327.961258706,10541103.315666229,106541025.46203738,30292283.839232814,76248741.62280457,0.0,0.0,0.0,116256067.16995403,45762792.41554832,10722007.06717988
1970.0,746712500.0,90015985.94103312,1139297.2428544238,1436735412.7993991,2215819.5235866266,264876.3545614993,1950943.1690251273,868427295.2927537,12644756.875362124,12644756.875362124,1010422019.6127979,12070139.576647481,1442849.7159082254,10627289.860739255,190439950.9655773,28898354.414290324,8298734.58554822,20599619.8287421,12522808.910251038,118374104.63767305,33993467.65932747,84380636.97834557,0.0,0.0,0.0,130203246.71221419,58342344.82648529,12643437.494189536
